Sl. No,Polling Station No,CHANDRASEKAR DURAI. INC,P BALARAMAN. AIADMK,J ILAVENIL. BHAVANI BSP,D DESINGURAJAN. MNM,A MAHESWARI. NTK,RAJA PON. AKMK,V VIJAYAKUMAR. AMGRDMK,S PRIYADHARSHAN. ASHOK IND,C.H KUMAR. SAMBATH IND,K SUGUMAR. IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
1,1,390,393,5,4,74,2,2,1,0,1,872,0,4,876
2,2,286,468,20,7,37,6,0,1,0,5,830,0,10,840
3,3,285,399,3,6,32,33,0,3,0,0,761,0,5,766
4,4,294,380,2,2,83,13,0,0,1,0,775,0,1,776
5,5,156,214,4,4,64,1,1,0,0,1,445,0,0,445
6,5(A),153,237,5,3,37,3,1,0,1,1,441,0,1,442
7,6,245,199,1,1,29,4,0,0,0,1,480,0,3,483
8,7,133,159,1,3,40,6,0,1,0,0,343,0,4,347
9,8,236,260,0,7,60,1,1,0,0,0,565,0,6,571
10,9,237,256,2,1,48,9,1,0,0,0,554,0,2,556
11,10,244,465,3,0,20,7,0,7,1,2,749,0,4,753
12,11,95,251,1,2,13,3,0,0,0,0,365,0,3,368
13,12,299,431,5,7,34,8,0,1,1,3,789,0,14,803
14,13,300,468,6,6,41,16,2,1,0,1,841,0,3,844
15,14,289,388,5,6,41,6,1,1,0,2,739,0,3,742
16,15,277,371,9,1,39,6,1,0,0,1,705,0,1,706
17,16,362,257,3,6,31,38,0,0,0,0,697,0,5,702
18,17,344,352,3,1,65,19,1,1,0,1,787,0,8,795
19,18,296,259,2,12,41,25,0,0,0,0,635,0,3,638
20,19,202,196,0,7,49,13,0,16,1,0,484,0,2,486
21,19(A),201,239,2,8,30,9,0,20,0,0,509,0,1,510
22,20,291,263,2,5,53,24,0,1,2,0,641,0,11,652
23,21,175,206,3,6,44,10,0,8,0,0,452,0,3,455
24,21(A),178,229,1,7,26,8,2,4,1,1,457,0,4,461
25,22,372,433,3,4,66,6,0,2,0,1,887,0,2,889
26,23,196,271,0,10,81,12,0,3,2,0,575,0,2,577
27,24,303,309,1,14,56,5,0,1,1,1,691,0,4,695
28,25,331,145,1,11,46,2,0,1,0,0,537,0,0,537
29,26,347,142,0,11,64,3,0,2,1,0,570,0,0,570
30,27,285,267,2,4,17,3,0,20,1,0,599,0,5,604
31,28,613,166,1,2,14,6,0,0,0,0,802,0,0,802
32,29,234,199,0,2,85,2,1,1,0,0,524,0,3,527
33,29(A),257,192,2,3,44,4,0,0,0,1,503,0,1,504
34,30,347,179,0,2,80,15,0,0,0,1,624,0,1,625
35,31,277,295,3,11,63,6,1,1,0,0,657,0,7,664
36,32,247,294,3,6,45,3,0,0,0,0,598,0,4,602
37,33,298,249,3,4,122,15,0,1,0,0,692,0,4,696
38,34,154,159,5,1,14,4,0,0,0,0,337,0,3,340
39,35,379,311,5,10,87,5,1,0,0,2,800,0,1,801
40,36,341,368,2,6,84,5,1,1,0,1,809,0,4,813
41,37,282,136,1,10,25,0,0,0,0,0,454,0,4,458
42,38,369,212,3,21,41,7,0,4,0,0,657,0,2,659
43,39,307,123,1,6,55,4,0,1,0,0,497,0,1,498
44,39(A),323,131,2,6,27,13,0,0,0,0,502,0,1,503
45,40,406,362,1,6,42,7,3,7,0,1,835,0,7,842
46,41,460,187,2,8,50,2,1,4,0,0,714,0,2,716
47,42,427,401,0,4,53,3,0,6,0,0,894,0,2,896
48,43,341,277,3,3,59,9,1,31,0,4,728,0,4,732
49,44,237,234,12,0,21,16,1,0,0,0,521,0,2,523
50,44(A),215,258,6,3,17,12,0,1,1,1,514,0,4,518
51,45,358,333,2,6,64,30,0,2,0,2,797,0,6,803
52,46,256,342,1,7,58,6,2,91,1,0,764,0,2,766
53,47,224,187,0,4,24,10,0,6,1,0,456,0,0,456
54,48,269,334,3,15,55,10,0,1,2,2,691,0,3,694
55,49,349,382,6,7,75,30,1,13,2,0,865,0,1,866
56,50,217,124,4,4,11,2,0,10,1,0,373,0,2,375
57,51,177,223,0,2,65,25,2,1,0,1,496,0,1,497
58,52,291,306,3,2,58,12,0,3,0,3,678,0,10,688
59,53,377,261,2,3,117,18,1,1,4,1,785,0,6,791
60,54,216,150,3,2,19,6,0,5,2,1,404,0,0,404
61,55,125,301,1,3,37,1,0,0,0,0,468,0,4,472
62,56,230,281,2,11,33,3,0,1,0,0,561,0,3,564
63,57,366,359,2,8,42,14,0,1,0,3,795,0,5,800
64,58,255,142,3,13,18,11,1,0,0,0,443,0,0,443
65,59,271,277,18,5,61,13,0,0,2,0,647,0,8,655
66,60,238,289,2,4,18,3,0,0,0,1,555,0,4,559
67,61,264,135,1,6,46,6,0,0,0,0,458,0,2,460
68,62,325,343,8,25,55,10,2,1,1,0,770,0,5,775
69,63,264,162,1,8,74,5,2,1,1,0,518,0,4,522
70,63(A),295,192,2,7,24,3,0,2,0,1,526,0,5,531
71,64,299,253,5,10,46,2,1,0,0,1,617,0,4,621
72,65,240,347,9,2,51,11,0,0,0,0,660,0,0,660
73,66,445,367,4,8,72,9,1,6,1,0,913,0,3,916
74,67,372,274,2,17,48,22,0,1,0,0,736,0,5,741
75,68,195,236,3,3,40,10,1,2,0,0,490,0,6,496
76,68(A),159,250,4,1,18,8,2,5,1,3,451,0,5,456
77,69,397,368,1,10,91,9,0,0,0,1,877,0,4,881
78,70,195,365,5,4,58,5,0,1,0,2,635,0,1,636
79,71,96,289,2,4,51,12,0,0,0,0,454,0,7,461
80,71(A),89,331,1,8,16,8,1,0,0,0,454,0,1,455
81,72,337,386,3,1,27,5,1,6,0,2,768,0,4,772
82,73,309,305,3,6,34,3,3,0,1,1,665,0,6,671
83,74,296,260,0,18,55,8,0,0,0,0,637,0,5,642
84,75,206,282,3,6,37,3,0,1,0,1,539,0,2,541
85,76,421,239,2,13,101,21,0,0,0,1,798,0,1,799
86,77,347,212,4,5,88,20,1,0,0,1,678,0,0,678
87,78,225,291,3,3,45,57,1,0,0,0,625,0,1,626
88,79,319,328,4,28,81,43,0,0,1,0,804,0,6,810
89,80,350,329,0,5,51,3,0,0,0,4,742,0,4,746
90,81,204,172,1,6,56,5,0,0,0,2,446,0,3,449
91,81(A),190,225,1,4,35,5,0,0,1,1,462,0,5,467
92,82,228,245,1,8,54,11,0,0,0,2,549,0,2,551
93,83,292,224,4,10,81,7,0,5,0,0,623,0,3,626
94,84,212,374,6,7,39,4,2,13,0,3,660,0,4,664
95,85,196,504,3,8,78,26,3,1,2,5,826,0,10,836
96,86,145,286,3,12,51,8,1,0,0,3,509,0,3,512
97,87,244,247,3,6,57,10,1,0,1,2,571,0,3,574
98,88,136,91,0,5,16,29,0,1,0,0,278,0,1,279
99,89,240,318,1,11,59,5,0,0,1,1,636,0,2,638
100,90,301,307,12,5,51,4,1,2,1,2,686,0,3,689
101,91,191,392,3,15,47,13,0,1,0,3,665,0,4,669
102,92,97,256,2,10,33,1,1,0,0,0,400,0,4,404
103,93,521,226,1,13,36,2,0,1,0,0,800,0,2,802
104,94,315,243,9,9,50,6,0,0,0,0,632,0,3,635
105,95,190,194,1,16,64,19,0,0,0,0,484,0,5,489
106,95(A),157,216,2,12,28,13,1,0,1,0,430,0,4,434
107,96,249,176,2,7,26,9,1,1,1,3,475,0,4,479
108,97,367,222,4,19,78,2,0,5,1,2,700,0,8,708
109,98,332,293,2,9,89,9,1,2,1,0,738,0,6,744
110,99,190,222,3,13,43,4,0,0,0,0,475,0,3,478
111,99(A),156,293,2,18,36,8,0,0,1,0,514,0,9,523
