Sl. No,Polling Station No,G.HARI ADMK,D.KRISHNAMURTHY DMDK,S.CHANDRAN DMK,N.MAGENDIRAN BSP,L.AKILA NTK,MALAI M.D.THANIGAI IJK,S.MANICKAM AIJMK,M.HARI IND,K.CHANDRAN IND,T.CHANDRAN IND,SURESHA.J.IND,S.SHETTU IND,D.PAULRAJ IND,VIJAYANP.V.IND,Total Valid Votes,Rejected Votes,Total Votes
1,1,199,2,408,3,16,1,1,2,0,0,0,2,9,0,643,0,1,644
2,2M,153,3,255,3,48,2,0,1,0,0,0,0,1,3,469,0,7,476
3,2A(W),154,1,259,2,12,0,0,2,0,0,1,1,5,1,438,0,1,439
4,3M,293,3,157,0,21,0,0,0,0,1,0,0,0,0,475,0,2,477
5,3A(W),323,2,134,0,6,0,0,0,0,0,0,1,4,1,471,0,2,473
6,4,242,17,441,1,15,1,0,0,0,0,0,1,3,0,721,0,3,724
7,5,168,2,219,0,17,4,0,0,0,0,0,0,0,0,410,0,0,410
8,6,203,4,406,1,11,0,1,1,0,0,0,0,1,0,628,0,2,630
9,7,106,4,444,2,12,0,0,0,0,0,0,0,5,1,574,0,4,578
10,8,166,3,245,0,16,1,0,1,0,0,0,0,1,0,433,0,3,436
11,9M,154,2,243,1,25,3,0,0,0,0,0,0,0,0,428,0,7,435
12,9A(W),149,3,260,1,2,0,1,2,1,0,0,0,0,0,419,0,1,420
13,10,199,5,400,5,28,0,1,1,1,0,0,0,3,2,645,0,3,648
14,11,111,5,324,1,21,0,0,2,0,0,0,0,1,0,465,0,4,469
15,12,125,17,350,10,26,3,0,0,1,1,0,1,4,6,544,0,6,550
16,13M,157,6,283,2,14,1,0,0,0,0,1,1,1,0,466,0,2,468
17,13A(W),164,6,269,3,4,0,0,0,0,0,1,2,10,4,463,0,2,465
18,14,121,5,387,1,45,0,0,2,1,0,1,0,2,2,567,0,3,570
19,15M,128,17,210,1,28,0,0,0,1,0,0,0,1,0,386,0,0,386
20,15A(W),138,17,245,2,22,0,0,2,0,0,0,1,5,3,435,0,5,440
21,16,232,3,424,3,24,0,0,2,0,0,0,1,6,1,696,0,1,697
22,17,142,7,413,2,28,1,0,0,0,0,0,0,8,0,601,0,3,604
23,18M,106,6,265,1,26,0,0,0,0,0,0,0,2,2,408,0,1,409
24,18A(W),98,4,317,1,10,0,0,0,0,0,0,1,5,1,437,0,3,440
25,19,163,3,314,1,12,1,0,5,0,0,0,0,3,3,505,0,3,508
26,20,237,8,344,3,4,2,2,5,0,0,0,0,8,4,617,0,13,630
27,21,389,4,365,0,45,0,0,1,0,0,0,0,3,2,809,0,5,814
28,22M,180,6,196,8,16,2,1,0,0,0,0,0,0,1,410,0,1,411
29,22A(W),192,4,223,1,5,0,1,0,0,0,1,0,2,0,429,0,3,432
30,23,249,10,298,3,31,0,1,3,0,0,0,1,0,1,597,0,3,600
31,24,180,8,494,2,26,1,0,0,0,0,0,0,6,28,745,0,3,748
32,25M,193,3,200,1,32,1,0,1,0,0,0,0,0,1,432,0,3,435
33,25A(W),280,2,189,2,10,0,1,3,0,0,0,1,3,2,493,0,7,500
34,26,478,7,257,0,30,0,0,1,0,0,1,1,1,1,777,0,4,781
35,27M,132,5,260,3,32,0,1,0,0,0,0,0,1,1,435,0,5,440
36,27A(W),150,6,302,0,8,0,0,0,0,0,0,1,2,1,470,0,2,472
37,28M,160,4,229,1,73,1,0,1,0,0,1,0,0,7,477,0,5,482
38,28A(W),192,1,255,0,17,1,0,0,0,0,0,0,0,2,468,0,2,470
39,29,319,7,346,0,58,0,0,0,0,0,0,0,1,10,741,0,10,751
40,30,301,7,358,1,58,1,0,4,1,0,0,1,3,0,735,0,9,744
41,31,112,4,330,5,32,0,0,1,1,0,0,0,1,0,486,0,3,489
42,32,139,6,380,2,22,1,19,0,0,1,2,1,6,3,582,0,6,588
43,33,395,10,374,0,16,0,0,2,0,0,0,0,5,0,802,0,6,808
44,34,548,8,225,0,30,0,0,1,1,0,0,1,2,0,816,0,1,817
45,35,272,2,257,1,48,0,0,3,0,0,0,1,0,1,585,0,4,589
46,36M,289,13,166,3,16,0,0,0,0,0,0,0,2,0,489,0,6,495
47,36A(W),291,4,183,0,3,0,0,2,1,0,0,0,4,2,490,0,13,503
48,37,268,22,318,0,44,1,0,3,0,1,0,0,1,1,659,0,5,664
49,38,254,80,190,0,2,0,0,0,1,0,0,1,1,0,529,0,1,530
50,39,250,15,460,5,51,0,0,2,0,0,0,1,6,0,790,0,4,794
51,40,184,6,261,1,22,1,1,4,1,1,1,1,2,1,487,0,5,492
52,41,188,2,283,1,46,0,0,2,0,0,0,1,1,0,524,0,3,527
53,42,319,32,291,1,12,0,0,3,1,0,0,1,2,0,662,0,3,665
54,43M,287,10,169,2,20,0,0,0,0,0,0,0,0,1,489,0,1,490
55,43A(W),315,6,158,0,3,0,1,1,0,0,0,0,0,0,484,0,1,485
56,44,261,5,331,6,41,0,0,1,0,0,0,0,1,1,647,0,2,649
57,45,274,15,351,1,24,1,1,0,0,0,0,1,5,17,690,0,12,702
58,46,291,21,401,1,29,1,0,0,0,0,1,0,0,41,786,0,1,787
59,47,236,14,371,2,32,0,1,3,0,0,0,3,5,3,670,0,10,680
60,48,334,20,380,1,33,1,0,1,1,0,0,0,1,21,793,0,6,799
61,49M,240,3,263,0,54,0,0,0,0,0,0,0,0,22,582,0,4,586
62,49A(W),243,4,314,0,18,0,0,1,0,0,0,0,1,15,596,0,1,597
63,50M,205,12,251,0,31,1,0,0,0,0,0,0,0,29,529,0,5,534
64,50A(W),225,3,277,1,19,1,0,1,1,0,0,0,1,21,550,0,4,554
65,51M,139,17,287,0,44,1,0,0,0,0,0,0,3,23,514,0,5,519
66,51A(W),181,8,280,2,19,0,0,0,1,0,0,3,3,7,504,0,9,513
67,52,134,8,184,0,23,1,0,1,0,0,0,0,2,2,355,0,1,356
68,53,219,9,387,1,50,0,0,1,0,0,0,0,4,23,694,0,8,702
69,54,233,25,318,3,35,1,2,0,0,0,0,0,2,16,635,0,6,641
70,55M,150,16,250,0,46,0,0,0,0,0,0,0,0,28,490,0,6,496
71,55A(W),150,10,267,0,24,1,0,1,0,0,0,2,2,16,473,0,3,476
72,56,293,14,417,0,59,1,2,0,0,0,0,1,4,31,822,0,9,831
73,57M,159,14,206,0,35,1,0,0,0,1,1,0,0,8,425,0,4,429
74,57A(W),188,4,226,3,14,0,0,0,0,0,0,0,1,5,441,0,2,443
75,58,173,7,281,1,32,0,0,1,0,0,0,0,0,9,504,0,3,507
76,59,302,8,396,1,31,1,1,0,0,0,1,0,2,13,756,0,7,763
77,60,224,11,378,1,71,2,0,1,0,0,0,0,0,26,714,0,4,718
78,61,225,12,364,1,45,0,0,0,0,0,0,1,1,23,672,0,5,677
79,62,476,4,307,1,15,0,0,1,0,0,0,0,1,3,808,0,5,813
80,63M,155,11,239,2,43,0,0,1,0,0,0,0,1,4,456,0,5,461
81,63A(W),156,8,261,5,22,1,1,0,0,0,0,1,4,4,463,0,1,464
82,64M,142,4,230,0,44,0,17,1,0,0,0,0,1,1,440,0,2,442
83,64A(W),193,1,259,2,22,0,7,0,0,0,1,0,1,0,486,0,2,488
84,65,262,7,398,2,29,1,2,1,0,0,0,1,4,2,709,0,3,712
85,66,270,7,499,4,28,0,1,0,0,0,0,0,11,0,820,0,3,823
86,67,81,4,443,2,2,0,0,1,0,1,0,0,3,0,537,0,5,542
87,68,433,5,356,0,33,1,0,1,1,0,0,0,3,3,836,0,5,841
88,69,105,6,300,1,0,1,0,0,0,0,0,0,4,1,418,0,0,418
89,70,290,4,421,1,12,0,0,0,0,0,1,1,4,2,736,0,4,740
90,71,191,11,358,2,22,1,1,0,0,0,0,0,3,2,591,0,3,594
91,72,360,7,449,6,65,1,8,0,0,0,0,0,1,1,898,0,2,900
92,73,215,12,397,1,32,1,1,2,1,0,0,1,6,0,669,0,1,670
93,74M,155,16,193,0,10,2,1,5,0,0,1,0,1,1,385,0,1,386
94,74A(W),151,3,228,1,5,1,0,0,0,1,2,1,7,2,402,0,3,405
95,75,162,8,224,1,7,0,0,2,0,0,0,2,3,0,409,0,9,418
