Sl. No,Polling Station No,Munnetra Makkal Amma AMMK,N. GURU Munnettra Kazagam,ot RULLAVURIHT P. PASUPATHY Tamilar Naam NTK,limaT E. KUMAR epende nt IND,udaN J. SASIKUMAR epende nt IND,evitalsigeL N. KRISHNAN BALA epende nt IND,R. RAMANAN epende nt IND,G. RAJENDIRAN epende nt IND,R. REVATHI epende nt IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1,193,0,271,4,21,0,0,0,0,1,0,490,0,2,492
2,2,262,2,346,12,54,0,0,4,1,1,0,682,0,7,689
3,3,271,11,193,3,25,0,0,0,0,0,0,503,0,2,505
4,4,173,0,228,2,18,0,0,0,0,0,1,422,0,2,424
5,5,264,0,127,2,14,0,1,0,0,2,0,410,0,0,410
6,6 (M),176,1,220,0,31,0,0,1,0,1,1,431,0,3,434
7,6 A(W),197,2,251,1,12,1,0,0,1,1,1,467,0,1,468
8,7 (M),274,9,150,4,40,0,0,3,0,2,0,482,0,2,484
9,7 A(W),343,0,169,2,14,1,0,1,1,3,0,534,0,6,540
10,8,245,1,428,5,27,0,0,2,0,1,0,709,0,9,718
11,9,284,4,301,1,16,0,1,1,0,1,3,612,0,13,625
12,10 (M),266,2,122,2,28,0,0,0,0,0,0,420,0,1,421
13,10 A(W),268,1,160,1,21,0,1,2,0,4,0,458,0,3,461
14,11,335,7,181,1,11,0,0,0,1,2,0,538,0,3,541
15,12 (M),177,1,233,3,26,1,0,0,0,1,0,442,0,3,445
16,12 A(W),192,1,275,5,11,3,0,0,1,1,0,489,0,2,491
17,13,550,21,240,1,28,0,0,0,0,2,0,842,0,2,844
18,14,324,4,256,0,37,0,0,1,1,3,0,626,0,6,632
19,15,343,6,284,4,32,0,0,0,1,1,0,671,0,5,676
20,16 (M),236,0,200,2,22,0,0,2,0,0,0,462,0,2,464
21,16 A(W),266,1,191,2,8,0,0,0,0,4,1,473,0,2,475
22,17 (M),265,3,193,9,43,0,0,0,0,4,0,517,0,6,523
23,17 A(W),236,2,213,6,17,1,0,2,0,6,1,484,0,3,487
24,18,223,0,236,5,26,0,0,0,0,1,1,492,0,1,493
25,19,324,7,262,2,48,1,1,2,1,2,1,651,0,5,656
26,20,309,0,201,4,29,0,0,0,3,3,0,549,0,9,558
27,21,334,0,281,4,30,0,0,1,1,0,0,651,0,9,660
28,22 (M),267,6,174,2,56,0,0,0,0,3,2,510,0,0,510
29,22 A(W),282,5,218,5,18,0,0,1,0,0,1,530,0,2,532
30,23 (M),199,1,185,1,26,0,0,1,0,0,0,413,0,4,417
