Sl. No,Polling Station No,K.YHTAPANAG DMK,SANTHAKUMAR.Y BSP,BENJAMIN.P AIADMK,LAVANYA.P NCP,GANESHKUMAR.G NTK,SHANMUGAM.K TNLK,SUMITHRA.R BDP,MARY.B STELLA NEVIS AMAK,PRIYA.S PADMA MNM,MUTHURAMAN.S AMGRDMK,MURUGAN.E LUCKY AMMK,ABARAJITHAN.R IND,AMALRAJ.S IND,ARUNKUMAR.A IND,GANAPATHY.R IND,SELVAKUMAR.V IND,PRIYA.K IND,MOSES.S BENJAMIN IND,MURUGAN.D IND,RAVI.C.VIND,Total Valid Votes,Rejected Votes,Total Votes
1,1M,227,2,148,1,70,2,0,0,54,1,2,0,0,0,0,0,2,0,0,0,509,0,8,517
2,1 A(W),207,0,179,0,32,0,0,0,47,0,0,1,0,0,0,0,0,1,0,0,467,0,2,469
3,2 M,193,1,168,1,52,1,0,1,89,0,8,0,0,2,0,0,0,0,0,0,516,0,7,523
4,2 A(W),189,1,183,0,29,1,1,1,83,0,5,0,0,0,2,1,1,1,0,0,498,0,1,499
5,3,212,0,146,1,37,1,0,0,43,0,2,1,0,0,0,1,0,0,0,0,444,0,2,446
6,4 M,256,20,114,0,41,1,0,0,18,0,2,0,0,0,0,0,0,0,1,0,453,0,1,454
7,4 A(W),308,8,151,1,23,0,0,0,15,0,5,1,0,0,0,0,0,0,0,0,512,0,2,514
8,5,244,10,204,2,71,2,0,0,82,0,5,0,0,0,0,1,0,0,0,0,621,0,7,628
9,6 M,187,0,150,2,59,0,1,0,39,0,0,0,0,1,0,3,0,0,0,1,443,0,6,449
10,6 A(W),159,1,207,0,33,0,0,0,29,0,1,2,1,0,0,1,1,0,2,0,437,0,0,437
11,7 M,199,0,161,1,63,0,0,0,58,0,1,0,0,0,0,0,0,0,0,0,483,0,3,486
12,7 A(W),183,1,169,2,42,1,0,0,62,1,2,1,0,0,0,0,1,1,1,1,468,0,3,471
13,8,215,2,162,0,44,0,0,1,97,0,3,0,0,0,0,1,3,0,0,0,528,0,3,531
14,9,196,0,112,0,41,1,0,0,71,0,3,0,2,1,0,0,0,0,0,0,427,0,0,427
15,10,98,1,93,0,23,0,0,0,31,0,1,0,0,0,0,0,0,2,0,0,249,0,2,251
16,11 M,188,0,125,1,44,0,0,0,65,0,2,0,0,0,0,0,1,0,0,0,426,0,5,431
17,11 A(W),157,0,147,0,23,1,0,1,61,0,2,0,0,0,0,2,0,0,1,0,395,0,3,398
18,12,256,0,214,0,74,1,0,2,115,0,2,0,0,0,0,0,2,0,0,0,666,0,5,671
19,13,191,1,121,0,39,2,0,0,69,0,4,1,0,0,0,0,0,0,0,0,428,0,5,433
20,14,229,0,188,0,59,1,0,0,62,0,3,0,0,0,0,0,1,0,0,0,543,0,2,545
21,15,280,0,165,1,54,1,1,0,110,0,8,1,1,0,0,0,3,1,0,1,627,0,8,635
22,16 M,196,0,121,0,57,1,0,0,58,0,4,0,0,0,1,0,0,0,0,0,438,0,8,446
23,16 A(W),170,0,146,0,44,0,0,1,55,0,3,0,1,0,0,0,0,0,0,0,420,0,3,423
24,17,284,2,273,3,72,1,0,1,98,0,8,0,1,0,0,0,1,0,1,1,746,0,7,753
25,18,220,0,231,0,51,0,2,0,96,0,9,0,0,0,0,0,0,0,0,0,609,0,6,615
26,19,228,1,255,0,67,1,0,0,100,0,2,0,0,0,0,0,1,0,0,0,655,0,6,661
27,20 M,121,0,119,1,55,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,362,0,7,369
28,20 A(W),122,0,140,2,28,0,1,0,44,0,2,0,0,0,0,0,1,0,0,0,340,0,2,342
29,21,283,0,253,1,63,1,0,0,75,0,4,0,0,0,0,0,1,0,1,0,682,0,5,687
30,22 M,228,0,196,2,90,0,0,0,103,0,9,0,0,0,0,0,1,0,0,0,629,0,5,634
31,22 A(W),222,1,212,3,51,0,0,0,79,0,6,0,0,0,0,1,0,0,1,0,576,0,5,581
32,23 M,196,0,191,0,72,0,1,0,75,0,2,0,0,0,0,0,2,0,0,0,539,0,3,542
33,23 A(W),203,0,199,2,36,0,0,0,58,0,0,0,0,0,0,1,2,0,2,0,503,0,3,506
34,24 M,203,1,168,0,63,2,0,0,58,0,6,0,0,0,1,0,0,1,1,0,504,0,5,509
35,24 A(W),210,0,195,0,28,1,0,0,54,0,2,0,0,1,0,0,0,0,0,0,491,0,4,495
36,25 M,199,0,147,0,65,0,0,1,69,0,4,0,0,0,0,0,1,0,0,0,486,0,5,491
37,25 A(W),209,1,184,0,36,0,0,0,47,0,1,0,1,0,0,1,2,0,0,0,482,0,3,485
38,26,285,0,208,0,52,0,1,0,79,0,5,0,0,1,1,1,1,0,1,1,636,0,7,643
39,27,223,0,222,0,73,1,0,0,86,0,0,0,0,0,0,0,0,0,0,0,605,0,3,608
40,28,241,1,174,0,60,0,0,0,75,0,0,1,0,0,0,1,0,0,1,0,554,0,4,558
41,29,258,0,211,1,69,0,0,0,90,1,2,0,0,0,1,0,1,1,2,1,638,0,10,648
42,30,235,1,187,0,78,1,0,0,86,0,6,0,0,0,0,0,1,0,0,1,596,0,7,603
43,31,207,1,102,0,37,2,0,0,46,0,5,0,0,0,0,0,0,0,0,0,400,0,8,408
44,32,223,0,151,1,52,0,0,0,56,0,3,0,0,1,0,0,2,0,0,0,489,0,2,491
45,33 M,190,1,129,0,49,0,0,0,60,0,3,0,0,0,0,0,1,0,0,0,433,0,4,437
46,33 A(W),171,0,141,0,34,1,0,0,55,0,0,0,0,0,0,0,2,0,0,0,404,0,3,407
47,34 M,151,0,104,0,46,3,1,1,63,0,2,0,0,0,0,1,2,0,0,0,374,0,3,377
48,34 A(W),139,1,167,0,28,3,0,0,52,0,2,0,0,0,0,0,0,0,0,0,392,0,2,394
49,35,217,1,174,1,58,1,0,1,91,0,11,0,0,0,0,1,0,0,0,0,556,0,1,557
50,36,228,1,117,1,40,1,0,2,56,0,5,1,1,0,0,0,4,0,0,0,457,0,5,462
51,37 M,154,1,168,0,37,2,0,1,52,0,3,0,0,1,0,0,0,0,0,0,419,0,2,421
52,37 A(W),163,1,175,0,26,0,0,1,33,0,3,0,0,0,0,1,3,0,3,0,409,0,3,412
53,38 M,202,1,155,0,59,2,0,0,73,0,1,0,0,0,0,0,0,0,0,0,493,0,1,494
54,38 A(W),178,0,187,1,24,1,0,0,72,0,3,0,0,0,0,0,2,0,0,0,468,0,4,472
55,39 M,260,1,172,1,28,0,0,0,34,0,14,0,0,0,0,0,2,0,0,0,512,0,2,514
56,39 A(W),259,0,192,1,17,0,0,0,31,0,11,1,0,0,0,0,0,0,1,0,513,0,2,515
57,40 M,262,6,133,0,26,0,0,0,5,1,8,0,0,0,0,6,0,0,0,0,447,0,2,449
58,40 A(W),251,3,140,1,6,0,0,0,17,0,3,1,0,0,0,5,1,0,0,0,428,0,0,428
59,41,212,1,168,0,39,2,0,0,71,0,17,0,0,0,0,0,0,0,0,0,510,0,4,514
60,42 M,190,6,137,0,28,0,0,0,88,0,1,0,0,0,0,0,1,1,1,0,453,0,6,459
61,42 A(W),195,4,139,0,14,0,1,0,99,0,1,0,0,0,1,1,0,0,0,0,455,0,7,462
62,43 M,107,0,135,0,20,1,1,0,79,0,3,0,0,0,0,0,0,0,0,0,346,0,6,352
63,43 A(W),113,0,113,1,17,0,1,0,81,0,4,0,0,0,0,0,0,0,0,0,330,0,3,333
64,44,131,1,116,1,11,1,0,1,78,0,1,0,0,0,1,0,3,0,0,0,345,0,3,348
65,45 M,170,2,129,0,40,2,0,0,47,0,4,0,0,0,0,0,0,0,0,0,394,0,3,397
66,45A(W),179,0,152,0,20,0,0,0,46,0,3,0,0,0,0,1,1,1,1,0,404,0,2,406
67,46 M,255,3,101,0,40,0,0,0,35,0,5,0,0,0,0,4,1,0,0,1,445,0,2,447
68,46 A(W),276,1,116,0,21,0,0,0,36,0,6,1,0,1,0,4,0,2,0,0,464,0,1,465
69,47 M,233,0,139,0,34,2,0,0,56,0,6,0,0,0,0,0,2,1,1,0,474,0,8,482
70,47 A(W),223,1,139,0,25,0,0,0,58,1,4,0,0,0,0,0,0,0,0,0,451,0,4,455
71,48 M,162,0,115,1,41,0,0,0,63,0,2,0,0,0,0,0,3,0,2,0,389,0,7,396
72,48 A(W),147,0,119,0,19,0,0,0,57,0,1,0,0,0,1,0,0,0,1,0,345,0,1,346
73,49,305,1,192,0,65,1,0,0,106,0,9,0,0,0,0,1,1,0,0,0,681,0,7,688
74,50 M,221,1,125,0,29,1,0,0,69,0,12,0,0,0,0,0,0,1,0,0,459,0,8,467
75,50 A(W),204,0,133,0,27,1,0,0,57,0,15,0,0,0,0,0,1,1,0,1,440,0,4,444
76,51 M,167,0,108,1,33,0,0,0,57,0,4,0,0,0,0,0,1,0,0,0,371,0,3,374
77,51 A(W),194,2,121,0,11,0,0,0,47,0,6,1,0,0,1,1,0,0,0,0,384,0,2,386
78,52 M,175,0,111,0,19,0,1,1,86,0,2,0,0,0,0,1,1,1,0,0,398,0,4,402
79,52 A(W),174,0,101,1,11,1,0,0,82,0,3,0,0,0,0,1,2,0,0,0,376,0,9,385
80,53 M,166,0,155,2,18,0,0,0,118,0,3,0,0,0,0,0,0,0,0,0,462,0,8,470
81,53 A(W),142,1,132,2,14,2,0,0,115,0,1,0,0,0,0,1,2,1,0,0,413,0,5,418
82,54 M,148,0,119,0,17,1,0,0,82,0,4,0,0,1,0,0,0,0,0,0,372,0,0,372
83,54 A(W),128,0,97,0,13,2,0,1,90,0,2,0,0,0,0,0,0,0,0,0,333,0,2,335
84,55,197,1,137,0,13,2,0,0,114,0,0,0,0,0,0,0,0,0,1,0,465,0,9,474
85,56,194,0,145,0,20,1,0,1,156,1,3,0,0,0,0,0,1,0,0,1,523,0,6,529
86,57 M,146,3,110,1,19,1,0,0,81,0,3,0,0,0,0,0,1,0,0,0,365,0,5,370
87,57 A(W),110,0,92,2,10,3,0,0,98,0,2,1,0,0,0,0,2,0,0,0,320,0,2,322
88,58 M,227,2,209,0,29,1,0,0,34,0,3,0,0,0,1,0,0,2,0,0,508,0,2,510
89,58 A(W),246,7,239,1,24,1,0,0,45,0,2,0,0,0,0,1,1,1,1,0,569,0,1,570
90,59 M,134,1,146,1,24,1,0,1,95,1,7,0,0,0,0,0,0,0,0,0,411,0,2,413
91,59A(W),131,3,119,2,10,5,0,2,92,0,5,1,0,0,0,1,1,0,0,0,372,0,3,375
92,60,295,10,257,0,52,2,0,1,67,0,0,1,0,3,0,7,0,3,2,0,700,0,2,702
93,61,298,1,228,1,61,1,0,0,40,0,3,0,0,0,0,0,0,1,0,0,634,0,2,636
