Polling Station No.,Building,Polling Areas
1,"C.S.I Primary School (East Fasing), oragadam-600053","(1)-Chennai Corporation, Oragadam Extn Iyyappan Street Ward 79:, (2)- Chennai Corporation, Oragadam anna Main Road ward 79:, (999)-OVERSEAS ELECTORS:"
2,"C.S.I Primary School (East Fasing), oragadam-600053","(1)-Chennai Corporation, Oragadam Ambattur V O C Street Ward 79:, (2)- Chennai Corporation, Oragadam Ambattur Kumaran Street ward 79:, (3)- Chennai Corporation, Oragadam Ambattur Perumal Kovil street Ward 79:, (4)- Chennai Corporation, Oragadam Extn Anthoniyar Street Ward 79:, (5)-Chennai Corporation, Oragadam Extn Ambattur Velangkanni Street Ward 79:, (6)- Chennai Corporation, Oragadam Extn Ambattur Rajivgandhi Street Ward 79:, (7)-Chennai Corporation, Oragadam Extention Anandhan street ward 79:, (8)- Chennai Corporation, Oragadam Ambattur N S C Bose street ward-79:, (9)- Chennai Corporation, Oragadam Ambattur Extn Soceity street ward 79:, (999)- OVERSEAS ELECTORS:"
3,"C.S.I Primary School, Oragadam- 600053","(1)-Chennai Corporation, Oragadam Ambattur Anbazhagan street ward 79:, (2)- Chennai Corporation, Oragadam Extn Nethaji street ward 79:, (3)-Chennai Corporation, Oragadam Extn Kamarajar street Ward 79:, (4)-Chennai Corporation, Oragadam Extn pasumpon salai ward 79:, (5)-Chennai Corporation, Oragadam Ambattur ganapathi nagar 4th street ward 79:, (6)- Chennai Corporation, Oragadam pandal Amman street ward 79:, (7)-Chennai Corporation, Oragadam Ambattur Ganapathi Nagar3rd ward 79:, (8)-Chennai Corporation, Oragadam Ambattur Ganapathi Nagar first street ward 79:, (9)- Chennai Corporation, Oragadam Ambattur Ganapathi nagar 2nd street ward 79:, (10)-Chennai Corporation, Oragadam Extn AmbatturAmman street ward 79:, (11)-Chennai Corporation, Oragadam Extn Ramasamy street ward 79:, (12)-Chennai Corporation, Oragadam Extn vethasalam street ward 79:, (13)- Chennai Corporation, Oragadam Dhatchanamoorthy street ward 79:, (999)- OVERSEAS ELECTORS:"
4,"Chennai Middle School,, Gandhi Main Road, Oragadam-600053","(1)-Chennai Corporation, Pillaiyar koil puthu street ward 79:, (2)-Chennai Corporation, Kalaivanar street ward 79:, (3)-Chennai Corporation oragadam, kalaivanart 1st nagar ward 79:, (4)-Chennai Corporation oragadam, Kalaivanar street 1st Moorthy street ward 79:, (5)-Chennai Corporation oragadam, Kalaivanar street 2nd Moorthy ward 79:, (6)-Chennai Corporation oragadam, Ambethkar street ward 79:, (7)-Chennai Corporation oragadam, OragadamMariyamman koil street ward 79:, (8)-Chennai Corporation oragadam, Indiragandhi street ward 79:, (9)-Chennai Corporation oragadam, Indiragandhi Cross street ward 79:, (10)-Chennai Corporation oragadam, Selva vinayakar Koil street ward 79:, (11)-Chennai Corporation oragadam, Indira nagar ward 79:, (999)-OVERSEAS ELECTORS:"
5,"Chennai Middle School, Gandhi Main Road, Oragadam-600053","(1)-Chennai Corporation oragadam, Valarmathi nagar ward 79:, (2)-Chennai Corporation oragadam, A K A nagar Nagathamman Koil street ward 79:, (3)- Chennai Corporation oragadam, Annai therasa Main road ward 79:, (4)- Chennai Corporation oragadam, Annai therasa first Cross street ward 79:, (5)- Chennai Corporation oragadam, Annai therasa 2nd Cross street ward 79:, (6)- Chennai Corporation oragadam, Annai Therasa 3rd Cross street ward 79:, (7)- Chennai Corporation oragadam, Thilakar street ward 79:, (8)-Chennai Corporation oragadam, A K A nagar Oragadam Doctor Ambethkar street Ward 79:, (999)-OVERSEAS ELECTORS:"
6,"Chennai Middle School, Gandhi Main Road, Oragadam-600053","(1)-Chennai Corporation oragadam, A K A nagar Anna street ward 79:, (2)- Chennai Corporation oragadam, A K A nagar periyar street ward 79:, (3)- Chennai Corporation oragadam, A K A nagar Ayirakathamman street ward 1:, (999)-OVERSEAS ELECTORS:"
7,"Chennai Middle School, Gandhi Main Road, Oragadam-600053","(1)-Chennai Corporation oragadam, Ariramkathamman koil 3rd street Kirushna street ward 79:, (2)-Chennai Corporation oragadam, A K A nagar M G R Street ward 79:, (3)-Chennai Corporation oragadam, A K A street Thomas street ward -79:, (4)-Chennai Corporation oragadam, Ayirakathamman nagar Bharathi street ward 79:, (5)-Chennai Corporation oragadam, A K A Nagar V O C Street ward 79:, (6)-Chennai Corporation oragadam, A K A Nagar M G R 2nd street ward 79:, (7)-Chennai Corporation oragadam, A K A nagar Natha Muni street ward 79:, (8)-Chennai Corporation oragadam, Karunanithi street ward 79:, (9)-Chennai Corporation oragadam, Omsakthi nagar ward 79:, (999)- OVERSEAS ELECTORS:"
8,"Ebinezer Marcus Matriculation higher Secondary school, S V nagar Pudur , Oragadam-600053","(1)-Chennai Corporation Puthur , Parameshwaran street S V Nagar ward 79:, (2)-Chennai Corporation Puthur , West Banu Nagar Denial 1st street ward 79:, (3)-Chennai Corporation Puthur , West Banu nagar Deniyel 2nd street ward 79:, (4)-Chennai Corporation Puthur , Banu nagar 1 st Avenue Ward 80:, (5)- Chennai Corporation Puthur , Banu nagar 2nd Avenue Ward 80:, (6)-Chennai Corporation Puthur , Banu nagar 13 th Avenue palaniyappa nagar ward 80:, (7)- Chennai Corporation Puthur , Banu Nagar Pudur 8 th Avenue ward 80:, (8)- Chennai Corporation Puthur , banu nagar Puthur 8th Avenue First Cross street ward 80:, (9)-Chennai Corporation Puthur , Banu nagar 8 th Avenue 2nd cross street ward 80:, (999)-OVERSEAS ELECTORS:"
9,"Ebinezer Marcus Matriculation higher Secondary school, S V nagar Pudur , Oragadam-600053","(1)-Chennai Corporation Puthur , Banu nagar 3rd Avenue ward 80:, (2)- Chennai Corporation Puthur , Banu nagarth main Road ward 80:, (3)-Chennai Corporation Puthur , banu nagar Puthur 6 th Avenue ward 80:, (4)-Chennai Corporation Puthur , Banu nagar 9 th Avenue ward 80:, (5)-Chennai Corporation Puthur , Banu Nagar 10 th Avenue Ward 80:, (999)-OVERSEAS ELECTORS:"
10,"Ebinezer Marcus Matriculation higher Secondary school, S V nagar Pudur , Oragadam-600053","(1)-Chennai Corporation Puthur , Banu nagar Puthur 18 th Avenue Extn ward 80:, (2)-Chennai Corporation Puthur , Banu nagar 17 th Avenue ward 80:, (3)- Chennai Corporation Puthur , Banu nagar Puthur 22 Cross street Ward 80:, (4)-Chennai Corporation Puthur , Banu Nagar 24 th Cross street ward 80:, (5)- Chennai Corporation Puthur , Banu nagar 17 th Avenue cross street ward 80:, (6)-Chennai Corporation Puthur , Banu nagar 6th Avenue ward 80:, (7)- Chennai Corporation Puthur , West Banu nagar Rajeevgandhi street ward 80:, (999)-OVERSEAS ELECTORS:"
11,"Ebinezer Marcus Matriculation higher Secondary school, S V nagar Pudur , Oragadam-600053","(1)-Chennai Corporation Puthur , Banu Nagar Pudhur Palaniyappa Nagar (Ward 80):, (2)-Chennai Corporation S.V.Nagar, Redhills Salai (Ward 79):, (3)- Chennai Corporation Puthur , Redhills Salai (Ward 80):, (4)-Chennai Corporation S.V.Nagar, D.P.Elumalai Street (Ward 79):, (5)-Chennai Corporation S.V.Nagar, D.P.Elumalai Street (Ward 79):, (6)-Chennai Corporation S.V.Nagar, Sathiyavani Muthu Street (Ward 79):, (7)-Chennai Corporation S.V.Nagar, Babuji Street (Ward 79):, (8)-Chennai Corporation S.V.Nagar, Perumal koil street (Ward 79):, (9)-Chennai Corporation S.V.Nagar, Sivashanmugam Street Ward 79:, (10)-Chennai Corporation S.V.Nagar, Kakanji Street Ward 79:, (11)-Chennai Corporation S.V.Nagar, Sivaji Ganesan Street Ward 79:, (12)-Chennai Corporation S.V.Nagar, Meenambal Sivaraj Street ward 79:, (13)-Chennai Corporation S.V.Nagar, Valliyammal Street Ward 79:, (999)-OVERSEAS ELECTORS:"
12,"Ebinezer Marcus Matriculation higher Secondary school, S V nagar Pudur , Oragadam-600053","(1)-Chennai Corporation Puthur , Banu nagar 19 th Avenue ward 80:, (2)- Chennai Corporation Pudur , Pudhur 1st Main Road Ward 80:, (3)-Chennai Corporation Pudur , 3rd main Road Ward 80:, (4)-Chennai Corporation Pudur , Banu Nagar Pudhur 4th Avenu Ward 80:, (5)-Chennai Corporation Pudur , Banu Nagar Pudhur 5th Avenu Ward 80:, (999)-OVERSEAS ELECTORS:"
13,"Ebinezer Marcus Matriculation higher Secondary school, S V nagar Pudur , Oragadam-600053","(1)-Chennai Corporation Pudur , Banu Nagar Pudhur 15th Avenu Ward 80:, (2)- Chennai Corporation Pudur , Banu Nagar Pudhur 15th Cross Street Avenu Ward 80:, (3)-Chennai Corporation Pudur , Banu Nagar Pudhur 6th Avenu Ward 80:, (4)-Chennai Corporation Pudur , Banu Nagar Pudhur 7th Avenu Ward 80:, (5)-Chennai Corporation Pudur , Banu Nagar Pudhur 7th Cross Street Avenu Ward 80:, (6)-Chennai Corporation Pudur , Indira Gandhi ward 80:, (7)-Chennai Corporation Pudur , Dhanalakshmi Street Ward 79:, (999)- OVERSEAS ELECTORS:"
