Polling Station No.,Building,Polling Areas
1,"Chennai Middle School, Kadappakkam 600 103","(1)-Chennai Corporation Kadapakkam, Perumal koil street Kadappakkam Village ward 16:, (2)-Chennai Corporation Kadapakkam, Perumal Koil Street Colony Ward 16:, (3)-Chennai Corporation Kadapakkam, Perumal Koil Street Kulakarai Village ward 16:, (4)-Chennai Corporation Kadapakkam, Kulakarai Village, Sivasakthi Nagar Ward No 16:, (5)-Chennai Corporation Kadapakkam, Perumal Koil street kanniyamman Pettai Ward No 16:, (6)-Chennai Corporation Kadapakkam, Gangaiyamman Koil street Kanniyamman Pettai Colony 16:, (7)-Chennai Coreperation Kadapakkam, kanniyamman Koil street kanniyammanpettai Ward 16:, (8)-Chennai Coreperation Kadapakkam, Perumal Koil street Kanniyamman Pettai Ward 16:, (999)-OVERSEAS ELECTORS:"
2,"Chennai Middle School, Kadappakkam 600 103","(1)-Chennai Coreperation Kadapakkam, Vinayagar Koil 1 st street Kanniyammanpettai Ward 16:, (2)-Chennai Coreperation Kadapakkam, Vinayagar Koil 2nd street ward 16:, (3)-Chennai Coreperation Kadapakkam, Kanniyamman Pettai V O C Street Ward 16:, (4)-Chennai Coreperation Kadapakkam, Gangaiyamman Koil First street Kanniyamman Pettai Ward 16:, (5)-Chennai Coreperation Kadapakkam, Gangaiyamman Koil 2nd street Ward 16:, (6)-Chennai Coreperation Kadapakkam, kanniyamman Koil street kanniyamman pettai Ward 16:, (7)-Chennai Coreperation Kadapakkam, Annasalai kamarajapuram Andarkuppam Ward 16:, (8)-Chennai Coreperation Kadapakkam, Sriratha Kirushnan Perumal Koil street kamarajapuram Ward 16:, (9)-Chennai Coreperation Kadapakkam, Kanniyamman Pettai perumal koil street 16:, (999)- OVERSEAS ELECTORS:"
3,"Chennai Middle School, Kadappakkam 600 103","(1)-Chennai Coreperation Kadapakkam, Pillaiyar Koil street Andarkuppam Ward 16:, (2)-Chennai Coreperation Kadapakkam, Srinivasaperumal Koil street Andarkuppam Ward 16:, (3)-Chennai Coreperation Kadapakkam, Srinivasaperumal Koil street Andarkuppam Ward 16:, (4)-Chennai Coreperation Kadapakkam, Annasalai Ward 16:, (5)-Chennai Coreperation Kadapakkam, Thuvaraga Nagar Muthanmai salai Andarkuppam Ward 16:, (6)-Chennai Coreperation Kadapakkam, 3 rd main Road Thuvaraga Nagar Ward 16:, (7)- Chennai Coreperation Kadapakkam, 4 th Main Road Thuvaraga nagar Ward 16:, (8)-Chennai Coreperation Kadapakkam, 4th Lane Thuvaraga Nagar Ward 16:, (9)- Chennai Coreperation Kadapakkam, 5th lane Thuvaraga Nagar Ward 16:, (10)- Chennai Coreperation Kadapakkam, 6 th Lane Thuvaraga NagarWard 16:, (11)- Chennai Coreperation Kadapakkam, 7th lane thuvaraga Nagar Ward 16:, (12)- Chennai Coreperation Kadapakkam, 8 th Lane Thuvaraga nagar Ward 16:, (13)- Chennai Coreperation Kadapakkam, 9th Lane Thuvaraga Nagar Ward 16:, (14)- Chennai Coreperation Kadapakkam, 10 th lane Thuvaraga Nagar Ward 16:, (15)- Chennai Coreperation Kadapakkam, 11 th Lane Thuvaraga nagar Ward 16:, (16)- Chennai Coreperation Kadapakkam, 12 th Lane Thuvaraga nagar Ward 16:, (17)- Chennai Coreperation Kadapakkam, Rajeevgandhi Nagar Ward 16:, (18)-Chennai Coreperation Kadapakkam, K G L Nagar Ward 16:, (999)-OVERSEAS ELECTORS:"
4,"Chennai Middle School, Sadayankuppam 600 103","(1)-Chennai Coreperation Sadiyangkuppam, Parma Nagar 1st street (ward-16:, (2)- Chennai Coreperation Sadiyangkuppam, Parma Nagar 2 nd street (ward -16):, (999)-OVERSEAS ELECTORS:"
5,"Chennai Middle School South Facing, Sadayankuppam 600 103","(1)-Chennai Coreperation Sadiyangkuppam, Parma Nagar 3rd Street ward -16:, (2)-Chennai Coreperation Sadiyangkuppam, Pallath Street Sadaiyankuppam:, (3)- Chennai Coreperation Sadiyangkuppam, Mariyamman Koil street Sadaiyankuppam Ward-16:, (4)-Chennai Coreperation Sadiyangkuppam, Kizhath street sadaiyankuppam ward - 16:, (5)-Chennai Coreperation Sadiyangkuppam, Sadaiyankuppam 1st street ward - 16:, (6)-Chennai Coreperation Sadiyangkuppam, Sadaiyankuppam 2st street ward - 16:, (7)-Chennai Coreperation Sadiyangkuppam, Sadaiyankuppam 2st street ward - 16:, (8)- Chennai Coreperation Sadiyangkuppam, Sadaiyankuppam 4th street ward - 16:, (9)-Chennai Coreperation Sadiyangkuppam, Sannathi street ward - 16:, (999)- OVERSEAS ELECTORS:"
6,"Chennai Middle School Sadayankuppam, Sadayankuppam 600 103","(1)-Chennai Coreperation Sadiyangkuppam, Elanthanur Perumal Koil street ward -16:, (2)-Chennai Coreperation Sadiyangkuppam, M M D A Quaters ward - 16:, (3)- Chennai Coreperation Sadiyangkuppam, Vinayakar Koil street Elanthanur ward - 16:, (4)-Chennai Coreperation Sadiyangkuppam, Mayilamman Koil street ward - 16:, (5)-Chennai Coreperation Sadiyangkuppam, kanniyamman Koil street Elanthanur ward-16:, (999)-OVERSEAS ELECTORS:"
7,"G R T Thangamaligai Higher Secondary School, Manali New Town 600 103","(1)-Chennai Coreperation Sadiyangkuppam, M I G Quaters ward - 16:, (999)- OVERSEAS ELECTORS:"
8,"G R T Thangamaligai Higher Secondary School, Manali New Town Sadayankuppam 600 103","(1)-Chennai Coreperation Sadiyangkuppam, janibar Nagar ward - 16:, (2)-Chennai Coreperation Sadiyangkuppam, Ganthi nagar M I G ward -16:, (3)-Chennai Coreperation Sadiyangkuppam, Manali Puthunagar Thiruvalluvar Salai ward - 16:, (4)-Chennai Coreperation Sadiyangkuppam, 100 th Block Quaters ward -16:, (5)- Chennai Coreperation Sadiyangkuppam, Housing Section ward -16:, (999)- OVERSEAS ELECTORS:"
9,"G R T Thangamaligai Higher Secondary School, Manali New Town Sadayankuppam 600 103","(1)-Chennai Coreperation Sadiyangkuppam, Manli Puthunagar Appartment Door No From 1 to 1000 ward -16:"
10,"G R T Thangamaligai Higher Secondary School, Manali New Town Sadayankuppam 600 103","(1)-Manali New Town Door No From 79 to 1000:, (999)-OVERSEAS ELECTORS:"
11,"G R T Thangamaligai Higher Secondary School, Manali New Town Sadayankuppam 600 103","(1)-Chennai Coreperation Sadiyangkuppam, Manli Puthunagar Appartment Door No From 1001 to 2000 ward -16:, (999)-OVERSEAS ELECTORS:"
12,"G R T Thangamaligai Higher Secondary School, Manali New Town Sadayankuppam 600 103","(1)-Chennai Coreperation Sadiyangkuppam, E W S Appartment ward -16:, (2)- Chennai Coreperation Sadiyangkuppam, M I G Appartment Puthu Nagar ward -16:, (3)-Chennai Coreperation Sadiyangkuppam, 100 Block Appartment Sadaiyankuppam ward -16:, (4)-Chennai Coreperation Sadiyangkuppam, Thiruvalluvar Silai Salai ward -16:, (5)-Chennai Coreperation Sadiyangkuppam, Ezhil nagar Thiruvalluvar salai ward -16:, (999)-OVERSEAS ELECTORS:"
13,"Vivekanantha Vidhyalaya School, PeriyaSekadu Madhavaram 600 051","(1)-Chennai Coreperation Madhavaram, Annai Indira nagar Nethaji Street Ward28:, (2)-Chennai Coreperation Madhavaram, Annai Indira nagar V O C street Ward 28:, (3)-Chennai Coreperation Madhavaram, Annai Indira nagar Bharathi Street Ward28:, (4)-Chennai Coreperation Madhavaram, Madhavaram bal bannai salai Moolachattiram Ward 28:, (999)-OVERSEAS ELECTORS:"
14,"Vivekanantha Vidhyalaya School North Facing, PeriyaSekadu Madhavaram 600 051","(1)-Chennai Coreperation Madhavaram, Arinar Anna nagar Ward 28:, (2)-Chennai Coreperation Madhavaram, OttraiVadai Street Ward 28:, (3)-Chennai Coreperation Madhavaram, Balaji Nagar (Ward-28):, (999)-OVERSEAS ELECTORS:"
