Sl. No,Polling Station No,K.KUPPAN AIADMK,M.KOTTESWARAN BSP,K.P.SHANKAR DMK,RUYITTOVURIT R.EGAVALLI NMK,D.SASIRAJ SP,SEEMAN NTK,M.SOUNDARA PANDIAN AMMK,lareneG D.MOHAN MNM,K.GOPINATH IND,ot BALAJI V.SURESH IND,limaT M.CHELLAM IND,udaN D.THAMIZHIZHAN IND,evitalsigeL B.DHANASEKARAN IND,C.DHANRAJ IND,PRAVINA IND,RAJ M.A.MICHAEL IND,KUMAR N.RAMESH IND,KUMAR N.RAJESH IND,U.VENKATESH IND,HUSSAIN B.ZAKIR IND,Total Valid Votes,Rejected Votes,Total Votes
1,1,107,0,215,0,1,104,4,20,0,1,1,0,0,0,0,0,0,0,0,0,453,0,5,458
2,2,149,0,238,2,0,155,5,20,0,0,0,0,0,0,0,0,0,0,3,0,572,0,1,573
3,3,81,0,177,1,0,113,3,12,0,0,0,0,0,0,0,1,0,0,0,0,388,0,4,392
4,3(A),98,0,188,1,0,81,4,14,0,0,0,0,0,0,0,2,0,0,2,0,390,0,3,393
5,4,188,2,225,0,0,147,4,13,0,0,0,0,1,0,1,1,0,0,1,0,583,0,3,586
6,5,170,1,243,1,0,139,6,30,0,0,1,0,0,0,0,1,3,0,1,0,596,0,2,598
7,6,138,0,176,0,0,136,10,14,1,0,0,0,0,0,0,0,0,0,0,0,475,0,6,481
8,6(A),180,2,173,0,0,82,1,21,0,0,3,0,0,0,,0,0,0,2,0,464,0,7,471
9,7,119,1,146,0,1,161,2,12,0,0,0,0,0,0,0,0,0,0,0,0,442,0,2,444
10,7(A),138,0,190,0,2,80,2,13,0,0,0,1,0,1,0,2,0,1,1,0,431,0,0,431
11,8,183,3,330,1,1,132,3,5,0,1,0,0,0,2,0,2,2,0,0,1,666,0,4,670
12,9,91,2,228,1,0,96,2,14,1,0,2,0,0,0,0,5,0,0,0,0,442,0,5,447
13,10,153,0,145,2,1,80,3,9,0,0,0,0,0,0,0,0,4,0,0,0,397,0,4,401
14,11,166,1,244,0,1,136,9,3,0,0,0,0,0,0,0,0,1,1,0,0,562,0,1,563
15,12,197,1,228,1,2,137,2,6,0,0,1,0,0,0,0,0,0,0,0,0,575,0,1,576
16,13,145,3,190,0,0,99,10,10,0,0,0,0,0,0,0,0,0,0,0,1,458,0,0,458
17,13(A),185,0,207,1,0,63,8,13,0,0,1,0,0,0,0,3,1,0,0,0,482,0,2,484
18,14,203,1,276,1,1,111,10,5,0,1,0,0,0,0,0,1,0,0,0,0,610,0,4,614
19,15,96,0,156,0,0,99,8,1,0,0,0,0,0,0,1,0,0,1,0,0,362,0,0,362
20,15(A),113,2,161,1,0,59,2,7,0,0,1,0,1,0,0,0,0,0,0,0,347,0,1,348
21,16,183,1,207,1,0,144,4,15,0,0,0,1,0,0,0,2,0,0,1,0,559,0,5,564
22,17,203,2,211,0,1,132,7,25,2,0,1,0,0,1,1,0,1,1,3,0,591,0,4,595
23,18,106,0,151,1,1,92,4,11,0,0,1,0,0,0,0,1,0,0,0,0,368,0,1,369
24,18(A),156,0,141,0,1,71,0,7,0,0,1,0,0,0,0,0,0,0,0,0,377,0,5,382
25,19,150,2,245,1,2,108,5,11,0,0,0,0,0,0,0,0,1,0,1,0,526,0,6,532
26,20,132,0,136,0,0,101,2,9,0,0,0,0,0,0,0,1,1,0,0,0,382,0,3,385
27,20(A),156,4,131,0,1,56,7,12,0,1,0,0,0,0,0,1,0,0,0,0,369,0,3,372
28,21,185,2,128,0,0,102,7,9,0,0,0,0,0,0,0,2,0,0,1,1,437,0,2,439
29,21(A),182,3,147,1,0,64,4,13,0,0,1,0,0,0,1,0,1,0,0,0,417,0,4,421
30,22,151,1,191,0,2,133,7,12,0,0,1,0,0,0,0,0,0,0,1,0,499,0,2,501
31,22(A),170,1,215,1,0,108,4,8,0,1,0,0,0,0,0,2,1,0,0,0,511,0,3,514
32,23,144,0,191,1,0,128,3,15,0,0,0,0,0,0,0,1,0,0,0,0,483,0,1,484
33,23(A),157,1,210,1,2,87,1,15,0,0,1,0,1,0,0,1,0,0,0,0,477,0,2,479
34,24,110,0,107,0,1,93,2,9,0,0,0,0,0,0,0,0,0,0,0,0,322,0,3,325
35,24(A),119,1,135,0,0,77,1,16,1,0,0,0,0,1,0,2,0,0,0,0,353,0,1,354
36,25,143,0,135,1,0,107,4,8,0,0,0,0,0,0,0,0,0,0,0,0,398,0,1,399
37,25(A),155,0,137,0,0,94,3,7,0,0,0,1,0,1,0,2,3,0,1,0,404,0,3,407
38,26,195,2,223,1,0,168,2,17,0,0,1,0,0,1,0,1,1,1,0,0,613,0,4,617
39,27,259,2,254,2,4,171,4,12,0,0,2,0,0,0,0,1,3,0,1,0,715,0,3,718
40,28,120,9,159,0,0,98,4,10,0,0,0,0,0,0,0,2,1,0,1,0,404,0,3,407
41,29,265,12,256,0,1,156,2,7,0,0,0,0,2,0,0,1,2,1,0,0,705,0,4,709
42,30,131,5,280,1,0,93,13,8,0,0,0,0,0,0,0,1,10,0,0,0,542,0,3,545
43,31,139,0,159,0,0,105,4,11,0,0,0,0,1,0,0,0,1,0,0,0,420,0,2,422
44,31(A),133,0,180,0,0,75,1,14,1,0,0,0,0,0,0,2,0,0,1,0,407,0,0,407
45,32,152,4,327,2,2,143,10,16,2,0,0,0,0,1,0,0,0,0,0,0,659,0,5,664
46,33,120,0,139,0,0,115,3,19,0,0,0,0,0,0,0,0,1,0,0,0,397,0,2,399
47,33(A),158,0,131,1,1,75,3,8,1,0,1,0,0,0,0,1,0,0,1,1,382,0,1,383
48,34,87,2,151,0,0,68,3,8,1,0,0,0,0,0,0,0,0,0,0,0,320,0,3,323
49,34(A),92,1,152,2,0,72,1,8,0,0,1,1,0,0,0,0,2,0,1,1,334,0,3,337
50,35,141,0,233,1,0,102,0,18,1,0,0,0,0,1,0,0,0,0,0,0,497,0,1,498
51,36,130,2,342,3,0,121,0,8,0,0,0,0,0,0,0,1,0,0,1,0,608,0,3,611
52,37,85,0,151,0,0,75,4,3,1,0,0,0,0,0,0,0,1,0,0,0,320,0,1,321
53,37(A),105,0,172,0,0,61,1,6,0,0,1,0,0,1,0,0,4,1,1,0,353,0,1,354
54,38,194,10,275,0,0,121,6,5,0,0,0,0,0,0,0,1,1,0,0,0,613,0,1,614
55,39,218,1,231,0,2,149,1,24,0,0,1,0,0,0,0,0,2,1,0,0,630,0,5,635
56,40,216,4,192,1,0,105,9,19,0,0,0,1,0,1,0,2,3,0,1,0,554,0,3,557
57,41,161,1,300,0,1,189,14,24,0,0,0,1,2,0,0,2,1,0,1,1,698,0,2,700
58,42,154,2,216,1,0,168,17,15,0,0,2,0,0,1,0,0,3,0,1,1,581,0,7,588
59,43,170,0,372,3,0,154,6,14,0,0,1,1,1,0,0,3,1,0,0,0,726,0,4,730
60,44,72,1,219,0,0,123,2,6,0,0,0,1,0,0,0,3,10,0,0,1,438,0,1,439
61,44(A),99,0,281,2,0,77,6,4,0,0,0,0,0,0,0,1,2,0,0,0,472,0,1,473
62,45,106,2,256,0,2,109,0,6,0,0,0,0,0,0,1,1,2,0,1,0,486,0,6,492
63,46,97,0,294,0,1,121,3,10,0,0,0,0,0,0,0,0,7,0,1,0,534,0,3,537
64,47,162,2,369,0,1,154,8,13,0,0,0,5,0,1,0,0,3,0,1,0,719,0,3,722
65,48,100,0,193,0,0,109,4,7,0,0,0,1,0,0,0,1,0,0,0,0,415,0,1,416
66,48(A),124,1,224,0,1,69,4,9,0,0,0,0,0,0,0,6,2,1,0,0,441,0,3,444
67,49,101,1,226,0,1,145,6,3,0,0,1,5,0,1,0,2,0,0,0,0,492,0,5,497
68,49(A),134,1,230,5,0,96,2,15,0,0,0,2,1,0,0,4,2,1,3,1,497,0,2,499
69,50,126,0,224,1,1,90,5,6,0,0,1,10,0,0,0,2,0,0,0,0,466,0,3,469
70,50(A),132,0,236,1,0,77,4,14,0,0,0,6,1,0,0,2,0,0,3,0,476,0,1,477
71,51,56,0,201,0,0,104,2,4,0,0,0,0,1,0,0,2,0,0,0,0,370,0,0,370
72,51(A),45,0,266,1,1,60,1,3,0,0,0,0,0,0,0,1,0,0,0,0,378,0,0,378
73,52,116,0,192,0,1,131,7,3,0,1,0,1,0,0,0,0,0,0,0,0,452,0,0,452
74,52(A),145,1,242,0,2,94,6,8,0,0,0,0,4,0,0,0,1,0,1,0,504,0,2,506
75,53,111,2,247,1,0,77,3,10,0,0,1,0,0,0,0,0,1,0,0,0,453,0,0,453
76,53(A),112,2,314,1,3,56,0,4,0,1,0,3,1,1,0,0,1,0,1,0,500,0,4,504
77,54,121,3,285,1,0,118,3,8,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,539
78,55,146,1,266,1,1,143,5,18,0,0,0,0,0,0,0,2,0,0,0,0,583,0,5,588
79,56,82,0,199,1,0,100,3,15,0,0,0,0,0,0,0,0,0,0,0,0,400,0,1,401
80,56(A),116,3,171,2,0,60,2,14,0,0,0,0,0,0,0,0,1,0,3,0,372,0,2,374
81,57,114,0,216,1,0,106,4,13,0,0,0,0,1,0,0,9,2,0,1,0,467,0,1,468
82,58,157,0,296,1,0,148,1,13,0,1,0,0,0,0,0,1,2,0,0,0,620,0,1,621
83,59,151,0,298,0,0,123,3,15,1,0,0,1,0,0,0,1,1,0,2,0,596,0,0,596
84,60,89,0,256,0,0,154,6,9,0,0,0,0,0,0,0,0,0,0,0,0,514,0,3,517
85,60(A),112,2,251,0,0,94,2,14,0,0,1,1,0,0,0,2,0,1,1,0,481,0,3,484
86,61,197,4,419,1,1,192,9,4,1,0,0,2,0,0,0,1,3,0,2,0,836,0,3,839
87,62,90,1,202,0,1,109,6,4,0,0,1,0,0,0,2,1,0,0,0,0,417,0,1,418
88,62(A),130,1,221,0,0,70,2,10,0,0,0,0,0,0,0,1,2,0,1,0,438,0,0,438
89,63,133,0,246,0,1,137,4,9,0,0,0,1,0,0,0,1,1,0,1,0,534,0,2,536
90,63(A),162,0,269,0,0,100,3,13,0,0,0,0,0,1,1,1,0,0,0,0,550,0,2,552
91,64,201,2,357,1,1,128,2,3,0,0,1,0,0,1,0,4,3,0,1,0,705,0,2,707
92,65,202,0,328,1,0,152,2,4,0,0,0,0,0,0,0,1,0,0,1,0,691,0,0,691
93,66,131,1,247,0,0,75,3,2,0,0,0,0,0,0,0,0,1,0,0,0,460,0,1,461
94,66(A),172,0,228,3,0,73,1,5,0,0,0,1,0,2,0,1,0,0,0,0,486,0,2,488
95,67,186,1,285,0,2,142,8,8,0,0,1,0,0,1,0,1,1,0,2,0,638,0,5,643
96,68,262,1,346,0,1,123,6,7,0,0,0,1,0,2,0,2,2,0,1,0,754,0,0,754
97,69,140,0,232,1,0,105,8,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,486
98,69(A),180,0,233,1,0,91,11,8,0,0,0,1,0,0,1,0,0,1,2,0,529,0,0,529
99,70,148,0,242,2,0,117,1,2,0,0,0,1,0,0,0,0,1,0,0,0,514,0,2,516
100,70(A),193,1,212,0,1,74,4,3,0,0,0,0,0,0,0,1,0,0,0,0,489,0,2,491
101,71,245,1,209,0,0,73,1,5,0,0,0,0,0,0,1,1,1,0,0,0,537,0,1,538
102,71(A),290,1,221,1,0,77,1,1,0,0,0,0,0,1,0,2,3,0,3,0,601,0,0,601
103,72,68,1,162,0,0,60,0,21,0,0,0,0,0,0,0,0,0,0,0,0,312,0,3,315
104,73,76,0,220,0,0,85,3,9,0,0,0,0,0,0,0,2,0,0,0,0,395,0,5,400
105,73(A),73,1,221,0,0,55,4,12,0,0,0,0,0,0,0,3,1,0,1,0,371,0,1,372
106,74,212,1,227,1,0,179,9,11,0,0,0,0,0,0,1,0,0,0,0,0,641,0,3,644
107,75,185,2,240,0,0,160,5,10,0,0,0,0,1,0,0,3,7,0,0,0,613,0,2,615
108,76,197,2,200,0,2,148,10,5,0,0,0,0,0,0,0,0,0,0,0,0,564,0,2,566
109,77,240,0,221,0,0,158,3,9,0,0,0,0,0,0,0,2,3,0,0,0,636,0,5,641
110,78,116,4,338,0,1,148,2,11,0,0,1,0,0,0,0,2,0,0,1,0,624,0,1,625
111,79,71,2,194,0,0,88,3,5,0,0,0,0,0,0,1,2,1,0,0,0,367,0,0,367
112,79(A),91,2,220,1,0,62,3,8,0,0,0,0,0,0,0,1,1,0,2,0,391,0,1,392
113,80,153,1,297,0,1,158,5,11,0,0,1,0,0,0,0,1,4,0,0,0,632,0,3,635
114,81,106,1,222,1,1,167,5,8,0,0,1,0,0,0,0,0,3,0,0,0,515,0,0,515
115,81(A),127,5,262,1,0,145,2,8,0,0,1,0,0,0,0,1,0,1,0,0,553,0,3,556
116,82,84,0,166,0,0,139,2,6,1,0,0,0,0,0,1,0,0,0,0,0,399,0,2,401
117,82(A),102,0,170,0,0,128,2,6,0,0,0,0,0,0,0,1,0,0,2,0,411,0,1,412
118,83,108,0,184,0,1,90,0,6,0,0,0,0,10,0,1,0,2,1,0,0,403,0,0,403
119,83(A),118,2,217,1,2,79,0,5,1,0,0,0,8,0,0,3,3,0,4,0,443,0,1,444
