Polling Station No.,Building,Polling Areas
1,"Doon Nursery & Primary School,No.57,4th Cross Street Senthil Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] Malligai Avenue 2. Kolathur [ Ward No.65 ] Thiruvalluvar Nagar Kanniyamman Koil Street 3. Kolathur [ Ward No.65 ] Thiruvalluvar Nagar Kannagi Street 4. Kolathur [ Ward No.65 ] Thiruvalluvar Nagar Kambar Street 5. Kolathur [ Ward No.65 ] Thiruvalluvar Nagar 999. OVERSEAS ELECTORS.
2,"Doon Nursery & Primary School,No.57,4th Cross Street Senthil Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] Vivekanandhar Nagar 2. Kolathur [ Ward No.65 ] Mohammed Hussian Colony 3. Kolathur [ Ward No.65 ] Krishna Nagar 1st Street 4. Kolathur [ Ward No.65 ] Krishna Nagar 2nd Street 5. Kolathur [ Ward No.65 ] Krishna Nagar 3rd Street 6. Kolathur [ Ward No.65 ] Krishna Nagar 4th Street 7. Kolathur [ Ward No.65 ] V.K.Main Road Vivekanandhar Nagar 8. Kolathur [ Ward No.65 ] Ganesh Nagar G.J.V 9. Kolathur [ Ward No.65 ] Jayanthi Nagar 10. Kolathur [ Ward No.65 ] Thuraimugam Colony Harbour 999. OVERSEAS
3,"Doon Nursery & Primary School,No.57,4th Cross Street Senthil Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ]Bharath Rajiv Gandhi Nagar 1st Street 2. Kolathur [ Ward No.65 ] Bharath Rajiv Gandhi Nagar 1st Cross Street 3. Kolathur [ ward No.65 ] Bharath Rajiv Gandhi Nagar 2nd Street 4. Kolathur [ ward No.65 ] Bhrath Rajiv Gandhi Nagar 2nd Cross Street 5. (Kolathur [ ward No.65 ] Bharath Rajiv Gandhi Nagar 3rd Street 6. Kolathur [ ward No.65 ] Bharath Rajiv Gandhi Nagar 3rd Cross Street 7. Kolathur [ ward No.65 ] Bharath Rajiv Gandhi Nagar 4th Street 8. Kolathur [ Ward No.65 ] Selvam Nagar 9. Kolathur [ Ward No.65 ] Venus Nagar
4,"Doon Nursery & Primary School,No.57,4th Cross Street Senthil Nagar,Kolathur,Chennai-600099",1. Kolathur [ ward No.65 ] Subramaniapuram Main Road 2. Kolathur [ ward No.65 ] Subramaniapuram 1st Street 3. Kolathur [ ward No.65 ] Subramaniapuram 2nd Street 4. Kolathur [ ward No.65 ] Subramaniapuram 3rd Street 5. Kolathur [ Ward No.65 ] Mahaveer Nagar 6. Kolathur [ Ward No.65 ] Thillai Nagar 1st Main Road 7. Kolathur [ Ward No.65 ] Thillai Nagar 2nd Main Road 8. Kolathur [ ward No.65 ] Thillai Nagar 1st Cross Street 9. Kolathur [ ward No.65 ] Thillai Nagar 2nd Cross Street 10. Kolathur [ ward No.65 ] Thillai Nagar 3th Cross Street 11. Kolathur [
5,"Chennai Primary School 3rd main road,Srinivasa Nagar,Kolathur ,Chennai-600099",1. Kolathur [ Ward No.65 ] Senthil Nagar 1st Main Road 2. Kolathur [ Ward No.65 ] Senthil Nagar 2nd Main Road 3. Kolathur [ Ward No.65 ] Senthil Nagar 1st Cross Street 4. Kolathur [ Ward No.65 ] Senthil Nagar 2nd Cross Street 5. Kolathur [ Ward No.65 ] Senthil Nagar 3rd Cross Street 6. Kolathur [ Ward No.65 ] Senthil Nagar 4th Cross Street 7. Kolathur [ Ward No.65 ] Senthil Nagar 5th Cross Street 8. Kolathur [ Ward No.65 ] Senthil Nagar 6th Cross Street 9. Kolathur [ Ward No.65 ] Senthil Nagar 7th Cross Street 10. Kolathur [ Ward No.65 ] Senthil Nagar
6,"Chennai Primary School 3rd main road,Srinivasa Nagar,Kolathur ,Chennai-600099",1. Kolathur [ Ward No.65 ] Senthil Nagar 9th Cross Street 2. .Kolathur [ Ward No.65 ] Senthil Nagar 10th Cross Street 3. Kolathur [ Ward No.65 ] Senthil Nagar 11th Cross Street 4. Kolathur [ Ward No.65 ] Senthil Nagar 12th Cross Street 5. Kolathur [ Ward No.65 ] Senthil Nagar 13th Cross Street 6. Kolathur [ Ward No.65 ] Senthil Nagar 14th Cross Street 7. Kolathur [ Ward No.65 ] Senthil Nagar 15th Cross Street 8. Kolathur [ Ward No.65 ] Senthil Nagar 16th Cross Street 9. Kolathur [ Ward No.65 ] Srinivasa Nagar 3rd Cross Street 10. Kolathur [ Ward
7,"Chennai Primary School 3rd main road,Srinivasa Nagar,Kolathur ,Chennai-600099",1. Kolathur [ Ward No.65 ] Srinivasa Nagar 3rd Main Road 2. Kolathur [ Ward No.65 ] Srinivasa Nagar 1st Cross Street 3. Kolathur [ Ward No.65 ] T.K. Road Srinivasan Nagar 4. Kolathur [ Ward No.65 ] Srinrvasa Nagar 2nd Cross Street 5. Kolathur [ Ward No.65 ] Srinivasa Nagar 5th Cross Street 6. Kolathur [ Ward No.65 ] Srinivasa Nagar 6th Cross Street 7. Kolathur [ Ward No.65 ] Srinivasa Nagar 7th Cross Street 8. Kolathur [ Ward No.65 ] Srinivasa Nagar 1st Main Road 999. OVERSEAS ELECTORS.
8,"Chennai Primary School 3rd main road,Srinivasa Nagar,Kolathur ,Chennai-600099",1. Kolathur [ ward No.65 ] Makkaram Thottam Perumal Koil Street 2. Kolathur [ Ward No.65 ] Makkaram Thottam Nehru Street 3. Kolathur [ Ward No.65 ] Makkaram Thottam Bharathi Street 4. Kolathur [ Ward No.65 ] Makkaram Thottam Periyar Street 5. Kolathur [ ward No.65 ] Makkaram Thottam Kamarajar Street 6. Kolathur [ Ward No.65 ] Makkaram Thottam V.O.C Steet 7. Kolathur [ Ward No.65 ] Makkaram Thottam Karumariamman Street 8. Kolathur [ Ward No.65 ] Makkaram Thottam Avvai Street 9. Kolathur [ Ward No.65 ] Makkaram
9,"Chennai Primary School 3rd main road,Srinivasa Nagar,Kolathur ,Chennai-600099",1. Kolathur [ Ward No.65 ] Annai Sathya Nagar Neelakandan Street 2. (Kolathur [ Ward No.65 ] Annai Sathya Nagar Sagayamadha Street 3. Kolathur [ Ward No.65 ] Annai Sathya Nagar Anna Street 4. Kolathur [ Ward No.65 ] Makkaram Thottam Anna Street 5. Kolathur [ Ward No.65 ] Makkaram Thottam Thiruvalluar Street 6. Kolathur [ Ward No.64 ] Rajan Nagar 1st Main Street 7. Kolathur [ Ward No.64 ] Rajan Nagar 2nd Street 8. Kolathur[ Ward No.64 ]Rajan Nagar 3rd Street 9. Kolathur [ Ward No.64 ]Rajan Nagar 4th Street 10. Kolathur [ Ward No.65 ]
10,"Chennai Primary School 3rd main road,Srinivasa Nagar,Kolathur ,Chennai-600099",1. Kolathur [Ward No.64]Thenpazhani Nagar Vinaygar Koil Street 2. Kolathur [Ward No.64]Thenpazhani Nagar Thiruvalluvar Street 3. Kolathur [Ward No.64]Thenpazhani Nagar Nehru Street 4. Kolathur [Ward No.64]Thenpazhani Nagar Kamarajar Street 5. Kolathur [Ward No.64]Thenpazhani Nagar Vinayagam Colony 6. Kolathur [Ward No.64]Thenpazhani Nagar Periyar Street 7. Kolathur [Ward No.64]Thenpazhani Nagar RedhillsRoad 8. Kolathur [ Ward No.64 ] Thenpazhani Nagar Thiru Vi Ka Street 9. Kolathur [ Ward No.64 ] Thenpazhani
