Polling Station No.,Building,Polling Areas
1,"St Joseph Annecy Matriculation School ,No.16-30 Ambedkar Street Villivakkam, Chennai-600049.",1. Villivakkam New Ward No.95 Thiruveethiamman Koil Street 2. Villivakkam New Ward No.95 Thiruveethi Amman Koil 2nd Street . 999. OVERSEAS ELECTORS.
2,"St Joseph Annecy Matriculation School ,No.16-30 Ambedkar Street Villivakkam, Chennai-600049.",1. Villivakkam New Ward No.95 Thiruveethiamman Koil 8th Street 2. Villivakkam New Ward No.95 Thiruveethi Amman Koil 9th Street . 3. Villivakkam New Ward No.95 Seeyalam 1st Street 4. Villivakkam New Ward No.95 Seeyalam 1st Lane 5. Villivakkam New Ward No.95 Seeyalam Street West I.C.F. . 999. OVERSEAS ELECTORS.
3,"St Joseph Annecy Matriculation School ,No.16-30 Ambedkar Street Villivakkam, Chennai-600049.",1. Villivakkam New Ward No.95 Chennai pattai Road 2. Villivakkam New Ward No.95 Murugasen Nagar 999. OVERSEAS ELECTORS.
4,"St Joseph Annecy Matriculation School ,No.16-30 Ambedkar Street Villivakkam, Chennai-600049.",1. Villivakkam New Ward No.95 Siyalam Main Street 2. Villivakkam New Ward No.95 Seeyalam 2nd Street . 999. OVERSEAS ELECTORS.
5,"St Joseph Annecy Matriculation School ,No.16-30 Ambedkar Street Villivakkam, Chennai-600049.",1. Villivakkam New Ward No.95 Thanthoniamman Koil Street 2. Villivakkam New Ward No.95 Thaanthoni Amman Koil 4th Street . 999. OVERSEAS ELECTORS.
6,Chennai Middle School 22/2 Sivan Kovil North Mada Veethi Chennai-49,1. Villivakkam New Ward No.95 Thaanthoni Amman Koil 1st Street . 2. Villivakkam New Ward No.95 Thaanthoni Amman Koil 2nd Street . 3. Villivakkam New Ward No.95 Thaanthoni Amman Koil 3rd Street . 999. OVERSEAS ELECTORS.
7,Chennai Middle School 22/2 Sivan Kovil North Mada Veethi Chennai-49,1. Villivakkam New Ward No.95 Welcome colony . 2. Villivakkam New Ward No.95 Vijay Avenue . 3. Villivakkam New Ward No.95 Mettu Street . 999. OVERSEAS ELECTORS.
8,Chennai Middle School 22/2 Sivan Kovil North Mada Veethi Chennai-49,1. Villivakkam New Ward No.95 Pillaiyar Koil Street . 2. Villivakkam New Ward No.95 Bazzar street 3. Villivakkam New Ward No.95 Mettu Street Lane . 4. Villivakkam New Ward No.95 Palani Andavar Koil Street . 999. OVERSEAS ELECTORS.
9,"Kanaga Durga Telugu Higher Sec School,No 138 South Mada Street Villivakkam, Chennai-600049.",1. Villivakkam New Ward No.95 East Maada Veedhi . 2. Villivakkam New Ward No.95 Sanathi Street 999. OVERSEAS ELECTORS.
10,"Kanaga Durga Telugu Higher Sec School,No 138 South Mada Street Villivakkam, Chennai-600049.",1. Villivakkam New Ward No.95 Bajanai Koil Main Road . 2. Villivakkam New Ward No.95 Bajanai Koil 1st Lane (3rd&2nd Street) . 3. Villivakkam New Ward No.95 BajanalKoil 2nd Lane (Main Road) . 4. Villivakkam New Ward No.95 BajanaiKoil 1st Street . 5. Villivakkam New Ward No.95 Bajanaikoil 2nd street . 6. Villivakkam New Ward No.95 Bajanai Koil 3rd Street . 999. OVERSEAS ELECTORS.
11,"Kanaga Durga Telugu Higher Sec School,No 138 South Mada Street Villivakkam, Chennai-600049.",1. Villivakkam New Ward No.95 Ponnankinaru Street . 999. OVERSEAS ELECTORS.
12,"Kanaga Durga Telugu Higher Sec School,No 138 South Mada Street Villivakkam, Chennai-600049.",1. Villivakkam New Ward No.95 South mada veedhi(perumal koil street) . 2. Villivakkam New Ward No.95 Rajiv Gandhi M.G.R Street . 999. OVERSEAS ELECTORS.
13,"Kanaga Durga Telugu Higher Sec School,No 138 South Mada Street Villivakkam, Chennai-600049.",1. Villivakkam New Ward95 South Mada veedhi perumal koil street 2. Villivakkam New Ward No.95 Reddy Street . 3. Villivakkam New Ward No.95 East maada street (ext) . 999. OVERSEAS ELECTORS.
14,"Our Lady Velankanni Matric Hr Sec School,Gandhi Street Villivakkam, Chennai -600049.",1. villivakkam New Ward No.94 Baliamman koil st. 2. Villivakkam New Ward No.94 Baliyamman Koil Lane 999. OVERSEAS ELECTORS.
15,"Our Lady Velankanni Matric Hr Sec School,Gandhi Street Villivakkam, Chennai -600049.",1. Villivakkam New Ward No.94 Sivan koil south maada veedhi . 2. Villivakkam New Ward No.94 SivanKoil West Maadaveedhi . 3. Villivakkam New Ward No.94 Sivan Koil Kulakkarai Street . 4. Villivakkam New Ward No.94 Perumaal Koil Kulakkarai Street . 5. Villivakkam New Ward No.94 Dhamodharan perumal colony 1st street . 6. Villivakkam New Ward No.94 Dhamodharan perumal Colony 2nd Street . 7. Villivakkam New Ward No.94 Dhamodharan Perumal Colony 3rd Street . 8. Villivakkam New Ward No.94 Dhamodharan Lane 999. OVERSEAS ELECTORS.
16,"Our Lady Velankanni Matric Hr Sec School,Gandhi Street Villivakkam, Chennai -600049.",1. Villivakkam New Ward No.94 Peraaree Lane 2. Villivakkam New Ward No.94 Saamiyaar Thottam . 3. Villivakkam New Ward No.94 Dhamodharan Lane(Ext) . 4. Villivakkam New Ward No.94 Moppili Amman Koil Street . 5. Villivakkam New Ward No.94 Chetty Thoppu 6. Villivakkam New Ward No.94 Agatheeswarar Koil 1st Street . 7. Villivakkam New Ward No.94 Agatheeswarar Koil Lane 999. OVERSEAS ELECTORS.
17,"Our Lady Velankanni Matric Hr Sec School,Gandhi Street Villivakkam, Chennai -600049.",1. Villivakkam New Ward No.94 north maada veethi . 2. Villivakkam New Ward No.94 SivanKoil Maada Veethi . 3. Villivakkam New Ward No.94 Villivakkam North HiCourt Colony . 4. Villivakkam New Ward No.94 North HiCourt Colony (Ext) . 999. OVERSEAS ELECTORS.
