Polling Station No.,Building,Polling Areas
1,Sri R.K.M Vivekananda Centenary Girls Hr. Sec School No .2 Saravanan Street Kondithope Chennai-600079.,"1. Kondithope Ward No 54, Kannaya Street. 999. Overseas Electors."
2,Sri R.K.M Vivekananda Centenary Girls Hr. Sec School No .2 Saravanan Street Kondithope Chennai-600079.,"1. Kondithope New Ward No 54, Muniappa street. 999. Overseas Electors."
3,J.E. Office Mint Street Kondithope Chennai- 600079.,"1. Kondithope New Ward No 54, Mint Street Door No (1 to81) (2 to 82). 999. Overseas Electors."
4,J.E. Office Mint Street Kondithope Chennai- 600079.,"1. Kondithope New Ward No 54, Mint Street Door No (83 to 129) (84 to 130). 999. Overseas Electors."
5,Sri R.K.M Vivekananda Centenary Girls Hr. Sec School No .2 Saravanan Street Kondithope Chennai-600079.,"1. Kondithoppu New Ward No 54, Krishnappa Agraharam Street Door No (1 to 45 & 2 to 52,). 2. Kondithoppu New Ward No 54, Seenu Street. 3. Kondithoppu New Ward No 54, Thangasalai 1st Lane. 4. Kondithoppu New Ward No 54, Thangasalai 2nd Lane. 5. Kondhithoppu New Ward No 54, Veda Vinayakar Koil Street. 6. Kondithope New Ward No 54, Bajanai Koil Street. 999. Overseas Electors."
6,Sri R.K.M Vivekananda Centenary Girls Hr. Sec School No .2 Saravanan Street Kondithope Chennai-600079.,"1. Kondithoppu New Ward No 54, Perumal Street, 2. Kondithoppu New Ward No 54, Rathinam Street. 3. Kondithppu New Ward No 54, Vandaloor Rangan Street. 999. Overseas Electors."
7,Sri R.K.M Vivekananda Centenary Girls Hr. Sec School No .2 Saravanan Street Kondithope Chennai-600079.,"1. Kondithoppu New Ward No 54, Bashiyakaralu Street, 2. Kondithoppu New Ward No 54, Pattabiram Street. 999. Overseas Electors."
8,Sri R.K.M Vivekananda Centenary Girls Hr. Sec School No .2 Saravanan Street Kondithope Chennai-600079.,"1. Kondithoppu New Ward No 54, Saravanan Street. 2. Kondithoppu New Ward No 54, Murugesan Street. 999. Overseas Electors."
9,Sri R.K.M Vivekananda Centenary Girls Hr. Sec School No .2 Saravanan Street Kondithope Chennai-600079.,"1. Kondithope New Ward No 54, Kancheepuram Sabapathy Street. 2. Kondithope New Ward No 54, Subburayan Street . 3. Kondithope New Ward No 54, Telegraph Abbayee Street. 999. Overseas Electors."
10,Sri R.K.M Vivekananda Centenary Girls Hr. Sec School No .2 Saravanan Street Kondithope Chennai-600079.,"1. Kondithope New Ward No 54, Venkataraman Street. 999. Overseas Electors."
11,C.S.I Rajagopal Thanga Salai Middle SchoolNo .5-9 Kondal Street Kondithope Chennai-600079,"1. Kondhithoppu New Ward No 54, Venki Street (Door No1 to 39 )& (2 to 36). 2. Kondhithoppu New Ward No 54, Peddu Street. 3. Kondhithoppu New Ward No 54, Muthukrishnan Street. 999. Overseas Electors."
12,C.S.I Rajagopal Thanga Salai Middle SchoolNo .5-9 Kondal Street Kondithope Chennai-600079,"1. Kondithoppu New Ward No 54, Rangan Thottam Street. 2. Kondithoppu New Ward No 54, Kondal Street. 3. Kondithoppu New Ward No 54, Balaji Appartments. 4. Kondithoppu New Ward No 54, Kuppu Street. 999. Overseas Electors."
13,C.S.I Rajagopal Thanga Salai Middle SchoolNo .5-9 Kondal Street Kondithope Chennai-600079,"1. Kondithope New Ward No 54, Ayalur Muthaiah Street. 999. Overseas Electors."
14,T.T.V Hr.Sec. School No.199-97 Mint Street Sowcarpet Chennai - 600079.,"1. Sowcarpet New Ward No 54, Vadamalai 2nd Lane. 2. Sowcarpet New Ward No 54, Krishnappa Tank Street. 999. Overseas Electors."
15,T.T.V Hr.Sec. School No.199-97 Mint Street Sowcarpet Chennai - 600079.,"1. Sowcarpet New Ward No 54, Nammalwar Street. 999. Overseas Electors."
16,T.T.V Hr.Sec. School No.199-97 Mint Street Sowcarpet Chennai - 600079.,"1. Sowcarpet New Ward No 54, Krishnappa Agraharam Street. 2. Sowcarpet New Ward No 54, Reliance Rice Mill Street. 3. Sowcarpet New Ward No 54, Jinda Street. 4. Sowcarpet New Ward No 54, Ibrahim Street. 5. Sowcarpet New Ward No 54, Krishnappa Agraharam Sarvamangal Apartment. 999. Overseas Electors."
17,Chennai Middle SchoolNo.130-140 Amman Koil StreetKondithope Chennai - 600079.,"1. Sowcarpet New Ward No 54, Mint Street New No 127 to 199 & 132 to 200. 999. Overseas Electors."
18,Chennai Middle SchoolNo.130-140 Amman Koil StreetKondithope Chennai - 600079.,"1. Sowcarpet New Ward No 54, Mulla Street (New No 1 to 45 and 2 to 48). 999. Overseas Electors."
19,Dr.Gurusamy Mudaliyar T.T.V Hr.Sec.School No.225 Amman Koil StreetKondithope Chennai - 600079.,"1. Sowcarpet New Ward No 54, Woodwharf 2nd Lane. 2. Sowcarpet New Ward No 54, Woodwharf 3rd Lane. 3. Sowcarpet New Ward No 54, V.O.C Salai & Thattimudaivor Lane Included. 999. Overseas Electors."
20,Dr.Gurusamy Mudaliyar T.T.V Hr.Sec.School No.225 Amman Koil Street Kondithope Chennai - 600079.,"1. Sowcarpet New Ward No 54, Telegraph Abboy Lane. 2. Sowcarpet New Ward No 54, Charkkarai street. 3. Sowcarpet New Ward No 54, V O C Salai. 999. Overseas Electors."
21,Dr.Gurusamy Mudaliyar T.T.V Hr.Sec.School No.225 Amman Koil Street Kondithope Chennai - 600079.,"1. Sowcarpet New Ward No 54, Petthu Naicken Sundaram Street. 2. Sowcarpet New Ward No 54, Sundaram 1st Lane. 3. Sowcarpet New Ward No 54, Sundaram 2nd lane. 4. Sowcarpet New Ward No 54, Sundaram 3rd Lane. 5. Sowcarpet New Ward No 54, Sundaram 4th Lane. 6. Sowcarpet New Ward No 54, Sundaram 5th Lane. 7. Sowcarpet New Ward No 54, Sundaram 6th Lane. 8. Sowcarpet New Ward No 54, Vadamalai 1st lane. 999. Overseas Electors."
22,Dr.Gurusamy Mudaliyar T.T.V Hr.Sec.School No.225 Amman Koil StreetKondithope Chennai - 600079.,"1. SowcarpetNew Ward No 54, Amman Koil Street New No145 to241 & 114 to 170. 999. Overseas Electors."
23,Dr.Gurusamy Mudaliyar T.T.V Hr.Sec.School No.225 Amman Koil Street Kondithope Chennai - 600079.,"1. SowcarpetNew Ward No 54, Amman Koil 1st Lane. 2. SowcarpetNew Ward No 54, Amman Koil 2nd Lane. 3. Sowcarpet New Ward No 54, Iron Monger Street. 4. SowcarpetNew Ward No 54, Thenampettai Ramasami Street. 999. Overseas Electors."
24,Chennai Middle School No.130-140 Amman Koil Street Kondithope Chennai - 600079.,"1. Kondithope New Ward No 54, Washerman Ali Lane. 2. Sowcarpet New Ward No 54, Vadamalai Street. 999. Overseas Electors."
25,Chennai Middle School No.130-140 Amman Koil Street Kondithope Chennai - 600079.,"1. Kondithope New Ward No 54, Nambuliyar Steet. 2. SowcarpetNew Ward No 54, Lawyer Chinnathambi Street. 999. Overseas Electors."
26,Chennai High School No.143-61 Voc Salai Walltax Road Elephant Gate Chennai - 600079.,"1. Sowcarpet New Ward No 54, Perumal Koil Garden 8th Street (Anna 3rd Lane). 2. Sowcarpet New Ward No 54, Perumal Koil Garden 7th Street (Anna 4th Lane). 3. Sowcarpet New Ward No 54, Perumal Koil Garden 5th Street. 999. Overseas Electors."
27,Chennai High School No.143-61 Voc Salai Walltax Road Elephant Gate Chennai - 600079.,"1. Sowcarpet New Ward No 54, Perumal Koil Garden 1st Lane. 999. Overseas Electors."
28,Chennai High School No.143-61 Voc Salai Walltax Road Elephant Gate Chennai - 600079.,"1. Sowcarpet New Ward No 54, Perumal Koil Garden 2nd Lane. 999. Overseas Electors."
29,Chennai High School No.143-61 Voc Salai Walltax Road Elephant Gate Chennai - 600079.,"1. Sowcarpet New Ward No 54, Perumal Koil Garden 4th Lane. 2. Sowcarpet New Ward No 54, Perumal Koil Garden 6th Lane. 3. Sowcarpet New Ward No 54, Perumal Koil Garden 11th Lane (Anna 1st lane). 4. Sowcarpet New Ward No 54, Perumal Koil Garden 9th Street (Anna 2nd Lane). 999. Overseas Electors."
30,Chennai Community Hall No.145 Annapillai Street Elephant Gate Chennai - 600079.,"1. Sowcarpet New Ward No 54, Wood Wharf 1st Lane. 2. Sowcarpet New Ward No 54, Wood Wharf 2nd Lane. 3. Sowcarpet New Ward No 54, Wood Wharf 3rd Lane. 4. Sowcarpet New Ward No 54, Wood Wharf 4th Lane. 5. Sowcarpet New Ward No 54, Wood Wharf 5th Lane. 999. Overseas Electors."
31,Chennai Community Hall No.145 Annapillai Street Elephant Gate Chennai - 600079.,"1. Sowcarpet New Ward No 54, Perumal Koil Garden Street. 2. Sowcarpet New Ward No 54, V O C Road. 999. Overseas Electors."
32,Chennai Community Hall No.145 Annapillai Street Elephant Gate Chennai - 600079.,"1. Sowcarpet New Ward No 54, Nallannan Lane. 2. Sowcarpet New Ward No 54, Nallannan Street. 3. Sowcarpet New Ward No 54, Arunachalam street. 999. Overseas Electors."
