Polling Station No.,Building,Polling Areas
1,"Jaigopal Garodia Vivekananda Vidhyalaya, Annanagar, U block, chennai -600040.",1. Annanagar Ward No 101 6th Avenue P Block 17th Street 2. Annanagar Ward No 101 P Block Tower View Colony(17th Street) 3. Ward no 101 P block 18th street 4. Annanagar Ward No 101 P Block 19th Street 5. Annanagar Ward No 101 P Block 20th Street 6. Annanagar Ward No 101 P Block 3rd Main Road 7. Annanagar Ward No 101 P Block 6th Avenue 8. Annanagar Ward No 101 Q Block 13th Street 9. Annanagar Ward No 101 Q Block 14th Street 10. Annangar Ward no 101 Q block 15th street 11. Annanagar Ward No 101 Q Block 16th Street 12. Annanagar Ward No 101 Q Block 17th Street 13. Annanagar Ward No 101 Q Block 3 &4th Main Road 14. Annanagar Ward No 101 Q Block 3rd Avenue 15. Annanagar Ward No 101 Q Block 6th Avenue 999. OVERSEAS ELECTORS.
2,"Jaigopal Garodia Vivekananda Vidhyalaya, Annanagar, U block, chennai -600040.","1. Annanagar Ward No 100 R Block 12th Street 2. Annanagar Ward No 100 R Block 13th Street 3. Annanagar Ward No 100 R Block 14th Street 4. Annanagar, 4.Annanagar Ward No 100 R Block 15th Street 5. Annanagar, 5.Annanagar Ward no 100 R block 16th street 6. Annanagar Ward No 100 R Block 3rd Main Road 7. Annanagar Ward No 100 R Block 4th Main Road 8. Annanagar Ward No 100 R Block 6th Main Road 9. Annanagar Ward No 100 R Block 6th Avenue 10. Annanagar Ward No 100 S Block 16th Street 11. Annanagar Ward No 100 S Block 17th Street 12. Annanagar Ward No 100 S Block 18th Street 13. Annanagar Ward No 100 S Block 19th Street 14. Annanagar Ward no 100 S block 20th street 15. Annanagar Ward No 100 S Block 21st Street 16. Annanagar Ward No 100 S Block 4th Main Road 17. Annanagar Ward No 100 S Block 5th Avenue 18. Annanagar Ward No 100 S Block 6th Main Road 19. Annanagar Ward No 100 S Block 6th Avenue 999. OVERSEAS ELECTORS."
3,"Jaigopal Garodia Vivekananda Vidhyalaya, Annanagar, U block, chennai -600040.","1. Annanagar, Ward no 100 new avadi salai, icf south colony door no 401 to 450 2. Annanagar, Ward no 100 new avadi salai, icf south colony door no 516 to 766 999. OVERSEAS ELECTORS."
4,"Jaigopal Garodia Vivekananda Vidhyalaya, Annanagar, U block, chennai -600040.","1. Annanagar, Ward no 100 new avadi road icf south colony door no 451to 515 999. OVERSEAS ELECTORS."
5,"Jaigopal Garodia Vivekananda Vidhyalaya, Annanagar, U block, chennai -600040.","1. Annanagar, Ward no 100 new avadi road icf south colony door no 516 to 766 999. OVERSEAS ELECTORS."
6,"Jaigopal Garodia Vivekananda Vidhyalaya, Annanagar, U block, chennai -600040.","1. Annanagar, WARD NO.100 NEW AVADI ROAD 999. OVERSEAS ELECTORS."
7,"Jaigopal Garodia Vivekananda Vidhyalaya, Annanagar, U block, chennai -600040.","1. Annanagar, Ward no 101 new avadi road dr. ambathkar nagar 999. OVERSEAS ELECTORS."
8,"Jaigopal Garodia Vivekananda Vidhyalaya, Annanagar, U block, chennai -600040.","1. Anna Nagar (West) Ward No 101 T Block 1st Street 2. Anna Nagar (West) Ward No 101 T Block 8th Street 3. Anna Nagar ( West) Ward No 101 T Block 11th Street 4. Anna Nagar (West) Ward No 101 T Block 12th Street 5. Anna Nagar (West) Ward No 101 T Block 3rd Main Road 6. Anna Nagar (West) Ward No 101 T Block 9th Street 7. Anna Nagar (West) Ward No 101 T Block 10th Street 8. Anna Nagar (West) Ward No 101 T Block 3rd Avenue 9. Anna Nagar (West) Ward No 101 T Block 5th Main Road 10. Anna Nagar (West) Ward No 101 T Block 4th Main Road 11. Anna Nagar, Ward no 101 ICF New Avadi Road Dr Ambedkar Nagar 999. OVERSEAS ELECTORS."
9,"Jaigopal Garodia Vivekananda Vidhyalaya, Annanagar, U block, chennai -600040.",1. Annanagar Ward No 101 Police Asst. Commissioner Quarters 2. Annanagar Ward No 101 Police Quarters 3. Annanagar Ward No 101 Garden View Apartments 4. Annanagar Ward No 101 Labour Officer& Staff Quarters 5. Annanagar Ward No 101 S.T.R & B.S.N.L Staffs Quarters 999. OVERSEAS ELECTORS.
10,"Jaigopal Garodia Vivekananda Vidhyalaya, Annanagar, U block, chennai -600040.",1. Annanagar Ward No 100 V Block 4th Main Road 2. Annanagar Ward No 100 V Block 5th Main Road 3. Annanagar Ward No 100 V Block 5th Avenue 4. Annanagar Ward No 100 V Block 6th Main Road 5. Annanagar Ward No 100 V Block 10th Street 6. Annanagar Ward No 100 V Block 11th Street 7. Annanagar Ward no 100 V block 12th street 8. Annanagar Ward No 100 V Block 13th Street 9. Annanagar Ward No 100 V Block 14th Street 10. Annanagar Ward No 100 U Block 3rd Main Road 11. Annanagar Ward No 100 U Block 4th Main Road 12. Annanagar Ward No 100 U Block 5th Main Road 13. Annanagar Ward No 100 U Block 6th Main Road 14. Annanagar Ward No 100 U Block 6th Street 15. Annanagar Ward No 100 U Block 7th Street 16. Annanagar Ward no 100 U block 8th street 17. Annanagar Ward No 100 U Block 9th Street 18. Annanagar Ward No 100 U Block 10th Street 999. OVERSEAS ELECTORS.
