Sl. No,Polling Station No,S N A P P A L L E D. K. A. kal k m netra Ma haga ma n Kaz u hat M,OT EHT H A PI P U R A K A. L A P hi d Nee m Maia kal,UDANLIMAT raganayaragayihT RI A K N A S A V SI S. milar hi Ta Katc m,EVITALSIGEL N A R A K E S A N A H D R. kal hi Katc k Ma hi ya kt Desi,RETPAHC( EES H S U N A H D M. y States Part dia d nite,ERUXNNA VX ARAP ALNT MORF U S A R A K K U V A N U R HI T V. hi kalatc hi Katc k,).. )C()(C EHT . N A R A W S E E N A R A H B R. kal nettra m k haga Ma ma n Kaz u,VI L E S RI T E V kal hi Katc k Ma yal u h nait Arasi,RAGANAYARAGAYIHT N A N N A K S. nt date de n di pe n de Ca,N A Y A L A P R. nt date de n di pe n de Ca,N A R A K E S A J A R D. nt date de n di pe n de Ca,otes v d vali otal T,otes V d rejecte o. N,A T O N,otal T,otes v d dere n te o. N,Total Valid Votes,Rejected Votes,Total Votes
1,1,149,106,0,0,26,25,0,1,0,3,1,1,1,1,314,0,4,318,0
2,1A,154,126,0,0,11,21,0,1,0,0,0,0,1,0,314,0,3,317,0
3,2,153,108,0,0,25,55,0,2,0,1,0,0,0,0,344,0,3,347,0
4,2A,174,149,0,0,29,41,0,1,0,2,0,0,0,0,396,0,4,400,0
5,3,255,214,0,0,52,54,0,1,0,4,0,0,1,0,581,0,13,594,0
6,4,145,136,0,0,37,53,0,2,0,4,0,0,0,0,377,0,4,381,0
7,4A,155,147,0,0,38,23,0,0,0,5,0,1,1,0,370,0,1,371,1
8,5,141,126,0,0,48,40,0,5,0,0,0,0,0,0,360,0,4,364,0
9,5A,150,99,1,0,49,22,0,2,1,1,0,0,0,0,325,0,5,330,0
10,6,147,112,1,0,45,38,0,0,0,6,0,0,0,0,349,0,5,354,0
11,6A,149,142,1,0,48,14,1,0,0,2,1,0,0,0,358,0,5,363,0
12,7,144,143,0,0,29,46,0,0,0,0,0,0,0,0,362,0,3,365,0
13,7A,147,122,0,0,43,26,0,0,0,1,0,0,0,0,339,0,6,345,0
14,8,216,120,0,0,52,38,0,0,0,1,1,0,0,0,428,0,3,431,0
15,9,142,138,1,0,54,45,1,2,0,3,0,2,0,1,389,0,8,397,2
16,9A,176,144,0,0,55,20,0,1,0,2,0,0,0,0,398,0,4,402,0
17,10,197,129,0,0,48,48,0,2,0,7,0,1,0,0,432,0,3,435,0
18,10A,210,127,1,0,43,23,0,0,0,3,0,2,0,0,409,0,3,412,0
19,11,171,134,2,0,36,41,0,0,0,2,0,1,0,0,387,0,4,391,0
