Sl. No,Polling Station No,MAULAANA.JMH AASSAN National Congress Indian,VELU.C Party Samaj Bahujan,KANCHANA.R Murpokku Katchi Makkal Tamizhaga,GEETHA Party Generation People’s New,KEERTHANA.M Katchi Tamilar Naam,CHANDRAN.A Katchi Makkal MGR,"® BABU,IAS Dr.SANTHOSH Maiam Needhi Makkal",JAYAKUMARI.V.L REVATHI Ilangyar katchi Tamilnadu,PAUL.J VICTOR of (Athawale) Party Republican India,VENKATESHAN.D Katchi Makkal Arasiyal Anaithu,YESUDASAN.G Independent,KANNAN.K Independent,GOKUL.S Independent,SIVARAMAN.V Independent,AZHAGAN.A TAMIL Independent,MAHALAKSHMI.N Independent,BALAJI MURALI Independent,VIGNESH.M Independent,VETRISELVAN.A Independent,KANNAN.S JOTHI Independent,HARIHARAN.V Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1,191,114,1,0,0,25,4,0,29,1,0,0,0,0,0,0,1,0,0,0,0,0,0,366,0,6,372,0
2,1(A),145,187,2,0,3,18,3,0,29,1,0,0,0,0,0,0,1,0,0,0,0,0,0,389,0,0,389,0
3,2,145,124,0,0,0,35,6,1,24,4,1,0,0,1,0,0,0,0,0,0,0,1,0,342,0,6,348,0
4,2(A),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,167,136,0,0,1,34,2,0,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,2,390,0
6,3(A),139,145,0,0,0,23,2,0,55,4,0,0,0,1,0,2,3,0,1,0,0,1,0,376,0,7,383,0
7,4,171,148,0,0,0,38,3,0,49,1,0,0,1,0,0,0,0,0,0,0,0,0,1,412,0,4,416,0
8,4(A),145,151,1,0,2,20,4,0,52,1,0,0,0,0,0,0,1,1,1,0,0,0,1,380,0,7,387,0
9,5,126,143,2,0,3,31,6,0,36,1,0,0,0,0,0,1,0,0,0,0,0,0,0,349,0,6,355,0
10,6,208,120,1,1,0,41,3,0,74,1,0,0,0,0,0,1,2,1,2,0,0,0,0,455,0,4,459,0
11,7,312,190,3,0,0,39,5,1,118,9,0,0,0,0,0,0,0,0,0,1,0,0,0,678,0,9,687,0
12,8,127,97,0,0,2,24,4,0,51,1,0,0,0,0,0,2,0,0,0,0,0,0,2,310,0,6,316,0
13,9,150,99,0,1,0,34,7,0,56,5,0,0,0,0,0,0,0,0,0,1,0,0,0,353,0,3,356,0
14,9(A),108,122,0,0,0,28,3,0,45,3,0,0,0,0,0,0,3,1,0,0,0,2,0,315,0,4,319,0
15,10,192,158,0,1,0,62,4,0,97,4,1,0,0,0,0,1,0,0,0,0,0,0,0,520,0,3,523,0
16,11,184,82,3,0,1,66,9,0,19,5,0,0,0,0,0,1,0,0,0,0,0,0,0,370,0,3,373,0
17,11(A),180,133,0,0,3,26,4,0,15,2,0,0,0,0,0,0,1,0,0,0,0,1,2,367,0,4,371,0
18,12,228,108,1,1,1,56,14,1,16,1,0,1,0,0,0,0,1,0,0,0,2,1,1,433,0,3,436,0
19,13,167,77,0,0,0,42,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,309,0,1,310,0
20,13(A),181,110,0,0,3,22,2,0,11,0,0,0,0,1,0,0,2,1,0,0,0,0,0,333,0,3,336,0
21,14,243,149,2,0,0,68,3,0,31,1,0,0,0,0,0,2,4,1,0,0,0,1,0,505,0,5,510,0
22,15,272,186,1,0,4,103,9,1,42,2,0,1,0,0,1,3,0,3,0,0,0,0,0,628,0,4,632,0
23,16,262,208,4,0,2,74,8,0,29,0,1,0,0,1,0,1,1,0,0,0,0,0,1,592,0,5,597,0
24,17,287,246,2,0,4,68,4,1,22,2,1,0,0,0,1,2,0,1,0,0,0,1,1,643,0,2,645,0
25,18,167,100,2,0,0,48,5,0,34,1,0,0,0,1,0,0,2,0,0,0,0,0,0,360,0,2,362,0
26,18(A),220,167,0,0,3,14,2,0,22,2,0,0,0,1,0,0,1,0,0,0,0,0,1,433,0,1,434,0
27,19,137,133,0,0,3,71,8,0,21,5,0,0,0,0,0,2,0,0,0,0,0,0,0,380,0,3,383,0
28,19(A),151,196,1,2,2,37,12,0,29,2,0,0,1,0,0,1,0,0,0,0,0,0,0,434,0,2,436,0
29,20,177,187,1,0,0,42,6,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,1,438,0,5,443,0
30,20(A),178,213,2,0,7,44,8,0,26,1,1,0,0,1,1,0,1,1,1,0,0,0,1,486,0,5,491,0
31,21,205,141,1,0,0,31,3,0,91,3,0,1,0,0,0,0,0,0,0,0,0,1,0,477,0,5,482,0
32,22,270,105,0,0,0,33,4,0,24,1,0,0,0,1,0,0,0,0,0,0,0,1,2,441,0,3,444,0
33,23,169,136,1,1,2,59,11,0,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,2,439,0
34,23(A),165,173,2,1,1,29,12,0,37,2,0,0,0,0,1,1,2,2,0,0,0,0,0,428,0,1,429,0
35,24,148,161,0,0,0,49,3,0,31,1,0,0,0,0,0,1,1,0,0,0,0,0,0,395,0,8,403,0
36,24(A),137,173,1,0,1,28,1,0,35,1,0,0,1,0,0,0,1,0,0,0,0,0,1,380,0,4,384,0
37,25,179,128,0,0,1,81,8,0,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,432,0,1,433,0
38,25(A),168,146,0,0,0,46,4,0,30,1,0,1,0,0,0,1,5,2,1,0,0,0,0,405,0,5,410,0
39,26,128,141,3,0,3,58,13,0,18,2,0,0,0,0,0,1,1,0,0,0,0,0,0,368,0,3,371,0
40,26(A),120,179,3,0,2,41,21,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,4,405,0
41,27,105,142,1,0,0,59,18,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,350,0
42,27(A),98,167,3,0,0,31,11,1,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,333,0,2,335,0
43,28,160,137,0,0,0,55,5,0,33,5,0,0,0,0,0,1,0,0,0,0,0,0,0,396,0,2,398,0
44,28(A),119,165,3,0,1,29,4,0,44,4,0,0,0,0,0,0,0,0,0,1,0,0,3,373,0,3,376,0
45,2299,128,199,0,0,1,47,12,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,409,0,6,415,0
46,29(A),117,202,0,0,0,24,11,0,22,1,0,0,0,0,1,1,0,0,0,0,0,2,2,383,0,5,388,0
47,30,176,157,2,0,0,68,7,1,27,1,0,0,0,0,1,1,0,0,0,0,0,0,0,441,0,4,445,0
48,30(A),173,241,0,0,1,35,5,0,35,0,0,2,0,0,0,0,1,0,0,0,0,0,0,493,0,3,496,0
49,31,111,135,2,0,0,27,2,0,68,3,0,0,0,0,0,0,0,0,0,0,0,1,0,349,0,6,355,0
50,31(A),106,138,2,0,1,16,2,0,91,1,1,0,0,0,2,0,0,0,0,0,0,1,0,361,0,4,365,0
51,32,139,134,0,0,0,29,1,0,63,1,0,0,0,0,0,2,0,1,0,0,0,0,0,370,0,4,374,0
52,32(A),121,118,1,1,0,17,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,4,328,0
53,33,110,136,0,0,0,18,3,0,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,317,0,6,323,0
54,33(A),89,131,3,0,0,11,2,0,66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,303,0,1,304,0
55,34,153,217,0,0,0,16,7,0,128,4,0,1,0,0,0,0,0,0,0,0,0,1,2,529,0,9,538,0
56,35,108,175,0,0,1,19,5,0,51,2,0,0,0,0,0,0,0,0,0,0,2,0,0,363,0,8,371,0
57,35(A),78,154,1,0,0,11,1,0,79,2,1,0,0,0,0,1,0,0,2,0,0,0,1,331,0,5,336,0
58,36,82,222,0,0,1,19,3,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,10,401,0
59,36(A),65,224,1,0,0,14,1,0,75,1,0,0,0,0,0,0,0,0,2,0,0,0,0,383,0,2,385,0
60,37,167,218,2,0,0,21,1,0,104,3,1,0,1,0,1,0,0,0,0,0,0,0,0,519,0,1,520,0
61,38,100,151,4,0,0,14,2,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,2,325,0
62,38(A),85,161,2,0,1,10,0,0,74,2,0,0,1,0,0,0,0,0,1,0,0,0,0,337,0,3,340,0
63,39,109,144,2,0,0,23,3,0,76,1,0,0,0,0,0,1,0,0,0,0,0,0,0,359,0,3,362,0
64,39(A),92,138,0,0,0,15,3,1,83,1,0,0,0,0,1,2,0,0,0,0,0,0,1,337,0,5,342,0
65,40,158,117,2,0,0,33,3,0,79,2,0,0,0,0,0,0,0,0,1,0,0,0,0,395,0,10,405,0
66,40(A),133,121,0,0,0,28,1,0,80,0,0,0,0,0,0,1,1,0,1,1,0,1,1,369,0,3,372,0
67,41,117,110,0,0,0,21,1,0,61,0,0,0,0,0,0,0,0,0,1,0,0,0,1,312,0,2,314,0
68,41(A),97,85,1,0,1,13,0,0,64,1,0,0,0,0,1,0,0,1,0,0,0,0,1,265,0,2,267,0
69,42,122,96,1,0,0,21,2,0,51,1,0,0,0,0,0,1,0,0,0,0,0,0,0,295,0,2,297,0
70,42(A),106,104,0,0,0,14,2,0,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,3,289,0
71,43,142,133,1,0,0,38,3,0,81,1,0,0,0,0,0,0,0,0,0,0,0,0,2,401,0,3,404,0
72,43(A),116,108,0,0,0,19,5,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,3,332,0
73,44,164,128,1,0,0,44,8,0,79,1,0,0,1,0,0,1,0,1,0,0,0,1,0,429,0,3,432,0
74,44(A),153,126,0,1,2,26,3,0,78,2,0,0,0,0,0,0,1,0,1,1,0,2,0,396,0,5,401,1
75,45,240,156,1,1,2,52,7,0,60,2,0,0,0,0,0,0,1,0,0,0,0,0,1,523,0,3,526,0
76,46,163,153,0,0,1,42,0,0,67,4,0,0,1,1,0,0,0,1,0,0,0,0,0,433,0,6,439,0
77,47,154,111,0,0,0,35,6,0,78,2,0,0,0,1,0,1,0,0,0,0,0,0,0,388,0,4,392,0
78,47(A),135,121,0,1,0,20,5,0,78,1,1,1,0,0,0,0,1,0,0,0,0,0,0,364,0,6,370,0
79,48,138,118,1,0,0,35,8,0,69,2,0,1,0,0,1,0,0,0,0,0,0,0,0,373,0,4,377,0
80,48(A),129,121,2,0,2,25,6,0,94,0,0,0,0,0,3,0,1,0,0,0,0,0,0,383,0,2,385,0
81,49,142,90,0,0,0,26,10,0,35,5,0,0,0,0,0,0,0,0,1,0,0,0,0,309,0,2,311,0
82,49(A),125,108,0,1,0,13,13,0,37,1,0,0,0,0,1,0,1,0,0,0,0,0,0,300,0,1,301,0
83,50,140,96,0,0,0,36,6,0,40,2,0,0,0,0,1,1,0,0,0,0,0,0,0,322,0,4,326,0
84,50(A),134,112,0,1,0,18,2,0,43,2,0,0,0,0,0,2,0,0,0,0,0,0,0,314,0,2,316,0
85,51,192,131,2,0,0,41,6,0,31,3,0,0,0,0,1,0,0,0,0,0,0,0,0,407,0,3,410,0
86,51(A),204,145,2,1,2,38,6,0,33,4,0,1,0,0,1,1,0,0,0,0,0,1,1,440,0,0,440,0
87,52,221,93,0,0,0,34,2,0,26,3,0,0,0,0,0,1,0,0,0,0,0,0,0,380,0,2,382,0
88,52(A),219,97,2,2,2,26,1,1,23,4,1,1,1,0,0,0,0,1,1,0,0,0,0,382,0,1,383,0
89,53,133,146,0,0,2,51,2,0,52,1,0,0,0,0,0,0,1,0,1,0,0,1,0,390,0,10,400,0
90,53(A),107,177,1,0,0,22,4,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,6,365,0
91,54,134,132,1,0,1,45,7,0,46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,368,0,3,371,0
92,54(A),115,148,3,0,1,27,4,0,52,2,0,1,0,1,0,0,0,0,0,0,1,0,0,355,0,1,356,0
93,55,148,121,0,0,0,36,6,1,40,6,0,0,0,0,1,0,0,0,0,0,0,0,0,359,0,4,363,0
94,55(A),125,144,0,0,1,24,5,0,65,1,1,0,0,0,1,0,1,1,0,0,0,0,0,369,0,7,376,0
95,56,157,108,1,0,1,41,3,0,58,1,0,0,0,0,0,1,0,0,0,0,0,0,0,371,0,1,372,0
96,56(A),152,122,0,1,1,27,2,0,61,0,0,0,1,0,0,0,0,1,0,0,0,0,0,368,0,2,370,0
97,57,134,137,1,0,0,38,4,0,50,2,0,0,0,0,1,0,1,0,0,0,0,0,0,368,0,4,372,0
98,57(A),129,137,1,1,0,27,5,0,63,0,0,0,0,0,1,2,1,0,0,0,0,0,0,367,0,3,370,0
99,58,148,118,2,0,0,52,7,0,29,2,0,0,0,1,0,0,0,0,0,0,0,0,0,359,0,6,365,0
100,58(A),149,118,2,1,0,42,2,1,31,2,0,0,0,0,0,1,1,0,0,1,0,0,1,352,0,5,357,0
101,59,128,107,1,0,0,30,9,0,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,3,331,0
102,59(A),124,105,0,1,0,22,4,0,40,1,1,0,0,0,0,3,1,1,1,0,0,0,0,304,0,2,306,0
103,60,183,107,0,0,0,45,0,0,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,3,373,0
104,60(A),155,109,0,0,0,36,3,0,34,2,0,0,0,0,0,0,0,0,1,0,0,0,0,340,0,2,342,0
105,61,143,116,2,0,1,61,4,0,52,0,0,0,0,1,0,1,0,0,1,0,1,0,0,383,0,4,387,0
106,61(A),119,140,2,0,0,25,3,0,63,4,0,0,1,0,0,0,1,0,0,0,1,0,0,359,0,1,360,0
107,62,172,124,0,0,1,44,9,0,65,1,0,0,1,0,0,0,0,0,0,0,0,0,0,417,0,8,425,0
108,62(A),154,117,2,0,0,32,7,0,64,2,0,0,0,0,1,1,1,0,0,0,0,0,0,381,0,2,383,0
109,63,128,110,2,0,0,19,4,0,61,1,0,0,0,1,0,0,0,0,3,0,0,0,0,329,0,6,335,0
110,64,114,135,0,0,0,16,0,0,61,4,0,0,0,0,0,1,0,1,0,0,0,0,0,332,0,4,336,0
111,65,175,144,0,1,0,55,12,0,26,2,0,0,0,0,0,1,0,1,0,0,0,0,0,417,0,3,420,0
112,65(A),192,207,2,0,1,46,16,1,25,0,2,0,0,0,0,2,2,1,1,0,1,0,0,499,0,1,500,0
113,66,166,123,0,0,1,49,10,0,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,166,580,0
114,66(A),143,137,0,0,1,35,2,0,62,3,0,0,1,0,0,1,1,0,0,0,0,0,0,386,0,143,529,0
115,67,198,126,1,0,1,27,3,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,198,637,0
116,68,130,127,1,0,2,54,8,0,29,2,0,0,0,0,0,1,0,1,1,0,0,0,0,356,0,130,486,0
117,68(A),134,175,1,0,0,30,7,0,25,1,0,0,0,0,1,0,2,0,0,1,0,0,0,377,0,134,511,0
118,69,141,144,1,1,1,39,2,0,34,2,0,0,0,0,0,0,1,0,0,0,0,0,0,366,0,141,507,0
119,69(A),105,196,2,1,1,23,1,0,37,1,0,1,0,0,0,0,1,1,0,0,0,0,1,371,0,105,476,0
120,70,187,116,1,0,0,41,2,2,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,187,608,0
121,70(A),160,143,1,1,2,20,3,1,60,1,0,1,0,0,0,0,0,1,0,0,0,1,0,395,0,160,555,0
122,71,143,78,0,0,0,36,5,0,45,4,0,0,0,0,0,0,0,0,0,0,0,1,0,312,0,143,455,0
123,71(A),131,90,1,0,0,16,2,0,62,0,0,0,0,0,0,1,2,0,0,0,0,0,1,306,0,131,437,0
124,72,140,130,1,0,1,52,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,140,523,0
125,72(A),109,167,0,0,1,20,1,0,43,1,0,1,0,0,0,1,2,0,0,1,0,0,0,347,0,109,456,0
126,73,100,128,0,0,0,17,0,1,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,100,435,0
127,74,81,150,1,0,0,22,5,0,32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,293,0,81,374,0
128,74(A),72,171,0,0,1,15,4,0,38,1,0,0,0,0,0,2,0,0,0,0,0,0,0,304,0,72,376,0
129,75,175,183,2,0,0,42,3,0,32,2,0,0,0,0,2,0,0,0,0,0,0,0,0,441,0,175,616,0
130,76,168,131,0,0,0,61,3,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,168,564,0
131,76(A),170,165,1,1,0,32,1,0,40,3,0,0,0,0,0,0,2,0,0,0,0,0,1,416,0,170,586,0
132,77,143,101,0,0,0,42,4,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,143,466,0
133,77(A),142,101,0,2,1,41,7,0,25,2,1,0,0,0,0,0,1,0,0,1,0,1,1,326,0,142,468,0
134,78,100,90,0,0,1,13,5,0,35,0,0,0,0,0,0,0,0,0,1,0,1,0,0,246,0,100,346,0
135,78(A),101,93,1,1,0,10,5,0,38,0,0,0,0,0,0,0,1,0,0,0,1,0,0,251,0,101,352,0
136,79,164,109,0,0,0,62,4,0,35,2,0,1,0,0,0,1,1,1,0,0,0,0,0,380,0,164,544,0
137,79(A),160,168,1,0,0,45,4,1,27,2,1,2,0,0,0,2,0,0,0,1,0,0,2,416,0,160,576,0
138,80,106,165,0,0,1,31,6,0,69,1,0,0,0,0,0,0,0,0,1,0,0,0,0,380,0,106,486,0
139,80(A),97,162,1,0,0,12,5,0,67,2,0,1,0,0,1,1,0,1,0,0,0,0,0,350,0,97,447,0
140,81,201,143,0,0,0,34,4,1,72,3,0,0,0,0,0,0,1,0,0,0,0,0,0,459,0,201,660,0
141,81(A),182,147,1,1,0,22,4,1,62,3,0,1,0,0,0,0,2,2,1,1,0,0,1,431,0,182,613,0
142,82,167,86,0,0,0,41,8,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,167,507,0
143,82(A),129,106,1,0,0,15,5,0,28,0,0,0,0,0,0,0,2,1,1,0,0,0,0,288,0,129,417,0
144,83,207,102,0,0,0,26,6,0,63,1,0,0,0,0,0,0,1,1,0,0,0,0,0,407,0,207,614,0
145,83(A),186,90,3,0,0,13,6,1,43,1,0,0,0,0,1,0,1,0,0,0,0,0,0,345,0,186,531,0
146,84,152,152,0,0,0,38,7,0,62,4,0,1,0,0,0,0,0,0,0,0,0,1,0,417,0,152,569,0
147,85,129,171,2,0,0,19,2,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,129,515,0
148,85(A),106,180,0,1,0,18,2,0,71,0,0,0,0,0,0,1,0,1,0,0,0,0,0,380,0,106,486,0
149,86,155,147,1,1,0,20,1,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,155,550,0
150,86(A),128,136,0,0,1,16,1,0,67,1,0,0,1,0,0,0,1,1,1,0,0,0,0,354,0,128,482,0
151,87,120,132,2,0,0,9,3,1,66,0,0,0,0,0,0,0,1,1,0,0,0,2,0,337,0,120,457,0
152,87(A),114,121,0,0,0,8,1,0,67,0,0,0,0,1,0,1,0,0,0,0,0,0,0,313,0,114,427,0
