Polling Station No.,Building,Polling Areas
1,"ST BRITTOS ACADEMY ,NETHAJI SALAI,VELACHERY WEST CHENNAI -600042",1. Velachery New Ward No.177 Periyar nagar 1st street 2. Velachery New Ward No.177 Periyar Nagar 1st Cross Street 3. Velachery New Ward No.177 Periyar Nagar 2nd Street 4. Velachery New Ward No.177 Periyar Nagar 3rd Street 999. OVERSEAS ELECTORS.
2,"ST BRITTOS ACADEMY ,NETHAJI SALAI,VELACHERY WEST CHENNAI -600042",1. Velachery New Ward No.177 Periyar Nagar 3rd Cross Street 2. Velachery New Ward No.178 Periyar Nagar 4th Street 3. Velachery New Ward No.177 Periyar nagar 5th street 4. Velachery New Ward No.177 Periyar Nagar 6th Street 5. Velachery New Ward No.177 Periyar Nagar 7th Street 6. Velachery New Ward No.177 Periyar Nagar 8th Street 7. Velachery New Ward No.177 Periyar Nagar 9th Street 8. Velachery New Ward No.177 Periyar Nagar 10th Street 9. Velachery New Ward No.177 Periyar Nagar 11th Street 10. Velachery New Ward No.177 Periyar Nagar Main Cross Street 999. OVERSEAS ELECTORS.
3,"ST BRITTOS ACADEMY ,NETHAJI SALAI,VELACHERY WEST CHENNAI -600042",1. Velachery New Ward No.177 TNHB Apartments Door No 1-300 999. OVERSEAS ELECTORS.
4,"ST BRITTOS ACADEMY ,NETHAJI SALAI,VELACHERY WEST CHENNAI -600042",1. Velachery New Ward No.177TNHB Apartments Door No 301 -600 999. OVERSEAS ELECTORS.
5,"ASSISTANT ENGINEER OFFICE,CHENNAI METROPOLITICAN WATER SUPPLY AND SEWAGE BOARD,VELACHERY CHENNAI-600042.",1. Velachery New Ward No.177 TNHB Apartments Door No 601 -750 999. OVERSEAS ELECTORS.
6,"ST BRITTOS ACADEMY ,NETHAJI SALAI,VELACHERY WEST CHENNAI -600042",1. Velachery New Ward No.177 TNHB Apartments Door No 751 -900 999. OVERSEAS ELECTORS.
7,"ST BRITTOS ACADEMY ,NETHAJI SALAI,VELACHERY WEST CHENNAI -600042",1. Velachery New Ward No.177 TNHB Apartments Door No 901-1195 999. OVERSEAS ELECTORS.
8,"ST BRITTOS ACADEMY ,NETHAJI SALAI,VELACHERY WEST CHENNAI -600042",1. Velachery New ward no. 178 TNHB Apartments Door No 1196-1231 999. OVERSEAS ELECTORS.
9,"ST BRITTOS ACADEMY ,NETHAJI SALAI,VELACHERY WEST CHENNAI -600042",1. Velachery New Ward No.177 TNHB Apartments Door No 1232-1426 999. OVERSEAS ELECTORS.
10,"ST BRITTOS ACADEMY ,NETHAJI SALAI,VELACHERY WEST CHENNAI -600042",1. Velachery New ward no. 177 TNHB Apartments Door No1427-End 999. OVERSEAS ELECTORS.
11,"ST BRITTOS ACADEMY ,NETHAJI SALAI,VELACHERY WEST CHENNAI -600042",1. Velachery Ward No. 177 Ambedkar Nagar Door No 1 to 250 999. OVERSEAS ELECTORS.
12,"ST BRITTOS ACADEMY ,NETHAJI SALAI,VELACHERY WEST CHENNAI -600042",1. Velachery Ward No. 177 Ambedkar Nagar Door No 251 to 500 999. OVERSEAS ELECTORS.
13,"ST BRITTOS ACADEMY ,NETHAJI SALAI,VELACHERY WEST CHENNAI -600042",1. Velachery New Ward No.177 Ambedkar Nagar Door No 501 to 750 999. OVERSEAS ELECTORS.
14,"CHENNAI PRIMARY SCHOOL, TNHB 3RD AVENUE,VELACHERY,CHENNAI-600042.",1. Velachery New Ward No.177 Ambedkar Nagar Door No 751 to 1000 999. OVERSEAS ELECTORS.
15,"CHENNAI PRIMARY SCHOOL, TNHB 3RD AVENUE,VELACHERY,CHENNAI-600042.",1. Velachery New Ward No.177 Ambedkar Nagar Door No 1001 to 1250 999. OVERSEAS ELECTORS.
16,"CHENNAI PRIMARY SCHOOL, TNHB 3RD AVENUE,VELACHERY,CHENNAI-600042.",1. Velachery New Ward No.177 Ambedkar Nagar Door No 1251 to 1500 999. OVERSEAS ELECTORS.
17,"CHENNAI PRIMARY SCHOOL, TNHB 3RD AVENUE,VELACHERY,CHENNAI-600042.",999. OVERSEAS ELECTORS.
18,"CHENNAI PRIMARY SCHOOL, TNHB 3RD AVENUE,VELACHERY,CHENNAI-600042.",1. Velachery Ward 177 Ambedkar Nagar Door No 1771-2000 999. OVERSEAS ELECTORS.
19,"CHENNAI PRIMARY SCHOOL, TNHB 3RD AVENUE,VELACHERY,CHENNAI-600042.",1. Velachery New Ward No.177 Ambedkar Nagar Door No 2001 to 2300 999. OVERSEAS ELECTORS.
20,"CHENNAI PRIMARY SCHOOL, TNHB 3RD AVENUE,VELACHERY,CHENNAI-600042.",1. Velachery New Ward No.177 Ambedkar Nagar Door No 2301 to 2753 999. OVERSEAS ELECTORS.
21,"LITTLE FLOWER NURSERY & PRIMARY SCHOOL NGO COLONY ADAMBAKKAM,CHENNAI-600088.",1. Velachery New Ward No.177 N G O Colony 1st Main Road 2. Velachery New Ward No.177 N G O Colony 2 Main Road 3. Velachery New Ward No.177 N G O Colony 3rd Cross Street 4. Velachery New Ward No.177 N G O Coleny 4th Cross Street 5. Velachery New Ward No.177 Secretariat Colony 1st Main Rodad 6. Velachery New Ward No.177 Secretariat Colony 2nd Main Road 7. Velachery New Ward No.177 Secretariat colony 1st cross street 8. Velachery New Ward No.177 Secretariat Colony Maduvangarai Road 9. Velachery New Ward No.177 Secretariat colony City Limit Road 999. OVERSEAS ELECTORS.
22,"LITTLE FLOWER NURSERY & PRIMARY SCHOOL NGO COLONY ADAMBAKKAM,CHENNAI-600088.",1. 10.Velachery New Ward No.177 Indira Gandhi Nagar 2nd Street 2. Velachery New Ward No.177 Indira Gandi Nagar 3rd Street 3. Velachery New Ward No.177 Indira Gandhi Nagar 4th Street 4. Velachery New Ward No.177 Indira Gandhi Nagar 5th Street 5. Velachery New Ward No.177 Indira Gandhi Nagar 6th Street 6. Velachery New Ward No.177 Indira Gandhi Nagar 1st Street 999. OVERSEAS ELECTORS.
23,"LITTLE FLOWER NURSERY & PRIMARY SCHOOL NGO COLONY ADAMBAKKAM,CHENNAI-600088.",1. Velachery New Ward No.177 Thriu vi Ka Street Nehru Nagar 2. Velachery New Ward No.177 Thiruvalluvar Street Nehru Nagar 3. Velachery New Ward No.177 Elango Street Nehru Nagar 4. Velachery New Ward No.177 Awaiyar Street Nehru Nagar 999. OVERSEAS ELECTORS.
24,"LITTLE FLOWER NURSERY & PRIMARY SCHOOL NGO COLONY ADAMBAKKAM,CHENNAI-600088.",1. Velachery New Ward No.177 Bharathiyar Street Nehru Nagar 2. Velachery New Ward No.177 Bashiam Layout Main Road Ganesh Nagar 3. Velachery New Ward No.177 Bashiyam Layout 1st Cross Street 4. Velachery New Ward No.177 B S N L Quatrs Nethaji Salai 5. Velachery New Ward No.177 Gandhiyar Street Nehru Nagar 6. Velachery New Ward No.177 Sathiyavani Muthu Street 999. OVERSEAS ELECTORS.
25,"LITTLE FLOWER NURSERY & PRIMARY SCHOOL NGO COLONY ADAMBAKKAM,CHENNAI-600088.","1. Kodungaiyur , 1.Kodungaiyur New Ward No.177 Karunanithi street 999. OVERSEAS ELECTORS."
26,"LITTLE FLOWER NURSERY & PRIMARY SCHOOL NGO COLONY ADAMBAKKAM,CHENNAI-600088.","1. Velachery New Ward No.177 Kambar Street, Nehru Nagar 2. Velachery New Ward No.177 Kamaraj Street, Nehru Nagar 3. Velachery New Ward No.177 A.S.K. nagar 1st street 4. Velachery New Ward No.177 A.S.K. Nagar 2nd Street 999. OVERSEAS ELECTORS."
27,"LITTLE FLOWER NURSERY & PRIMARY SCHOOL NGO COLONY ADAMBAKKAM,CHENNAI-600088.","1. Velachery New Ward No.177 Mathiyazhagan street, nehru nagar 999. OVERSEAS ELECTORS."
28,"LITTLE FLOWER NURSERY & PRIMARY SCHOOL NGO COLONY ADAMBAKKAM,CHENNAI-600088.","1. Velachery New Ward No.177 Nethaji Road,Nehru Nagar 2. Velachery New Ward No.177 A.L Mudali Street Nehru Nagar 3. Velachery New Ward No.177 A.L Mudali 1st Street Nehru Nagar 999. OVERSEAS ELECTORS."
29,"LITTLE FLOWER NURSERY & PRIMARY SCHOOL NGO COLONY ADAMBAKKAM,CHENNAI-600088.",1. Velachery New Ward No.177 A.L Mudali 2nd Street Nehru Nagar 2. Velachery New Ward No.177 Kannagi Street Nehru Nagar 3. Velachery New Ward No.177 Kannagi Street Extension Nehru Nagar 4. Velachery New Ward No.177 Anna Street Nehru Nagar 999. OVERSEAS ELECTORS.
30,"GK CHETTY HINDU VIDYALAYA HR SEC SCHOOL,MOHANAPURI,ADAMBAKKAM CHENNAI- 600088.",1. Velachery New Ward No.177 Erikkarai Gandhi Nagar Huts area 2. Velachery New Ward No.177 Erikkarai Road Extn Street Brindavan Nag 999. OVERSEAS ELECTORS.
31,"GK CHETTY HINDU VIDYALAYA HR SEC SCHOOL,MOHANAPURI,ADAMBAKKAM CHENNAI- 600088.",1. Velachery New Ward No.177 Brindavan Nagar Extn Vivekananda Street 2. Velachery New Ward No.177 Brindavan Nagar Extn 2nd Street 3. Velachery New Ward No.177 Brindavan Nagar Extn 2nd Street 4. Velachery New Ward No.177 Brindavan Nagar Extn 3rd Street 5. Velachery New Ward No.177 Brindavan Nagar Extn 4th Street 6. Velachery New Ward No.177 Brindavan Nagar Extn 5th Street 7. Velachery New Ward No.177 Brindavan Nagar Extn 6th Street 8. Velachery New Ward No.177 New N G O Colony 1st Cross Street 9. Velachery New Ward No.177 New N G O Colony 2nd Cross Street 10. Velachery New Ward No.177 New N G O Colony 3rd Cross Street 11. Velachery New Ward No.177 New N G O Colony 4th Cross Street 12. Velachery New Ward No.177 New N G O Colony 5th Cross Street 13. Velachery New Ward No.177 New N G O Colony 1st Main Road 14. Velachery New Ward No.177 New N G O Colony 2nd Main Road 999. OVERSEAS ELECTORS.
