Sl. No,Polling Station No,"SELVAPERUNTHAGAI, K NATIONAL CONGRESS INDIAN","E VINOTH, SAMAJ BAHUJAN PARTY","M THANIGAIVEL, NEEDHI MAKKAL MAIAM","D PUSHPARAJ, TAMILAR KATCHI NAAM","E LOKESH, MAKKAL KATCHI SAKTHI DESIYA","S SAROJA, INDEPENDENT","P SUDHAKAR, INDEPENDENT","K DEVARAJAN, INDEPENDENT","M PARTHIBAN, INDEPENDENT","V LEENA, INDEPENDENT","E VASANTHI, INDEPENDENT","R VEDHAGIRI, INDEPENDENT","D VAIRAMUTHU, INDEPENDENT",Votes,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1 M,248,130,2,2,48,3,0,1,0,11,0,0,0,0,10,3,458,0,458,0
2,1 A(W),210,150,1,3,16,2,0,2,0,4,0,0,0,3,9,15,415,0,415,0
3,2,310,257,4,2,42,3,0,1,1,1,1,0,1,1,8,4,636,0,636,0
4,3,183,335,2,4,27,5,0,0,0,1,0,0,1,0,5,6,569,0,569,0
5,4 M,137,234,5,0,43,9,0,0,0,0,0,0,0,0,5,1,434,0,434,0
6,4 A(W),147,265,4,3,7,6,0,1,0,0,0,0,0,1,2,4,440,0,440,0
7,5 M,164,205,8,4,31,6,0,1,0,3,0,0,0,0,2,4,428,0,428,0
8,5 A(W),181,208,2,2,17,4,0,0,0,0,0,0,0,0,8,6,428,0,428,0
9,6,144,267,4,6,30,5,0,0,0,0,0,0,0,1,0,1,458,0,458,0
10,7,177,443,19,2,40,10,0,1,0,2,0,1,0,1,13,3,712,0,712,0
11,8,386,128,3,8,51,11,0,0,0,1,0,0,1,0,1,4,594,0,594,0
12,9,161,182,2,2,45,11,0,0,0,1,0,0,0,1,7,7,419,0,419,0
13,10 M,209,134,3,2,70,2,0,0,0,0,0,0,0,0,6,2,428,0,428,0
14,10 A(W),189,215,3,1,23,1,0,1,0,0,0,1,0,0,3,2,439,0,439,0
15,11,407,313,7,5,105,4,0,0,0,1,1,0,1,0,6,8,858,0,858,0
16,12,116,439,1,5,37,5,0,0,0,0,0,0,1,0,1,2,607,0,607,0
17,13,221,412,0,4,71,8,0,0,0,1,0,0,0,1,9,8,735,0,735,0
18,14,129,308,0,0,10,5,0,0,0,0,0,0,0,0,9,1,462,0,462,0
19,15,254,177,5,0,31,11,0,4,0,0,0,0,1,0,18,4,505,0,505,0
20,16,81,164,1,6,6,4,0,0,0,0,0,0,0,0,0,1,263,0,263,0
21,17,243,252,2,0,16,3,0,0,0,0,0,1,0,0,0,2,519,0,519,0
22,18,197,205,2,2,30,2,0,0,0,0,0,1,0,1,3,4,447,0,447,0
23,19,234,361,2,4,33,15,0,0,0,0,0,3,0,0,2,6,660,0,660,0
24,20,203,452,4,1,16,4,0,0,0,0,0,0,1,0,1,2,684,0,684,0
25,21,166,385,2,6,38,7,5,1,0,2,0,0,1,0,0,10,623,0,623,0
26,22,252,430,4,3,73,15,0,1,0,0,0,0,1,0,11,2,792,0,792,0
27,23 M,275,201,0,4,46,3,0,1,0,0,2,0,0,0,4,1,537,0,537,0
28,23 A(W),263,217,1,5,13,4,0,0,0,1,3,0,1,1,5,3,517,0,517,0
29,24 M,178,291,0,2,22,14,0,0,1,0,0,0,0,0,2,4,514,0,514,0
30,24 A(W),175,315,1,1,9,11,0,0,0,1,0,0,0,1,3,4,521,0,521,0
31,25,213,397,0,1,13,9,0,0,0,0,0,0,0,0,2,3,638,0,638,0
32,26,353,435,1,2,25,7,0,0,0,0,0,0,1,0,4,8,836,0,836,0
33,27,293,369,5,5,42,20,0,0,0,6,0,2,0,0,2,3,747,0,747,0
34,28,225,232,0,5,23,10,0,1,0,0,0,0,0,0,3,3,502,0,502,0
35,29 M,198,237,0,3,46,4,0,0,0,0,0,0,0,0,2,1,491,0,491,0
36,29 A(W),268,241,1,5,22,0,0,0,0,0,1,0,0,0,3,5,546,0,546,0
37,30,76,105,0,6,20,9,0,0,0,0,0,1,0,0,1,3,221,0,221,0
38,31,346,105,0,17,33,59,0,0,0,0,0,1,0,1,2,3,567,0,567,0
39,32,327,157,4,21,61,52,1,1,1,0,0,0,0,1,2,6,634,0,634,0
40,33,266,170,1,20,55,41,0,0,0,0,0,0,0,0,0,4,557,0,557,0
41,34,300,230,2,8,65,136,0,1,1,1,0,1,1,0,7,7,760,0,760,0
