Polling Station No.,Building,Polling Areas
1,"Govt High School,Mannivakkam West Face, New Building South Part","1. Mannivakkam (P) and Mannivakkam (RV), Ward1 East Mada St, 2. Mannivakkam (P) and Mannivakkam (RV), Ward 1 West Mada Veethi, 3. Mannivakkam (P) and Mannivakkam (RV), Ward 1 North Mada St, 4. Mannivakkam (P) and Mannivakkam (RV), Ward 1 South Mada St, 999. OVERSEAS ELECTORS"
2,"Govt High School,Mannivakkam West Face, New building North Part","1. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Karaipoondiyamman Koil St, 2. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Kalaivanar St, 3. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Eswaran Koil St, 4. Mannivakkam (P) and Mannivakkam (RV), Ward1 Rasathi Kalaignar Kumaran St, 5. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Sindhu Nagar, 6. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Loganathan Nagar, 7. Mannivakkam (P) and Mannivakkam (RV), Ward 1 White field, 999. OVERSEAS ELECTORS"
3,"PUPS,Mannivakkam South Face, Centre Building East Part","1. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Karunanidhi KK Nagar, 2. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Indhirani Nagar, 3. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Ambedkar Nagar, 4. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Singaram Nagar, 999. OVERSEAS ELECTORS"
4,"PUPS,Mannivakkam West Face,North East Building South Part","1. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Kumaran Nagar, 2. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Kalaignar Karunanidhi St, 3. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Annal Ambedkar Nagar, 4. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Shanmugam Nagar Thiruvenkatam Nagar, 5. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Walajabad Road, 6. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Sri Krishna Nagar, 7. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Thiruvenkatam Nagar, 8. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Rajiv Street, 9. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Vivekanandan St, 10. Mannivakkam (P) and Mannivakkam (RV), Ward 1 Subhamangala Avenue, 11. Mannivakkam (P) and Mannivakkam (RV), Gowri Keerthivasan garden, 999. OVERSEAS ELECTORS"
5,"PUPS,Mannivakkam West Face, South East Building South Part","1. Mannivakkam (P) and Mannivakkam (RV), Ward 2 walaja road, 2. Mannivakkam (P) and Mannivakkam (RV), Ward 2 MGR St, 3. Mannivakkam (P) and Mannivakkam (RV), Ward 2 Rajiv St, 4. Mannivakkam (P) and Mannivakkam (RV), Ward 2 Thiruvalluvar St, 5. Mannivakkam (P) and Mannivakkam (RV), Ward 2 Kakkanji Street, 6. Mannivakkam (P) and Mannivakkam (RV), Ward 2 Periyar Street, 7. Mannivakkam (P) and Mannivakkam (RV), Ward 2 Bharathiyar Street, 999. OVERSEAS ELECTORS"
6,"Govt High School,Mannivakkam East Face, West Side Building South Part","1. Mannivakkam (P) and Mannivakkam (RV), Ward 2 Sanmuga Nagar, 2. Mannivakkam (P) and Mannivakkam (RV), Ward 2 Anna Nagar Karumariyamman Koil Street, 3. Mannivakkam (P) and Mannivakkam (RV), Ward 2 Ram Nagar, 4. Mannivakkam (P) and Mannivakkam (RV), Ward 2 Ram Nagar, 5. Mannivakkam (P) and Mannivakkam (RV), Ward 2 Anna St, 6. Mannivakkam (P) and Mannivakkam (RV), SRI BALAJI NAGAR, 7. Mannivakkam (P) and Mannivakkam (RV), JAYAPRAKASH NAGAR, 999. OVERSEAS ELECTORS"
7,"Govt High School,Mannivakkam East Face, West Side Building Centre South Part","1. Mannivakkam (P) and Mannivakkam (RV), SRI KRISHNA NAGAR, 2. Mannivakkam (P) and Mannivakkam (RV), SWAMI VIVEKANANDA NAGAR, 3. Mannivakkam (P) and Mannivakkam (RV), Vallalar Nagar, 4. Mannivakkam (P) and Mannivakkam (RV), SRI VENGADESVARA NAGAR, 5. Mannivakkam (P) and Mannivakkam (RV), THIRUVENGADAM NAGAR, 6. Mannivakkam (P) and Mannivakkam (RV), KRISHNAVIJAYAM NAGAR, 7. Mannivakkam (P) and Mannivakkam (RV), THANGAVELU NAGAR, 8. Mannivakkam (P) and Mannivakkam (RV), PONNUSAMY NAGAR, 9. Mannivakkam (P) and Mannivakkam (RV), SUNTHAR NAGAR, 10. Mannivakkam (P) and Mannivakkam (RV), ENTHIRANI NAGAR, 11. Mannivakkam (P) and Mannivakkam (RV), MANIVAKAM KIRAMA SALAI, 12. Mannivakkam (P) and Mannivakkam (RV), MUDICHIR SALAI, 13. Mannivakkam (P) and Mannivakkam (RV), PANDIYAM STREET, 14. Mannivakkam (P) and Mannivakkam (RV), AMBETHGAR STREET, 15. Mannivakkam (P) and Mannivakkam (RV), KARUMARIAMMAN KOVIL STREET, 999. OVERSEAS ELECTORS"
8,"Govt High School,Mannivakkam East Face, West Building North Part","1. Mannivakkam (P) and Mannivakkam (RV), Ward 3 Ram Nagar, 2. Mannivakkam (P) and Mannivakkam (RV), Ward 3 Walaja Salai, 3. Mannivakkam (P) and Mannivakkam (RV), Ward 3 Ambedkar Street, 4. Mannivakkam (P) and Mannivakkam (RV), Ward 3 Metu Street, 999. OVERSEAS ELECTORS"
9,"Govt High School,Mannivakkam East Face, Noth West Building South Part","1. Mannivakkam (P) and Mannivakkam (RV), Ward 3 Thiruvalluvar Street, 2. Mannivakkam (P) and Mannivakkam (RV), Ward 3 M G R Street, 3. Mannivakkam (P) and Mannivakkam (RV), Ward 3 Singara thottam, 4. Mannivakkam (P) and Mannivakkam (RV), Ward 3 Loganathan Nagar, 5. Mannivakkam (P) and Mannivakkam (RV), Ward3 Kannan Nagar, 6. Mannivakkam (P) and Mannivakkam (RV), Ward3 Vivekanandar Street, 7. Mannivakkam (P) and Mannivakkam (RV), PUTHU NAGAR, 999. OVERSEAS ELECTORS"
10,"Govt High School,Mannivakkam East Face, NorthWest Side Building Centre Part","1. Mannivakkam (P) and (RV), Ward 3 Anna St, 2. Mannivakkam (P) and (RV), Ward 3 shanmuga nagar, 3. Mannivakkam (P) and (RV), Ward 3 Walaja road, 4. Mannivakkam (P) and (RV), Ward 3 Periyar street, 5. Mannivakkam (P) and (RV), Ward 3 Swami vivekanantha nagar, 999. OVERSEAS ELECTORS"
