Sl. No,Polling Station No,SAMAJ M.GIRIDHARAN BSP-BAHUJAN PARTY,CONGRESS A.M.MUNIRATHINAM INC-INDIAN NATIONAL,KATCHI A.M.KRISHNAN PMK-PATTALI MAKKAL,TAMILAR PAVENDHAN NTK-NAAM KATCHI Y.R,VISWANATHADOSS THOZHILALARGAL VTVTK-VEERATH VINOTH THIYAGI KATCHI R,IYAKKAM SIRUPANMAYINAR VIJAYAKUMAR DSMI-DESIYA MAKKAL G,NEEDHI MNM-MAKKAL JAWAHAR MAIAM R,IND-Independent T.RAJENDRAN,IND-Independent R.ELUMALAI,IND-Independent K.SEKAR,IND-Independent PALANI A,IND-Independent P.PARTHIBAN,IND-Independent BALAJI J,IND-Independent K.MANI,IND-Independent N.MANI,C.MUNIRATHINAM IND-Independent,M.MUNIRATHINAM IND-Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1M,0,138,328,32,16,1,0,0,6,1,0,1,1,0,0,0,0,0,524,0,4,528,0
2,1A(W),2,156,286,41,2,0,0,1,11,1,1,3,1,3,4,1,1,1,515,0,3,518,0
3,2,0,392,323,22,27,0,2,3,8,1,1,0,0,2,0,2,0,1,784,0,2,786,0
4,3,0,276,336,19,16,1,0,1,8,1,1,3,1,1,0,1,0,4,669,0,7,676,0
5,4M,0,175,356,20,14,1,0,1,1,0,0,0,1,1,0,0,0,0,570,0,3,573,0
6,4A(W),2,192,344,26,6,0,0,1,5,0,0,0,0,3,0,0,1,1,581,0,0,581,0
7,5,0,172,395,20,13,1,1,1,4,0,0,0,0,0,0,1,1,1,610,0,3,613,0
8,6,0,227,257,10,22,0,0,0,1,0,0,0,0,4,1,0,1,1,524,0,2,526,0
9,7,2,352,181,23,17,1,0,3,3,0,0,2,1,1,1,1,2,4,594,0,4,598,0
10,8,3,425,146,48,29,1,1,1,4,3,0,6,2,3,2,3,0,8,685,0,1,686,0
11,9,1,170,482,44,8,0,1,3,6,0,0,0,0,5,1,0,0,0,721,0,1,722,0
12,10,0,193,358,31,35,0,0,3,1,0,0,0,0,1,0,0,0,1,623,0,6,629,0
13,11M,1,134,321,25,32,0,1,2,0,0,0,0,0,0,0,0,0,0,516,0,3,519,0
14,11A(W),2,150,276,34,17,2,2,2,4,1,3,3,1,3,2,1,0,0,503,0,6,509,0
15,12M,0,240,97,30,28,0,1,1,1,0,0,1,0,0,2,1,0,0,402,0,3,405,0
16,12A(W),1,239,98,48,14,0,2,1,3,1,0,3,1,0,0,0,1,3,415,0,5,420,0
17,13,1,169,603,23,27,0,1,0,5,0,2,3,0,6,0,1,0,0,841,0,3,844,0
18,14,1,203,264,38,17,0,1,11,1,1,0,0,0,3,1,0,0,1,542,0,4,546,0
19,15M,3,427,39,31,32,0,0,4,0,0,0,0,0,0,0,1,0,0,537,0,5,542,0
20,15A(W),6,446,35,46,17,0,0,0,1,0,0,0,2,2,3,2,1,1,562,0,1,563,0
21,16M,2,204,191,8,15,0,0,0,0,0,0,0,0,0,0,0,0,1,421,0,3,424,0
22,16A(W),2,246,180,7,5,0,0,1,12,0,0,0,0,0,1,2,0,3,459,0,1,460,0
23,17M,0,306,158,27,22,0,1,4,2,0,0,1,0,0,0,0,1,1,523,0,2,525,0
24,17A(W),2,290,163,24,16,0,2,1,1,0,2,1,0,0,2,0,1,3,508,0,5,513,0
25,18,2,531,77,65,46,1,0,4,1,0,1,1,0,1,4,0,0,7,741,0,5,746,0
26,19,3,282,65,43,17,1,0,7,1,0,0,1,0,1,4,4,0,1,430,0,3,433,0
27,20,1,127,439,2,11,0,2,1,3,0,0,1,0,0,0,0,0,0,587,0,4,591,0
28,21,0,256,239,42,14,1,1,2,4,1,0,0,1,0,0,0,0,3,564,0,3,567,0
29,22,2,301,338,37,19,0,1,4,8,0,0,1,0,5,1,1,2,0,720,0,0,720,0
30,23,3,421,245,62,24,0,3,24,0,1,0,3,0,1,2,1,1,6,797,0,10,807,0
