Sl. No,Polling Station No,oT( lareneG C KUMAR. ASHOK Makkal katchi,eb desu rof ot ASA FAROOK. UMAR Democratic ia IND,gnidrocer eht limaT A BASHA. KAREEM Ulama Council,eeS( eht udaN V PARTHIBAN. Party Youth Development,)( gnitov evitalsigeL S.P MANI. Pensioners Party,tcudnoC ta traP MAHARUNNISHA Tamilar NTK,morf I S RAJA. Needhi MNM,seluR rehto eht L MURUGAN. IND,) naht deifiton RUBMA. P KANTH. RAJI IND,V.A GEORGE. IND,)snoitatS,rof noitpo,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1,253,3,171,0,4,1,1,107,25,2,2,1,2,572,0,5,577,0
2,2,256,0,384,2,0,1,0,2,35,5,2,0,2,689,0,6,695,0
3,3M,179,1,168,0,2,0,1,6,14,3,0,0,1,375,0,3,378,0
4,3AW,220,1,181,2,0,0,0,6,12,3,1,0,1,427,0,3,430,0
5,4M,145,0,220,1,5,0,0,3,49,0,0,1,0,424,0,5,429,0
6,4AW,197,5,194,2,2,1,2,3,13,4,0,1,2,426,0,7,433,0
7,5,238,7,197,0,2,0,1,0,5,0,4,2,1,457,0,2,459,0
8,6,379,5,250,2,3,1,3,0,14,0,3,2,0,662,0,6,668,0
9,7,417,0,318,6,1,2,0,0,52,3,0,1,1,801,0,11,812,0
10,8,313,3,197,3,9,0,2,1,37,4,5,6,5,585,0,5,590,0
11,9M,210,2,201,0,5,0,0,0,31,1,0,0,0,450,0,0,450,0
12,9AW,274,1,165,1,1,0,0,0,11,0,0,1,0,454,0,2,456,0
13,10M,248,0,209,0,10,0,0,1,20,2,1,1,0,492,0,5,497,0
14,10AW,248,2,207,3,2,1,1,1,10,1,2,1,3,482,0,4,486,0
15,11,429,3,291,1,3,2,0,0,55,2,0,2,0,788,0,8,796,0
16,12,211,4,194,0,3,0,0,0,80,2,1,1,1,497,0,2,499,0
17,13,347,2,180,0,5,0,0,0,77,7,1,0,1,620,0,6,626,0
18,14,295,3,200,0,4,0,0,0,38,3,0,3,0,546,0,5,551,0
19,15,300,2,304,0,0,0,0,0,36,4,3,0,1,650,0,9,659,0
