Sl. No,Polling Station No,R R. A M K U D K M A D Y A H,S I. H P T S R B O O M,maraganneP C I. A K R S U M D D A N N A,lareneG R N. A G A K H T Z N A L I M,s K G. K I. M N P A M,ot av dil K A. M L I N K M A H S,limaT etov s V I. A R D U N D I A N N A,udaN af N M. A G D N N I I L A V I,evitalsigeL ruov o f K N. A D M N U I R A H D,P N. A G U D R N U I M U R I,A N. A P P A J D N N A I N A Y I,G K. D I. N N I A M,P I. D N N A I M,S Y. M D A S N U I N U M,s e t o V d ali V al t o T,s e t o V d e t c e j e R f o o.,n o ti p o A T O N r o f s e,s e t o V al t o T,s e t o V d e r e d n e T f o o.,Total Valid Votes
1,1,115,2,0,1,10,150,1,1,1,2,2,7,0,1,0,293,0,3,296,0
2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
3,3,165,12,0,0,13,426,4,1,0,0,1,5,0,0,0,627,0,4,631,0
4,4,333,12,0,1,20,464,3,0,1,1,1,8,0,1,0,845,0,8,853,0
5,5M,200,30,2,1,40,236,1,1,0,0,0,2,0,0,0,513,0,4,517,0
6,5A(W),244,11,2,0,13,214,1,0,0,1,1,5,0,1,0,493,0,2,495,0
7,6,333,31,0,2,39,378,4,3,0,0,2,7,2,0,3,804,0,3,807,0
8,7,166,14,0,0,33,454,0,0,1,0,1,5,1,0,0,675,0,4,679,0
9,8,161,24,0,0,17,443,1,0,0,0,0,2,0,0,0,648,0,2,650,0
10,9,286,27,0,0,19,318,0,0,1,0,2,7,0,1,0,661,0,3,664,0
11,10,311,51,0,0,36,455,1,0,0,0,2,10,2,0,0,868,0,13,881,0
12,11,285,19,0,0,28,212,1,0,0,0,2,3,1,0,2,553,0,2,555,0
13,12,238,6,0,0,28,422,9,1,0,0,1,12,0,0,0,717,0,4,721,0
14,13,253,6,2,0,30,501,8,0,0,1,0,7,0,0,2,810,0,4,814,0
15,14,226,4,0,1,42,416,2,0,0,1,5,7,0,0,0,704,0,5,709,0
16,15M,187,9,1,1,35,308,4,0,0,0,0,2,0,0,1,548,0,3,551,0
17,15A(W),172,7,1,1,10,281,3,1,0,0,4,10,2,1,1,494,0,6,500,0
18,16M,183,8,0,1,42,283,1,0,0,0,0,2,1,0,0,521,0,3,524,0
19,16A(W),146,5,0,0,6,296,1,0,0,2,2,17,1,0,1,477,0,6,483,0
20,17,209,7,1,2,24,300,4,0,0,1,1,3,1,0,1,554,0,7,561,0
21,18,271,15,0,1,43,411,6,0,0,0,3,5,0,0,2,757,0,8,765,0
22,19,157,30,0,3,20,395,2,0,0,2,4,5,0,1,0,619,0,3,622,0
23,20,176,31,0,1,28,349,3,3,0,0,0,3,0,0,0,594,0,3,597,0
24,21,112,9,1,0,26,411,3,0,0,0,0,3,1,0,0,566,0,1,567,0
25,22,125,5,0,0,25,354,3,1,0,0,0,0,1,0,0,514,0,1,515,0
26,23M,186,10,0,0,34,286,3,1,0,0,0,4,0,0,0,524,0,6,530,0
27,23A(W),190,1,1,0,11,271,0,0,0,0,1,4,1,0,0,480,0,3,483,0
28,24,201,9,1,0,28,235,1,0,0,0,0,6,0,0,0,481,0,2,483,0
29,25M,226,10,1,0,38,266,3,0,0,0,1,1,0,0,1,547,0,5,552,0
30,25A(W),257,4,0,1,5,239,2,1,0,1,4,4,1,0,0,519,0,5,524,0
31,26,239,8,0,0,47,426,7,0,0,0,4,5,0,1,0,737,0,11,748,0
32,27,262,1,1,0,13,177,7,0,0,0,0,0,0,0,0,461,0,3,464,0
33,28,252,3,3,1,41,269,1,0,0,0,1,3,0,0,1,575,0,6,581,0
34,29,264,2,0,1,26,359,2,2,0,0,2,3,1,0,0,662,0,4,666,0
35,30,361,19,0,0,37,289,13,0,1,0,1,9,1,0,1,732,0,11,743,0
