Sl. No,Polling Station No,Rajendran .R DMK,PPN M.P. Panneerselvam,G. Venkatachalam AIADMK,BSPS.Velan,"KMRGMMM.A.Shahjahan,Shahjahan,Ahamed@","N Eswaran, Imaya NTK","R.S. Chakravarthy, Guru MNM",C. Natarajan AMMK,PIMS.Babu,KM Dhesiya Dhurai Murali,"IPA C. Vaathiar, Murugan","Sundaram, M. Shanmuga IND","INDR.Kumar,Senthil",N. Devaraj IND,M.R. Nawazudieen IND,R. Palanisamy IND,"INDA.Kumar,Ramesh",P. Ramachandran IND,S. Rajasekar IND,T. Vijayaraj IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
1,1,331,2,139,2,0,20,19,2,0,0,0,2,0,0,1,0,0,0,0,0,518,4,0,522
2,2,365,0,97,0,0,20,18,1,0,0,0,0,0,0,0,0,1,0,0,0,502,3,0,505
3,3M,171,0,182,0,0,20,21,3,0,0,0,0,0,0,0,1,0,0,0,0,398,5,0,403
4,3A(W),165,0,202,1,0,9,15,1,0,0,0,0,1,2,0,2,0,0,0,0,398,2,0,400
5,4M,216,1,64,0,0,16,27,1,0,0,0,0,0,0,0,0,0,0,0,0,325,2,0,327
6,4A(W),214,1,82,0,0,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,328,3,0,331
7,5,424,0,171,1,0,31,53,4,0,0,0,0,0,0,0,0,0,0,0,0,684,5,0,689
8,6M,199,1,180,0,0,18,17,2,0,0,0,0,0,0,0,0,0,0,0,0,417,3,0,420
9,6A(W),174,1,221,0,1,11,9,1,0,0,0,0,0,1,0,1,1,0,4,1,426,1,0,427
10,7M,224,0,119,0,0,35,36,1,0,0,0,0,0,0,0,0,0,0,0,0,415,10,0,425
11,7A(W),246,1,172,0,0,15,28,1,0,0,0,0,0,0,0,0,1,0,0,0,464,3,0,467
12,8,280,1,276,2,0,32,37,0,0,0,0,0,2,0,0,1,1,0,1,0,633,2,0,635
13,9M,145,0,145,0,0,23,29,1,0,0,0,0,0,0,0,0,0,0,0,1,344,3,0,347
14,9A(W),114,2,155,1,0,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,314,4,0,318
15,10M,160,1,149,1,0,28,31,3,0,0,0,0,0,0,0,0,0,0,0,0,373,4,0,377
16,10A(W),173,1,169,3,0,20,20,2,0,0,0,0,0,1,1,0,0,0,0,0,390,2,0,392
17,11M,173,0,116,1,0,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,331,1,0,332
18,11A(W),168,0,149,0,0,16,20,0,0,0,0,0,1,0,0,0,1,0,0,0,355,0,0,355
19,12M,195,0,246,1,0,40,11,1,0,0,0,0,0,0,0,0,0,0,0,0,494,4,0,498
20,12A(W),175,0,308,2,0,17,21,1,0,0,0,1,0,1,0,0,0,0,0,0,526,3,0,529
21,13,311,3,357,1,0,12,47,2,0,0,1,1,0,1,1,0,2,0,2,0,741,4,0,745
22,14M,215,0,85,0,0,29,24,1,0,0,0,1,0,1,0,0,0,0,0,1,357,1,0,358
23,14A(W),212,0,110,0,0,14,17,0,0,0,1,0,0,0,0,0,0,0,0,1,355,2,0,357
24,15M,181,0,260,1,0,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,483,4,0,487
25,15A(W),145,1,274,0,0,11,13,2,0,0,0,0,0,0,0,1,2,0,3,0,452,4,0,456
26,16M,219,0,169,0,0,23,32,2,0,0,0,0,0,0,0,0,0,0,0,0,445,8,0,453
27,16A(W),176,0,178,1,0,17,32,1,0,0,0,0,0,0,0,1,0,0,0,0,406,9,0,415
28,17M,170,0,217,1,0,26,28,10,0,0,0,0,0,0,0,0,1,0,0,0,453,2,0,455
29,17A(W),156,3,251,3,0,17,25,7,1,1,0,0,0,0,1,2,0,0,0,0,467,4,0,471
30,18,248,1,461,2,0,21,12,8,0,0,0,1,0,0,0,0,0,1,1,0,756,4,0,760
31,19,361,2,254,0,0,27,36,2,0,2,0,0,0,1,1,0,0,0,0,0,686,6,0,692
32,20,359,4,378,3,0,37,15,7,1,1,0,1,0,4,0,4,0,0,2,0,816,3,0,819
33,21,275,4,339,3,0,26,6,4,0,0,0,1,0,4,0,1,2,1,2,0,668,2,0,670
34,22M,236,1,164,0,0,32,25,1,0,0,0,0,1,1,0,0,0,0,0,1,462,3,0,465
35,22A(W),221,0,193,2,0,11,20,0,2,0,0,1,0,0,0,1,0,0,0,0,451,1,0,452
