Sl. No,Polling Station No,"M,Chinnanann BSP",DMKA.K.Tharun,M. Rajamuthu AIADMK,ahtumA .R IJK,Dhesiya KM Sathiyavani,AMMKS.K.Selvam,KTVV P. Prabakaran,PIMM.Mani,KMJIA S. Manikandan,ICUS)Communist(P.Mohan,S. Rajeshkumar NTK,Guptha Indrajith IND,J. Senthilkumar IND,"E. Murugan, Senthil IND",INDM.Sekar,INDV.Mohan,C. Ramesh IND,K. Rajarathinam IND,A. Venkat IND,M. Vaithi IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
1,1M,0,224,310,3,0,11,0,0,0,0,19,1,0,1,1,0,0,0,0,0,570,1,0,571
2,1A(W),1,193,284,3,0,17,0,0,0,1,3,0,0,0,5,1,0,1,0,0,509,2,0,511
3,2M,2,274,204,3,0,7,0,0,0,0,12,1,0,0,0,0,0,0,0,0,503,4,0,507
4,2A(W),0,214,229,4,0,5,0,0,0,0,7,0,2,0,0,0,1,1,1,0,464,3,0,467
5,3M,0,231,256,2,0,15,0,0,0,1,19,1,0,2,0,0,0,0,2,1,530,1,0,531
6,3A(W),0,190,274,1,0,9,0,1,0,0,9,0,1,1,1,3,0,0,0,1,491,0,0,491
7,4,4,314,210,5,0,3,0,5,1,0,31,0,0,0,1,1,0,0,0,0,575,5,0,580
8,5,3,348,319,4,0,3,0,0,0,0,40,2,0,1,3,1,0,0,1,0,725,5,0,730
9,6,1,311,323,3,1,4,0,0,1,0,18,3,1,0,1,1,0,1,4,2,675,3,0,678
10,7,4,258,289,5,1,11,0,0,0,1,39,1,0,0,1,0,0,0,0,0,610,3,0,613
11,8,1,234,164,4,0,3,0,1,0,0,41,1,0,0,0,0,1,1,0,0,451,7,0,458
12,9,0,192,163,6,0,4,0,2,2,1,30,1,0,1,0,0,0,0,0,0,402,2,0,404
13,10,1,290,301,1,1,3,1,0,0,1,39,1,0,0,0,0,0,1,0,0,640,1,0,641
14,11,0,211,278,3,0,26,0,0,0,1,19,0,0,1,2,2,0,0,0,0,543,5,0,548
15,12,1,285,530,5,0,9,1,0,0,0,45,0,0,1,1,0,0,1,0,1,880,4,0,884
16,13,2,168,294,3,0,14,0,1,0,1,27,1,1,0,0,2,0,1,0,0,515,4,0,519
17,14M,0,244,193,7,0,6,0,0,0,0,37,0,0,0,1,0,1,0,0,0,489,9,0,498
18,14A(W),1,225,215,4,1,1,0,0,0,0,19,2,0,1,0,0,0,1,0,0,470,3,0,473
19,15,4,273,152,2,0,8,0,2,0,4,38,0,0,1,2,4,1,0,0,0,491,6,0,497
20,16,2,198,151,11,0,7,0,0,0,0,27,0,0,0,0,1,1,0,0,0,398,6,0,404
21,17,4,297,308,2,2,9,0,0,0,0,23,0,0,2,0,0,0,0,0,0,647,3,0,650
22,18,1,248,308,5,2,11,0,1,0,0,38,3,0,0,0,0,0,0,0,0,617,4,0,621
23,19,0,388,403,7,0,9,0,0,0,1,30,3,0,2,0,3,1,2,2,0,851,5,0,856
24,20,0,242,335,1,0,13,0,0,0,0,13,0,0,0,1,1,1,0,0,1,608,4,0,612
25,21,0,294,222,0,1,13,0,0,0,0,22,0,0,0,0,2,0,0,0,0,554,3,0,557
26,22,0,343,349,2,0,17,0,0,0,0,50,0,0,2,1,2,0,0,0,0,766,5,0,771
27,23,2,340,404,3,0,14,0,0,0,0,35,3,1,1,0,2,0,0,0,0,805,1,0,806
28,24M,0,198,228,3,0,6,0,0,1,1,27,0,0,0,0,0,0,0,0,0,464,2,0,466
29,24A(W),1,151,277,2,0,8,0,0,0,1,12,0,1,4,3,1,1,0,2,0,464,1,0,465
30,25,4,257,284,5,2,4,0,0,1,0,38,3,2,1,1,1,0,1,2,0,606,2,0,608
31,26,1,175,450,6,0,13,0,0,0,0,21,0,0,1,0,0,0,0,0,0,667,4,0,671
32,27,0,258,362,4,1,20,0,0,0,0,14,1,0,1,0,1,0,0,0,1,663,0,0,663
33,28,0,271,269,1,0,9,0,0,0,2,29,1,0,0,0,0,0,1,2,0,585,0,0,585
34,29,2,222,368,2,0,4,0,0,0,2,25,1,0,0,1,1,1,1,2,0,632,6,0,638
35,30,0,305,328,6,0,8,0,0,0,0,28,0,0,2,0,0,0,2,0,2,681,3,0,684
36,31M,1,182,312,4,1,10,0,0,0,0,11,0,0,0,0,1,1,2,1,0,526,7,0,533
37,31A(W),0,121,332,6,0,5,0,0,0,0,7,0,0,0,0,3,0,1,1,0,476,2,0,478
38,32,0,344,540,3,0,3,0,1,0,0,49,1,0,1,1,2,0,0,0,2,947,5,0,952
39,33,0,228,444,2,0,19,0,1,1,0,28,0,0,1,1,1,0,0,3,1,730,7,0,737
40,34M,0,177,206,11,0,24,1,0,0,0,69,1,0,1,0,0,0,0,2,0,492,1,0,493
41,34A(W),2,166,256,8,0,23,1,0,1,0,40,1,2,0,2,1,0,1,0,1,505,2,0,507
42,35,1,244,419,16,0,13,0,0,0,0,76,2,0,0,0,2,1,0,3,0,777,3,0,780
43,36,2,222,599,5,0,14,0,2,0,0,56,0,1,2,2,2,1,0,1,0,909,7,0,916
44,37,0,356,210,1,1,18,0,0,1,0,31,3,0,0,0,3,0,2,1,0,627,5,0,632
45,38,0,259,393,4,0,23,0,0,0,0,25,1,0,1,2,0,0,0,0,0,708,4,0,712
46,39,0,240,414,0,0,11,0,0,0,0,49,0,0,0,0,0,0,1,1,0,716,5,0,721
47,40M,1,247,215,0,1,23,0,0,0,0,27,0,0,0,1,1,0,0,0,0,516,2,0,518
48,40A(W),2,258,213,2,0,4,0,0,0,0,13,0,0,2,2,0,0,0,1,0,497,0,0,497
49,41,2,319,457,1,1,27,0,0,0,1,24,0,0,3,1,2,0,1,0,1,840,9,0,849
