Sl. No,Polling Station No,K VIJAYA Samaj Party Bahujan,ARULMOZHIDEVA .P N Makkal Thannurimai Katchi Tamilaga,R RAMKUMAR Jananayaga Katchi Indiya,K SILAMBARASI Katchi Tamilar Naam,P CHINNUSAMY Of Party India Ganasangam,M JAYANTHI of party India Ambedkarite,P SEERANGAN Independent,S PALANIVEL Independent,S POONGODI Independent,A MANIVANNAN Independent,D MADHIYAZHAGAN Independent,M MUNIYAPPAN Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,1M,209,237,1,0,3,0,35,0,0,0,0,0,0,0,2,487,0,7,494,0
2,1A(W),249,181,1,1,3,1,6,1,0,1,0,1,0,0,1,446,0,5,451,0
3,2,431,377,2,3,6,4,33,1,0,1,0,0,0,2,1,861,0,3,864,0
4,3M,284,215,1,0,5,0,25,0,0,1,0,0,0,0,1,532,0,3,535,0
5,3A(W),313,166,2,0,5,0,2,0,0,0,0,2,1,1,2,494,0,6,500,0
6,4,249,216,2,1,4,0,22,0,2,1,1,1,1,1,1,502,0,4,506,0
7,5,356,226,2,0,0,1,35,0,1,0,0,0,0,0,0,621,0,7,628,0
8,6,309,322,0,0,0,1,40,0,0,0,0,1,1,0,4,678,0,6,684,0
9,7,457,289,0,1,6,1,33,1,0,0,0,0,0,1,1,790,0,6,796,0
10,8,493,255,2,2,3,0,33,1,0,0,0,0,0,0,1,790,0,6,796,0
11,9M,248,237,0,0,5,1,33,0,1,0,0,0,0,0,0,525,0,7,532,0
12,9A(W),255,238,1,0,1,0,19,0,0,0,0,0,0,1,2,517,0,7,524,0
13,10,235,251,0,0,3,3,30,2,0,0,1,0,0,0,1,526,0,5,531,0
14,11,345,229,1,1,2,3,33,1,0,1,2,0,0,1,2,621,0,9,630,0
15,12,359,361,1,0,0,2,34,0,0,0,2,2,0,0,1,762,0,3,765,0
16,13,365,298,1,0,2,0,58,1,1,0,0,0,0,1,2,729,0,4,733,0
17,14,416,311,2,0,0,2,39,0,1,0,0,0,0,0,4,775,0,10,785,0
18,15,362,353,3,2,8,0,62,0,0,0,1,1,1,1,2,796,0,6,802,0
19,16,147,150,0,0,6,0,11,0,0,0,0,0,0,0,1,315,0,1,316,0
20,17M,244,232,0,0,2,0,48,0,0,0,0,0,0,0,1,527,0,1,528,0
21,17A(W),258,235,0,1,0,0,24,0,0,1,1,0,0,0,2,522,0,2,524,0
22,18,293,250,0,1,9,0,13,0,0,0,0,1,0,1,1,569,0,5,574,0
23,19,286,310,5,0,9,0,9,1,2,0,1,2,2,1,7,635,0,14,649,0
24,20,67,168,2,1,4,0,0,0,0,0,0,0,1,0,2,245,0,1,246,0
25,21,320,369,0,0,1,5,50,0,1,0,0,1,1,0,1,749,0,4,753,0
26,22,237,123,0,0,2,6,19,0,0,0,0,0,0,0,1,388,0,2,390,0
27,23M,154,227,0,1,0,10,36,0,0,0,0,0,1,0,0,429,0,9,438,0
28,23A(W),188,234,2,0,1,4,18,0,0,0,0,0,0,0,0,447,0,2,449,0
29,24M,180,272,2,0,6,2,51,0,0,0,1,0,0,0,0,514,0,4,518,0
30,24A(W),218,282,1,0,3,4,16,0,0,0,0,0,0,0,2,526,0,2,528,0
31,25,202,394,2,0,0,5,24,0,0,0,1,0,0,0,1,629,0,7,636,0
32,26,275,295,1,0,1,11,34,1,0,0,0,0,0,0,0,618,0,8,626,0
33,27M,189,220,0,0,3,5,23,0,0,1,0,0,0,0,1,442,0,1,443,0
34,27A(W),243,220,0,0,0,5,16,0,1,0,0,1,0,1,4,491,0,1,492,0
35,28,357,355,0,2,0,0,33,0,0,1,1,0,0,0,1,750,0,6,756,0
36,29,194,310,0,0,0,1,31,1,0,1,0,0,0,0,6,544,0,3,547,0
37,30,194,188,2,0,3,0,12,0,0,0,1,0,0,0,0,400,0,6,406,0
38,31,330,292,0,3,0,1,45,0,0,0,2,0,0,2,1,676,0,6,682,0
39,32M,185,238,1,0,3,1,63,0,1,0,1,0,0,0,1,494,0,8,502,0
40,32A(W),181,284,1,0,2,0,21,1,1,1,0,0,0,1,2,495,0,8,503,0
41,33M,229,262,0,0,4,1,47,0,0,0,1,0,0,0,2,546,0,5,551,0
42,33A(W),267,218,0,0,1,3,28,1,1,0,0,0,0,1,3,523,0,10,533,0
43,34M,174,282,0,0,11,2,59,0,2,1,0,0,0,0,0,531,0,8,539,0
44,34A(W),267,280,0,0,1,5,29,0,1,0,2,0,0,1,2,588,0,6,594,0
45,35,318,416,0,0,9,3,59,2,1,0,1,1,1,2,0,813,0,8,821,0
46,36M,188,220,0,2,5,3,38,0,0,0,0,0,1,0,0,457,0,3,460,0
47,36A(W),215,244,1,0,1,3,13,1,1,0,0,0,0,0,1,480,0,7,487,0
48,37M,259,247,3,1,5,0,36,1,0,0,0,0,0,1,1,554,0,4,558,0
49,37A(W),301,209,0,1,0,3,18,1,0,0,0,0,0,4,12,549,0,7,556,0
50,38,359,294,2,1,2,6,42,1,0,0,0,1,1,1,1,711,0,6,717,0
51,39,175,227,0,0,3,2,33,0,0,1,1,0,0,0,0,442,0,5,447,0
52,40M,259,180,0,0,3,1,43,1,1,0,0,0,0,0,0,488,0,3,491,0
53,40A(W),295,167,2,0,1,1,10,0,0,0,2,0,0,0,0,478,0,3,481,0
54,41,310,300,0,0,10,4,37,0,1,0,0,0,0,0,0,662,0,9,671,0
55,42,233,194,2,1,1,0,33,0,2,0,1,0,1,0,0,468,0,2,470,0
56,43,400,332,0,0,5,3,46,1,1,0,0,1,0,0,2,791,0,11,802,0
57,44M,200,214,0,0,3,1,45,0,0,1,1,0,0,0,1,466,0,2,468,0
58,44A(W),233,213,1,0,0,1,23,1,0,0,0,0,0,0,3,475,0,5,480,0
59,45M,238,250,0,0,3,2,75,0,0,0,0,0,0,0,0,568,0,3,571,0
60,45A(W),296,228,0,0,0,2,34,0,0,0,1,1,0,0,2,564,0,7,571,0
61,46,321,420,0,0,4,9,34,1,2,0,0,0,2,1,4,798,0,14,812,0
62,47M,203,192,0,0,2,1,54,1,0,1,1,0,0,0,0,455,0,5,460,0
63,47A(W),241,185,1,0,1,4,18,0,0,1,0,1,1,0,1,454,0,6,460,0
64,48,258,334,3,0,0,1,39,1,0,1,1,0,0,0,2,640,0,7,647,0
65,49,357,370,0,1,11,5,72,1,0,0,0,0,1,0,1,819,0,12,831,0
66,50,311,333,2,2,2,6,42,0,2,1,0,1,0,0,1,703,0,6,709,0
67,51,204,373,0,0,4,3,42,0,0,0,0,0,0,0,1,627,0,3,630,0
68,52,303,457,2,0,6,2,55,1,1,0,0,0,0,0,0,827,0,19,846,0
69,53M,166,304,0,0,4,4,75,0,0,0,1,1,0,0,0,555,0,3,558,0
70,53A(W),249,269,1,0,5,1,30,1,0,0,1,1,0,0,4,562,0,5,567,0
71,54,376,337,1,0,2,1,55,1,0,0,1,0,2,1,1,778,0,4,782,0
72,55M,183,231,0,0,1,0,34,0,1,0,0,1,0,0,0,451,0,9,460,0
73,55A(W),210,192,0,0,1,2,19,0,0,0,0,0,0,0,0,424,0,7,431,0
74,56M,277,235,1,0,2,1,49,1,0,1,0,0,0,0,0,567,0,6,573,0
75,56A(W),306,207,2,3,0,2,26,1,0,0,0,0,0,0,0,547,0,4,551,0
76,57,424,297,0,0,0,1,49,2,1,0,2,1,0,0,0,777,0,13,790,0
77,58,207,191,0,0,1,0,12,0,0,0,2,0,0,0,1,414,0,4,418,0
78,59M,241,234,0,0,6,1,37,0,0,1,1,0,1,0,1,523,0,2,525,0
79,59A(W),286,205,1,0,4,0,22,1,0,1,0,0,0,0,0,520,0,4,524,0
80,60,364,296,1,1,7,0,41,0,0,0,1,0,0,0,1,712,0,1,713,0
81,61M,226,215,0,0,2,1,26,0,0,0,0,0,1,0,1,472,0,5,477,0
82,61A(W),267,202,2,0,0,1,16,0,1,0,2,0,0,1,0,492,0,4,496,0
83,62,379,431,2,1,2,3,60,1,0,0,1,1,0,1,5,887,0,6,893,0
84,63M,211,187,0,0,7,2,45,0,1,0,0,0,0,0,1,454,0,4,458,0
85,63A(W),234,195,1,1,6,0,21,0,0,0,1,0,0,0,0,459,0,2,461,0
86,64,332,238,2,1,4,3,67,1,1,0,0,0,0,0,1,650,0,9,659,0
87,65,367,355,2,2,2,1,52,1,1,0,1,0,0,2,2,788,0,6,794,0
88,66,268,313,2,0,1,0,29,0,0,0,0,0,0,0,0,613,0,2,615,0
89,67,375,308,1,0,2,2,37,0,0,0,0,0,0,1,2,728,0,7,735,0
90,68,233,310,1,2,1,3,31,0,1,1,0,0,0,1,1,585,0,12,597,0
91,69,303,325,3,1,1,2,33,0,0,0,0,0,1,2,5,676,0,7,683,0
92,70,169,252,0,1,4,0,26,1,0,0,1,0,0,0,3,457,0,6,463,0
93,71,368,303,1,0,2,1,33,0,0,0,0,0,0,0,1,709,0,3,712,0
94,72,297,433,1,0,5,5,40,0,0,0,0,1,0,0,3,785,0,10,795,0
95,73,363,221,3,2,6,1,16,1,1,0,0,0,0,0,4,618,0,11,629,0
96,74,276,266,2,1,2,0,32,0,0,0,1,0,0,0,7,587,0,3,590,0
97,75,322,203,0,0,9,3,15,1,0,0,1,0,0,0,1,555,0,4,559,0
98,76,376,395,2,1,1,2,41,0,1,0,1,4,4,0,7,835,0,21,856,0
99,77,463,338,1,1,7,1,26,0,1,0,0,0,0,0,0,838,0,3,841,0
100,78,254,334,1,1,2,3,40,0,1,0,1,0,0,0,1,638,0,7,645,0
101,79,131,217,0,1,3,1,24,0,0,0,1,0,0,0,0,378,0,4,382,0
102,80,405,404,1,0,6,6,28,1,0,0,2,1,0,0,5,859,0,11,870,0
103,81M,225,254,1,0,4,6,20,1,0,1,0,0,0,0,0,512,0,3,515,0
104,81A(W),241,220,0,3,2,14,13,0,1,0,1,0,2,1,1,499,0,4,503,0
105,82M,144,307,0,0,3,8,38,3,0,0,1,0,0,0,2,506,0,2,508,0
106,82A(W),198,291,1,0,3,5,16,2,0,0,1,1,0,0,2,520,0,6,526,0
107,83,280,460,3,0,1,16,34,1,1,0,1,0,1,0,2,800,0,4,804,0
108,84,178,276,0,3,3,5,37,0,0,0,0,0,0,0,1,503,0,4,507,0
109,85M,160,289,0,0,4,3,47,0,0,0,0,0,0,0,0,503,0,0,503,0
110,85A(W),196,313,1,1,2,2,21,0,0,0,0,1,0,0,0,537,0,3,540,0
111,86M,159,266,2,1,4,4,50,1,0,0,0,0,1,0,2,490,0,2,492,0
112,86A(W),174,249,2,2,0,0,24,0,0,0,0,1,0,0,3,455,0,11,466,0
113,87,304,424,1,2,3,28,36,1,1,0,3,0,0,0,2,805,0,11,816,0
114,88,252,211,1,0,3,1,35,0,1,0,1,0,0,0,0,505,0,7,512,0
115,89,286,234,1,1,3,13,21,0,1,0,1,0,0,1,2,564,0,11,575,0
116,90,347,250,0,0,3,1,19,0,1,0,0,0,0,0,2,623,0,10,633,0
117,91,283,364,1,1,3,5,24,1,0,0,0,0,0,0,0,682,0,5,687,0
118,92,187,210,1,0,2,1,12,0,1,0,0,0,0,0,1,415,0,9,424,0
119,93,344,321,2,0,35,10,39,0,1,0,1,0,0,1,1,755,0,7,762,0
120,94M,164,268,0,0,2,4,31,0,0,0,0,0,0,0,1,470,0,2,472,0
