Sl. No,Polling Station No,SELVARAJ.V Jananayaga Katchi Indiya,ROHINI.T Katchi Tamilar Naam,SANKAR.P Independent,CHANDRASEKARAN. C Independent,THIYAGARAJAN.C Independent,DINESH.C Independent,DURAIRAJ.S Independent,PRASATH.S Independent,MUTHUSAMY.C Independent,RANCHITH.C Independent,RAMESH.R Independent,RAMASAMY.K.V Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,1,414,378,5,1,22,0,6,0,0,0,0,0,2,1,7,836,0,16,852,0
2,2,347,299,3,2,49,1,7,1,0,0,1,2,1,0,3,716,0,4,720,0
3,3M,218,244,2,2,31,0,4,0,0,0,1,0,0,0,0,502,0,5,507,0
4,3A(W),229,241,2,4,22,2,2,0,0,0,0,0,0,0,0,502,0,3,505,0
5,4M,230,212,2,0,31,1,8,0,0,0,0,0,0,0,0,484,0,4,488,0
6,4A(W),278,188,2,0,12,0,8,1,0,0,0,0,0,0,1,490,0,5,495,0
7,5M,218,174,0,2,25,0,6,0,0,0,0,0,0,0,0,425,0,5,430,0
8,5A(W),239,149,2,1,10,0,7,0,0,0,0,0,0,0,1,409,0,4,413,0
9,6,237,470,2,7,39,0,35,1,0,2,1,0,0,0,2,796,0,10,806,0
10,7,322,396,3,3,68,0,22,0,0,0,1,0,0,3,2,820,0,6,826,0
11,8,335,246,3,0,50,0,6,0,0,1,0,0,0,0,4,645,0,6,651,0
12,9,284,269,1,0,29,1,5,1,1,1,2,0,0,0,1,595,0,5,600,0
13,10M,242,210,4,0,47,1,4,0,0,0,0,0,0,1,0,509,0,3,512,0
14,10A(W),291,175,0,0,21,0,2,0,0,0,0,0,0,0,0,489,0,8,497,0
15,11,403,273,2,2,34,1,7,1,0,0,0,0,1,0,0,724,0,11,735,0
16,12M,224,201,6,0,37,0,0,0,0,0,0,0,0,1,2,471,0,2,473,0
17,12A(W),225,208,2,0,13,0,0,0,0,0,0,0,0,1,5,454,0,8,462,0
18,13,453,254,25,0,43,0,0,0,0,0,0,1,0,0,0,776,0,16,792,0
19,14,385,341,4,1,36,0,9,0,0,0,0,0,0,1,4,781,0,8,789,0
20,15M,205,179,2,0,40,0,15,0,0,0,0,0,0,0,0,441,0,9,450,0
21,15A(W),255,178,3,1,14,1,9,0,0,0,1,0,0,3,1,466,0,6,472,0
22,16M,166,222,2,2,21,0,15,0,1,0,0,0,0,0,1,430,0,3,433,0
23,16A(W),184,226,6,0,9,1,14,0,0,0,1,1,0,1,2,445,0,2,447,0
24,17,149,202,1,2,16,0,29,0,0,3,0,0,0,1,1,404,0,2,406,0
25,18,385,263,3,0,45,0,57,0,0,0,1,1,1,1,0,757,0,10,767,0
26,19,361,292,2,1,37,0,5,0,0,2,1,1,1,4,1,708,0,9,717,0
27,20,490,276,7,0,58,1,14,0,0,0,1,2,1,0,4,854,0,11,865,0
28,21M,264,131,3,0,31,0,1,0,0,0,0,1,0,0,0,431,0,2,433,0
29,21A(W),301,110,5,0,17,0,2,0,0,0,0,0,0,0,0,435,0,6,441,0
30,22,244,324,5,6,79,2,51,0,0,3,0,1,0,1,5,721,0,9,730,0
31,23,248,191,1,1,52,3,127,2,1,0,0,1,1,2,2,632,0,6,638,0
32,24,175,170,1,1,14,1,15,0,0,0,0,1,0,0,0,378,0,1,379,0
33,25,342,275,4,6,26,1,20,0,0,0,1,0,0,0,0,675,0,9,684,0
34,26,308,354,2,1,39,0,10,0,0,0,0,0,1,1,2,718,0,3,721,0
35,27M,181,226,4,2,40,0,24,1,0,0,0,0,0,0,0,478,0,11,489,0
36,27A(W),218,222,4,2,8,0,30,0,0,0,0,0,0,0,1,485,0,1,486,0
37,28M,200,167,5,2,29,2,1,1,0,0,0,0,0,0,0,407,0,6,413,0
38,28A(W),257,177,1,1,16,1,3,0,1,1,1,0,0,2,0,461,0,3,464,0
39,29,258,263,6,3,36,0,7,0,0,0,0,0,0,1,1,575,0,12,587,0
40,30,241,220,3,2,42,1,2,0,0,0,0,0,1,0,0,512,0,2,514,0
41,31M,226,213,3,2,33,0,13,1,0,0,0,0,0,0,0,491,0,8,499,0
42,31A(W),251,206,0,2,25,0,8,0,1,0,0,0,0,0,1,494,0,4,498,0
43,32M,200,157,3,1,31,0,4,0,0,0,0,0,0,0,0,396,0,2,398,0
44,32A(W),246,149,1,1,11,0,4,0,0,0,0,1,0,0,1,414,0,3,417,0
45,33,371,334,5,0,65,0,6,2,0,0,1,0,0,1,2,787,0,11,798,0
46,34,328,307,2,2,34,2,12,0,2,0,0,0,0,0,0,689,0,7,696,0
47,35,224,228,0,0,23,1,10,1,0,0,0,0,0,0,1,488,0,6,494,0
48,36,269,346,3,1,34,1,7,0,0,0,0,0,1,1,11,674,0,10,684,0
49,37,394,348,3,2,44,1,1,0,1,0,0,1,0,0,1,796,0,5,801,0
50,38,333,346,1,7,44,0,20,0,0,0,0,2,1,0,2,756,0,8,764,0
51,39M,168,207,1,0,27,0,33,0,0,0,0,0,0,0,1,437,0,3,440,0
52,39A(W),217,224,1,1,16,2,13,1,0,0,1,0,0,1,1,478,0,6,484,0
53,40,152,334,2,3,11,1,117,1,2,1,0,2,1,2,3,632,0,5,637,0
54,41,251,258,5,0,5,0,53,3,0,4,0,0,2,0,2,583,0,4,587,0
55,42,214,349,5,2,2,1,94,1,1,1,0,1,2,5,4,682,0,12,694,0
56,43,275,293,9,0,19,4,202,6,1,1,2,6,1,6,6,831,0,9,840,0
57,44,156,390,1,0,10,1,128,1,0,4,0,5,2,5,5,708,0,8,716,0
58,45,216,253,6,0,7,3,192,3,1,3,5,3,1,7,8,708,0,18,726,0
59,46,137,126,2,1,16,0,86,0,0,0,0,0,0,1,0,369,0,7,376,0
60,47,205,276,4,1,23,1,170,4,0,2,2,2,2,0,9,701,0,7,708,0
61,48,140,225,5,1,4,0,101,3,1,0,2,5,0,0,3,490,0,6,496,0
62,49,267,404,5,0,8,6,117,4,1,2,1,4,2,0,7,828,0,9,837,0
63,50,280,497,7,0,10,0,71,0,1,0,0,5,0,1,4,876,0,5,881,0
64,51,184,454,4,1,11,1,163,2,1,3,2,3,0,6,7,842,0,5,847,0
65,52,298,238,3,0,6,7,325,2,2,3,5,9,1,1,6,906,0,6,912,0
66,53M,102,279,2,1,14,0,107,1,0,0,0,1,1,1,1,510,0,0,510,0
67,53A(W),115,232,4,1,3,0,106,2,0,0,0,1,1,0,3,468,0,0,468,0
68,54M,127,149,1,0,36,1,198,7,0,1,0,2,0,0,2,524,0,0,524,0
69,54A(W),138,130,6,3,12,1,147,5,1,2,1,4,1,4,6,461,0,6,467,0
70,55,92,151,8,0,6,0,94,1,0,2,0,0,1,3,3,361,0,3,364,0
71,56,183,341,2,1,9,2,258,3,1,2,1,4,2,2,5,816,0,4,820,0
72,57,69,226,2,1,4,2,135,4,3,1,1,2,2,2,3,457,0,9,466,0
73,58,161,499,15,1,16,1,178,4,0,1,1,4,0,1,1,883,0,5,888,0
74,59,119,311,2,0,3,0,72,1,0,0,0,2,1,0,9,520,0,2,522,0
75,60,227,340,3,2,22,1,223,3,1,1,1,4,2,2,3,835,0,10,845,0
76,61,239,330,4,1,32,2,142,6,1,4,3,1,1,4,9,779,0,14,793,0
77,62,194,187,3,1,13,2,120,3,0,1,0,3,1,1,8,537,0,6,543,0
78,63,199,292,5,2,13,1,100,3,1,4,2,0,1,5,12,640,0,15,655,0
79,64M,104,255,1,0,15,0,133,1,0,0,0,1,0,2,2,514,0,5,519,0
80,64A(W),142,204,3,2,7,1,119,3,0,1,1,1,0,4,6,494,0,3,497,0
81,65,189,216,6,0,14,2,189,3,0,4,0,1,1,1,3,629,0,9,638,0
82,66,265,276,6,2,19,1,107,1,1,0,2,3,3,3,6,695,0,10,705,0
83,67M,132,234,2,0,13,1,131,8,0,1,1,6,2,1,3,535,0,6,541,0
84,67A(W),146,203,1,0,4,0,136,1,1,1,1,5,1,5,6,511,0,6,517,0
85,68,127,425,4,0,15,1,304,3,2,3,4,9,2,2,2,903,0,6,909,0
86,69,138,244,2,2,21,0,232,7,2,1,1,4,3,0,10,667,0,7,674,0
87,70M,78,278,6,0,14,0,141,0,2,0,2,3,1,3,5,533,0,4,537,0
88,70A(W),91,264,5,1,5,0,111,6,2,1,0,5,1,5,5,502,0,3,505,0
89,71,205,183,1,3,13,2,123,1,3,3,1,3,2,2,8,553,0,5,558,0
90,72,161,310,4,0,7,0,68,2,0,1,1,2,0,0,5,561,0,6,567,0
91,73,358,398,4,0,10,0,64,0,0,1,1,1,0,1,6,844,0,9,853,0
92,74M,153,229,0,0,17,0,99,0,1,0,0,3,0,0,2,504,0,2,506,0
93,74A(W),167,193,5,1,5,0,91,2,0,2,1,1,1,1,3,473,0,8,481,0
94,75,122,433,5,1,15,0,130,0,0,2,0,0,0,1,5,714,0,1,715,0
95,76,260,252,1,0,22,0,144,3,1,1,0,1,0,0,12,697,0,3,700,0
96,77M,146,212,3,0,23,1,68,2,0,0,0,1,2,0,0,458,0,2,460,0
97,77A(W),159,194,3,1,14,1,99,0,0,0,0,3,1,3,5,483,0,5,488,0
98,78,238,324,0,0,23,0,107,2,0,0,1,0,1,1,6,703,0,9,712,0
99,79M,113,167,0,1,40,0,114,0,0,1,1,0,0,0,1,438,0,2,440,0
100,79A(W),153,159,2,1,21,1,147,4,1,1,1,2,1,0,2,496,0,4,500,0
101,80,157,223,0,1,38,2,156,5,0,2,0,0,0,6,3,593,0,3,596,0
102,81,172,323,3,0,48,1,265,1,2,2,1,1,2,0,3,824,0,5,829,0
103,82,300,394,2,1,54,1,104,0,0,1,1,4,0,2,4,868,0,11,879,0
104,83M,176,213,0,1,53,1,19,1,0,0,0,0,0,1,1,466,0,4,470,0
105,83A(W),226,250,1,2,24,1,26,0,0,0,1,0,0,1,4,536,0,11,547,0
106,84,338,400,0,0,34,1,18,0,0,0,0,0,0,1,2,794,0,3,797,0
107,85M,147,203,2,4,14,0,30,0,1,0,0,1,0,1,0,403,0,4,407,0
108,85A(W),175,241,1,4,17,2,19,0,1,0,1,0,0,3,1,465,0,3,468,0
109,86,496,238,2,0,30,0,40,0,0,0,0,0,0,0,0,806,0,7,813,0
110,87M,166,248,4,0,18,0,27,0,0,0,0,1,0,0,1,465,0,4,469,0
111,87A(W),184,239,0,1,3,0,25,0,0,1,0,0,0,2,8,463,0,7,470,0
112,88,250,297,2,2,49,1,6,0,0,0,0,0,1,0,2,610,0,7,617,0
113,89,333,281,2,1,38,1,5,0,0,0,0,1,0,0,3,665,0,5,670,0
114,90,295,384,2,4,45,0,4,0,0,0,0,0,0,1,2,737,0,5,742,0
115,91M,157,235,0,0,36,0,6,0,0,0,0,2,0,0,1,437,0,10,447,0
116,91A(W),227,187,3,0,10,0,9,0,0,0,0,0,0,1,7,444,0,12,456,0
117,92,152,97,0,0,20,1,2,0,0,0,0,1,0,0,2,275,0,3,278,0
118,93,245,266,0,0,29,0,9,0,1,0,0,0,0,0,0,550,0,6,556,0
119,94,305,215,4,0,36,1,3,0,0,0,0,0,1,1,4,570,0,12,582,0
120,95,414,260,2,2,28,0,8,0,0,0,0,0,0,1,0,715,0,6,721,0
121,96,267,281,2,2,40,0,4,0,0,0,0,0,0,0,0,596,0,3,599,0
122,97,234,180,2,0,32,1,14,0,0,0,0,0,0,0,1,464,0,1,465,0
123,98M,221,219,0,0,22,0,4,0,0,0,0,0,0,0,0,466,0,6,472,0
124,98A(W),306,166,3,1,13,0,5,0,0,0,0,0,0,1,4,499,0,9,508,0
125,99,312,268,3,0,32,1,10,0,0,0,0,0,0,0,5,631,0,11,642,0
126,100,274,243,2,2,50,0,2,0,0,0,0,1,1,1,1,577,0,5,582,0
127,101,233,201,2,0,44,0,25,0,0,0,1,0,0,0,0,506,0,6,512,0
128,102,198,238,3,0,28,1,27,1,0,0,0,0,0,1,1,498,0,2,500,0
129,103,246,514,0,1,41,0,15,0,0,1,0,1,0,0,3,822,0,12,834,0
130,104,206,345,3,5,28,1,28,0,0,0,1,0,0,0,1,618,0,7,625,0
131,105,358,309,6,4,32,0,21,0,2,0,0,0,0,0,1,733,0,12,745,0
132,106M,159,232,0,2,35,2,16,0,0,0,0,0,1,0,0,447,0,5,452,0
133,106A(W),221,214,0,2,29,1,25,2,0,0,0,1,0,0,2,497,0,3,500,0
134,107M,147,208,1,1,26,0,9,0,0,0,0,1,0,0,0,393,0,8,401,0
135,107A(W),156,238,1,1,12,0,7,0,1,0,0,0,1,1,1,419,0,6,425,0
136,108,382,214,0,1,38,0,30,1,0,1,3,0,0,0,0,670,0,12,682,0
137,109M,157,183,5,4,44,0,19,0,0,0,0,1,0,1,0,414,0,5,419,0
138,109A(W),198,236,0,2,24,0,20,0,0,0,0,2,0,1,7,490,0,5,495,0
139,110,340,300,5,1,48,2,49,1,0,1,0,2,1,1,1,752,0,11,763,0
140,111M,149,194,0,4,44,2,14,0,0,1,0,0,0,0,1,409,0,4,413,0
141,111A(W),190,194,0,2,16,2,11,0,0,1,0,1,1,2,1,421,0,8,429,0
142,112,367,372,1,0,36,0,18,1,1,0,0,0,0,0,1,797,0,5,802,0
143,113,154,140,1,0,17,0,4,0,0,0,0,1,0,0,0,317,0,4,321,0
144,114,210,306,3,0,57,1,10,0,0,0,0,0,0,0,0,587,0,6,593,0
145,115,268,371,1,1,31,0,3,0,0,0,0,0,1,0,1,677,0,6,683,0
146,116,385,277,3,1,29,0,7,0,0,0,0,3,0,0,8,713,0,8,721,0
147,117,353,246,3,0,21,2,22,0,0,0,0,0,0,0,4,651,0,17,668,0
148,118,306,244,1,0,20,1,46,1,0,0,0,0,0,3,1,623,0,7,630,0
149,119M,186,218,0,0,23,0,42,1,0,0,0,0,0,0,0,470,0,2,472,0
150,119A(W),240,204,0,1,8,0,30,0,0,0,0,1,0,0,4,488,0,10,498,0
151,120M,166,230,2,3,34,0,16,0,0,0,0,1,0,0,0,452,0,4,456,0
152,120A(W),224,205,2,2,16,0,5,0,0,0,0,1,0,1,1,457,0,7,464,0
153,121,206,307,0,2,27,0,24,1,0,0,2,2,0,1,3,575,0,15,590,0
