Sl. No,Polling Station No,DHANALAKSHMIA.,MUTHUSAMYS.,EDORE KUMARP.,TSEW CHANDRANM.,OT EHT SIVASUBRAMANIYANS.,UDANLIMAT,THANGAVELG.,EVITALSIGEL SEVUGAN,EES( TRAP BALASUBRAMANIAMK.,)C)(C MORF EHT I MADHANK.,EDORE,TSEW KALITHASSR.,MUTHUSAMYA.,VENGATESANA.,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1M,219,0,213,32,0,0,0,8,0,0,0,0,0,0,0,472,0,4,476,0
2,1A(W),252,2,229,16,0,0,2,3,0,0,1,0,1,1,0,507,0,2,509,0
3,2,259,1,341,32,0,1,0,7,0,0,0,0,1,2,1,645,0,6,651,0
4,3,237,1,378,43,0,4,0,8,0,0,0,0,1,1,0,673,0,6,679,0
5,4,221,0,288,12,0,4,0,3,0,0,1,2,0,6,0,537,0,6,543,0
6,5M,216,0,184,22,0,3,0,6,0,0,0,0,0,2,0,433,0,5,438,0
7,5A(W),255,0,183,8,0,4,0,2,0,0,0,1,1,0,0,454,0,5,459,0
8,6M,191,1,237,42,0,1,0,9,0,1,0,0,0,0,0,482,0,4,486,0
9,6A(W),238,1,209,22,0,0,0,9,0,0,0,0,0,1,1,481,0,8,489,0
10,7M,163,2,209,27,0,2,1,7,0,0,0,1,0,0,0,412,0,1,413,0
11,7A(W),209,1,201,15,0,3,0,6,0,0,0,0,0,1,0,436,0,4,440,0
12,8,188,2,198,22,0,0,0,4,0,0,0,0,0,1,0,415,0,3,418,0
13,9,161,1,233,19,0,1,0,5,0,0,0,0,0,0,0,420,0,3,423,0
14,10,307,2,295,34,0,0,3,12,0,0,0,0,1,0,0,654,0,4,658,0
15,11,255,0,477,56,0,3,0,13,0,0,0,0,0,1,0,805,0,6,811,0
16,12M,143,1,176,48,0,0,0,17,1,0,0,0,1,1,0,388,0,5,393,0
17,12A(W),176,1,195,18,0,0,0,20,0,0,0,0,0,0,0,410,0,6,416,0
18,13M,129,2,173,28,0,0,0,25,0,0,0,0,1,0,1,359,0,4,363,0
19,13A(W),145,0,144,24,0,1,0,27,0,0,0,1,0,2,1,345,0,4,349,0
20,14,211,3,266,44,0,6,2,51,1,0,0,0,2,0,1,587,0,3,590,0
21,15,239,3,227,38,1,1,1,24,0,1,0,0,3,0,0,538,0,2,540,0
22,16,242,1,323,50,0,0,0,41,1,0,0,0,0,1,0,659,0,2,661,0
23,17,205,1,288,41,1,5,2,26,0,0,0,1,1,1,0,572,0,5,577,0
24,18,255,2,250,38,0,1,1,16,0,0,0,0,0,1,0,564,0,5,569,0
25,19,202,1,254,25,1,2,1,26,0,0,0,0,2,0,0,514,0,2,516,0
26,20,170,0,179,25,0,2,0,13,0,0,0,0,0,0,0,389,0,0,389,0
27,21M,152,1,176,27,0,2,0,30,0,0,0,0,0,0,0,388,0,2,390,0
28,21A(W),199,0,169,13,1,0,1,19,0,0,0,0,0,0,0,402,0,3,405,0
29,22,223,1,222,23,0,1,0,23,0,0,1,1,1,0,0,496,0,1,497,0
30,23,197,0,274,31,0,5,1,51,0,0,0,0,1,0,1,561,0,6,567,0
31,24,241,2,232,14,0,0,4,10,0,0,0,0,1,0,0,504,0,9,513,0
32,25,269,2,297,33,0,7,0,5,0,0,0,2,2,5,2,624,0,10,634,0
33,26M,88,0,175,30,0,6,0,12,0,0,0,0,0,0,0,311,0,4,315,0
34,26A(W),119,1,171,25,0,1,1,14,0,1,0,0,0,0,1,334,0,1,335,0
35,27,157,3,284,47,0,1,1,30,0,1,1,1,0,1,0,527,0,6,533,0
36,28M,121,0,190,39,1,11,0,10,0,0,0,0,0,0,1,373,0,5,378,0
37,28A(W),151,3,176,16,0,14,0,15,0,0,0,0,1,1,1,378,0,2,380,0
38,29M,116,0,211,42,1,2,1,13,0,0,1,0,0,0,1,388,0,1,389,0
39,29A(W),197,1,216,20,1,1,0,9,0,1,1,0,1,1,0,449,0,4,453,0
40,30,363,3,264,37,0,4,0,9,0,1,0,0,4,3,1,689,0,6,695,0
41,31M,157,1,195,62,1,0,0,8,0,1,0,2,0,0,0,427,0,6,433,0
42,31A(W),220,3,208,36,3,0,0,6,0,3,0,2,1,0,1,483,0,3,486,0
43,32M,124,1,205,61,0,0,0,6,0,0,0,0,1,0,0,398,0,1,399,0
44,32A(W),186,1,218,25,0,0,0,7,1,1,0,1,0,0,1,441,0,2,443,0
45,33,270,0,356,91,0,3,1,6,0,0,0,2,0,4,0,733,0,3,736,0
46,34,203,1,396,30,0,7,0,11,0,1,1,0,0,5,0,655,0,6,661,0
47,35,216,2,371,50,1,8,0,9,0,0,0,0,0,0,0,657,0,6,663,0
48,36M,177,2,264,53,0,6,0,11,0,0,0,0,1,2,0,516,0,3,519,0
49,36A(W),242,1,234,26,1,2,2,14,0,2,0,0,2,0,0,526,0,7,533,0
50,37,195,4,328,38,0,7,0,6,0,0,0,0,0,1,0,579,0,3,582,0
51,38,362,4,178,31,0,0,1,11,0,0,0,0,0,1,1,589,0,2,591,0
52,39,243,4,379,51,2,1,0,13,0,1,1,2,1,0,1,699,0,7,706,0
53,40,278,2,322,20,0,0,0,16,0,0,0,0,0,0,0,638,0,3,641,0
54,41,146,2,353,19,1,0,1,9,0,1,0,0,0,0,0,532,0,7,539,0
