Polling Station No.,Building,Polling Areas
1,"PANCHAYAT UNION PRIMARY SCHOOL ( RIGHT SIDE), THENGUMARAHADA - 638451","1.KALLAMPALAYAM(R.V), THENGUMARAHADA (P), WARD NO 1 HALLIMOYAR , 2.HALLIMOYAR(R.V), THENGUMARAHADA (P), WARD NO. 4 SUDUGADU MOOLAI , 999.OVERSEAS ELECTORS"
2,"PANCHAYAT UNION PRIMARY SCHOOL (ADDL. BUILDING), THENGUMARAHADA - 638451","1.HALLIMOYAR(R.V), THENGUMARAHADA (P), WARD NO. 3 THENGUMARAHADA , 2.HALLIMOYAR(R.V), THENGUMARAHADA (P), WARD NO. 3 PUDUKADU , 3.HALLIMOYAR(R.V),THENGUMARAHADA )P), WARD NO. 4 PARISILTHURAI , 4.HALLIMOYAR(R.V), THENGUMARADA (P), WARD NO. 4 THENGUMARAHADA , 5.HALLIMOYAR(R.V), THENGUMARAHADA (P), WARD NO. 4 CHITHIRAMPATTI , 999.OVERSEAS ELECTORS"
3,"Govt Tribal Residensial School , Kallampalayam 638451","1.HALLIMOYAR(R.V), THENGUMARAHADA (P), WARD NO 2 KALLAMPALAYAM KILOOR , 2.KALLAMPALAYAM(R.V), THENGUMARAHADA (P), WARD NO. 2 KALLAMPALAYAM , 999.OVERSEAS ELECTORS"
4,"PANCHAYAT UNION PRIMARY SCHOOL,ELADA - 643217","1.KODANAD(R.V) And (P), WARD NO 1 CURZON , 2.KODANAD(R.V) And (P), WARD NO. 1 KETCHIKADU , 3.KODANAD(R.V) And (P), WARD NO. 1 MEDANADU ESTATE , 4.KODANAD(R.V) And (P), WARD NO. 1 OSAPPADA , 5.KODANAD(R.V) And (P), WARD NO. 2 KENANTHURAI , 6.KODANAD(R.V) And (P), WARD NO. 2 MOOKA AJJA GOWDER THOTTAM , 7.KODANAD(R.V) And (P), WARD NO. 2 UPPADA LEASE BOOMI , 8.KODANAD(R.V) And (P), WARD NO. 2 UPPADA , 9.KODANAD(R.V) And (P), WARD NO 2 ELADA BAZAAR , 10.KODANAD(R.V) And (P), WARD NO. 2 KENTHONI , 11.KODANAD(R.V) And (P), WARD NO. 2 BHARATHI NAGAR , 12.KODANAD(R.V) And (P), WARD NO. 2 GUNDADA , 999.OVERSEAS ELECTORS"
5,"PANCHAYAT UNION PRIMARY SCHOOL BLOCK NO 2, ( RIGHT SIDE) SUNDATTY - 643217","1.KODANAD(R.V) And (P), WARD NO. 3 SUNDATTI , 2.KODANAD(R.V) And (P), WARD NO. 3 KILINCHIMANTHU , 999.OVERSEAS ELECTORS"
6,"PANCHAYAT UNION MIDDLE SCHOOL(3rd and 4th Class),Keradamattam- 643217","1.KODANAD(R.V) And (P), WARD NO. 4 GANDHI NAGAR , 2.KODANAD(R.V) And (P), WARD NO. 4 PANKADU , 3.KODANAD(R.V) And (P), WARD NO. 5 ANNANAGAR , 4.KODANAD(R.V) And (P), WARD NO. 3 KERADAMATTAM , 999.OVERSEAS ELECTORS"
7,"PANCHAYAT UNION MIDDLE SCHOOL (1st and 2nd Std),(NEW BUILDING), Keradamattam - 643217","1.KODANAD(R.V) And (P), WARD NO. 4 KIRUMANADU , 2.KODANAD(R.V) And (P), WARD NO.5 KORAMEDU , 3.KODANAD(R.V) And (P), WARD NO.3 VETRINAGAR , 999.OVERSEAS ELECTORS"
8,"Panchayat Union Primary School , Ullathatty - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 1 ODEN KILATTI , 2.NEDUGULA(R.V) And (P), WARD NO.1 ODEN MELATTI , 3.NEDUGULA(R.V) And (P), WARD NO.1 JACKACOMBAI , 4.NEDUGULA(R.V) And (P), WARD NO.1 HULLATHATTI , 999.OVERSEAS ELECTORS"
9,"PANCHAYAT UNION PRIMARY SCHOOL, Beragani - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 5 BERAGANI , 2.NEDUGULA(R.V) And (P), WARD NO. 5 BERAGANI , 999.OVERSEAS ELECTORS"
10,"GOVERNMENT HIGHER SEC SCHOOL (NEW BUILDING))(LEFT SIDE 1ST HALL), NEDUGULA - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 1 BAMUDI , 2.NEDUGULA(R.V) And (P), WARD NO. 1 KOTTANALLI , 999.OVERSEAS ELECTORS"
11,"GOVERNMENT HIGHER SEC SCHOOL, ( LEFT SIDE) NEDUGULA - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 2 ELADA , 2.NEDUGULA(R.V) And (P), WARD NO.2 KURUKUTHI , 3.NEDUGULA(R.V) And (P), WARD NO. 2 NEDUGULA OSATTI , 4.NEDUGULA(R.V) And (P), WARD NO. 2 NEDUGULA KILKARI , 999.OVERSEAS ELECTORS"
12,"GOVERNMENT HIGHER SEC SCHOOL ( NEW BUILDING)( LEFT SIDE 2ND HALL), NEDUGULA - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 2 NEDUGULA , 2.NEDUGULA(R.V) And (P), WARD NO. 2 SELAKKORAI , 3.NEDUGULA(R.V) And (P), WARD NO. 2 KAVILORAI , 999.OVERSEAS ELECTORS"
13,"PANCHAYAT UNION PRIMARY SCHOOL ( RIGHT SIDE), ( NORTH SIDE) MILIDHANE - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 3 KAIRCOMBAI , 2.NEDUGULA(R.V) And (P), WARD NO. 3 KAKKASOLAI , 999.OVERSEAS ELECTORS"
14,"PANCHAYAT UNION PRIMARY SCHOOL, SULLIGUDU - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 3 ARAIHATTY , 2.NEDUGULA(R.V) And (P), WARD NO. 3 SULLIGUDU , 3.NEDUGULA(R.V) And (P), WARD NO. 3 S.KAIKATTY , 999.OVERSEAS ELECTORS"
15,"GOVERNMENT HIGH SCHOOL ( RIGHT SIDE),SULLIGUDU - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 3 SUNSHINE NAGAR , 2.NEDUGULA(R.V) And (P), WARD NO. 3 RAJ NAGAR , 3.NEDUGULA(R.V) And (P), WARD NO. 3 SULLIGUDUHADA , 4.NEDUGULA(R.V) And (P), WARD NO. 3 KASTHURIBA NAGAR , 999.OVERSEAS ELECTORS"
16,"GOVERNMENT HIGH SCHOOL (LEFT SIDE) ( MAIN HALL ) , MILIDHANE - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 3 MILIDHANE , 2.NEDUGULA(R.V) And (P), WARD NO. 4 LILLIHATTY , 999.OVERSEAS ELECTORS"
17,"GOVERNMENT HIGH SCHOOL, (SOUTH SIDE) MILIDHANE - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 3 ERISIBETTA , 2.NEDUGULA(R.V) And (P), WARD NO. 3 INDIRA NAGAR , 999.OVERSEAS ELECTORS"
18,"PANCHAYAT UNION PRIMARY SCHOOL , ( RIGHT SIDE) KADAIKKAMBATTY- 643217","1.NEDUGULA(R.V) And (P), WARD NO. 4 PALLIHADA , 2.NEDUGULA(R.V) And (P), WARD NO.4 KADAIKAMBATTY , 999.OVERSEAS ELECTORS"
19,"PANCHAYAT UNION PRIMARY SCHOOL , ( LEFT SIDE) KAPPATTY - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 4 KAPPATTY , 999.OVERSEAS ELECTORS"
20,"PANCHAYAT UNION PRIMARY SCHOOL, ( NEW BUILDING) KADAIKKAMBATTY - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 4 KUNNIHATTY , 2.NEDUGULA(R.V) And (P), WARD NO. 4 JACKALODAI , 3.NEDUGULA(R.V) And (P), WARD NO. 4 SAMILTHITTU , 999.OVERSEAS ELECTORS"
21,"PANCHAYAT UNION PRIMARY SCHOOL ( LEFT SIDE), (NEWBUILDING) KADAIKKAMBATTY-643217","1.NEDUGULA(R.V) And (P), WARD NO. 5 V.O.C NAGAR , 2.NEDUGULA(R.V) And (P), WARD NO. 5 KUTTIMANI NAGAR , 3.NEDUGULA(R.V) And (P), WARD NO. 5 NERIKUDA , 4.NEDUGULA(R.V) And (P), WARD NO. 5 M. KAIKATTY , 5.NEDUGULA(R.V) And (P), WARD NO. 5 NARAGIRI , 6.NEDUGULA(R.V) And (P), WARD NO. 5 PATTAMOKKAI , 999.OVERSEAS ELECTORS"
22,"PANCHAYAT UNION PRIMARY SCHOOL, SHOLURMATTAM - 643216","1.DENAD(R.V) And (P), WARD NO. 1 KADASOLAI , 2.DENAD(R.V) And (P), WARD NO. 1 CHEDIKAL , 3.DENAD(R.V) And (P), WARD NO. 1 AADUMANTHAI , 4.DENAD(R.V) And (P), WARD NO. 1 KARAKODUMATTAM , 5.DENAD(R.V) And (P), WARD NO. 1 BYNARI , 6.DENAD(R.V) And (P), WARD NO. 1 GURUKUNTHA , 7.DENAD(R.V) And (P), WARD NO. 1 KONAKATTY , 8.DENAD(R.V) And (P), WARD NO. 1 EERAPANAI , 9.DENAD(R.V) And (P), WARD NO. 1 NIMSHIPURAM , 10.DENAD(R.V) And (P), WARD NO. 1 BOMMAN , 999.OVERSEAS ELECTORS"
