Sl. No,Polling Station No,"M.SUBRAMANIAN,(Alias)RAVICPI","M. SELVAKUMAR, DMDK","K.N. VIJEYAKUMAR, AIADMK","B. ALAGUSUNDARAM, KDA","S.EASWARAN,NTK","S.SIVABALAN,MNM","V. SENTHILKUMAR, MDATPA K","K. DEIVASIGAMANI, KMTE","S. UDHAYAKUMAR, IND","T.N. SENTHILKUMAR, IND","R. SENTHILKUMAR, IND","A. SENTHILVEL, IND","S. MURUGAPANDI, IND","M.RANGASAMY,IND",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1,2,162,1,373,3,24,8,2,1,1,0,2,3,1,0,583,0,5,588,0
2,2,0,103,1,295,1,13,4,0,0,0,0,0,2,0,1,420,0,4,424,0
3,3,3,162,4,550,2,49,11,0,0,0,2,4,6,0,0,793,0,2,795,0
4,4,1,120,3,416,5,34,15,1,0,0,0,1,2,1,1,600,0,3,603,0
5,5,3,185,6,410,3,47,10,0,1,2,0,0,2,1,0,670,0,4,674,0
6,6,3,255,7,290,3,65,27,1,1,0,0,1,4,1,1,659,0,1,660,0
7,7,0,75,4,403,4,19,6,0,0,0,0,0,0,0,0,511,0,2,513,0
8,8,1,112,2,197,1,34,2,0,0,0,0,0,0,1,0,350,0,3,353,0
9,9,1,130,5,341,3,45,8,0,0,2,1,1,1,0,1,539,0,5,544,0
10,10,2,141,6,377,1,62,18,1,0,1,1,1,3,0,1,615,0,9,624,0
11,11,0,150,1,314,2,72,34,0,0,2,0,0,0,0,0,575,0,2,577,0
12,11A,0,177,3,298,3,65,41,1,0,0,0,0,2,2,3,595,0,7,602,0
13,12,4,309,8,414,8,58,24,1,0,1,1,0,1,4,3,836,0,8,844,0
14,13,0,203,1,375,3,51,24,2,1,0,0,2,0,1,1,664,0,7,671,0
15,14,4,86,9,336,1,43,14,0,0,0,0,0,0,0,0,493,0,4,497,0
16,14A,3,146,4,323,1,37,12,0,0,1,0,0,1,0,1,529,0,3,532,0
17,15,1,190,4,534,2,54,31,0,0,0,0,1,0,1,0,818,0,3,821,0
18,16,1,122,4,297,0,61,25,0,0,0,0,3,0,0,1,514,0,2,516,0
19,17,3,207,19,438,2,89,26,0,2,0,0,1,2,0,0,789,0,3,792,0
20,18,0,96,6,415,1,40,17,0,0,0,0,2,3,1,0,581,0,7,588,0
21,18A,0,59,4,204,1,25,12,0,0,0,0,0,0,0,0,305,0,2,307,0
22,19,2,176,7,289,3,37,17,0,0,0,0,0,0,1,3,535,0,6,541,0
23,19A,2,158,3,305,5,37,16,0,1,0,0,1,2,1,2,533,0,6,539,0
24,20,2,107,1,234,3,38,8,0,0,0,0,0,1,0,0,394,0,1,395,0
25,20A,0,109,9,342,1,25,10,0,0,1,0,0,0,0,0,497,0,2,499,0
26,21,0,217,6,280,2,44,40,0,0,0,0,1,1,0,0,591,0,3,594,0
27,22,1,109,1,228,1,44,17,0,0,1,0,0,0,0,1,403,0,7,410,0
28,22A,1,104,12,220,0,56,24,0,0,0,0,1,2,1,1,422,0,6,428,0
29,23,0,132,4,197,2,29,14,0,1,0,0,0,1,0,0,380,0,2,382,0
30,23A,3,180,3,317,3,47,16,0,0,2,1,3,1,0,0,576,0,7,583,0
31,24,3,87,4,284,1,30,21,0,0,0,0,0,1,1,0,432,0,5,437,0
32,24A,1,102,3,243,2,36,23,0,0,0,0,0,0,0,0,410,0,4,414,0
33,25,0,194,12,235,1,45,43,0,0,1,0,1,0,0,0,532,0,5,537,0
34,26,0,159,8,175,1,37,22,0,0,2,1,2,0,1,0,408,0,9,417,0
35,27,3,213,13,294,1,96,34,1,0,1,1,3,0,0,2,662,0,7,669,0
36,28,2,179,10,217,1,47,24,0,0,0,0,1,0,0,0,481,0,3,484,0
37,29,1,190,3,282,0,23,25,1,1,0,0,1,0,0,0,527,0,3,530,0
38,30,2,185,6,152,0,41,26,0,0,1,0,2,0,0,0,415,0,3,418,0
39,31,2,154,14,481,3,45,24,1,1,0,1,1,1,1,0,729,0,4,733,0
40,32,2,229,29,404,3,47,19,0,0,0,1,1,0,1,2,738,0,2,740,0
41,33,0,132,4,202,0,36,9,0,0,0,0,0,1,0,0,384,0,2,386,0
42,33A,1,115,11,203,0,16,5,1,0,0,0,0,0,0,2,354,0,1,355,0
43,34,4,123,13,178,0,53,30,1,0,0,0,0,0,2,0,404,0,2,406,0
44,34A,2,128,16,224,1,85,30,1,0,0,0,0,0,2,1,490,0,6,496,0
