Sl. No,Polling Station No,"M.S.M.ANANDAN,AIADMK","K. MUTHURATHINAM, DMK","A. MARIARAJ, ANTONY KIT","R.UMANATH,PISU","G. SHIVAKUMAR, DATPA KM","S. SUBRAMANIAN, NTK","K. THINAKARAN, KDA","G.MAYILSAMY,MNM","R. JOTHIMANI, AMMK","M.HAMEED,SHAHULIND","T.SARATHA,IND","A THANGARAJ, IND","R.THUYAMANI,IND","V. MARUTHASALAM, IND","M. MUTHURATHINAM, IND","L. MUTHURATHINAM, IND","K.MURUGESAN,IND","V.RAMESH,IND","M. VIJAYAKUMAR, IND",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1,0,169,154,0,2,0,17,0,4,8,0,0,1,1,3,1,0,1,0,7,368,0,4,372,0
2,1A,4,325,172,0,4,1,32,0,7,0,1,0,0,4,1,4,1,1,4,15,576,0,6,582,0
3,2,4,271,135,0,0,0,13,0,8,2,0,1,0,0,0,2,0,3,0,2,441,0,4,445,0
4,2A,1,239,124,0,3,1,45,0,20,1,0,2,1,0,0,1,0,1,0,4,443,0,9,452,0
5,3,4,272,97,0,1,1,9,0,5,1,0,0,1,3,1,1,0,1,0,0,397,0,1,398,0
6,3A,0,268,129,0,0,1,25,0,7,5,0,0,0,1,0,3,0,0,1,0,440,0,5,445,0
7,4,0,144,87,0,0,1,17,0,7,2,0,0,0,0,0,3,1,0,1,0,263,0,1,264,0
8,5,5,272,136,0,2,0,12,0,0,8,0,1,0,1,4,1,0,1,0,0,443,0,0,443,0
9,5A,2,222,150,0,0,0,42,0,10,7,0,0,0,0,1,1,0,0,0,0,435,0,4,439,0
10,6,2,242,153,1,0,0,26,0,6,1,1,0,0,0,0,0,0,1,2,0,435,0,3,438,0
11,7,1,224,125,0,0,1,20,0,8,8,1,0,0,1,0,3,0,2,1,0,395,0,3,398,0
12,8,0,306,145,1,2,0,52,0,18,5,0,0,0,0,2,2,1,0,0,0,534,0,9,543,0
13,9,2,404,125,0,0,0,9,0,14,2,1,0,0,0,2,0,1,0,2,1,563,0,2,565,0
14,10,1,180,97,0,0,1,16,1,3,0,0,0,0,0,0,2,0,1,3,0,305,0,4,309,0
15,11,2,376,256,2,1,0,78,0,26,7,0,0,1,1,1,4,1,2,4,0,762,0,8,770,0
16,12,2,359,154,0,1,0,63,1,15,50,2,0,0,0,0,0,0,2,0,0,649,0,4,653,0
17,13,1,279,173,0,0,0,48,0,16,13,0,1,0,1,0,2,0,0,1,1,536,0,7,543,0
18,14,2,214,137,0,0,0,62,1,6,8,0,0,0,0,0,0,0,0,0,2,432,0,2,434,0
19,15,3,343,214,0,1,0,39,1,34,5,1,0,0,1,0,3,2,0,1,0,648,0,9,657,0
20,16,0,325,194,0,3,0,64,1,33,8,0,0,0,0,2,2,1,0,0,0,633,0,8,641,0
21,17,4,233,189,1,0,0,30,1,16,7,0,0,1,0,1,1,0,0,0,0,484,0,4,488,0
22,18,2,324,205,3,1,0,38,0,12,3,0,0,0,0,0,1,0,2,1,0,592,0,4,596,0
23,19,0,291,172,0,0,1,32,0,23,1,0,0,0,1,0,1,0,1,1,0,524,0,5,529,0
24,20,1,355,226,1,0,0,63,0,22,1,1,1,0,0,1,1,0,0,0,0,673,0,6,679,0
25,21,0,219,140,0,0,0,30,0,24,1,0,0,0,0,0,2,0,0,0,0,416,0,5,421,0
26,21A,0,276,162,1,0,0,22,0,18,0,0,0,0,1,1,0,0,2,0,0,483,0,2,485,0
27,22,0,302,151,1,1,0,29,0,15,0,0,0,0,0,0,0,0,1,0,1,501,0,3,504,0
28,23,1,423,187,0,0,0,20,0,10,1,0,0,0,0,2,0,1,1,2,0,648,0,4,652,0
29,24,0,191,103,0,0,0,21,0,12,0,0,0,0,0,0,0,0,1,0,0,328,0,4,332,0
30,24A,0,207,173,0,0,0,19,1,21,0,0,0,0,0,0,1,0,0,0,0,422,0,3,425,0
31,25,0,317,165,2,0,0,33,0,18,4,0,0,0,0,0,2,1,2,0,0,544,0,3,547,0
32,26,0,404,253,0,0,0,35,0,38,6,0,0,0,1,1,3,1,0,1,0,743,0,13,756,0
33,27,2,319,196,1,0,0,33,0,10,3,0,0,0,0,0,0,1,1,0,0,566,0,3,569,0
34,28,2,395,243,1,0,0,30,0,10,11,1,0,1,2,5,0,0,4,0,0,705,0,6,711,0
35,29,1,307,209,0,0,0,24,0,12,1,0,1,0,2,3,1,0,1,0,0,562,0,4,566,0
36,30,4,305,80,0,1,1,22,0,3,4,0,0,4,0,0,2,0,1,0,0,427,0,1,428,0
37,30A,0,224,79,0,0,0,36,0,5,3,0,1,3,0,0,2,0,0,0,0,353,0,6,359,0
38,31,9,169,129,0,0,0,14,0,8,1,0,0,0,1,0,0,1,1,0,0,333,0,3,336,0
39,32,0,248,159,0,1,0,36,0,11,5,0,0,0,1,0,3,0,2,0,0,466,0,6,472,0
40,32A,1,194,214,2,1,0,57,0,23,6,1,0,0,1,0,1,0,1,0,1,503,0,2,505,0
41,33,1,340,89,1,3,0,26,2,10,1,0,0,0,1,1,1,0,3,1,0,480,0,3,483,0
42,33A,0,353,136,1,2,0,55,0,19,2,1,0,0,0,0,0,0,3,0,0,572,0,7,579,0
43,34,6,424,254,2,1,1,46,0,20,5,1,0,0,1,1,1,0,3,6,0,772,0,2,774,0
44,35,3,314,208,0,0,0,13,1,17,5,0,0,0,2,1,0,1,4,1,0,570,0,5,575,0
45,36,1,294,126,0,0,0,13,0,7,3,0,0,0,0,1,0,0,1,2,0,448,0,4,452,0
46,36A,1,277,117,0,1,0,29,0,12,1,0,0,0,0,0,0,0,0,2,0,440,0,0,440,0
47,37,1,195,103,1,0,2,63,0,22,3,0,0,0,1,0,1,0,0,0,1,393,0,1,394,0
48,37A,0,213,122,1,0,0,52,0,21,5,2,0,0,0,1,1,0,1,0,0,419,0,4,423,1
49,38,2,343,166,1,0,1,63,1,34,7,0,0,0,1,0,5,1,1,0,0,626,0,4,630,0
50,39,0,175,267,1,0,1,33,0,4,5,0,0,0,0,2,2,0,0,1,2,493,0,0,493,0
51,40,0,149,285,0,1,1,36,0,8,9,0,1,1,1,0,5,0,1,0,0,498,0,2,500,0
52,41,2,195,226,0,2,1,53,0,6,6,0,0,0,2,0,2,0,3,0,0,498,0,3,501,0
53,42,2,150,259,2,0,0,27,1,1,5,0,0,1,1,2,1,2,2,3,1,460,0,1,461,0
54,43,1,274,245,1,1,1,58,0,6,6,0,0,1,1,2,4,1,2,1,1,606,0,5,611,0
55,44,1,219,258,1,1,0,30,0,10,5,0,0,0,1,2,5,0,2,2,1,538,0,2,540,0
56,45,1,271,179,1,0,0,70,0,27,3,1,0,2,1,1,6,1,1,1,1,567,0,4,571,0
57,46,1,325,197,0,0,0,40,0,9,2,0,0,1,1,3,0,1,2,0,0,582,0,4,586,0
58,47,1,185,201,0,0,0,45,0,35,4,0,0,2,0,0,1,0,0,1,0,475,0,6,481,0
59,47A,1,103,112,1,3,0,31,0,17,2,0,0,0,0,1,1,0,1,1,0,274,0,2,276,0
60,48,0,154,151,1,0,0,29,0,19,2,0,0,0,0,1,0,0,0,0,0,357,0,3,360,0
61,48A,0,185,164,1,0,0,45,0,26,3,0,0,3,1,0,0,0,1,1,0,430,0,3,433,0
62,49,0,141,142,0,1,0,25,1,21,0,0,0,0,0,0,0,0,2,0,0,333,0,0,333,0
63,49A,2,123,185,1,0,0,44,0,23,2,0,0,0,1,0,2,0,0,1,0,384,0,5,389,0
64,50,0,146,154,1,1,0,11,0,4,4,0,0,0,4,2,2,0,1,0,0,330,0,0,330,0
65,50A,1,157,178,1,0,0,22,0,16,4,0,0,0,0,1,0,0,0,0,0,380,0,2,382,0
66,51,0,252,225,1,1,1,42,1,39,4,0,1,1,1,0,4,0,0,0,0,573,0,3,576,0
67,52,1,204,143,0,1,0,20,0,6,5,0,0,0,0,1,0,1,0,1,0,383,0,3,386,0
68,52A,1,222,171,2,0,0,54,1,32,9,0,0,0,0,0,0,0,1,0,0,493,0,5,498,0
69,53,0,172,121,0,0,0,23,0,8,16,0,1,1,0,0,4,0,1,1,2,350,0,3,353,0
70,53A,2,190,100,0,1,0,34,1,13,9,0,0,0,1,0,2,1,1,0,0,355,0,3,358,0
71,54,1,288,211,3,0,0,51,2,41,8,0,1,1,2,0,3,0,0,1,0,613,0,5,618,0
72,55,2,187,140,0,1,0,25,0,13,5,0,0,1,2,3,0,0,0,1,0,380,0,3,383,0
73,56,0,246,215,2,1,0,38,0,41,3,0,0,0,1,0,0,0,0,0,0,547,0,7,554,0
