Sl. No,Polling Station No,NACHIMUTHU S Samaj Party) (Bahujan,MOORTHI.K SIVABALA Mahasabha) Bharat Hindu (Akhil,THANGAVEL.B Party) India (My,POOVENDHAN .T Needhi Maiam) (Makkal,RAJASEKARAN VINOTH .G Tamilar Katchi) (Namm,AZHAGUMALA I.A (Independent,ANANTHAN S.P (Independent),KARUPPUSAM Y.P (Independent),KALIAPPAN.K (Independent),HAMEED SHAHUL (Independent),GOUNDER.P SAMIAPPA (Independent),SIDDIQ.M (Independent),SUDHA.R.B (Independent),SURESH.M (Independent),THANGAVEL.A (Independent),NAGENDRAN. G (Independent),PANDEESWAR AN.M (Independent),PERIYADURAI. M (Independent),MUNISHRAJA. M (Independent),SAHABUDEEN RASULBEEVI (Independent),LATHIKA (Independent),Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1,244,1,354,1,0,2,42,2,0,1,1,0,2,1,0,0,1,0,3,0,0,0,0,0,655,0,1,656,0
2,2,198,0,261,0,0,1,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,474,0,1,475,0
3,3,313,3,409,1,1,4,36,2,0,0,1,1,1,0,0,2,0,0,0,0,1,0,1,0,776,0,3,779,0
4,4,229,1,240,1,0,4,21,7,0,0,0,0,1,1,1,2,1,0,1,0,1,0,0,0,511,0,3,514,0
5,5,223,3,405,2,0,2,13,5,0,4,0,0,0,3,0,1,0,0,2,0,0,0,0,1,664,0,5,669,0
6,6 M,199,1,177,6,0,5,13,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,407,0,1,408,0
7,6A(W),229,2,202,3,0,6,5,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,452,0,2,454,0
8,7,288,2,295,4,0,10,24,10,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,639,0,2,641,0
9,8,322,0,375,4,0,18,21,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,746,0,4,750,0
10,9,231,0,145,0,1,6,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,394,0,3,397,0
11,10M,160,1,217,0,0,8,17,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,408,0,6,414,0
12,10A(W),181,0,228,3,1,6,11,1,0,0,0,0,0,0,1,1,1,0,4,0,0,0,0,0,438,0,9,447,0
13,11,163,0,130,0,0,11,7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,314,0,4,318,0
14,12,287,2,321,0,0,6,33,6,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,664,0,4,668,0
15,13,313,1,260,0,1,6,22,18,0,0,0,0,1,1,0,3,6,2,3,0,0,0,0,0,637,0,0,637,0
16,14,316,1,412,0,0,18,22,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,778,0,4,782,0
17,15,124,0,144,0,0,5,10,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,294,0,0,294,0
18,16 M,206,0,151,0,0,6,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,395,0,1,396,0
19,16A(W),224,0,154,0,0,6,8,0,1,1,0,0,0,2,0,2,2,0,0,0,0,0,0,1,401,0,1,402,0
20,17,348,0,152,1,1,12,18,8,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,545,0,7,552,0
21,18 M,225,2,131,0,0,9,25,3,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,401,0,5,406,0
22,18A(W),282,0,113,1,1,7,10,1,1,0,0,0,1,1,0,2,1,0,0,0,1,1,0,0,423,0,4,427,0
23,19,193,2,234,3,0,6,16,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,460,0,2,462,0
24,20,468,4,263,1,2,1,22,2,0,0,0,1,0,2,3,4,3,1,2,1,1,1,0,2,784,0,4,788,0
25,21,251,1,335,1,0,7,14,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,617,0,2,619,0
26,22 M,250,1,173,0,1,2,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,456,0,0,456,0
27,22A(W),251,1,188,5,0,3,4,5,1,0,0,0,0,1,1,5,6,1,1,0,0,0,0,0,473,0,2,475,0
28,23,326,2,334,0,0,0,24,9,0,0,0,0,1,1,2,3,2,0,1,0,0,0,0,0,705,0,3,708,0
29,24,238,3,296,1,0,3,9,3,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,558,0,1,559,0
30,25 M,230,0,195,0,0,7,24,5,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,2,469,0,9,478,0
31,25A(W),265,2,194,0,0,4,2,1,0,0,0,1,0,0,0,1,3,0,4,0,0,0,0,1,478,0,4,482,0
32,26,338,4,314,1,0,37,22,11,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,732,0,6,738,0
33,27 M,244,3,134,2,0,25,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,5,437,0
34,27A(W),254,3,140,0,0,13,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,420,0,1,421,0
35,28 M,291,1,101,0,0,8,16,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,428,0,1,429,0
36,28A(W),318,5,116,0,0,9,7,3,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,2,466,0,1,467,0
37,29,74,0,78,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,155,0
38,30,312,3,185,2,0,14,14,6,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,542,0,1,543,0
39,31,293,2,176,2,1,12,12,16,0,0,1,0,0,0,1,2,3,0,1,1,5,0,0,0,528,0,1,529,0
