Sl. No,Polling Station No,Samaj Party Bahujan NAVLES . IAGIHTRAK S,SILABARASAN. M Thamizhagam Puthiya,SIVASAKTHIV EL.P Needhi Maiam Makkal,JUSTIN. A SIMON Tamilar Katchi Naam,THILAGABAM M A. Makkal Katchi Pattali,P RAGUPATHY. Katchi Makkal Puratchi Anaithu,JAYASEKARAN R . Party Inda My,A.S ANBU. Independent,M KARTHI. Independent,D SANKAR. Independent,SAVADAMUTH A U. Independent,SILAMBARASA P N. Independent,THILAGAVATH S Y. Independent,BALAMURUGA A N. Independent,R PALRAJ. Independent,MURUGANANT C HAM. Independent,VEERAMALAI. S Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1M,1,297,2,5,9,30,74,1,0,0,0,1,0,0,0,1,0,0,1,1,423,0,1,424,0
2,1A(W),3,332,3,2,8,6,43,7,0,1,0,3,2,0,4,3,0,1,0,1,419,0,2,421,0
3,2,0,473,3,11,3,24,113,4,0,0,0,2,1,0,0,0,0,4,1,1,640,0,4,644,0
4,3,2,415,0,5,5,22,113,4,0,0,0,0,0,1,1,0,2,1,0,0,571,0,3,574,0
5,4M,2,272,0,10,4,21,59,1,0,1,0,0,1,9,2,1,1,2,0,0,386,0,1,387,0
6,4A(W),1,346,4,5,4,5,42,1,0,0,0,2,3,7,4,0,2,5,4,2,437,0,3,440,0
7,5,5,554,4,9,9,25,118,2,1,0,1,1,2,16,3,1,0,10,2,0,763,0,3,766,0
8,6M,0,325,1,3,13,34,83,3,0,0,0,0,0,0,0,0,0,2,0,1,465,0,7,472,0
9,6A(W),3,369,1,2,8,12,55,1,0,1,0,2,0,0,1,0,0,1,1,1,458,0,0,458,0
10,7M,0,244,0,5,5,28,100,2,0,0,0,0,1,0,0,2,0,1,0,0,388,0,3,391,0
11,7A(W),6,265,5,10,0,12,93,7,0,1,1,2,0,1,2,5,1,5,0,0,416,0,1,417,0
12,8M,1,359,1,4,6,20,68,1,0,0,0,0,1,0,1,0,0,2,0,0,464,0,1,465,0
13,8A(W),2,375,3,2,9,6,36,2,0,0,0,0,0,1,2,1,0,1,1,0,441,0,0,441,0
14,9M,1,281,1,1,1,14,78,1,1,0,0,1,0,0,0,0,0,3,0,0,383,0,2,385,0
15,9A(W),0,312,2,3,2,8,47,4,0,0,1,1,0,0,0,4,0,1,1,0,386,0,4,390,0
16,10,1,529,2,7,10,30,168,6,0,0,0,2,7,1,2,2,0,2,1,0,770,0,8,778,0
17,11,4,559,2,19,10,26,121,6,0,0,0,0,2,0,0,1,0,8,1,1,760,0,5,765,0
18,12,4,494,2,5,6,28,88,4,0,1,0,2,4,16,5,3,1,1,1,1,666,0,6,672,0
19,13M,1,309,2,3,6,29,75,2,0,0,1,0,2,12,1,0,1,8,0,0,452,0,3,455,0
20,13A(W),0,355,0,2,3,8,72,4,0,0,0,3,0,5,0,0,0,9,0,1,462,0,2,464,0
21,14,1,559,3,3,3,38,141,8,0,0,1,0,3,9,2,0,0,6,0,1,778,0,6,784,0
