Sl. No,Polling Station No,Desiya Dravida Murpokku Kazhagam K.YMASAMAR,NAGENDRAN Party Bahujan Samaj,AIYYAR.V.K Tamilagam Puthiya,ANANTH Needhi Maiam Makkal,REVADHI.V India Party My,VASANTHA DEVI.G Tamilar Katchi Naam,ALAPPAN.A Independent,KALIMUTHU.M Independent,SIVAKAMI.P Independent,NAGAJOTHI.P Independent,NITHYA.S Independent,PANDI.M Independent,BALASUBRAM ANI.V Independent,PERUMAL.N Independent,POTHUMANIC KAM.P Independent,VINOTH.V Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1,21,284,2,78,0,9,0,32,1,0,1,1,0,2,0,1,3,2,437,0,2,439,0
2,1A,5,220,0,25,0,1,0,23,0,0,0,0,0,0,0,0,2,4,280,0,1,281,0
3,2,16,344,1,130,0,5,0,70,1,0,0,3,0,0,0,1,2,2,575,0,4,579,0
4,3,11,297,0,127,0,6,0,29,0,0,0,2,0,0,0,1,1,3,477,0,4,481,0
5,4,38,350,4,205,3,8,1,34,0,0,0,2,1,0,1,1,1,4,653,0,8,661,0
6,5M,17,247,1,139,0,7,2,80,1,0,0,1,0,0,0,0,0,2,497,0,4,501,0
7,5A(W),8,334,2,136,2,7,1,28,1,0,2,2,0,0,0,0,0,1,524,0,3,527,0
8,6,25,260,1,262,5,21,1,93,1,0,0,3,0,0,0,2,0,1,675,0,9,684,0
9,7,4,212,1,178,1,21,1,45,0,0,0,0,0,0,0,1,0,1,465,0,2,467,0
10,8,14,218,1,188,1,24,0,53,0,0,0,1,0,2,2,1,1,0,506,0,2,508,0
11,9M,12,139,1,198,0,15,0,44,1,0,0,1,0,0,0,0,0,0,411,0,10,421,0
12,9A(W),9,156,0,165,1,17,0,30,1,1,0,0,0,0,0,1,0,0,381,0,5,386,0
13,10M,8,166,0,108,1,31,2,65,0,0,0,0,0,0,0,1,0,0,382,0,10,392,0
14,10 A(W),5,178,2,119,1,26,0,33,1,0,0,2,0,0,1,2,0,1,371,0,5,376,0
15,11M,7,145,1,91,0,29,0,41,0,1,0,1,1,0,1,0,0,0,318,0,11,329,0
16,11 A(W),3,173,0,96,1,31,1,14,0,0,0,0,0,1,0,1,0,0,321,0,3,324,0
17,12,6,269,3,179,0,30,0,88,0,0,0,1,0,0,0,0,2,0,578,0,10,588,0
18,13,0,224,2,116,0,27,0,65,0,0,0,0,0,0,0,0,1,1,436,0,13,449,0
19,14M,2,162,2,181,0,4,0,50,1,0,0,0,0,0,0,0,0,0,402,0,4,406,0
20,14 A(W),5,234,0,200,0,4,1,30,0,0,0,2,0,0,0,0,1,0,477,0,1,478,0
21,15M,10,234,0,110,0,17,0,70,0,0,0,0,0,0,0,1,0,0,442,0,3,445,0
22,15 A(W),4,249,1,103,0,25,0,36,1,0,0,2,1,1,1,1,0,1,426,0,3,429,0
23,16,4,299,2,199,3,66,2,81,1,1,0,2,0,1,0,0,0,0,661,0,5,666,0
24,17,6,350,6,257,1,25,0,25,0,0,0,1,1,0,0,0,1,2,675,0,4,679,0
25,18,5,173,2,175,1,5,2,23,1,0,0,1,0,0,1,1,0,2,392,0,1,393,0
26,19,8,239,2,185,2,7,0,32,3,0,0,2,0,0,0,0,2,4,486,0,11,497,0
27,20,9,322,5,230,4,23,1,79,1,1,0,1,0,1,0,0,0,1,678,0,2,680,0
28,21,7,241,3,270,0,10,0,39,0,0,0,1,0,2,0,1,2,2,578,0,2,580,0
29,22,22,293,0,306,0,11,0,46,0,0,1,3,0,0,0,0,1,3,686,0,7,693,0
30,23M,14,254,1,135,1,29,0,77,0,0,0,0,0,0,0,0,0,0,511,0,4,515,0
31,23 A(W),12,258,1,133,0,35,0,24,0,0,0,1,0,1,0,1,2,0,468,0,3,471,0
32,24,19,307,0,225,1,26,0,81,2,0,0,1,1,0,0,0,0,0,663,0,1,664,0
33,25,12,351,2,218,1,15,1,91,0,0,0,4,1,1,1,1,0,3,702,0,5,707,0
34,26,20,353,4,229,2,8,0,61,0,0,0,1,0,1,1,2,1,1,684,0,5,689,0
35,27,5,308,2,362,3,19,1,38,0,0,0,4,0,2,2,0,0,0,746,0,6,752,0
36,28,6,193,2,376,10,4,0,103,0,2,0,4,0,0,0,0,3,4,707,0,4,711,0
37,29,8,489,4,140,1,3,2,91,0,1,0,2,0,1,0,0,6,4,752,0,3,755,0
38,30,8,394,8,228,0,3,0,98,0,0,1,3,1,2,0,3,2,1,752,0,7,759,0
39,31M,12,312,3,103,0,6,0,52,0,0,0,2,0,0,0,0,1,1,492,0,4,496,0
40,31 A(W),7,369,3,96,3,5,0,15,1,1,0,3,0,3,0,6,0,2,514,0,2,516,0
41,32,29,297,4,275,3,14,0,93,0,0,0,3,1,1,0,1,1,2,724,0,6,730,0
42,33,28,242,2,259,3,7,0,87,1,0,0,3,0,0,0,2,1,1,636,0,7,643,0
43,34M,13,204,1,97,0,9,0,64,1,0,0,3,0,0,0,0,0,0,392,0,2,394,0
44,34 A(W),8,278,1,110,0,7,0,26,0,0,0,0,1,1,0,1,1,2,436,0,5,441,0
45,35,31,504,3,213,0,12,0,47,0,0,0,1,0,0,0,0,1,0,812,0,3,815,0
46,36,4,503,4,185,2,4,0,68,0,0,0,0,0,1,1,0,1,3,776,0,1,777,0
47,37,9,591,5,218,2,3,1,44,1,0,0,2,1,0,0,0,1,4,882,0,4,886,0
48,38,8,450,2,111,1,11,1,51,0,0,1,0,0,0,0,2,1,3,642,0,3,645,0
49,39,15,332,1,195,2,15,0,81,0,0,0,2,1,0,0,2,1,0,647,0,1,648,0
50,40,6,145,2,204,1,4,0,60,0,0,1,1,1,1,0,0,0,0,426,0,6,432,0
51,41,21,280,3,163,2,28,0,55,1,0,1,0,0,0,0,1,1,1,557,0,1,558,0
52,42,7,224,1,266,1,20,0,51,5,0,0,0,2,0,0,2,0,1,580,0,4,584,0
53,43,25,295,3,164,1,14,2,84,1,1,0,1,0,1,3,1,1,3,600,0,7,607,0
54,44,43,378,1,193,0,5,0,46,0,0,0,2,2,1,0,0,5,5,681,0,3,684,0
