Sl. No,Polling Station No,P KRISHNAGOPAL Dravida Kazhagam Murpokku Desiya,K UMARANI Katchi Jananayaka Indiya,KANIMOZHI.P Katchi Tamilar Naam,SAKTHIVEL.M (Marxist‐Leninist)(Liberation) India of Party Communist,VARADAN.M Party Shakti Jan Lok,V ARPUTHASAMY Independent,S ILANGOVAN Independent,C ELAYARAJA Independent,P KRISHNA KARTHICK Independent,A PRIYA SATHYA Independent,V CHANDRASEKAR Independent,T CHITHAIYAN Independent,P CHINNAN Independent,P SUBRAMANIAN Independent,P DAVID Independent,M KUMAR NIRMAL Independent,P KUMAR PRASANNA Independent,P RASU Independent,D JEYAPANDIAN Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1,198,14,277,2,38,4,0,0,0,0,2,0,2,7,2,1,3,2,5,0,0,0,557,0,2,559,0
2,2,234,8,204,2,35,0,1,0,0,0,0,0,2,3,2,2,0,0,0,0,1,0,494,0,0,494,0
3,3,269,34,94,2,16,0,1,0,0,0,0,0,0,5,1,1,0,0,1,0,0,0,424,0,0,424,0
4,3(A),289,22,117,0,7,0,0,0,0,1,0,0,1,4,1,4,1,1,1,0,0,0,449,0,2,451,0
5,4,204,6,185,2,54,0,0,0,0,1,7,0,0,3,0,3,3,0,1,1,0,0,470,0,2,472,0
6,5,260,33,264,1,33,0,1,0,0,0,2,0,1,1,1,1,2,2,5,0,1,0,608,0,5,613,0
7,6,352,19,310,10,77,0,0,0,1,0,0,1,2,4,0,3,4,3,5,1,1,1,794,0,4,798,0
8,7,239,20,335,6,64,0,1,1,1,1,1,0,1,8,1,1,1,0,1,0,0,3,685,0,6,691,0
9,8,254,22,196,0,59,2,1,0,0,1,0,1,1,2,0,2,3,1,2,1,0,0,548,0,4,552,0
10,8(A),240,7,246,1,24,0,0,0,2,0,0,2,0,2,2,1,1,1,1,1,1,0,532,0,2,534,0
11,9,232,11,175,1,71,1,0,0,1,1,0,0,0,2,1,0,1,0,1,0,0,1,499,0,2,501,0
12,9(A),238,4,252,1,25,2,0,0,0,0,1,0,1,3,1,2,3,0,1,0,1,1,536,0,1,537,0
13,10,296,20,395,4,74,2,0,0,2,1,0,1,1,6,2,5,1,0,1,0,1,1,813,0,1,814,0
14,11,125,6,220,2,39,1,0,0,1,0,0,0,1,2,0,2,1,0,1,0,0,2,403,0,4,407,0
15,12,381,26,312,1,71,1,1,0,0,1,0,0,0,4,0,4,3,0,0,1,0,0,806,0,6,812,0
16,13,248,31,449,3,85,1,0,0,0,2,6,1,2,10,1,2,1,1,5,2,1,0,851,0,1,852,0
17,14,132,6,222,0,27,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,393,0,1,394,0
18,15,277,13,158,0,25,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,477,0,0,477,0
19,15(A),234,10,206,1,14,0,0,0,7,1,0,1,1,1,1,1,2,0,1,0,0,0,481,0,0,481,0
20,16,481,21,125,2,64,0,0,0,1,0,0,1,0,3,1,2,1,2,3,1,0,1,709,0,1,710,0
21,17,241,11,146,3,52,0,0,1,0,0,0,1,0,2,1,0,2,2,2,0,1,1,466,0,2,468,0
22,18,233,29,246,2,55,0,1,0,1,2,1,1,0,5,1,2,3,1,1,1,2,0,587,0,6,593,0
23,19,370,24,416,3,68,0,0,0,1,0,0,0,1,3,1,0,1,1,0,0,0,0,889,0,5,894,0
24,20,202,13,473,4,54,0,1,0,2,0,0,2,1,2,2,0,2,0,4,1,0,0,763,0,3,766,0
25,21,160,34,174,0,49,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,421,0,3,424,0
26,21(A),147,11,228,3,22,2,1,0,0,0,3,1,1,7,0,3,3,0,2,1,0,1,436,0,0,436,0
27,22,334,31,239,4,96,2,0,0,0,1,0,1,1,13,2,0,2,0,2,0,0,0,728,0,2,730,0
28,23,167,24,206,2,77,1,0,0,0,0,1,0,0,0,1,0,2,1,1,0,1,0,484,0,3,487,0
29,23(A),165,10,250,3,46,2,1,0,1,1,2,0,0,9,2,4,1,1,2,1,2,0,503,0,0,503,0
30,24,324,13,310,5,72,0,0,0,0,1,0,1,0,2,1,1,3,1,2,0,1,0,737,0,1,738,0
31,25,258,22,307,0,64,0,1,1,0,1,6,0,1,8,3,5,1,0,2,0,1,0,681,0,1,682,0
32,26,210,23,230,2,51,0,0,0,1,0,7,0,3,1,0,1,2,1,2,0,1,0,535,0,2,537,0
33,27,207,27,245,4,67,1,0,0,3,2,0,0,1,1,1,0,0,0,3,0,0,0,562,0,2,564,0
34,28,342,27,133,0,111,1,0,0,1,1,1,0,1,3,1,2,1,0,0,0,0,0,625,0,3,628,0
35,29,397,19,194,3,104,1,0,0,0,1,1,2,0,1,0,1,2,0,0,2,1,0,729,0,3,732,0
36,30,224,24,224,3,49,1,0,0,0,0,0,0,1,8,0,2,0,0,1,1,1,1,540,0,7,547,0
37,31,193,24,347,6,67,0,0,0,2,0,0,1,2,7,0,1,0,0,1,1,1,0,653,0,5,658,0
