Sl. No,Polling Station No,O.S.MANIAN,S.K.VETHARATHINAM,P.S.ARUMUGAM,emaN,eht K.RAJENDRAN,LARENEG srotcelE DR.T.SUNDARAVADIVE LAN,S ALI MOHAMED,OT R.RAMAMURTHY,T.RAMAJAYAM,TRAP ALNT R.KATHIRVEL,I MAYNARADEV P.V.THEENATHAYALAN,V.VEERAKUMAR,Total,LS.ONTotalNo.ofElectorsinAssemblyConstituencyNo.NameoftheAssemblyConstituency,Total Valid Votes,Rejected Votes,Total Votes
1,1,0,249,317,6,34,0,0,0,0,0,0,0,606,0,1,607,0
2,2,2,258,265,7,28,0,1,0,0,0,0,2,563,0,1,564,0
3,3,0,210,222,7,32,0,2,0,0,0,1,1,475,0,3,478,0
4,4(M),1,175,231,1,43,0,1,0,0,0,1,0,453,0,4,457,0
5,4A(W),2,233,224,2,33,1,2,0,0,0,1,1,499,0,1,500,0
6,5,1,420,289,5,67,0,0,0,0,0,1,2,785,0,2,787,0
7,6,2,332,424,3,55,0,4,0,0,2,2,1,825,0,5,830,0
8,7,0,252,257,0,30,0,1,0,0,0,0,0,540,0,1,541,0
9,8,1,454,345,4,36,0,2,0,0,0,1,1,844,0,1,845,0
10,9,2,181,268,1,29,0,1,0,1,0,2,2,487,0,1,488,0
11,10,0,215,319,12,14,0,1,0,0,1,1,1,564,0,1,565,0
12,11(M),1,189,207,2,26,1,0,0,0,0,2,0,428,0,0,428,0
13,11A(W),5,225,206,6,12,0,0,0,0,1,0,4,459,0,3,462,0
14,12(M),0,222,244,2,34,0,1,0,0,1,0,0,504,0,1,505,0
15,12A(W),1,261,237,1,21,0,1,0,0,1,1,2,526,0,1,527,0
16,13,4,386,383,6,73,0,0,0,0,1,1,4,858,0,2,860,0
17,14,0,188,271,3,13,0,1,1,0,0,1,1,479,0,3,482,0
18,15,2,357,391,2,33,0,0,1,0,0,2,1,789,0,1,790,0
19,16,0,254,389,2,31,0,3,2,0,1,0,0,682,0,3,685,0
20,17(M),0,190,262,3,36,1,2,0,0,1,0,1,496,0,0,496,0
21,17A(W),3,271,226,3,15,0,1,1,0,1,3,1,525,0,5,530,0
22,18(M),0,171,252,5,37,0,1,0,0,0,0,0,466,0,0,466,0
23,18A(W),2,274,189,2,20,0,0,0,0,1,2,1,491,0,4,495,0
24,19,3,309,427,7,25,0,2,0,0,1,0,1,775,0,5,780,0
25,20,2,254,313,4,72,2,1,1,0,2,3,0,654,0,6,660,0
26,21,0,229,259,8,14,0,0,0,0,0,0,0,510,0,1,511,0
27,22,1,329,196,3,17,0,1,0,0,0,0,0,547,0,3,550,0
28,23,4,302,370,3,24,2,0,0,0,1,2,1,709,0,5,714,0
29,24,2,340,234,5,19,1,1,1,0,1,3,2,609,0,2,611,0
30,25(M),3,285,158,5,5,0,0,0,0,1,0,1,458,0,1,459,0
31,25A(W),0,249,157,1,17,0,0,0,0,0,1,2,427,0,1,428,0
32,26,1,336,206,0,10,0,0,1,0,0,1,1,556,0,1,557,0
33,27,7,436,234,3,16,0,2,0,0,1,0,1,700,0,0,700,0
34,28(M),1,218,231,2,11,1,0,0,0,0,0,1,465,0,0,465,0
35,28A(W),3,290,195,1,3,0,0,1,0,0,2,0,495,0,2,497,0
36,29,0,156,239,2,18,0,1,0,1,0,0,0,417,0,3,420,0
37,30,1,253,252,4,38,0,1,0,0,0,3,2,554,0,1,555,0
38,31,1,255,324,1,14,0,0,1,0,0,1,2,599,0,2,601,0
39,32,3,442,286,17,14,0,0,0,0,0,0,0,762,0,1,763,0
40,33,5,281,262,16,21,0,0,0,0,0,0,3,588,0,3,591,0
41,34,1,366,357,9,34,0,1,0,0,0,1,4,773,0,4,777,0
42,35,1,353,327,1,39,1,0,0,2,0,1,1,726,0,1,727,0
43,36,0,294,308,5,32,1,0,0,0,0,1,1,642,0,2,644,0
44,37,1,250,323,2,17,0,0,0,0,1,2,4,600,0,1,601,0
45,38(M),0,204,226,2,14,0,0,0,0,1,0,1,448,0,1,449,0
46,38A(W),4,239,196,1,5,0,1,0,0,0,4,1,451,0,4,455,0
47,39,3,291,352,5,24,0,1,0,0,0,3,1,680,0,4,684,0
48,40,1,233,201,2,24,0,1,0,0,0,1,1,464,0,1,465,0
49,41,0,470,254,1,37,0,0,0,1,1,2,0,766,0,2,768,0
50,42(M),1,159,199,2,30,0,0,0,0,2,0,0,393,0,3,396,0
51,42A(W),3,229,200,3,31,0,0,0,1,2,3,0,472,0,3,475,0
52,43,5,248,302,7,52,1,3,0,0,0,0,4,622,0,2,624,0
53,44,3,194,337,1,45,0,3,0,1,13,0,1,598,0,1,599,0
