Sl. No,Polling Station No,A. GOMATHI Party Samaj Bahujan,P. KABILARASAN Maiam Needhi Makkal,N. THIYAGASUNDARAM Ilangyar Nadu Katchi Tamil,M. THIYAGARAJAN Tamilagam Puthiya,M.A. BANU NASEEMA Democratic India of Party Social,R. VINOTHINI Katchi Tamilar Naam,R.S.A. AMANULLAH Independent,T. ANBAZHAGAN Independent,J. PANNEERSELVAM Independent,A. HALITH MOHAMED Independent,S. MUTHARASAN Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1,188,0,126,3,0,2,10,84,0,0,1,0,0,414,0,3,417,0
2,1(A),197,1,130,6,1,0,4,58,0,3,1,1,1,403,0,3,406,0
3,2,405,2,82,3,3,0,65,52,1,0,1,2,1,617,0,2,619,0
4,3,263,4,297,9,1,0,2,75,0,0,1,3,0,655,0,9,664,0
5,4,259,2,239,4,0,1,3,93,0,0,2,1,2,606,0,3,609,0
6,5,283,5,168,8,0,0,4,171,2,0,2,1,2,646,0,3,649,0
7,6,216,3,86,5,0,0,3,110,0,0,1,0,1,425,0,1,426,0
8,7,141,4,177,4,0,0,15,113,1,0,1,0,3,459,0,5,464,0
9,8,225,1,180,2,1,0,11,75,2,0,0,2,0,499,0,5,504,0
10,9,365,1,149,2,0,0,90,57,0,1,0,0,0,665,0,7,672,0
11,10,137,0,128,1,0,2,27,81,0,0,1,0,0,377,0,3,380,0
12,10(A),192,3,118,2,0,0,24,64,0,0,1,1,3,408,0,2,410,0
13,11,367,6,232,20,3,0,7,74,0,0,0,0,2,711,0,11,722,0
14,12,333,4,200,6,0,5,3,149,0,1,2,0,0,703,0,5,708,0
15,13,181,0,170,4,0,0,5,83,0,0,0,0,0,443,0,1,444,0
16,13(A),149,0,210,2,0,0,1,50,0,0,2,0,0,414,0,1,415,0
17,14,360,3,187,5,0,0,2,100,0,0,3,0,0,660,0,3,663,0
18,15,203,1,192,2,0,0,0,38,0,0,0,0,1,437,0,2,439,0
19,16,192,1,127,7,1,0,4,83,0,0,2,1,0,418,0,2,420,0
20,16(A),204,6,180,11,1,0,1,44,0,0,1,0,0,448,0,6,454,0
21,17,224,7,223,0,0,0,3,56,0,0,0,0,0,513,0,4,517,0
22,17(A),201,2,112,3,0,0,5,77,1,0,3,1,1,406,0,2,408,0
23,18,290,4,200,11,1,0,1,116,0,0,0,0,0,623,0,3,626,0
24,19,197,4,238,10,1,1,22,75,0,0,2,0,0,550,0,3,553,0
25,20,201,6,272,11,0,0,3,73,0,0,2,2,1,571,0,4,575,0
26,21,252,0,199,8,0,0,3,45,0,2,0,0,1,510,0,3,513,0
27,22,218,2,108,3,2,0,9,77,0,0,1,1,1,422,0,3,425,0
28,22(A),230,1,118,2,1,2,4,63,0,2,4,1,0,428,0,4,432,0
29,23,391,3,140,8,2,0,10,73,1,0,1,0,0,629,0,5,634,0
30,24,379,7,203,11,2,1,15,74,0,0,1,0,0,693,0,7,700,0
31,25,223,1,152,9,2,0,2,72,0,0,0,1,0,462,0,7,469,0
32,25(A),231,3,166,10,1,0,0,48,2,0,0,2,1,464,0,4,468,0
33,26,240,2,204,3,1,0,5,73,0,0,0,1,0,529,0,2,531,0
34,26(A),252,3,201,4,1,0,7,54,1,0,2,1,0,526,0,6,532,0
35,27,193,2,158,8,1,0,7,89,0,0,1,0,0,459,0,5,464,0
36,27(A),248,7,169,8,2,0,2,58,0,0,1,1,3,499,0,1,500,0
37,28,56,0,54,0,0,0,1,51,0,0,1,1,0,164,0,1,165,0
38,28(A),346,1,236,3,8,0,7,159,1,0,2,1,1,765,0,6,771,0
39,29,394,5,258,14,5,2,35,132,0,1,1,0,1,848,0,8,856,0
40,30,278,1,134,7,2,0,25,63,0,1,1,0,0,512,0,3,515,0
41,31,289,2,153,8,0,1,9,69,0,0,3,0,0,534,0,7,541,0
42,32,309,3,148,11,2,0,13,87,0,0,0,0,0,573,0,6,579,0
43,33,302,0,250,19,2,0,9,78,0,0,1,2,2,665,0,12,677,0
44,34,285,1,146,12,0,1,8,46,0,0,0,0,0,499,0,5,504,0
45,35,233,0,139,10,4,0,9,70,1,0,4,1,0,471,0,3,474,0
46,35(A),260,1,162,12,1,0,6,48,0,1,1,2,0,494,0,2,496,0
47,36,314,0,217,19,10,0,9,69,0,0,1,0,0,639,0,8,647,0
48,37,243,0,111,11,7,1,8,52,0,0,1,1,0,435,0,9,444,0
49,38,390,3,228,28,5,5,8,56,0,0,0,1,2,726,0,8,734,0
50,39,246,2,97,38,4,0,6,40,0,1,0,0,2,436,0,11,447,0
51,40,250,0,101,9,1,24,5,117,0,0,0,0,0,507,0,5,512,0
52,40(A),300,2,100,10,0,20,4,78,0,0,2,1,1,518,0,2,520,0
53,41,161,1,222,22,6,1,9,31,0,0,1,1,0,455,0,6,461,0
54,42,247,6,231,21,8,0,14,53,2,1,0,0,0,583,0,5,588,0
55,43,223,2,161,16,4,0,12,52,0,0,0,0,0,470,0,4,474,0
56,44,262,7,158,5,0,0,10,128,1,0,5,1,0,577,0,2,579,0
57,45,212,1,119,14,1,0,2,43,0,0,0,0,0,392,0,4,396,0
58,46,333,1,159,23,2,1,9,63,0,1,0,0,0,592,0,5,597,0
59,47,277,2,203,14,0,2,15,131,1,1,4,2,0,652,0,3,655,0
60,48,237,5,168,9,4,1,14,202,3,2,3,2,4,654,0,2,656,0
61,49,269,2,245,15,1,0,5,135,3,2,4,1,0,682,0,7,689,0
62,50,377,6,229,5,7,0,5,129,0,0,1,0,1,760,0,2,762,0
63,51,230,0,205,8,5,2,3,53,1,1,0,0,0,508,0,2,510,0
64,52,344,1,218,11,3,0,15,63,0,0,1,1,1,658,0,8,666,0
65,53,254,2,154,15,2,1,0,60,2,0,1,1,0,492,0,4,496,0
66,54,288,1,161,8,0,0,8,77,1,2,1,0,0,547,0,4,551,0
67,55,295,3,181,7,4,0,10,107,0,0,2,1,1,611,0,1,612,0
68,56,293,2,163,4,0,0,7,100,0,0,2,1,2,574,0,4,578,0
69,57,268,0,179,2,1,5,4,140,2,0,2,0,0,603,0,3,606,0
70,58,357,0,175,7,0,5,2,193,0,0,2,0,2,743,0,4,747,0
71,59,360,5,175,10,1,1,5,59,0,0,0,0,0,616,0,10,626,0
72,60,277,3,132,6,1,1,4,82,0,0,0,2,0,508,0,4,512,0
73,60(A),288,2,176,7,5,1,6,48,2,0,3,2,0,540,0,5,545,0
74,61,251,1,106,10,6,1,7,54,0,0,1,0,0,437,0,3,440,0
75,61(A),273,2,141,13,4,0,2,52,3,0,2,0,2,494,0,4,498,0
76,62,209,1,173,13,0,1,1,63,2,1,1,0,1,466,0,4,470,0
77,62(A),228,1,189,14,2,2,3,52,0,0,2,2,1,496,0,2,498,0
78,63,275,1,295,24,2,1,21,98,0,0,1,2,0,720,0,7,727,0
79,64,249,0,115,4,0,0,3,40,0,0,2,1,0,414,0,8,422,0
80,65,322,2,228,1,0,1,9,115,2,1,2,1,1,685,0,3,688,0
