Polling Station No.,Building,Polling Areas
1,"PANCHAYAT UNION HIGH SCHOOL, MUSUNDAPATTI","1.Musundapatti (p) (RV) W-1 musundapatti , 2.Musundapatti (p) (RV) W-1 sadayankalam , 3.Musundapatti (p) (RV) W-1 velankalam , 4.Musundapatti (p) (RV) W-1 vadakalam , 5.Musundapatti (p) (RV) W-2 natchankalam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
2,"PANCHAYAT UNION HIGH SCHOOL, MUSUNDAPATTI ,NEW SSI BULDING","1.Musundapatti (p) (RV) W-2 ammapatti , 2.Musundapatti (p) (RV) W-2 thirumalaikudi , 3.Musundapatti (p) (RV) W-2 vadivelkalam , 4.Musundapatti (p) (RV) W-2 Colany , 5.Musundapatti (p) (RV) W-2 vadakalam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
3,"PANCHAYAT UNION PRIMARY SCHOOL, NEW BUILDING, EAST PORTION. (WEST FACING) KANAPPATTI.","1.Musundapatti (p) (RV) W-3 vaduganathanpatti , 2.Musundapatti (p) (RV) W-3 karumipatti , 3.Musundapatti (p) (RV) W-3 vadakalam , 4.Musundapatti (p) (RV) W-3 uranikalam , 5.Musundapatti (p) (RV) W-3 kanapatti , 6.Musundapatti (p) (RV) W-3 vadakalam , 7.Musundapatti (p) (RV) W-3 merkukalam , 8.Musundapatti (p) (RV) W-2 chinnaranpatti , 9.Musundapatti (p) (RV) W-2 sangankalam , 10.Musundapatti (p) (RV) W-2 konarpatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
4,"PANCHAYAT UNION PRIMARY SCHOOL, VALASAIPATTI ,BLOCK-1","1.Valasai patti (p) (RV) W-1 valasaipatti north , 2.Valasai patti (p) (RV) W-1 valasaipatti south , 3.Valasai patti (p) (RV) W-1 pillam patti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
5,"PANCHAYAT UNION PRIMARY SCHOOL, K.AMMAPATTI ,WESTERN PORTION (BLOCK -2)","1.Valasai patti (p) (RV) W-2 rajapatti , 2.Valasai patti (p) RV) W-3 Eranipatti , 3.Valasai patti (p) (RV) W- 3 pallap patti , 4.Valasai patti (p) (RV) W-3 thetham patti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
6,"PANCHAYAT UNION PRIMARY SCHOOL, K.AMMAPATTI ,S.S.A BUILDING (BLOCK -2) West side","1.Valasai patti (p) (RV) W-2 ammapatti , 2.Valasai patti (p) (RV) W-2 ammapatti , 3.Valasai patti (p) (RV) W-2 perumalpatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
7,"PANCHAYAT UNION PRIMARY SCHOOL, KULATHUPATTI ,SOUTHERN WING PORTION (ADDITIONAL BUILDING),","1.Kullathuppatti (p) (RV) W-1 gowripattinam , 2.Kullathuppatti (p) (RV) W-1 ariyandipatti , 3.Kullathuppatti (p) (RV) W-1 vijayapuram , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
8,"PANCHAYAT UNION PRIMARY SCHOOL, KULATHUPATTI ,SOUTHERN WING PORTION,","1.Kullathuppatti (p) (RV) W-2 kulathuppatti , 2.Kullathuppatti (p) (RV) W-2 karuvipatti , 3.Kullathuppatti (p) (RV) W-2 maruthampatti , 4.Kullathuppatti (p) (RV) W-3 mettampatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
9,"PANCHAYAT UNION PRIMARY SCHOOL, KURUMBALUR","1.Varapoor (p) (RV) W-1 kurumpalure , 2.Varapoor (p) (RV) W-1 kurumpalur kizhagukalam , 3.Varapoor (p) (RV) W-1 kurumpalur merkukalam , 4.Varapoor (p) (RV) W-1 kurumpalur vadakukalam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
10,"PANCHAYAT UNION MIDDLE SCHOOL, WARAPPUR ,NORTH SIDE,EAST WING","1.Varapoor (p) (RV) W-2 poovalapatti , 2.Varapoor (p) (RV) W-2 varapoor east street , 3.S.puthor union, varapoor (RV) W-2 varapoor west street , 4.Varapoor (p) (RV) W-2 varapoor north street , 5.Varapoor (p) (RV) W-2 varapoor panimatha nagar , 6.Varapoor (p) (RV) W-3 kattaiyanpatti colony , 7.Varapoor (p) (RV) W-3 kattaiyanpatti middle street , 8.Varapoor (p) (RV) W-3 kattiayanpatti north street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
