Sl. No,Polling Station No,OT eht MAKKAL M. MURALITHARAN MGR AIADMK,EHT srotcelE KALAGAM,PARTY A. RAJENDRAN IA MY IND,UDANLIMAT S. KARUPPAIAH IND,)cS(iarudamanaM S. THAMARAISELVI IND,TRAP EVITALSIGEL M. DURAIPANDI IND,I K. MUTHUMARI,IND,C. RAJAIAH IND,VOTES(TEST VOTES) NO.OF,NO.OF,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,
1,223,156,69,1,0,20,0,0,0,1,0,1,1,472,0,3,475,0
2,287,118,69,1,2,87,0,1,0,0,0,0,0,565,0,5,570,0
3,227,200,68,0,1,128,1,0,1,0,1,3,2,632,0,1,633,0
4,78,55,25,0,0,21,0,0,0,0,0,0,0,179,0,3,182,0
5,165,207,71,0,0,98,0,0,0,0,0,1,0,542,0,5,547,0
6,289,194,47,0,6,19,0,1,0,0,0,0,0,556,0,5,561,0
7,175,383,109,3,5,92,0,0,1,0,0,1,1,770,0,7,777,0
8,70,128,42,0,0,4,0,0,0,0,0,1,0,245,0,1,246,0
9,154,131,29,1,7,73,1,0,1,1,0,0,1,399,0,0,399,0
10,229,103,44,0,3,32,0,0,1,1,0,1,1,415,0,2,417,0
11,351,284,100,0,7,30,0,0,1,0,0,2,0,775,0,8,783,0
12,183,218,170,1,12,61,0,0,0,1,0,0,0,646,0,7,653,0
13,228,135,73,0,5,24,0,0,0,1,0,0,0,466,0,2,468,0
14,248,200,92,0,23,18,0,1,1,0,0,0,0,583,0,4,587,0
15,227,329,98,1,18,31,1,1,1,0,0,0,0,707,0,4,711,0
16,239,356,68,2,16,22,2,0,0,1,0,1,1,708,0,8,716,0
17,208,129,49,2,18,13,0,0,0,1,1,2,0,423,0,4,427,0
18,170,136,47,0,13,16,0,0,0,0,0,0,0,382,0,3,385,0
19,233,210,74,1,27,14,1,0,0,0,0,0,1,561,0,3,564,0
20,320,134,59,1,11,8,0,0,0,0,0,0,0,533,0,2,535,0
21,145,107,31,0,6,4,0,1,0,0,0,0,1,295,0,0,295,0
22,236,336,74,1,18,20,0,0,0,0,0,1,0,686,0,3,689,0
23,160,138,53,0,15,17,0,0,0,0,0,0,1,384,0,4,388,0
24,243,110,39,0,10,40,0,0,0,1,0,0,0,443,0,4,447,0
25,448,159,46,1,10,40,0,0,0,0,0,0,0,704,0,2,706,0
26,226,275,49,0,6,69,1,0,0,0,0,0,0,626,0,4,630,0
27,175,286,48,0,15,42,0,0,0,0,1,0,1,568,0,3,571,0
28,256,297,73,0,29,31,0,2,0,0,0,0,2,690,0,4,694,0
29,177,215,97,1,25,11,0,0,0,0,0,0,0,526,0,5,531,0
30,247,210,82,0,24,22,0,0,0,0,0,0,0,585,0,2,587,0
31,246,202,78,0,15,31,1,0,0,1,0,1,0,575,0,6,581,0
32,193,143,58,0,11,9,0,0,0,1,0,0,0,415,0,8,423,0
33,275,249,84,0,16,18,0,0,0,0,0,0,0,642,0,6,648,0
34,272,220,76,0,21,17,0,0,1,1,0,0,0,608,0,7,615,0
35,372,188,58,1,5,18,1,0,0,0,0,0,1,644,0,3,647,0
36,370,81,28,0,1,10,0,0,0,0,1,1,1,493,0,3,496,0
37,140,266,101,0,11,58,0,0,0,0,0,1,0,577,0,5,582,0
38,169,283,71,2,9,18,1,0,0,0,0,0,2,555,0,4,559,0
39,218,167,48,1,12,37,0,1,1,0,0,0,1,486,0,5,491,0
40,333,169,46,0,17,42,0,0,0,1,0,0,0,608,0,8,616,0
41,202,186,41,0,17,10,0,0,0,1,0,1,0,458,0,1,459,0
42,193,328,102,2,26,29,0,1,0,0,0,1,1,683,0,0,683,0
43,327,193,121,0,11,23,1,0,0,0,1,0,2,679,0,8,687,0
44,256,180,71,0,14,43,3,0,0,0,0,0,0,567,0,9,576,0
45,316,333,57,1,22,41,0,0,0,0,0,0,1,771,0,7,778,0
46,256,138,19,0,5,17,0,0,0,1,0,0,0,436,0,1,437,0
47,257,368,69,0,4,34,0,0,0,1,1,0,0,734,0,5,739,0
48,160,176,65,0,7,26,0,0,1,0,2,0,4,441,0,0,441,0
49,65,122,21,0,3,10,0,0,0,0,0,0,1,222,0,2,224,0
50,104,156,15,0,1,5,0,0,0,0,0,2,1,284,0,1,285,0
51,278,189,59,1,3,13,1,0,1,0,0,0,0,545,0,7,552,0
52,450,164,83,1,4,51,0,0,0,0,0,0,4,757,0,4,761,0
53,165,181,29,0,7,53,0,0,0,0,0,0,1,436,0,2,438,0
54,96,147,30,0,5,138,0,1,0,0,0,0,1,418,0,2,420,0
55,356,204,128,0,1,20,0,0,0,1,1,0,0,711,0,7,718,0
56,122,292,41,0,4,29,0,0,0,0,0,0,2,490,0,3,493,0
57,225,232,35,0,0,10,0,1,1,1,0,0,0,505,0,5,510,0
58,232,223,64,1,7,294,0,0,3,1,1,5,3,834,0,1,835,0
59,391,291,89,1,5,51,0,0,0,0,0,0,0,828,0,1,829,0
60,187,256,55,1,7,35,0,0,0,0,0,0,1,542,0,2,544,0
61,272,310,87,0,11,57,0,0,0,1,0,1,2,741,0,0,741,0
62,194,281,65,1,9,29,0,0,0,0,0,0,0,579,0,4,583,0
63,228,293,75,2,3,154,0,0,0,1,0,2,2,760,0,5,765,0
64,134,235,33,0,11,70,0,0,0,0,0,1,2,486,0,1,487,0
65,166,221,37,0,4,43,0,0,0,0,0,0,0,471,0,7,478,0
66,155,224,49,0,7,20,0,0,0,0,0,0,0,455,0,5,460,0
67,293,335,67,0,6,31,0,0,1,0,1,3,1,738,0,3,741,0
68,212,212,36,0,0,26,0,0,0,0,0,0,1,487,0,8,495,0
69,293,380,55,0,2,32,2,1,0,1,0,0,1,767,0,5,772,0
70,293,209,72,0,3,17,0,1,0,0,0,0,1,596,0,2,598,0
71,233,257,48,1,4,28,0,1,0,2,0,0,1,575,0,4,579,0
72,134,219,40,0,7,5,0,0,0,0,0,0,2,407,0,0,407,0
73,309,296,71,1,12,21,0,1,0,0,1,0,1,713,0,9,722,0
74,302,263,78,0,11,35,0,0,2,2,2,0,1,696,0,11,707,0
75,134,215,38,0,7,18,0,0,0,0,0,0,0,412,0,4,416,0
76,106,189,42,0,9,22,0,0,0,0,1,0,0,369,0,9,378,0
77,260,305,67,0,2,28,0,1,0,0,1,1,4,669,0,6,675,0
78,125,146,29,0,9,17,0,0,0,0,0,0,1,327,0,6,333,0
79,255,255,45,0,13,50,0,1,0,1,2,0,1,623,0,7,630,0
80,181,162,61,0,10,28,0,0,0,0,2,0,0,444,0,5,449,0
81,307,344,107,2,9,21,0,1,0,1,0,0,3,795,0,4,799,0
82,237,188,49,0,1,10,0,0,0,0,0,0,0,485,0,3,488,0
83,128,162,36,1,7,13,0,0,0,0,0,0,0,347,0,0,347,0
84,262,315,72,0,1,44,0,0,0,1,0,1,2,698,0,6,704,0
85,132,136,38,0,1,18,12,0,0,0,0,0,2,339,0,1,340,0
86,300,249,54,1,7,46,0,0,0,0,1,0,2,660,0,1,661,0
87,159,165,30,0,4,3,0,1,0,0,0,1,1,364,0,1,365,0
88,158,307,38,1,2,7,0,0,0,1,0,2,1,517,0,3,520,0
89,134,184,51,0,2,8,0,0,0,2,0,2,0,383,0,5,388,0
90,242,407,56,1,3,15,2,0,0,2,1,0,1,730,0,6,736,0
91,217,230,43,0,3,17,1,0,0,0,0,0,2,513,0,2,515,0
92,159,216,57,0,0,11,0,0,0,0,0,0,0,443,0,3,446,0
93,225,185,58,0,7,8,1,0,0,0,0,0,1,485,0,3,488,0
94,104,206,29,0,1,15,0,0,0,0,0,0,2,357,0,1,358,0
95,184,204,40,0,0,30,0,0,0,0,0,0,2,460,0,3,463,0
96,194,202,51,1,3,40,0,1,0,0,0,0,0,492,0,2,494,0
97,172,241,17,1,1,43,0,0,0,0,0,1,0,476,0,2,478,0
98,182,183,51,2,3,13,0,0,0,0,0,1,0,435,0,3,438,0
99,171,192,28,0,1,12,0,0,0,0,0,0,2,406,0,2,408,0
100,175,227,38,1,8,30,0,0,0,0,0,0,2,481,0,1,482,0
101,217,145,77,1,1,42,2,0,1,0,1,1,1,489,0,1,490,0
102,179,192,29,1,4,20,1,2,0,0,0,0,0,428,0,6,434,0
103,251,324,39,1,3,40,1,0,0,0,0,1,1,661,0,3,664,0
104,95,266,30,1,0,179,2,1,0,0,0,1,2,577,0,4,581,0
105,57,206,27,1,2,127,0,0,0,1,1,1,3,426,0,2,428,0
106,228,283,37,0,3,49,0,0,0,0,0,0,0,600,0,3,603,0
107,230,166,30,0,1,27,0,0,0,0,0,0,0,454,0,1,455,0
108,159,210,24,0,0,12,0,0,1,1,0,0,1,408,0,2,410,0
109,193,281,66,0,3,33,0,0,0,1,1,0,3,581,0,2,583,0
110,283,356,72,1,5,82,1,1,0,0,1,0,2,804,0,4,808,0
111,330,312,112,0,11,45,2,0,0,2,1,3,1,819,0,5,824,0
112,166,236,62,3,3,57,0,0,0,0,1,2,0,530,0,2,532,0
113,141,144,44,0,1,16,0,1,1,1,2,0,0,351,0,0,351,0
114,138,137,36,2,1,37,0,2,2,0,1,0,2,358,0,2,360,0
115,192,199,49,0,1,29,0,1,0,0,0,0,0,471,0,0,471,0
116,177,276,86,1,3,40,0,0,0,0,0,0,2,585,0,5,590,0
117,72,112,11,0,0,23,1,0,1,0,0,0,0,220,0,3,223,0
118,137,353,69,3,2,8,0,0,0,0,0,0,3,575,0,3,578,0
119,194,211,21,1,2,5,0,0,0,0,0,3,1,438,0,4,442,0
120,176,201,42,0,0,3,0,0,0,0,0,0,0,422,0,0,422,0
121,175,272,38,0,4,84,2,1,0,0,1,2,2,581,0,4,585,0
122,133,180,33,0,1,13,0,0,1,0,0,0,0,361,0,2,363,0
123,296,282,70,0,3,25,0,0,1,0,2,1,1,681,0,1,682,0
124,154,382,83,3,3,47,0,0,0,1,0,1,1,675,0,6,681,0
125,85,219,61,1,3,57,1,0,0,1,0,0,0,428,0,3,431,0
126,157,175,38,0,4,28,0,1,0,0,0,1,0,404,0,4,408,0
127,203,198,35,0,4,26,0,0,0,0,0,1,1,468,0,3,471,0
128,235,338,46,1,8,26,2,1,0,0,1,1,3,662,0,4,666,0
129,102,93,31,0,1,26,0,0,0,0,0,1,2,256,0,6,262,0
130,206,296,80,1,7,94,1,1,0,0,0,2,1,689,0,1,690,0
131,201,122,39,0,6,49,0,0,0,0,0,0,0,417,0,2,419,0
132,156,120,44,1,2,36,0,0,0,1,0,1,0,361,0,1,362,0
133,350,182,64,0,5,27,2,0,0,0,0,0,2,632,0,3,635,0
134,194,120,38,0,2,18,0,0,0,0,0,0,0,372,0,1,373,0
135,299,65,28,0,4,3,0,0,0,0,0,0,0,399,0,0,399,0
