Sl. No,Polling Station No,M ESWARI,S G BATCHA SIKKANDAR,EMAN J PANDIAMMAL,LARENEG,EHT B MANI,S SROTCELE S V E NAIDU RAJAKUMAR,OT R ELANGOVAN,SURESH KREMMER,R M KRISHNAPRABBU,. N SATHIYENDRAN,IARUDAM S SIVASANKAR,R K RAJASURIYAA,LARTNEC,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1,0,186,60,1,4,76,40,1,2,5,0,0,0,0,4,379,0,379,0
2,1(A),2,170,86,1,3,49,35,0,0,6,1,0,0,1,1,355,0,355,0
3,2,2,311,208,0,17,85,38,5,3,12,1,0,2,0,3,687,0,687,0
4,3,0,259,85,0,7,59,35,0,1,8,1,0,1,0,7,463,0,463,0
5,3(A),0,260,114,0,2,23,37,1,0,3,0,0,0,0,5,445,0,445,0
6,4,0,209,73,0,4,42,27,0,1,3,0,0,0,0,5,364,0,364,0
7,4(A),0,212,81,0,6,35,41,0,2,2,4,0,0,0,7,390,0,390,0
8,5,1,362,110,1,11,72,62,2,3,6,5,0,0,1,2,638,0,638,0
9,6,0,154,119,0,5,77,40,2,0,12,1,0,0,0,7,417,0,417,0
10,6(A),0,164,180,1,14,38,37,1,1,14,0,0,1,0,1,452,0,452,0
11,7,3,242,103,2,10,83,43,0,1,9,0,1,0,1,7,505,0,505,0
12,7(A),6,237,153,2,5,56,40,1,1,4,1,0,1,1,5,513,0,513,0
13,8,0,171,133,0,5,35,33,0,2,7,0,0,0,1,3,390,0,390,0
14,9,8,201,96,1,11,72,34,0,0,9,1,1,0,2,8,444,0,444,0
15,9(A),10,198,161,0,6,46,25,0,4,5,1,1,0,1,4,462,0,462,0
16,10,2,152,107,0,14,46,38,0,0,7,1,0,0,0,2,369,0,369,0
17,10(A),1,137,140,2,12,20,27,0,0,3,0,0,0,2,1,345,0,345,0
18,11,0,261,219,2,33,63,45,0,4,14,1,3,1,0,5,651,0,651,0
19,12,1,312,147,1,8,69,44,0,2,6,5,0,0,1,4,600,0,600,0
20,13,0,200,66,0,2,33,18,0,1,6,2,0,0,0,0,328,0,328,0
21,14,0,182,74,0,6,45,37,0,0,3,6,0,0,0,8,361,0,361,0
22,14(A),1,163,106,0,6,23,31,0,0,3,3,0,0,0,4,340,0,340,0
23,15,1,219,89,0,7,44,26,1,1,12,2,0,0,0,3,405,0,405,0
24,15(A),1,191,128,0,7,33,28,0,0,10,1,0,0,0,1,400,0,400,1
25,16,1,188,120,2,16,57,33,0,1,7,1,0,0,0,2,428,0,428,1
26,16(A),1,178,150,1,15,22,31,1,1,12,3,2,1,0,4,422,0,422,0
27,17,0,223,112,0,21,61,36,0,0,9,0,0,0,1,2,465,0,465,0
28,17(A),0,216,173,2,12,33,32,0,2,6,0,0,0,0,4,480,0,480,0
29,18,0,178,103,1,7,42,35,0,0,1,3,0,0,0,5,375,0,375,0
30,19,0,144,119,0,6,30,35,0,0,4,1,0,0,0,5,344,0,344,0
31,19(A),1,112,144,0,5,22,29,0,1,9,0,1,1,0,3,328,0,328,0
32,20,0,148,106,0,15,49,31,0,1,6,2,0,0,0,2,360,0,360,0
33,20(A),0,150,125,0,11,21,26,0,2,3,3,0,1,0,2,344,0,344,0
34,21,0,194,77,0,4,63,29,1,1,10,2,0,0,0,3,384,0,384,0
35,21(A),1,211,87,0,7,30,25,1,3,7,1,0,2,0,1,376,0,376,0
36,22,3,182,118,1,11,75,32,0,2,8,0,0,0,1,4,437,0,437,0
37,23,0,175,112,1,18,69,26,0,0,23,0,0,0,0,2,426,0,426,0
38,23(A),2,169,172,0,11,29,24,0,0,9,2,0,0,2,0,420,0,420,0
39,24,2,192,86,2,14,35,21,1,2,14,1,0,0,0,2,372,0,372,0
40,24(A),1,176,100,0,16,20,20,0,1,4,4,1,1,1,0,345,0,345,0
41,25,2,161,73,0,27,44,30,0,1,5,0,0,0,1,3,347,0,347,0
42,25(A),1,166,93,2,22,19,18,1,0,5,1,0,0,1,3,332,0,332,0
43,26,1,209,82,0,27,50,30,1,0,5,1,0,0,1,5,412,0,412,0
44,26(A),1,194,127,1,16,17,37,1,2,0,0,0,1,0,4,401,0,401,0
45,27,7,263,132,1,5,56,29,0,0,10,0,0,1,0,7,511,0,511,0
46,28,0,351,188,0,36,87,53,0,0,6,1,0,0,0,6,728,0,728,0
47,29,1,228,171,0,13,96,42,0,3,3,1,0,1,2,7,568,0,568,0
48,30,3,252,183,0,12,51,48,0,4,5,3,1,0,0,2,564,0,564,0
49,31,1,193,96,2,6,40,42,0,3,9,0,0,0,0,4,396,0,396,0
50,31(A),3,176,133,3,7,34,33,0,1,8,1,0,0,1,3,403,0,403,0
51,32,0,224,97,0,3,47,27,1,1,7,1,0,0,0,4,412,0,412,0
52,32(A),1,229,157,1,6,26,25,0,2,9,0,0,0,0,2,458,0,458,0
53,33,0,310,120,0,13,35,25,0,1,4,2,0,0,0,5,515,0,515,0
54,34,0,157,128,0,6,30,32,0,1,4,1,0,0,0,4,363,0,363,0
55,34(A),1,191,141,0,3,5,27,0,0,1,0,0,0,2,7,378,0,378,0
56,35,2,177,163,1,5,42,60,2,1,9,1,1,2,0,4,470,0,470,0
57,36,0,243,148,0,10,56,64,1,0,13,0,0,0,0,7,542,0,542,0
58,37,0,179,100,0,6,51,40,0,0,8,2,0,0,0,1,387,0,387,0
59,37(A),1,162,114,1,4,24,47,0,0,7,0,0,0,0,5,365,0,365,0
60,38,1,278,36,2,1,24,26,0,0,27,0,1,0,0,2,398,0,398,0
61,38(A),1,301,57,0,4,16,21,0,0,13,0,0,0,4,3,420,0,420,0
62,39,1,191,228,0,7,54,87,0,2,19,3,0,0,0,9,601,0,601,0
63,40,0,383,100,2,9,28,57,0,0,16,1,0,0,0,2,598,0,598,0
64,41,0,212,159,1,27,31,33,0,0,11,2,0,0,0,4,480,0,480,0
65,42,0,230,130,1,6,25,43,0,0,10,1,0,1,0,1,448,0,448,0
66,43,1,203,284,2,7,37,85,0,1,0,2,0,0,0,13,635,0,635,0
67,44,2,246,209,5,8,45,100,0,0,7,1,0,1,1,9,634,0,634,0
68,45,0,159,111,0,7,42,57,0,0,11,1,0,0,1,4,393,0,393,0
69,45(A),1,145,130,0,4,23,40,0,0,11,0,0,1,1,6,362,0,362,0
70,46,0,168,109,2,4,56,39,0,0,15,1,0,0,0,6,400,0,400,0
71,46(A),1,162,150,2,9,31,44,0,0,8,0,1,0,0,4,412,0,412,0
72,47,0,232,110,2,9,47,39,0,1,17,0,0,0,0,2,459,0,459,0
73,47(A),2,246,138,2,8,33,35,0,0,7,0,0,0,0,2,473,0,473,0
74,48,0,159,119,1,8,48,58,1,1,8,2,0,0,0,6,411,0,411,0
75,48(A),0,141,171,0,7,24,54,1,1,7,0,0,0,1,3,410,0,410,0
76,49,0,163,153,1,4,47,68,0,0,4,3,0,0,0,9,452,0,452,0
77,49(A),2,114,198,1,7,17,89,0,0,3,1,0,0,0,1,433,0,433,0
78,50,0,152,138,2,0,23,117,0,0,15,0,0,0,1,4,452,0,452,0
79,51,0,167,133,1,4,50,65,1,1,6,1,1,2,0,6,438,0,438,0
80,51(A),0,176,143,0,2,25,66,0,0,7,1,0,0,1,5,426,0,426,0
81,52,3,236,274,1,3,49,63,2,0,14,0,0,2,1,3,651,0,651,0
82,53,0,235,113,0,2,51,44,1,0,24,1,0,0,0,3,474,0,474,0
83,53(A),1,239,156,0,4,29,36,0,2,11,0,0,3,0,4,485,0,485,0
84,54,1,191,219,2,8,31,98,2,0,1,0,0,0,0,6,559,0,559,0
85,55,1,238,199,3,4,36,89,3,1,5,0,0,0,1,8,588,0,588,0
86,56,1,147,145,1,8,37,49,0,0,7,3,0,0,0,9,407,0,407,0
87,56(A),0,117,186,0,7,20,37,0,0,4,4,0,0,1,6,382,0,382,0
88,57,2,170,121,1,6,26,64,0,0,14,2,0,0,0,5,411,0,411,0
