Polling Station No.,Building,Polling Areas
1,"Government Hr.Sec.School ,R.C.C Building East Portion South Side Paravai- 625402","1.Paravai (TP) Amman Kovil Street Ward 1 , 2.Paravai (TP) Mela Veli Street Ward 1 , 3.Paravai (TP) Mela Veli Street 1st Cross Lane Ward 1 , 4.Paravai (TP) Mela Veli Street 2nd Cross Lane Ward 1 , 5.Paravai (TP) Mela Veli Street 3rd Cross Lane Ward 1 , 6.Paravai (TP) Mela Veli Street 4th Cross Lane Ward 1 , 7.Paravai (TP) Sarojini Street Ward 1 , 8.Paravai (TP) Thiruvalluvar Street Ward 1 , 9.Paravai (TP) Bharathi Ground Ward 1 , 10.Paravai (TP) Vivekanandar Street Ward 5 , 11.Paravai (TP) Karuppanasamy Koil Street Ward 5 , 12.Paravai (TP) Sithambaranar Street Ward 5 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
2,"Government Panchayat Primary School ,R.C.C Building West Side Paravai- 625402","1.Paravai (TP) Kumaran Street Ward 1 , 2.Paravai (TP) South Kottai Street Ward 1 , 3.Paravai (TP) West Kottai 1st Cross Lane Ward 2 , 4.Paravai (TP) West Kottai 2nd Cross Lane Ward 2 , 5.Paravai (TP) West Kottai 3rd Cross Lane Ward 2 , 6.Paravai (TP) West Kottai 4th Cross Lane Ward 2 , 7.Paravai (TP) West Kottai Street Ward 2 , 8.Paravai (TP) North Veli Veethi Ward 2 , 9.Paravai (TP) Maarnadu Nagar Ward 2 , 10.Paravai (TP) North Kottai Street Ward 2 , 11.Paravai (TP) Kavirayar Street Ward 2 , 12.Paravai (TP) Thatchan Kovil Street Ward 2 , 13.Paravai (TP) East Kottai Street Ward 2 , 14.Paravai (TP) Nethaji Street Ward 5 , 15.Paravai (TP) A I B E A B Colony Ward 7 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
3,"Government Hr.Sec.School ,New West Building South Middle Side Paravai- 625402","1.Paravai (TP) Nanthanar Street Ward 3 , 2.Paravai (TP) Manthaiyan Street Ward 3 , 3.Paravai (TP) Adaikan Kovil Street Ward 3 , 4.Paravai (TP) Muniyandi Kovil Street Ward 3 , 5.Paravai (TP) Kottai Vasal Street Ward 3 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
4,"Government Hr.Sec.School ,New West Building North Middle Side Paravai- 625402","1.Paravai (TP) Jawahar Street Ward 4 , 2.Paravai (TP) Kamban Street Ward 4 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
5,"Panchayat Union Primary School ,R.C.C Building East Side Paravai-625402","1.Paravai (TP) THADCO Colony Ward 4 and 3 , 2.Paravai (TP) Holikiras Nagar Ward 8 , 3.Paravai (TP) Meenakshi Mill Colony 1st Street Ward 8 , 4.Paravai (TP) Meenakshi Mill Colony 2nd Street Ward 8 , 5.Paravai (TP) Meenakshi Mill Colony 3rd Street Ward 8 , 6.Paravai (TP) Meenakshi Mill Colony 4th Street Ward 8 , 7.Paravai (TP) Meenakshi Mill Colony 5th Street Ward 8 , 8.Paravai (TP) Meenakshi Mill Colony 6th Street Ward 8 , 9.Paravai (TP) Meenakshi Mill Colony 7th Street Ward 8 , 10.Paravai (TP) Muthuramalingapuram Ward 4 , 11.Paravai (TP) Valavan Nagar Ward 4 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
6,"Paravai Special Grade Samuthayakoodam ,Muthupandi Memorial Panchayat, Paravai-625402","1.Paravai (TP) Elango Street Ward 6 , 2.Paravai (TP) Sangan Kottai Street Ward 6 , 3.Paravai (TP) Gandhiji Street Ward 5 , 4.Paravai (TP) Perumal Kovil Street Ward 6 , 5.Paravai (TP) Bharathi Ground Ward 5 , 6.Paravai (TP) E S I Quarters Ward 6 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
7,"Government Hr.Sec.School ,Additional Building, Left side, Paravai-625402","1.Paravai (TP) Main Road Ward 7 , 2.Paravai (TP) A I B E A A Colony Ward 7 , 3.Paravai (TP) Kamaraj Nagar Ward 7 , 4.Paravai (TP) Nethaji Street Ward 5 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
8,"M.T.S Primary School ,Power House R.C.C. Building North Portion, E.B.Quarters North Side, Paravai-625402","1.Paravai (TP) Saminathan Nagar Ward 9 , 2.Paravai (TP) Sathyamoorthy Nagar Main Road Ward 9 , 3.Paravai (TP) Sri Mahaganapathy Nagar Ward 9 , 4.Paravai (TP) Minsarakudiiruppu Ward 9 , 5.Paravai (TP) Thermal Station Ward 9 , 6.Paravai (TP) Jeeva Nagar Ward 9 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
9,"Panchayat Union Middle School , West Portion R.C Building Sathyamoorthi Nagar, Strong Building, Paravai-625402","1.Paravai (TP) Sathyamoorthy Nagar Main Street Ward 14 , 2.Paravai (TP) Sathyamoorthy Nagar Ward 14 , 3.Paravai (TP) Mariyamman Street Ward 14 , 4.Paravai (TP) Kattunayakkan 1st Street Ward 14 , 5.Paravai (TP) Karuppaiah Compound Ward 14 , 6.Paravai (TP) Kattunayakkan 3rd Street Ward 14 , 7.Paravai (TP) Kattunayakkan 4th Street Ward 14 , 8.Paravai (TP) Muthuramalinga Street Ward 14 , 9.Paravai (TP) Meenpannai Street Ward 14 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
10,"Panchayat Union Middle School ,East Portion , R.C Building Sathyamoorthi Nagar Strong Building East Side, Paravai- 625402","1.Paravai (SP) Sathyamoorthy Nagar Ward 15 , 2.Paravai (S.P) Kattunayakkan 1st Street Ward 15 , 3.Paravai (S.P) Kattunayakkan 2nd Street Ward 15 , 4.Paravai (S.P) Kattunayakkan 3rd Street Ward 15 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
