Polling Station No.,Building,Polling Areas
1,"Pt. Union Primary School ,New Building ( Western Side) South Building, Vadapalanji -625019","1.Vadapalanji (R.V) Vadapalanji (P) Vadapalanji ward 1 , 2.Vadapalanji (R.V) Vadapalanji (P) Sundarasapuram Ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
2,"Pt. Union Middle School , South Building, Vadapalanji-625019, Vellaiparaipatti","1.Vadapalanji (R.V) Vadapalanji (P) Manapatti Ward 1 , 2.Vadapalanji (R.V) Vadapalanji (P) Vellaiparai patti Ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
3,"Pt. Union Primary School ,New Building (Eastern Side) South Building, Vadapalanji -625019","1.Vadapalanji (R.V) Vadapalanji (P) Thottiapatti ward 1 , 2.Vadapalanji (R.V) Vadapalanji (P) Ambethkar colony Ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
4,"Pt.Union Primary School ,East Building ( Southern Portion) Vadapalanji Muthupatti-625019","1.Vadapalanji (R.V) Vadapalanji (P) Muthupatti ward 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
5,"Pt.Union Primary School ,West Building, Vadapalanji, Muthupatti- 625019","1.Vadapalanji (R.V) Vadapalanji (P) Nagamalaipudur Ward 3 , 2.Vadapalanji (R.V) Vadapalanji (P) Aravani Nagar Palkalai Nagar Ward 2 , 3.Vadapalanji (R.V) Vadapalanji (P) Palkalai Nagar Quarters (Adukumadi) ward 4, 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
6,"Senthamarai Arts & Science College, East Facing North Portion Nagamalaipudur Vadapalanji - 625019","1.Vadapalanji (R.V) Vadapalanji (p) Adaikanpatti Ward 4 , 2.Vadapalanji (R.V) Vadapalanji (P) Nagamalai Pudur 1 Ward 3 , 3.Vadapalanji (R.V) Vadapalanji (P) Nagamalai Pudur 2 ward 3 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
7,"Senthamarai Arts & Science College, East Facing South Portion Nagamalaipudur Vadapalanji - 625019","1.Vadapalanji (R.V) Vadapalanji (P) Nagamalai Pudur Ward 3 , 2.Vadapalanji (R.V) Vadapalanji (P) M.R.S.University Quarters ward 4 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
8,"Pt. Union Ele. School ,(Eastern Portion), Alampatti - 625019.","1.Karadipatti (R.V) Karadipatti (P) Karadipatti , 2.Karadipatti (R.V) Karadipatti (P) Keelapudur ward 2 , 3.Karadipatti (R.V) Karadipatti (P) Rajambadi ward 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
9,"Pt. Union Ele. School ,(Western Portion) Alampatti - 625019.","1.Karadipatti (R.V) Karadipatti (P) Alampatti Ward 3 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
10,"Panchayat Union Elementary School ,Karadipatti.-625019","1.Karadipatti (R.V) Karadipatti (P) Perumalmalai Ward 3 , 2.Karadipatti (R.V) Karadipatti (P) Karadipatti Ward 3 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
11,"Village Panchayat Common Service Centre Theni Main Road, Karadipatti - 625019.","1.Karadipatti (R.V) Karadipatti (P) Thiruveni nagar ward 2 , 2.Karadipatti (R.V) Karadipatti (P) Vadivel Nagar Ward 2 , 3.Karadipatti (R.V) Karadipatti (P) V.V.Giri Street Ward 2 , 4.Karadipatti (R.V) Karadipatti (P) Sarvodaya Nagar Ward 2 , 5.Karadipatti (R.V) Karadipatti (P) V.P.Sinthan Nagar Ward 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
12,"Womens Self Help Group Building ,Vadivel Nagar-625019","1.Karadipatti (R.V) Karadipatti (P) Thendral Nagar Ward 2 , 2.Karadipatti (R.V) Karadipatti (P) Gurusamy Nagar ward 2 , 3.Karadipatti (R.V) Karadipatti (P) L.G.Nagar Ward 2 , 4.Karadipatti (R.V) Karadipatti (P) Central Bank Colony Ward 2 , 5.Karadipatti (R.V) Karadipatti (P) Emmanuvel Nagar Ward 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
13,"Panchayat Union Library, Karadipatti- 625019","1.Karadipatti (R.V) Karadipatti (P) Bharathiyar Nagar 8,9,10,11 th Street Ward 4, 2.Karadipatti (R.V) Karadipatti (P) Theni main road Ward 4 , 3.Karadipatti (R.V) Karadipatti (P) Onthimalai Ward 3 , 4.Karadipatti (R.V) Karadipatti (P) Forest colony Ward 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
14,"Village Panchayat Common Service Centre Theni Main Road, Nagamalaipudukkottai -625019.","1.Vilacheri (R.V) Nagamalaipudukottai (P) East Street ward 1 , 2.Vilacheri (R.V) Nagamalaipudukottai (P) East Street ward 2 , 3.Vilacheri (R.V) Nagamalaipudukottai (P) Manthai street ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
15,"Anganwadi Centre I ,Mandhai Thidal, Nagamalai Pudhukkottai.- 625019","1.Vilacheri (R.V) Nagamalaipudukottai (P) Kottai street ward 1 , 2.Vilacheri (R.V) Nagamalaipudukottai (P) Thadathakai Amman Koil Street ward 2, 3.Vilacheri (R.V) Nagamalaipudukottai (P) Mela street Ward 2 , 4.Vilacheri (R.V) Nagamalaipudukottai (P) Oothucolony ward 2 , 5.Vilacheri (R.V) Nagamalaipudukottai (P) M.G.R. nagar ward 2 , 6.Vilacheri (R.V) Nagamalaipudukottai (P) Malaipaguthi ward 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
16,"Pt. Union Middle School, Northern Building West Side, Nagamalai Pudukottai.-625019","1.Vilacheri (R.V) Nagamalaipudukottai (P) Harijana colony Mela Theru ward 3 , 2.Vilacheri (R.V) Nagamalaipudukottai (P) Pavalar Estate ward 3 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
17,"Pt. Union Middle School,Northern Building East Side, Nagamalai Pudukottai.-625019","1.Vilacheri (R.V) Nagamalaipudukottai (P) Ambethkar Nagar Arijana colony ward 4, 2.Vilacheri (R.V) Nagamalaipudukottai (P) Harijana Colony East Street ward 4 , 3.Vilacheri (R.V) Nagamalaipudukottai (P) Nagamalaipudukottai ward 4 , 4.Vilacheri (R.V) Nagamalaipudukottai (P) Ambethkar Nagar Middle School Street Ward 4, 5.Vilacheri (R.V) Nagamalaipudukottai (P) Muniyandi kovil Street ward 4 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
18,"Pt.Union Middle School, Western Building, Northern Portion Nagamalai Pudukottai -625019.","1.Vilacheri (R.V) Nagamalaipudukottai (P) Mela Street Ward 5 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
19,"Pt. Union Middle School,Western Building, Southern Portion Nagamalai Pudukottai -625019.","1.Vilacheri (R.V) Nagamalaipudukottai (P) Mela Theru Chinnakannu Nagar Ward 5 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
20,"Pt.Union Middle School ,Southern Side Nagamalai Pudukottai-625019.","1.Vilacheri (R.V) Nagamalaipudukottai (P) Theni Main Road ward 6 , 2.Vilacheri (R.V) Nagamalaipudukottai (P) Police Station Street Ward 6 , 3.Vilacheri (R.V) Nagamalaipudukottai (P) Police Station Street Ward 6 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
21,"Pt.Union Elementary School, Kilaneri- 625019","1.Vilacheri (R.V) Nagamalaipudukottai (P) Kilaneri ward 7 , 2.Vilacheri (R.V) Nagamalaipudukottai (P) Kilaneri Mela Street Ward 7 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
22,"Sirumalar Girls Hr.Sec.School, Eastern Side, Nagamalai Pudukottai- 625019.","1.Vilacheri (R.V) Nagamalaipudukottai (P) Wellington Street ward 7 , 2.Vilacheri (R.V) Nagamalaipudukottai (P) Rajendra Prasath Street Ward 7 , 3.Vilacheri (R.V) Nagamalaipudukottai (P) Indira Gandhi Street ward 7 , 4.Vilacheri (R.V) Nagamalaipudukottai (P) Nethaji street ward 7 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
