Polling Station No.,Building,Polling Areas
1,"Panchayat Union Elementary School,Northern Side, Perumalpuram, Periyakulam.",1.Keelavadakarai (R.V) And (P) StateBank Colony
2,"Community Hall Near Panchayat Union Elementary School, Keelavadagarai, Perumalpuram, Periyakulam.","1.Keelavadakarai (R.V) And (P) Poyamar Street RMTC Colony , 2.Keelavadakarai (R.V) And (P) Gandhi Nagar , 3.Keelavadakarai (R.V) And (P) E.B.Road , 4.Keelavadakarai (R.V) And (P) Iswarya Nagar"
3,"Periyakulam Panchayat Union Elementary School, North Side, Perumalpuram.","1.Keelavadakarai (R.V) And (P) Sundarraj Nagar , 2.Keelavadakarai (R.V) And (P) Saleem Nagar 3.Keelavadakarai (R.V) And (P) R.M.T.C Colony 4.Keelavadakarai (R.V) And (P) Adi Thravidar Colony EB Road"
4,"Periyakulam Panchayat Union Elementary School, East Building, Southern Side, Perumalpuram.",1)Keelavadakarai (R.V) And (P) Perumalpuram Main Road Poyamar Street
5,"Panchayat Office, Perumalpuram.","1.Keelavadakarai (R.V) And (P) Ward-3 Theivendrapuram , 2.Keelavadakarai (R.V) And (P) Ward-2 Kamaraj Nagar 3.Keelavadakarai (R.V) And (P) Ward-1 Perumalpuram 4.Keelavadakarai (R.V) And (P) Iswarya Nagar"
6,"Panchayat Office, Gramasavai Maiyam, Keelavadakarai.",1.Keelavadakarai (R.V) And (P) Ward-1 Perumalpuram 2.Keelavadakarai (R.V) And (P) Iswarya Nagar
7,"Govt. Gilrs Hr.Sec.school, Ground Floor, First Room From the West Step, Vadagarai","1.Vadakarai Bit I (R.V), Keelavadakarai (P) Kallar Salai East side, 2.Vadakarai Bit I (R.V), Keelavadakarai (P) Kallar Salai West side 3.Vadakarai Bit I (R.V), Keelavadakarai (P)Kadalnaicker Compount Street 4.Vadakarai Bit I (R.V), Keelavadakarai (P) Pulli Godown Street"
8,"Govt. Gilrs Hr.Sec.School, 4th Room From West, Vadakarai.","1.Vadakarai Bit I (R.V), Keelavadakarai (P) New Eruselam Sabai Street , 2.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-4 Old Ration Shop Street , 3.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-4 Thiyaki Ponniah Street , 4.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-4 Kamaraja Street , 5.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-4 Kaliamman Kovil Street , 6.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-4 New Ration Shop Street"
9,"Govt. Gilrs Hr.Sec.School, 2nd Room, Eastern Side, Vadakarai, Periyakulam.","1.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-2 New Erusela Sabai Street , 2.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-2 Indira Memorial Quarters , 3.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-2 Veeruchinnammal Kovil Street , 4.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-2 New Rathion Shop Veethi , 5.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-2 Kaliamman Kovil Street"
10,"Govt. Gilrs Hr.Sec.School, South Adition Building, East Side Vadagarai.Periyakulam.","1.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-2 Tharkaichi Road , 2.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-2 Thiruvalluvar Nagar , 3.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-2 Kallar Road , 4.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-2 V.P.R. Colony"
11,"Govt. Gilrs Hr.Sec.School, West 3rd Room From Road, Vadakarai.","1.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-5 Bendakosthe Street , 2.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-5 Veerapathiran Kovil Street , 3.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-5 Arul Theater Road , 4.Vadakarai Bit I (R.V), Keelavadakarai (P) Ward-5 Mohammedmaideen Pallivasal Street"
12,"Govt. Kallar Higher Secondary School, Western Building, E.Pudupatti","1.E.Pudupatti (R.V), Endapuli (P) Section 1 Block 1"
13,"Govt. Kallar Higher Secondary School, Western Building, South Side, E.Pudupatti","1.E.Pudupatti (R.V), Endapuli (P) Section 2 Block 2"
14,"Thangamuthu Polytechnic, E.Kamatchipuram.","1.E.Kamatchipuram (R.V), Endapuli (P) Vel Nagar 2.E.Kamatchipuram (R.V), Endapuli (P) Alagarnaickanpatti"
15,"Markandeyar Primary School, E.Kamatchipuram.","1.E.Kamatchipuram (R.V) ,Endapuli (P) East Street, 2.E.Kamatchipuram (R.V), Endapuli (P) West Street 3.E.Kamatchipuram (R.V), Endapuli (P) North Street 4. E.Kamatchipuram (R.V), Endapuli (P) Main Road 5..E.Kamatchipuram (R.V), Endapuli (P) South Street, 6. E.Kamatchipuram (R.V), Endapuli (P) First Street. 7.E.Kamatchipuram (R.V), Endapuli (P) Murugan Kovil Street 8.E.Kamatchipuram (R.V), Endapuli (P) Pazhapannai"
16,"Sri Markandeya Elementary School, Endapuli.","1.Endapuli (R.V) And (P) North Street Colony , 2.Endapuli (R.V) And (P) Kattu Naickar Street , 3.Endapuli (R.V) And (P) North Street , 4.Endapuli (R.V) And (P) East Street , 5.Endapuli (R.V) And (P) Middle Street , 6.Endapuli (R.V) And (P) South Street , 7.Endapuli (R.V) And (P) Pilliar Kovil Street , 8.Endapuli (R.V) And (P) R.T.U Colony , 9.Endapuli (R.V) And (P) Main Road , 10.Endapuli (R.V) And (P) Irulayee Amman Kovil Street , 11.Endapuli (R.V) And (P) Mela Endapuli"
