Polling Station No.,Building,Polling Areas
1,"St.Therasa Middle School North Side, Thevaram","1.Thevaram (R.V) And (TP) Ward-1 Street-1 , 2.Thevaram (R.V) And (TP) Ward-2 Street-1 , 3.Thevaram (R.V) And (TP) Ward-2 Street-3 , 4.Thevaram (R.V) And (TP) Ward-3 Street-2"
2,"St.Therasa Middle School South Building, Thevaram","1.Thevaram (R.V) And (TP) Ward-8 Street-4 , 2.Thevaram (R.V) And (TP) Ward-8 Street-3 , 3.Thevaram (R.V) And (TP) Ward-8 Street-2 , 4.Thevaram (R.V) And (TP) Ward-2 Street 2. , 5.Thevaram (R.V) And (TP) Ward-8 Street-1 , 6.Thevaram (R.V) And (TP) Ward-7 Street-3 , 7.Thevaram (R.V) And (TP) Ward-4 Street-1 , 8.Thevaram (R.V) And (TP) Ward-5 Street-1 , 9.Thevaram (R.V) And (TP) Ward-9 Street-2 ,"
3,"Panchayat Union Middle School Eastern Portion, South Side,","10.Thevaram (R.V) And (TP) Ward-3 Street-1 , 1.Thevaram (R.V) And (TP) Ward-4 Street-1 , 2.Thevaram (R.V) And (TP) Ward-5 Street-1"
4,"Panchayat UThneiovna rMamiddle School, Eastern Side, South Side, Eastern Last, Thevaram","1.Thevaram (R.V) And (TP) Ward-5 Street-2 , 2.Thevaram (R.V) And (TP) Ward-5 Street-4 , 3.Thevaram (R.V) And (TP) Ward-5 Street-3"
5,"Panchayat Union Middle School West Building, Thevaram","1.Thevaram (R.V) And (TP) Ward-7 Street-1 , 2.Thevaram (R.V) And (TP) Ward-7 Street-2 , 3.Thevaram (R.V) And (TP) Ward-7 Street-3 , 4.Thevaram (R.V) And (TP) Ward-7 Street-4 , 5.Thevaram (R.V) And (TP) Ward-7 Street-5 , 6.Thevaram (R.V) And (TP) Ward-11 Street-1 , 7.Thevaram (R.V) And (TP) Ward 17 Street 1 , 8.Thevaram (R.V) And (TP) Ward-12 Street-1 , 9.Thevaram (R.V) And (TP) Ward-11 Street-2 , 10.Thevaram (R.V) And (TP) Ward-10 Street-4 ,"
6,"Panchayat Union Middle School, North Block, West Northern Portion, Thevaram","11.Thevaram (R.V) And (TP) Ward-16 Street-1 , 1.Thevaram (R.V) And (TP) Ward-6 Street-1"
7,"Govt.Hr Sec. School, Northern Building, East side, Thevaram","1.Thevaram (R.V) And (TP) Ward-12 Street-1 , 2.Thevaram (R.V) And (TP) Ward-12 Street-2 , 3.Thevaram (R.V) And (TP) Ward-12 Street-3 , 4.Thevaram (R.V) And (TP) Ward-12 Street-4"
8,"Govt. Hr. Sec. School, Main Building, Eastern Portion, Thevaram","1.Thevaram (R.V) And (TP) Ward-8 Street-1 , 2.Thevaram (R.V) And (TP) Ward-9 Street-1 , 3.Thevaram (R.V) And (TP) Ward-9 Street-2 , 4.Thevaram (r.v) and (tp) Ward-9 Street-3 , 5.Thevaram (R.V) And (TP) Ward-10 Street-2 , 6.Thevaram (R.V) And (TP) Ward-10 Street-3"
9,"Govt. Hr. Sec. School Northern Side, West Portion, Thevaram","1.Thevaram (R.V) And (TP) Ward-18 Street-1 , 2.Thevaram (R.V) And (TP) Ward-18 Street-3 , 3.Thevaram (R.V) And (TP) Ward-17 Street-5 , 4.Thevaram (R.V) And (TP) Ward-17 Street-4 , 5.Thevaram (R.V) And (TP) Ward-17 Street-1"
10,"Govt. Hr. Sec. School Western Side, Important Building, Thevaram","1.Thevaram (R.V) And (TP) Ward-11 Street-5 , 2.Thevaram (R.V) And (TP) Ward-11 Street-4 , 3.Thevaram (R.V) And (TP) Ward-11 Street-1 , 4.Thevaram (R.V) And (TP) Ward-11 Street-3 , 5.Thevaram (R.V) And (TP) Ward-10 Street-1 , 6.Thevaram (R.V) And (TP) Ward-10 Street-2 , 7.Thevaram (R.V) And (TP) Ward-10 Street-3 , 8.Thevaram (R.V) And (TP) Ward-17 Street-3 , 9.Thevaram (R.V) And (TP) Ward-9 Street-5 , 10.Thevaram (R.V) And (TP) Ward- 8 Street-4 ,"
11,"Ka.Su.Valluvar Ele. School East Block, South Side, Ward No.9, Thevaram","111.T.Thheevvaararamm ( R(R.V.V) )A Anndd ( T(TPP) )W Waardrd-1-83 SSttrreeeett--15 ,, 2.Thevaram (R.V) And (TP) Ward-15 Street-1"
12,"Ka.Su.Valluvar Ele. School South Block, Eastern Portion, Street 1, Ward No.9, Thevaram","1.Thevaram (R.V) And (TP) Ward-14 Street-1 , 2.Thevaram (R.V) And (TP) Ward-11 Street-2 , 3.Thevaram (R.V) And (TP) Ward-14 Street-2 , 4.Thevaram (R.V) And (TP) Ward-13 Street-2 , 5.Thevaram (R.V) And (TP) Ward-9 Street-1"
13,"K.S.Valluvan Ele. School East Block, North Side, Thevaram","1.Thevaram (R.V) And (TP) Ward-16 Street-2 , 2.Thevaram (R.V) And (TP) Ward-16 Street-1 , 3.Thevaram (R.V) And (TP) Ward-14 Street-2"
14,"K.S.Valluvan Ele. School South Block, West Side, Thevaram","1.Thevaram (R.V) And (TP) Ward-17 Street-3 , 2.Thevaram (R.V) And (TP) Ward-10 Street-4 , 3.Thevaram (R.V) And (TP) Ward-17 Street-1 , 4.Thevaram (R.V) And (TP) Ward-17 Street-2 , 5.Thevaram (R.V) And (TP) Ward-18 Street-2 , 6.Thevaram (R.V) And (TP) Ward-18 Street-1 , 7.Thevaram (R.V) And (TP) Ward-15 Street-1"
15,"Soudambigai Ele. School Western Side, T.Renganathapuram","1.Thevaram (R.V), T.Renganathapuram (P) Ward-1 East Colony , 2.Thevaram (R.V), T.Renganathapuram (P) Ward-1 North Colony , 3.Thevaram (R.V), T.Renganathapuram (P) Ward-1 North Street , 4.Thevaram (R.V), T.Renganathapuram (P) Ward-1 B.C.Colony , 5.Thevaram (R.V), T.Renganathapuram (P) Ward-2 North Street , 6.Thevaram (R.V), T.Renganathapuram (P) Ward-2 West Street , 7.Thevaram (R.V), T.Renganathapuram (P) Ward-2 Noon Meal Centre Street"
16,"Soudambigai Ele. School Eastern Block, T.Renganathapuram","1.Thevaram (R.V), T.Renganathapuram (P) Ward-2 Veerumalammal Kovil Street , 2.Thevaram (R.V), T.Renganathapuram (P) Ward-2 Sornnam Teacher House Street , 3.Thevaram (R.V), T.Renganathapuram (P) Ward-3 Pillaiyar Kovil Street , 4.Thevaram (R.V), T.Renganathapuram (P) Ward-3 South Street , 5.Thevaram (R.V), T.Renganathapuram (P) Ward-3 West Street"
17,"Panchayat Union Ele. School, North Side, Thamminayakkanpatti","1.Thevaram (R.V), Thamminayakanpatti (P) Ward-1 Main Road , 2.Thevaram (R.V), Thamminayakanpatti (P) Ward-1 Adi Dravidar Street , 3.Thevaram (R.V), Thamminayakanpatti (P) Ward-1 Gowndar Street , 4.Thevaram (R.V), Thamminayakanpatti (P) Ward-1 Kaliyamman Kovil Street , 5.Thevaram (R.V), Thamminayakanpatti (P) Ward-1 West Gowndar Street , 6.Thevaram (R.V), Thamminayakanpatti (P) Ward-1 North BC Colony , 7.Thevaram (R.V), Thamminayakanpatti (P) Ward-1 Nayakkar Street"
18,"Panchayat Union Ele. School West Side, Thamminayakkanpatti","1.Thevaram (R.V), Thamminayakanpatti (P) Main Road Gowndar Street , 2.Thevaram (R.V), Thamminayakanpatti (P) Kaliyamman Kovil Street , 3.Thevaram (R.V), Thamminayakanpatti (P) Ward-2 Middle Street , 4.Thevaram (R.V), Thamminayakanpatti (P) Ward-2 Indra Colony , 5.Thevaram (R.V), Thamminayakanpatti (P) Ward-2 West S.C Colony"
19,"Panchayat Union Ele. School North Block, West Side, Thamminayakkanpatti","1.Thevaram (R.V), Thamminayakanpatti (P) Ward-3 East Street , 2.Thevaram (R.V), Thamminayakanpatti (P) Ward-3 Middle Street , 3.Thevaram (R.V), Thamminayakanpatti (P) Ward-3 Boyamar Street , 4.Thevaram (R.V), Thamminayakanpatti (P) Ward-3 North Street , 5.Thevaram (R.V), Thamminayakanpatti (P) Ward-3 School Street , 6.Thevaram (R.V), Thamminayakanpatti (P) Ward-3 Therkkuppatti"
20,"Panchayat Union Middle School, North Face Building, Eastern side Chokkalingapuram","1.Thevaram (R.V), Thamminayakanpatti (P) Ward-4 Adi Dravidar Colony Chokkalingapuram , 2.Thevaram (R.V), Thamminayakanpatti (P) Ward-4 East Street Chokkalingapuram , 3.Thevaram (R.V), Thamminayakanpatti (P) Ward-4 Middle Street Chokkalingapuram , 4.Thevaram (R.V), Thamminayakanpatti (P) Ward-4 North Street Chokkalingapuram , 5.Thevaram (R.V), Thamminayakanpatti (P) Ward-4 South Street Chokkalingapuram , 6.Thevaram (R.V), Thamminayakanpatti (P) Ward-4 West Street Chokkalingapuram , 7.Thevaram (R.V), Thamminayakanpatti (P) Main Road Chokkalingapuram"
21,"Sri Rengasamy Memorial Higher Secondary School, East Block, Lakshminayakkanpatti.","1.Thevaram (R.V), Lakshminayakanpatti (P) Ward-1 Asarimar Street 1 , 2.Thevaram (R.V), Lakshminayakanpatti (P) Ward-1 North Milk Society Street , 3.Thevaram (R.V), Lakshminayakanpatti (P) Ward-1 South Milk Society Street , 4.Thevaram (R.V), Lakshminayakanpatti (P) Ward-1 Middle Street , 5.Thevaram (R.V), Lakshminayakanpatti (P) Ward-1 Reddiyar Street , 6.Thevaram (R.V), Lakshminayakanpatti (P) Ward-1 Chettiar Street , 7.Thevaram (R.V), Lakshminayakanpatti (P) Ward-1 South Street , 8.Thevaram (R.V), Lakshminayakanpatti (P) Ward-1 water Tank Street , 9.Thevaram (R.V), Lakshminayakanpatti (P) Ward-3 South Street , 10.Thevaram (R.V), Lakshminayakanpatti (P) Ward-3 OHT Street , 11.Thevaram (R.V), Lakshminayakanpatti (P) Ward-3 West Street , 12.Thevaram (R.V), Lakshminayakanpatti (P) Ward-3 Veterinary Hospital Street"
22,"Sri Rengasamy Memorial Elementary School, North Block, Eastern Side, Lakshminayakkanpatti","1.Thevaram (R.V), Lakhsminayakanpatti (P) Ward-2 East Thevar House Street , 2.Thevaram (R.V), Lakhsminayakanpatti (P) Ward-2 Santhi Tailor Street , 3.Thevaram (r.v), lakhsminayakanpatti (p) Ward-2 Middle Street , 4.Thevaram (R.V), Lakhsminayakanpatti (P) Ward-2 Post Office Street , 5.Thevaram (R.V), Lakhsminayakanpatti (P) Ward-2 A.D.Colony Street"
23,"Panchayat Union Ele. School, South Face Building Chellayepuram","1.Thevaram (R.V), Lakshminayaickanpatti (P) Ward-5 Chellayeepuram Middle Street , 2.Thevaram (R.V), Lakshminayaickanpatti (P) Ward-5 Chellayeepuram North Street , 3.Thevaram (R.V), Lakshminayaickanpatti (P) Ward-5 Chellayeepuram South Street"
24,"Amala Annai R.C. Hr.Sec.School, Northern Block, Eastern Side, T.Sinthalaicheri","1.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-1 Kuchanur Salai Street , 2.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-1 Chinnamanur Salai Street , 3.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-1 South Street , 4.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-1 B.C. Colony Street"
