Polling Station No.,Building,Polling Areas
1,"Panchayat Union Primary School, Block - 1, Enathikottai","1.Enathikkottai (p) Melaparthibanur (R V) Enathikottai North Street , 2.Enathikkottai (p) Melaparthibanur (R V) Enathikottai east street (1) , 3.Enathikkottai (p) Melaparthibanur (R V) Enathikottai east (2) , 4.Enathikkottai (p) Melaparthibanur (R V) Enathikottai East Street (3) , 5.Enathikkottai (p) Melaparthibanur (R V) Enathikottai South Street (1) , 6.Enathikkottai (p) Melaparthibanur (R V) Enathikottai South Street (2) , 7.Enathikkottai (p) Melaparthibanur (R V) Enathikottai South Street (3)"
2,"Panchayat Union Primary School ,East side, Kallikudi","1.Kallikudi (R.V.) and (P) Seerambur East & West Street Ward 1 , 2.Kallikudi (R.V) and (P) Kallikudi South street Southpart (ward 1) , 3.Kallikudi (R.V) and (P) Kallikudi North Street Centrepart (ward 2) , 4.Kallikudi (R.V) and (P) Kallikudi North Street Northpart (ward 2) , 5.Kallikudi (R.V) and (P) Kallikudi South Street (ward 2) , 6.Kallikudi (R.V) and (P) Ponnakarai North And South Street (Ward 1) , 7.Kallikudi (R.V) and (P) Konakulam South Street (Ward 1) , 8.Kallikudi (R.V) and (P) Vagaikulam North Street (Ward 2)"
3,"Panchayat Union Primary School, SSA Building, East Side, Melaparthibanur","1.MelaParthibanur (R.V) and (P) Pallivasal North Street (ward 1) , 2.MelaParthibanur (R.V) and (P) Velar Street (Ward 1) , 3.MelaParthibanur (R.V) and (P) Oorani North Street (Ward 1) , 4.MelaParthibanur (R.V) and (P) Karnam Street (Ward 1)"
4,"Panchayat Union Primary School, SSA Building, West Side, Melaparthibanur","1.MelaParthibanur (R.V) and (P) Pallivasal Street (ward 1) , 2.MelaParthibanur (R.V) and (P) R.C Church Street (Ward 1) , 3.MelaParthibanur (R.V) and (P) Meenkadai Santhu (Ward 1) , 4.MelaParthibanur (R.V) and (P) Pasi Pavalakkara Street (Ward 1) , 5.MelaParthibanur (R.V) and (P) Alagan Pacheri (Ward 8)"
5,"Nallur Government Higher Secondary School, New Building, East Portion, West Side, Parthibanur","1.MelaParthibanur (R.V) and (P) Paramakudi road (ward 2) , 2.MelaParthibanur (R.V) and (P) East street Ward 2 , 3.MelaParthibanur (R.V) and (P) New Street East (Ward 2) , 4.MelaParthibanur (R.V) and (P) Melacheevan Kulam Road (Ward 2) , 5.MelaParthibanur (R.V) and (P) Paraiyar South Street (Ward 2) , 6.MelaParthibanur (R.V) and (P) Pillayarkovil Street (Ward 2) , 7.MelaParthibanur (R.V) and (P) New Street (Ward 2) , 8.MelaParthibanur (R.V) and (P) New Street West (Ward 2)"
6,"Nallur Government Higher Secondary School, New Building, West Portion, West Side, Parthibanur.","1.MelaParthibanur (R.V) and (P) Kamuthi Road (ward 3) , 2.MelaParthibanur (R.V) and (P) West Street (Ward 3) , 3.MelaParthibanur (R.V) and (P) Policeline South Street (Ward 3) , 4.MelaParthibanur (R.V) and (P) Policeline Street (Ward 3) , 5.MelaParthibanur (R.V) and (P) MaruthupandiStreet West (Ward 3) , 6.MelaParthibanur (R.V) and (P) Maruthupandi Street (Ward 3), 7.MelaParthibanur (R.V) and (P) Vallambar Rice Mill Street (Ward 2) , 8.MelaParthibanur (R.V) and (P) Vallambar Street (Ward 2)"
7,"Cresent High School, West Side, MelaParthibanur.","1.MelaParthibanur (R.V) and (P) Chettiyar Street (Ward 3) , 2.MelaParthibanur (R.V) and (P) Thillaichettiyar Street (Ward 3) , 3.MelaParthibanur (R.V) and (P) Rice Mill Street (Ward 3) , 4.MelaParthibanur (R.V) and (P) Pandara street (Ward 3) , 5.MelaParthibanur (R.V) and (P) Sakkaraikani Santhu (Ward 3) , 6.MelaParthibanur (R.V) and (P) Pillayarkovil West Santhu (Ward 3) , 7.MelaParthibanur (R.V) and (P) Pillayarkovil Street (Ward 3) , 8.MelaParthibanur (R.V) and (P) Pillayarkovil East Street (Ward 3) , 9.MelaParthibanur (R.V) and (P) Primary school street (Ward 3) , 10.MelaParthibanur (R.V) and (P) Pattarai Street West (Ward 3) , 11.MelaParthibanur (R.V) and (P) Pattarai Street East (Ward 3)"
8,"Nallur Government Higher Secondary School, Type Writing Room, West Portion, Parthibanur","1.MelaParthibanur (R.V) and (P) Madurai Road (Ward 4) , 2.MelaParthibanur (R.V) and (P) Ponni rice mill Street (Ward 4) , 3.MelaParthibanur (R.V) and (P) Kamuthi Road (Ward 4) , 4.MelaParthibanur (R.V) and (P) Sekkadi street (Ward 4) , 5.MelaParthibanur (R.V) and (P) Kamuthi Road (Ward 4) , 6.MelaParthibanur (R.V) and (P) Perumalkovil Street (Ward 4) , 7.MelaParthibanur (R.V) and (P) Police Station Street (Ward 4) , 8.MelaParthibanur (R.V) and (P) Amina Rice mill Street (Ward 4) , 9.MelaParthibanur (R.V) and (P) E.B Office Street (Ward 4) , 10.MelaParthibanur (R.V) and (P) Ice Company Street (Ward 4)"
9,"Panchayat Union Middle School ,New Building, Eastern Portion, H. Paralai","1.MelaParthibanur (R.V) and (P) Muslim paralai north street (Ward 5) , 2.MelaParthibanur (R.V) and (P) Muslim Paralai Middle Street (Ward 5) , 3.MelaParthibanur (R.V) and (P) Muslim Pallivasal Street (Ward 5) , 4.MelaParthibanur (R.V) and (P) H Paralai South Street (Ward 5) , 5.MelaParthibanur (R.V) and (P) H Paralai North Street (Ward 6) , 6.MelaParthibanur (R.C) and (P) H. Paralai East Street (Ward 6) , 7.MelaParthibanur (R.V) and (P) Christian Paralai East Street (Ward 6) , 8.MelaParthibanur (R.V) and (P) Christian Paralai North Street (Ward 7) , 9.MelaParthibanur (R.V) and (P) Maruchukatti North Street (Ward 7) , 10.MelaParthibanur (R.V) and (P) Maruchukatti Middle South Street (Ward 7) , 11.MelaParthibanur (R.V) and (P) Maruchukatti Harijan Street (Ward 7)"
10,"Panchayat Union Middle School, Main Building, West side, Soodiyur","1.Soodiyur (R.V) and (P) Soodiyur East Street (Ward 1) , 2.Soodiyur (R.V) and (P) Soodiyur School Street (Ward 1) , 3.Soodiyur (R.V) and (P) Soodiyur Church Street(Ward 1) , 4.Soodiyur (R.V) and (P) Soodiyur Middle Street (Ward 1) , 5.Soodiyur (R.V) and (P) Soodiyur Kannan Koil Street (Ward 1) , 6.Soodiyur (R.V) and (P) Soodiyur West Street (Ward 1) , 7.Soodiyur (R.V) and (P) Soodiyur Velalar Street (Ward 1)"
