Polling Station No.,Building,Polling Areas
1,"Panchayat Union Elementary School, Melamudimannarkottai","1.Melamudimannarkottai North Street1 Ward1,2.Melamudimannarkottai Poosari Street Ward1,3.Melamudimannarkottai Vaiyappanayakar Street Ward1,4.Melamudimannarkottai Melastreet Ward2,5.Melamudimannarkottai Middle Street Ward1,6.Melamudimannarkottai South Street Ward2,7.Melamudimannarkottai East Street ward1,8.Melamudimannarkottai Kaliyamman Kovil Street ward1, 9.Melamudimannarkottai Muniyasamy Kovil Street ward1, 10.Melamudimannarkottai Vannar street ward1,11.Melamudimannarkottai Kalani ward3,2, 12.Kottaiyur North street2 ward2,3,13.Kottaiyur East Street (Ward1,3),14.Kottaiyur South Street (Ward2,3),15.Kottaiyur South Street Thenpuram (Ward3)"
2,"St. Johns High School, West Building, Near Auditoriam South Portion Room No.2, Keelamudimannarkottai",1.Keelamudimannarkottai Maraver street (ward1) 2.Keelamudimannarkottai Kaliyamman koil street (ward1) 3.Keelamudimannarkottai North Street Ward1 4.Keelamudimannarkottai Earamman Kovil Street Ward1 5.Keelamudimannarkottai Kandhasami Nayagar Veethi Ward1 6.Keelamudimannarkottai West Veethi Ward1 7. Keelamudimannarkottai Kumaraiya Nayakkar Street Ward2 8.Keelamudimannarkottai Pattadhu Nayakkar Street Ward 2 9.Keelamudimannarkottai Selaikari Amman Street Ward2 10.Keelamudimannarkottai South Street Ward2 11.Keelamudimannarkottai Thoppu Nadhtham Salai Ward2 12.Keelamudimannarkottai R.C North Street Ward2 13. Keelamudimannarkottai R.C North Street Ward2 14.Keelamudimannarkottai Makalir Manra Street Ward2
3,"St. Johns High School,West Building, East Portion, Keelamudimannarkottai",1.Keelamudimannarkottai North street part2 ward3 2.Keelamudimannarkottai North Street Part4 Ward3 3. Keelamudimannarkottai Middle Street Part1 Ward3 4.Keelamudimannarkottai Middle Strret Part2 Ward4 5.Keelamudimannarkottai R.C.kovil Street Part2 Ward4 6.Keelamudimannarkottai R.C kovil Street Part2 Ward4 7. Keelamudimannarkottai Sinkampati Salai Street Part1 Ward4 8.Keelamudimannarkottai Risemill Street Ward4 9. Keelamudimannarkottai Singampatti Salai Street Part2 Ward4 10.Keelamudimannarkottai Harjana Colony Ward4 11.Keelamudimannarkottai East Street Ward 5
4,"Devangar Higher Secondary School,Western Portion, Neeravi.","1.Neeravi west street ward1,2,2.Neeravi Northstreet ward1,3.Neeravi 1st Middle street ward1,2,4.Neeravi 2nd Middle street ward2,5.Neeravi 1st Southstreet ward2,3,6.Neeravi 2nd Southstreet ward2,3,7.Neeravi Colony Street ward3,8.Koolipatti North street ward4,9.Koolipatti Melastreet ward4,5,10.Koolipatti Middle street1 ward4,11.Koolipatti East street1 ward4,5,12.Koolipatti East Street2 ward4,5,13.Koolipatti Middle street2 ward4,5,14.Koolipatti Middle street3 ward5,15.Koolipatti Southstreet ward5"
5,"Devangar Hr. Sec. School, Eastern Portion, Neeravi.","1.Thoopunatham north street ward6, 2.Thoopunatham Middlestreet ward7,3.Thoopunatham South Street ward6,4.Thoopunatham West Street ward6,5.N.Veppankulam 1st North Street ward 7,6.N.Veppankulam 2nd street ward 7,7.N.Veppankulam 3rd street ward 7, 8.N. Veppankulam 4th street ward 7,9.N.Veppankulam 5th street ward 7, 10. N.Veppankulam 6th street ward 8, 11.N.Veppankulam Colony Street ward 8."
6,"Samuthayakudam, N.Karisalkulam","1.N.karisalkulam weststreet1 (ward 3),2.N.karisalkulam WestStreet2 (Ward3),3.N.karisalkulam southstreet (Ward 2),4.N.karisalkulam Northstreet1 (Ward 1), 5.N.karisalkulam Northstreet2 (Ward1) ,6.N.karisalkulam Northstreet 3 (Ward 2) 7.N.karisalkulam Southstreet2 (Ward2) ,8.N.karisalkulam Southstreet 3 (Ward 2) 9.N.karisalkulam Southstreet4 (Ward 2) ,10.Chinna karisalkulam Church street (Ward 4),11.Chinna karisalkulam Southstreet (Ward 4)."
7,"Panchayat Union Elementary School, New Building, N.Valasubiramaniyapuram","1.N.V.S.puram Shanthanamri amman koil street ward 5, 2. N.V.S.puram Shanthanamari amman koil street 2 ward5, 3.N.V.S.puram Shanthanamari amman koil street3 ward5,4. N.V.S.puram Main road ward 5,5.Mangamma salai street ward5 6.Gobalapuram nayakkar street ward6,7.Gobalapuram ekali street ward6 8.Gobalapuram Athithiravidar street ward6 9.Gobalapuram East street ward6"
8,"Hindu Middle School, Kavadipatti","1.Kavadipatti Pillaiyarkovil street melpuram keelpuram (ward 3) , 2. Kavadipatti East Street Keelpuram (Ward3) 3.Kavadipatti Middle Street, Vadapuram,Thenpuram (Ward 3) 4. Kavadipatti South Street Thenpuram (Ward 3) , 5. Kavadipatti Melastreet Thenpuram (Ward 3)"
9,"Panchayat Union Elementary School, New Building, Melaramanathi","1.Melaramanadhi School zonal street (ward 1) , 2.Melaramanadhi North Street (Ward 2) , 3.Melaramanadhi East Street Vadapuram (Ward 3) , 4.Melaramanadhi East Street Thenpuram (Ward 3) , 5.Melaramanadhi Middle Street (Ward 5) , 6.Melaramanadhi South Street (Ward 6) , 7.Melaramanadhi Church Street (Ward 7) , 8.Melaramanadhi Indhra colony (Ward 8)"
10,"StXavier RC Middle School, Northern Building, Keelaramanathai","1.Keelaramanathi Kaliamman kovil street ward 1 , 2.Keelaramanathi Muthalamman kovil street ward 1 , 3.Keelaramanathi Mariamman kovil street ward 1 , 4.Keelaramanathi Vinayagar kovil street ward 3 , 5.Keelaramanathi Nayakkar street ward 3 , 6.Keelaramanathi Perumal kovil street ward 3"
11,"StXavier RC Middle School, Southern Building, Keelaramanathai","1.Keelaramanathi R.C.School street ward 1 , 2.Keelaramanathi Middle street ward 1 , 3.Keelaramanathi Asary street ward 2 , 4.Keelaramanathi Jothidar street ward 2 , 5.Keelaramanathi Muslim street ward 2 , 6.Keelaramanathi Pallivasal street ward 2 , 7.Keelaramanathi Veeramuthamman street ward 3"
