Polling Station No.,Building,Polling Areas
1,"Panchayat Union Middle School Main Building, Ayankarisalkulam","1.AyanKarisalKulam (R.V) And (P) AyanKarisalKulam Block 1 , 2.AyanKarisalKulam (R.V) And(P) AyanKarisalKulam Block 2 , 3.AyanKarisalKulam (R.V) And(P) AyanKarisalKulam Block 3 99.OVERSEAS ELECTORS"
2,"Panchayat Union Middle school New Building, Mavilpatti","1.Ayan Karisalkulam (R.V) And (P) Mavilpatti Block 1 2.Ayan Karisalkulam (R.V) And (P) Mavilpatti Block 2 , 3.Ayan Karisalkulam (R.V) And (P) Mavilpatti Block 3 , 4.Ayan Karisalkulam (R.V) And (P) Mavilpatti Block 4 99.OVERSEAS ELECTORS"
3,"Government High School,Western portion West Building, Vemboor","1) Vemboor (R.V.) and (P), Vemboor block 1 2 Vemboor (R.V) and (P) Vemboor Block-2 3. Vemboor (R.V.) and (P) Vemboor Block-3 99.OVERSEAS ELECTORS"
4,"Government HighSchool, Anna Century Hall (2 Class Rooms), West Building, Vemboor",1) Vemboor (R.V.) and (P) Vemboor Block-4 2) Vemboor (R.V.) and (P) Vemboor Block-5 99.OVERSEAS ELECTORS
5,"Govt high School Western Portion, Vemboor","1.Kodangipatti (R.V), Vemboor (P) RamasamyPuram Block 6 , 2.Kodangipatti (R.V), Vemboor (P) Azhkapuri Block 7 , 3.Kodangipatti (R.V), Vemboor (P) Kodangipatti Block 8 99.OVERSEAS ELECTORS"
6,"Panchayat Union Middle school New Building Eastern Portion, Melakaranthai","1.Melakaranthai (R.V) And (P) Melakaranthai Block 1 , 2.Melakaranthai (R.V) And (P) Melakaranthai Block 3 99.OVERSEAS ELECTORS"
7,"Panchayat Union Middle School ,Eastern Building, Melakaranthai",1.Melakaranthai (R.V) And (P) Melakaranthai Block 2 99.OVERSEAS ELECTORS
8,"Panchayat Union Middle School North Side Building, Keelakaranthai","1.Kelakaranthai (R.V) And (P) Kelakaranthai Block 1 , 2.Kelakaranthai (R.V) And (P) Kelakaranthai Block 2 99.OVERSEAS ELECTORS"
9,"Panchayat Union Midddle School New Building, Masarpatti","1.Masarpatti (R.V) And (P) Masarpatti Block 1 , 2.Masarpatti (R.V) And (P) Masarpatti Block 2 99.OVERSEAS ELECTORS"
10,"Panchayat Union primary school, Kailasapuram","1.Rajapatti (R.V) And (P) Rajapatti Block 1 , 2.Rajapatti (R.V) And (P) Kailasapuram Block 2 , 3.Rajapatti (R.V) And (P) Kailasapuram Block 3 99.OVERSEAS ELECTORS"
11,"Hindu Primary School New Building Inam, Arunachaluram","1.Innam Arunachalapuram (R.V) And (P) Innam Arunachalapuram Block 1 , 2.Thomalaipatti (R.V), Innam Arunachalapuram (P) TholMalaipatti Block 2 99.OVERSEAS ELECTORS"
12,"Panchayat Union Middle School, Thappatthi","1.Thappathi (R.V) And (P) Thappathi Block 1 , 2.Thappathi (R.V) And (P) Thappathi Block 2 99.OVERSEAS ELECTORS"
13,"Panchayat Union Middle School New Building, Ayanvadamalapuram","1.Ayanvadamalapuram (R.V) And (P) Ayanvadamalapuram Block 1 , 2.Ayanvadamalapuram (R.V) And (P) Ayanvadamalapuram Block 2 , 3.Ayanvadamalapuram (R.V) And (P) Achiankulam Block 3 99.OVERSEAS ELECTORS"
14,"Hindu Nadar Higher Secondary School, N. Vedapatti","1.N.vedapatti (R.V) And (P) N.vedapatti block 1 , 2.N.Vedapatti (R.V) And(P) N.Vedapatti Block 2 99.OVERSEAS ELECTORS"
15,"Panchayat Union Middle School South Building Eastern Portion, Singlipatti","1.Singhelipatti (R.V), N. Vedapatti (P) Singhelipatti Block 3 , 2.Singilipatti (R.V), N. Vedapatti (P) Kalukkumi Block 1 , 3.Singilipatti (R.V), N.Vedapatti (P) Kallukkumi Block 2 99.OVERSEAS ELECTORS"
16,"T. V. A. Nallalagu Nadar Higher Sec. School North Building West Side, Perilovanpatti","1.Pherilovanpatti (R.V) And (P) Pherilovanpatti Block 1 , 2.Pherilovanpatti (R.V) And (P) Pherilovanpatti Block 2 , 3.Pherilovanpatti (R.V) And (P) Mudalipatti Block 3 99.OVERSEAS ELECTORS"
17,"Hindu Primary School Building,Keelanambipuram",1.Nambipuram (R.V) And (P) Nambipuram Block 1 99.OVERSEAS ELECTORS
18,"Panchayat Union Middle School North side, Mela Nambipuram",1.Nambipuram (R.V) And (P) Ponnaihpuram Block 2. 2.Nambipuram (R.V) And (P) Mela NambipuramBlock 3 . 3.Nambipuram (R.V) And (P) Mela Nambipuram Block 4 4.Nambipuram (R.V) And (P) Mela Nambipuram Block 5. 99.OVERSEAS ELECTORS
19,"St.Valan R.C. Primary School, M.Kottur",1.Muthulapuram (R.V) And (P) Muthulapuram (Kottur) Block 3 . 2.Muthulapuram (R.V) And (P) Muthulapuram Block 4 99.OVERSEAS ELECTORS
20,"Panchayat Union Primary school New Building, M.Kottur",1.Muthulapuram (R.V) And (P) Muthulapuram (Kottur) Block 5.2.Muthulapuram (R.V) And (P) Muthulapuram Sourth Block 6. 99.OVERSEAS ELECTORS
21,"Hindu Nadar Middle School North Side, Muthulapuram",1.Muthulapuram (R.V) And (P) Muthulapuram Block 1. 2.Muthulapuram (R.V) And (P) Muthulapuram Block 2. 99.OVERSEAS ELECTORS
22,"Panchayat Union Primary School, Keelnattukurichi","1.Keelnattukurichi (R.V), Muthulapuram (P) Keelnattukurichi Block 1 , 2.Sakeliyapatti (R.V), Muthulapuram (P) Sakeliyapatti Block 2 99.OVERSEAS ELECTORS"
23,"Nethaji Middle School Main Building Centre Room, Veerapatti","1.Veerappatti (R.V) And (P) Veerappatti Block 1 , 2.Muthualapuram (P) V. Kumarapuram Block 7. 3.Veerappatti (P) Veerappatti block 2. 99.OVERSEAS ELECTORS"
24,"Panchayat Union Primary School ,New Building, Karuppur","1.Karuppoor (R.V) And (P) Karuppoor Block 1 , 2.Karuppoor (R.V) And (P) Subbiahpuram Block 2 99.OVERSEAS ELECTORS"
25,"Hindu Nadar Primary School, Ayyakottaiyoor","1.Ayyakkottaiuor (R.V) And (P) Ayyakkottaiuor block 1 , 2.Ayyakkottaiuor (R.V) And (P) Ayyakkottaiuor Block 2 , 3.Ayyakkottaiuor (R.V) And (P) Panaipatti Block 3 , 4.Ayyakkottaiuor (R.V) And (P) Venkatachalapuram Block 4 99.OVERSEAS ELECTORS"
26,"Panchayat Union Middle School New Building, Meenachipuram","1.Meenachipuram (R.V) And (P) Meenachipuram block 1 , 2.Meenachipuram (R.V) And (P) Meenachipuram Arichana colony Block 2 , 3.Meenachipuram (R.V) And (P) Meenachipuram Block 3 , 4.Meenachipuram (R.V) And (P) Malaipatti Block 4 , 5.Meenachipuram (R.V) And (P) Venkatachalapuram Block 6 99.OVERSEAS"
27,"Panchayat Union Middle School, Urulaikudi","1.Urulaikudi (R.V) And (P) Urulaikudi block 1 , 99.OVERSEAS ELECTORS"
28,"Panchayat Union Primary School,Peekkilipatti",1. Urulaikudi (R.V) And (P) Peekkelipatti Block 2 99.OVERSEAS ELECTORS
29,"T.N.D.T.A Middle School, East Building, Kadalaiyur",1.Kadalaiyur (R.V) And (P) Kadalaiyur Block 1 99.OVERSEAS ELECTORS
30,"T.N.D.T.A Middle School, North Building, Kadalaiyur","1.Kadalaiyur (R.V) And (P) Kadalaiyur Block 2, 2.Kadalaiyur (R.V) And (P) Kadalaiyur Block 3 99.OVERSEAS ELECTORS"
31,"Sengundar High School,South Side, Kadalaiyur",1.Kadalaiyur (R.V) And (P) Chennaiampatti block 2 . 2.Kadalaiyur (R.V) And (P) Kadalaiyur Block 4 3.Kadalaiyur (R.V) And (P) Kadalaiyur Block 5 4.Kadalaiyur (R.V) And (P) Kadalaiyur Block 6 5.Kadalaiyur (R.V) And (P) Kadalaiyur Block 7 6.Kadalaiyur (R.V) And (P) Therkupatti Block 8
32,"Hindu Primary School Building, Varadham patti","1.Varathampatti (R.V) And (P) Varathampatti block 1 , 2.Varathampatti (R.V) And (P) Vallinayakepuram Block 2 ,3.Varathampatti (R.V) And (P) Kattramanpatti Block 3 99.OVERSEAS ELECTORS"
33,"Panchayat Union Primary School, K.Chidambarapuram","1.K.Chidhambarapuram (R.V),And (P) K.Chidhambarapuram North Street Block1 , 2.K.Chidhambarapuram (R.V) And (P) K.Chidhambarapuram Middle Street Block1 , 3.K.Chidhambarapuram (R.V) And (P) K.Chidhambarapuram West Street Block1"
34,"Panchayat Union primary School, Cinnamalaikundru","1.Sinamalaikuntru (R.V) And (P) Sinamalaikuntru Block 1 , 2.Sinamalaikuntru (R.V) And (P) Sathurappanaickarpatti Block 2 , 3.Sinamalaikuntru (R.V) And (P) Tippanoothu Block 3 , 4.Sinamalaikuntru (R.V) And (P) Uselampatti Block 4 99.OVERSEAS ELECTORS"
35,"Vivekanantha Vidhyasala Middle School, Kumareddiyapuram","1.Meenachipuram (R.V)And (P) Kumareddeyapuram block 5 , 2.Meenachipuram (R.V)And (P) Navalakkampatti Block 2 99.OVERSEAS ELECTORS"
36,"Panchayat Union Middle School, South Building, Sinthalakarai","1.Sinthalakkarai ((R.V) And (P) Duraisamypuram Block 1 , 2.Sinthalakkarai (R.V)And (P) Sinthalakkarai Block 2 99.OVERSEAS ELECTORS"
37,"Panchayat Union Primary School, R. Venkateswarapuram","1.Sinthalakarai (R.V) ,R. Venkateshwarapuram (P) R. Venkateshwarapuram Block 1 , 2.Sinthalakarai (R.V) ,R. Venkateshwarapuram (P) R. Venkateshwarapuram Block 2 99.OVERSEAS ELECTORS"
38,"Panchayat Union Primary School, Ramanoothu","1.Ramanoothu (R.V) And (P) Ramanoothu Block 1 , 2.Ramanoothu (R.V) And (P) Ramanoothu Block 2 99.OVERSEAS ELECTORS"
39,"Panchayat Union Primary School New Building, Thalaikattupuram","1.Thalaikkattupuram (R.V) And (P) Thalaikkattupuram Block 1 , 2.Thalaikkattupuram (R.V) And (P) Thalaikkattupuram Block 2 , 3.Thalaikkattupuram (R.V) And (P) Sankaralingapuram Block 3 99.OVERSEAS ELECTORS"
40,"Panchayat Union Primary school, Kumarasubramaniyapuram","1.Thalaikkattupuram (R.V) And (P) Thangammalpuram Block 4 , 2.Thalaikkattupuram (R.V) And (P) Kumarasubramaniyapuram Block 5 , 3.Thalaikkattupuram (R.V) And (P) Chinnapuram Block 6 , 4.Thalaikkattupuram (R.V) And (P) Pudhupatti Block 7 99.OVERSEAS ELECTORS"
41,"T.D.T.A Primary School North Building, Velidupatti","1.Velidupatti (R.V) And (P) Velidupatti Block 1 , 2.Velidupatti (R.V) And (P) Velidupatti Block 2 99.OVERSEAS ELECTORS"
42,"Panchayat Union Primary School West Side, Pillaiarnatham","1.Chithavanayackanpatti (R.V), Pillaiyarnatham (P) Pillaiyarnatham Block 1 , 3.Chithavanayackanpatti (R.V), Pillaiyarnatham (P) Chokalingapuram Block3 , 4.Chithavanayackanpatti (R.V), Pillaiyarnatham (P) Kumareddyapuram Block 4 99.OVERSEAS ELECTORS"
43,"Panchayat Union Primary School East New Building South facing, Pillaiarnatham","2.Chithavanayackanpatti (R.V), Pillaiyarnatham (P) Pillaiyarnatham Block 2 , 99.OVERSEAS ELECTORS"
44,"Panchayat Middle School New Building, Kalugalasapuram","1.Kalukashapuram (R.V) And (P) Kalukashapuram Block 1 , 2.Kalukashapuram ((R.V) And (P) Kumarareddyapuram Block2 99.OVERSEAS ELECTORS"
45,"Panchayat Union Middle School Centre Room, Neeravipudupatti","1.Neeravi Pudhupatti (R.V) And (P) Neeravi Pudhupatti Block 1 , 2.Neeravi Pudhupatti (R.V) And(P) N. Pudhupatti block 2 99.OVERSEAS ELECTORS"
46,"Govt High School New building, Padarnthapuli","1.Padarnthapuli (R.V) And (P) Padarnthapuli Block 1 , 2.Padarnthapuli (R.V) And (P) Padarnthapuli Block 2 , 3.Padarnthapuli (R.V) And (P) Padarnthapuli Block 3 , 4.Padarnthapuli (R.V) And (P) Duraisamyapuram Block 4 99.OVERSEAS ELECTORS"
47,"Mariappa Nadar Middle School West Portion , Ettaiyapuram","1.Ettaiyapuram (sp) Naickar street , 2.Ettaiyapuram (SP) Naickar Street 2 , 3.Ettaiyapuram (SP) South senayar Street , 4.Ettaiyapuram (SP) Pillair Kovil Street , 5.Ettaiyapuram (SP) Sudalaiandi Moopanar street , 6.Ettaiyapuram (Sp) Center Street , 7.Ettaiyapuram (SP) Magarajapuram street 1 , 8.Ettaiyapuram (SP)"
48,"Mariappa Nadar Middle School East Portion, Ettaiyapuram","1.Ettaiyapuram (SP) Muthuirulappapillai street 1 , 2.Ettaiyapuram (SP) Kamachiammankovil Street (vedar street) , 3.Ettaiyapuram (SP) Theppakkulastreet , 4.Ettaiyapuram (SP) Kavalar kudirupu street , 5.Ettaiyapuram (SP) Kansapuram Street 1 , 6.Ettaiyapuram (SP) Kansapuram street 2 ,"
49,"Sengunthar Middle School North Side , Ettayapuram","1.Ettaiyapuram (SP) South arumuga mudaliar street 1 , 2.Ettaiyapuram (Sp) South Arumuga mudaliar street 2 , 3.Ettaiyapuram (SP) Guruvamudaliar Street , 4.Ettaiyapuram (SP) Ayyamperumal Mudaliar Street 1 , 5.Ettaiyapuram (SP) Ayyam perumal Mudaliar Street 2 , 6.Ettaiyapuram (SP) Valavanthamudaliar street ,"
50,"Sengundar Middle School,South side, Ettayapuram","1.Ettaiyapuram (sp) Amman koil first street , 2.Ettaiyapuram (SP) Amman Kovil street 2 , 3.Ettaiyapuram (SP) Amman Kovil Street 3 , 4.Ettaiyapuram (SP) Kadhar maitheen Roavuthar Street , 5.Ettaiyapuram (SP) Vavanaravuthar street 1 , 6.Ettaiyapuram (SP) Vavaunaravuthar street 2 ,"
51,"Raja Primary School West Side Building, Ettaiyapuram","1.Ettaiyapuram (s.p) Umar pulavar street , 2.Ettaiyapuram (S.P) Poundustreet , 3.Ettaiyapuram (S.P) South rathaveethi 99.OVERSEAS ELECTORS"
52,"Raja Higher secondary School East Side Building, (East Portion) Ettaiyapuram","1.Ettaiyapuram (S.P) Melarathaveethi , 2.Ettaiyapuram (S.P) Kottaimelastreet , 3.Ettaiyapuram (S.P) Bharathiveethi , 4.Ettaiyapuram (S.P) Perumal Kovil Street , 5.Ettaiyapuram (S.P) Kottai South Street 99.OVERSEAS ELECTORS"
53,Raja Hr. Sec School Middle Room East Side Ettaiyapuram,"1.Ettaiyapuram (s.p) Durgaiammankovil street , 2.Ettaiyapuram (S.P) Keela rathaveethi , 3.Ettaiyapuram (S.P) Poundustreet , 4.Ettaiyapuram (S.P) South rathaveethi 99.OVERSEAS ELECTORS"
54,"Raja Hr. Sec School Centre Building West Side, Ettaiyapuram","1.Ettaiyapuram (S.P) Kaliammankovil street , 2.Ettaiyapuram (S.P) Sakkeliar Street , 3.Ettaiyapuram (S.P) Adidravedar Street , 4.Ettaiyapuram (S.P) R.C Street 99.OVERSEAS ELECTORS"
55,"Raja Hr.Sec. School West Building, South Room Ettaiyapuram","1.Ettaiyapuram (sp) Keelarathaveethi , 2.Ettaiyapuram (SP) Melarathaveethi , 3.Ettaiyapuram (SP) North ratha Veethi 99.OVERSEAS ELECTORS"
56,"Raja Hr.Sec. School, West Building, Middle Room, Ettaiyapuram","1.Ettaiyapuram (SP) Kottai melastreet , 2.Ettaiyapuram (SP) Kottai North Street , 3.Ettaiyapuram (SP) SivanKovil Street , 4.Ettaiyapuram (SP) Aranmanai Vasal Street , 5.Ettaiyapuram (SP) Karthikai Veethei , 6.Ettaiyapuram (S.P) Melavasal Kulakkarai , 7.Ettaiyapuram (SP) Alangariamman Kovil Street ,"
57,"Raja Hr. Sec School East Building West Side, Ettaiyapuram","1.Ettaiyapuram (sp) Muthuirulappapillai street , 2.Ettaiyapuram (SP) North Senaier Street , 3.Ettaiyapuram (SP) Senbhanathapillai sandu , 4.Ettaiyapuram (SP) Kavalar kudiruppu street , 5.Ettaiyapuram (SP) Naduroadustreet , 6.Ettaiyapuram (SP) Pettai naduroad street , 7.Ettaiyapuram (SP) North"
58,"Panchayat Union Middle School , South Side East Building, Ilampuvanam",1.Ilampuvanam(R.V) And (P) Ilampuvanam 99.OVERSEAS ELECTORS
59,"Panchayat Union Middle School , North Side , West Building, Ilampuvanam","1.Ilampuvanam (R.V) And (P) Ilampuvanam , 2.Ilampuvanam(R.V) And (P) Ilampuvanam Block 3 99.OVERSEAS ELECTORS"
60,"Panchayat Union Primary School , Kulatthulvaipatti","1.Suraikaipatti (R.V) And (P) Kulathuvaipatti , 2.Elampuvanam (R.V) And (P) Kumaragri , 3.Elampuvanam (R.V) And (P) Sothunaickanpatti 99.OVERSEAS ELECTORS"
61,"R.C. Middle School, East Building South Side, Kasavan Kundru.","1.Erachi (R.V) And (P) Kasavan Kuntru Block 7 , 2.Erachi (R.V) And (P) Kasavan Kuntru Block 8 , 3.Erachi (R.V) And (P) Kasavan Kuntru Block 9 99.OVERSEAS ELECTORS"
62,"Senaiyar Kalaimagal Primary School,Centre Portion North Side, Erachi","1.Erachi (R.V) And (P) Erachi , 2.Erachi (R.V) And (P) Erachi Block 4 , 3.Erachi (R.V) And (P) Erachi Block 5 99.OVERSEAS ELECTORS"
63,"Senaiar Kalaimagal High School Centre Portion North Side, Erachi","1.Erachi (R.V) And (P) Erachi , 2.Erachi (R.V) And (P) Pappunaickkanpatti Block 3 99.OVERSEAS ELECTORS"
64,"Panchayat Union Primary School, Semappudur.","1.Semappudur (R.V) And (P) Semappudur south street block 1 , 2.Semappudur (R.V) And (P) Semappudur West Street Block 2 , 3.Semappudur (R.V) And (P) Semappudur North Street Block 3 , 4.Semappudur(R.V) And (P) Semappudur East Street Block 4 , 5.Semappudur (R.V) And (P) North Semappudur Block"
65,"Panchayat Union Middle School, Suraikaipatti","1.Suraikaipatti (R.V) And(P) Suraikaipatti block 1 , 2.Suraikaipatti (R.V) And(P) Satirapatti Block 2 , 3.Suraikaipatti (R.V) And(P) Ranasuettu Nayakkanpatti Block 3 , 4.Elampavanam (R.V) And(P) Pethapuram Block 4 99.OVERSEAS ELECTORS"
66,"V.A.M.Rathinam Hindu Nadar Middle School West Building, Mela Eral",Mela Eral (R.V) and (P) Mela Eral Block 1 99.OVERSEAS ELECTORS
67,"V.A.M.Rathinam Hindu Nadar Middle School, East Building, Mela Eral",Mela Eral (R.V) and (P) Mela Eral Block 2 99.OVERSEAS ELECTORS
68,"T.D.T.A Primary School, Keela Eral","1.Keelaieral (R.V) And (P) Keelaieral Block 1 , 2.Keelaeral (R.V) And (P) Keelaeral Block 2 , 3.Keelaeral (R.V) And (P) Keelaeral Block 3 99.OVERSEAS ELECTORS"
69,"Vellasamy Middle School North Building, Keela Eral",1.Keelaieral (R.V) And (P) Keelaieral Block 5 99.OVERSEAS ELECTORS
70,"Vellasamy Middle School South Building, Keela Eral","1.Keelaieral (R.V) And (P) Keelaieral Block 4 , 2.Keelaieral (R.V) And (P) Narkalikottai Block 6 , 3.Keelaieral (R.V) And (P) D.Arunachalapuram Block 7 99.OVERSEAS ELECTORS"
71,"Panchayat Union Primary School New Building, Ethilappanaickkanpatti","1.Ethilappanaickkanpatti (R.V) And (P) Ethilappanaickkanpatti , 2.Manjanaickkanpatti (R.V) And (P) Kodangipatti , 3.Manjanaickkanpatti (R.V) And (P) Kovil Chinamma Naickkanpatti , 4.Manjanaickkanpatti (R.V) And (P) Bommulunaickkanpatti , 5.Manjanaickkanpatti (R.V)"
72,"Panchayat Union Primary School, Manjanaikanpatti","1.Manjanaickkanpatti (R.V) And (P) Manjanaickkanpatti , 2.Manjanaickkanpatti (R.V) And (P) Pulivadi Naickkanpatti , 3.Manjanaickkanpatti (R.V) And (P) Podinaickkanpatti 99.OVERSEAS ELECTORS"
73,"Panchayat Union Primary School,Valampatti","1.Valampatti (R.V).Valampatti (P) Valampatti Block 3 , 2.Valampatti (R.V), Valampatti (P) Valempatti Block 4 99.OVERSEAS ELECTORS"
