Sl. No,Polling Station No,emaN Thozhilalarkal Katchi,Party Indiar Naam NTK,srotcelE Makkal Amma S AMMK,OT Needhi Kazagam Makkal MNM,EHT MNM,EVITALSIGEL rudnehcuriT... IND,R IND,IND,.... P.S.J IND,IND,IND,S IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1,217,267,30,0,1,3,4,0,0,0,2,0,1,0,0,525,0,2,527,0
2,2,168,178,39,0,0,3,2,0,0,0,1,0,0,0,0,391,0,2,393,0
3,2(A),167,195,39,1,1,7,1,1,0,1,0,1,0,0,1,415,0,0,415,0
4,3,267,290,40,2,1,1,10,1,0,1,0,1,0,0,3,617,0,5,622,0
5,4,286,279,36,4,1,2,13,1,0,0,0,1,0,1,0,624,0,10,634,0
6,5,279,123,52,1,0,7,5,0,0,0,1,0,0,0,0,468,0,4,472,0
7,5(A),244,136,32,1,3,2,2,0,0,0,1,0,0,0,2,423,0,4,427,0
8,6,336,159,22,1,1,4,6,0,0,0,0,1,0,1,1,532,0,1,533,0
9,7,340,154,37,0,0,2,2,0,0,0,1,1,0,0,0,537,0,1,538,0
10,8,231,196,37,0,0,7,5,2,0,1,3,0,0,1,1,484,0,3,487,0
11,9,257,194,39,0,1,8,4,0,0,0,5,1,0,0,0,509,0,7,516,0
12,10,451,186,53,0,1,23,10,1,0,0,3,1,0,0,0,729,0,6,735,0
13,11,230,162,78,0,3,5,8,0,0,0,2,0,1,0,1,490,0,2,492,0
14,11(A),290,178,28,0,0,1,1,1,1,0,0,0,0,0,0,500,0,2,502,0
15,12,461,74,48,1,2,4,13,0,0,0,0,0,0,0,0,603,0,5,608,0
16,13,283,28,31,0,1,6,5,1,0,0,0,0,0,0,0,355,0,3,358,0
17,13(A),297,29,17,0,0,1,3,0,0,0,0,0,0,0,0,347,0,2,349,0
18,14,261,84,35,0,0,4,6,0,0,0,1,0,0,0,0,391,0,5,396,0
19,14(A),272,86,25,0,1,5,4,1,1,1,1,0,0,0,2,399,0,0,399,0
20,15,229,250,72,0,1,15,10,0,0,0,0,0,0,0,2,579,0,1,580,0
21,16,259,121,44,0,0,13,9,0,0,0,0,0,0,0,0,446,0,2,448,0
22,16(A),298,156,31,1,1,5,7,0,0,0,0,0,0,0,1,500,0,2,502,0
23,17,135,186,38,0,0,12,6,2,0,1,0,0,2,1,0,383,0,3,386,0
24,17(A),200,217,14,0,0,5,3,0,0,0,1,1,0,0,1,442,0,2,444,0
25,18,322,50,32,0,0,3,6,0,0,0,1,0,0,0,0,414,0,2,416,0
26,19,292,54,55,0,1,3,4,0,0,1,0,0,0,0,1,411,0,2,413,0
27,20,314,153,52,0,3,14,12,0,1,0,0,0,0,0,1,550,0,6,556,0
28,21,219,197,46,1,1,22,8,0,1,1,0,5,0,0,0,501,0,0,501,0
