Polling Station No.,Building,Polling Areas
1,"Panchayat Union Primary School, South Building,","1.K.Venkateswarapuram (R.V), K. Duraisamypuram (P) K. lakshmipuram Block 1 , 2.K.Venkateswarapuram (R.V), K. Duraisamypuram (P) K. Ramanathapuram Block 2 , 99.OVERSEAS ELECTORS"
2,"Panchayat Union Primary School, North Building,","1.K.Venkateswarapuram (R.V), K. Duraisamypuram (P) K. Duraisamypuram Block 3 , 2.K.Venkateswarapuram (R.V), K. Duraisamypuram (P) K. Duraisamypuram Block 4 , 99.OVERSEAS ELECTORS"
3,"Panchayat Union Primary School, K.Venkateshwarapuram","1.K.Venkateshwarapuram (R.V) And (P) K.Venkateshwarapuram Block 1 , 2.K.Venkateshwarapuram (R.V) And (P) K.Venkateshwarapuram Block 2 , 3.K.Venkateshwarapuram (R.V) And (P) K.Vengateswarapuram Block 3 , 99.OVERSEAS ELECTORS"
4,"St. Marys Primary School, South Building, East 2nd Room Class, 2A,","1.Kalugumalai (S.P) Indhiraprasatham Street ward 1 , 2.Kalugumalai (S.P) Indhiraprasatham Street 2 ward 2 , 3.Kalugumalai (S.P) Indiraprastham Street 3 ward 1 , 4.Kalugumalai (S.P) Indiraprestham Street 4 ward 1 , 5.Kalugumalai (S.P) Indirapresthem Street No 5 ward 1 , 6.Kalugumalai (S.P) Ananthamman Koil Street Ward 1 , 7.Kalugumalai (S.P) Matha Koil Street ward 1 , 8.Kalugumalai (S.P) Church Street ward 1 , 9.Kalugumalai (S.P) Kaliamman Kovil street ward 2 , 10.Kalugumalai (S.P) Soundrapandian Street Ward 2 , 11.Kalugumalai (S.P) Narayansamykovilstreet Ward 2 , 12.Kalugumalai (S.P) Kamarajar Street ward 2 , 99.OVERSEAS ELECTORS"
5,"St. Marys Primary School, South Building, East 3rd Room Class, 2B","1.Kalugumalai (s.p) Griprabhakara Keelaratha Veethi ward 2 , 2.Kalugumalai (S.P) Kovilpatti-Sankarankovil road ward 2 , 3.Kalugumalai (S.P) Kannapper Street ward 1 , 4.Kalugumalai (S.P) Sakelar street ward 2 , 99.OVERSEAS ELECTORS"
6,"St. Marys Primary School, South Building, East 4th Room Class, 1A","1.Kalugumalai (S.P) Kovilpatti _ Sankarankovil Road Ward 1 , 2.Kalugumalai (S.P) Kasukkara Street Ward 5 , 3.Kalugumalai (s.p) Muthaian street 1 ward 5 , 99.OVERSEAS ELECTORS"
7,"St. Marys Primary School, South Building, East 5th Room Class, 1B","1.Kalugumalai (S.P) Narayanasamy Kovil Street 1 ward 3 , 2.Kalugumalai (S.P) Thanuskodi Street ward 3 , 3.Kalugumalai (S.P) NarayanasamyKovil Street 2 Ward 3 , 4.Kalugumalai (S.P) ThirumalikaiStreet Ward 3 , 5.Kalugumalai (s.p) Ettaiyapuram road ward 6 , 6.Kalugumalai (S.P) Krishnan Kovil Street ward 4 , 7.Kalugumalai (S.P) Muniasamy Kovil Street Ward 4 , 8.Kalugumalai (S.P) Thiruppathiraja Street ward 4 , 99.OVERSEAS ELECTORS"
8,"St. Marys Primary School, South Building, East 6th Room Class, 3","1.Kalugumalai (S.P) Balasubramaniyan Street Ward 4 , 2.Kalugumalai (S.P) Vinayakar Kalani Ward 4 , 3.Kalugumalai (s.p) Depobhostreet ward 6 , 4.Kalugumalai (S.P) Kittange Street Ward 6 , 5.Kalugumalai (S.P) Muthu Veerappasamy Kovil Street Ward 6 , 99.OVERSEAS ELECTORS"
9,"Govt Higher Secondary School, Middle Building South Room","1.Kalugumalai (s.p) Theyagi n. venkatachalam street ward 7 , 2.Kalugumalai (S.P) Bagawathsingh Street Ward 7 , 3.Kalugumalai (S.P) Veerapandiyakattabomman Street ward 7 , 4.Kalugumalai (S.P) Kumarasan Nagar Street Ward 7 , 5.Kalugumalai (s.p) Kumarasan street 2 ward 7 , 6.Kalugumalai (S.P) Amalraj Nagar Ward 7 , 7.Kalugumalai (S.P) KuthurailawyaStreet Ward 8 , 99.OVERSEAS ELECTORS"
10,"Govt Higher Secondary School, North Portion","1.Kalugumalai (S.P) Watththeru Ward 7 , 2.Kalugumalai (S.P) Kalangththeru , 3.Kalugumalai (S.P) Karakkurichiyar Street , 4.Kalugumalai (S.P) TheyagarajaStreet , 5.Kalugumalai (S.P) TherkurathaveethiMelpagam Ward 9 , 6.Kalugumalai (S.P) AnnaKeelastreet , 7.Kalugumalai (S.P) Annathenvadal sandu , 8.Kalugumalai (S.P) Theyagei Subbiahstreet , 9.Kalugumalai (S.P) Theyagi subbiah Thenvadalsandu , 10.Kalugumalai (S.P) PetchiammanKovilstreet , 11.Kalugumalai (S.P) V.O. Chedambaranar Street , 12.Kalugumalai (S.P) Police Line , 99.OVERSEAS ELECTORS"
