Polling Station No.,Building,Polling Areas
1,"Panchayat Union Primary School,West Side Western Portion,Puliyampatti","1.Kalappakulam (R.V) Kalappakulam (Pt) Block No 1 Kalappakulam, , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
2,"Panchayat Union Primary School,South Building Western Portion,Puliyampatti.","1.Kalappakulam (R.V) Kalappakulam (Pt) Block No 1 Kalappakulam, , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
3,"Panchayat Union Primary School,West Side Eastern Portion,Puliyampatti","1.Kalappakulam (R.V) Kalappakulam (Pt) WEST SIDE, EASTERN PORTION, PULIYAMPATTI , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
4,"Panchayat Union Primary School,East Side,Puliyampatti","1.Kalappakulam (R.V) Kalappakulam (Pt) Block No 5 Puliyampatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
5,"Annai Velankanni Hr.Sec.School,New South Building North Portion,Rajapalayam Road,Kalappakulam","1.Kalappakulam(R.V) Kalappakulam (Pt) Block No. 5 N.G.O Colony Part , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
6,"Annai Velankanni Hr.Sec.School,New South Building South Portion,Rajapalayam Road,Kalappakulam","1.Kalappakulam(R.V) Kalappakulam (Pt) Block No. 5 N.G.O Colony Part , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
7,"Annai Velankanni Hr.Sec.School,New Building Northern Portion,Rajapalayam Road,Kalappakulam","1.Kalappakulam(R.V) Kalappakulam (Pt) Periyur Road , 2.Kalappakulam(R.V) Kalappakulam (Pt) Bharathithasan Street , 3.Kalappakulam(R.V) Kalappakulam (Pt) Bharathiyar Street , 4.Kalappakulam(R.V) Kalappakulam (Pt) Thiruvalluvar Street , 5.Kalappakulam(R.V) Kalappakulam (Pt) Sekkilar Street , 6.Kalappakulam(R.V) Kalappakulam (Pt) Nehru Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
8,"Annai Velankanni Hr.Sec.School,West side,Rajapalayam Road,Kalappakulam","1.Kalappakulam (R.V) Kalappakulam (Pt) Block No 3 Murippankulam , 2.KALAPPAKULAMl (R.V) KALAPPAKULAMl (Pt) BLOCK NO 5 KALAPPAKULAM N.G.O COLONY PART , 3.Sankarankovil (M) N.G.O colony Part , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
9,"Thirumuruga Kirubanathavariyar Swamigal Primary School,Neshavalar Colony,Elavankulam Road,Kalappakulam","1.KALAPPAKULAM (R.V) KALAPPAKULAM (Pt) BLOCK NO 1 KALAPPAKULAM , 2.Kalappakulam (R.V) Kalappakulam (Pt) Block No 4 Vadakku IIavankulam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
10,"Hindu Primary School,Kalappakulam","1.Kalappakulam (R.V) Kalappakulam (PT) Block No 1 Kalappakulam , 2.Kalappakulam (R.V) Kalappakulam (Pt) Block No 1 Kalappakulam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
