Sl. No,Polling Station No,evitalsigeL ni,V. PETCHIAMMAL TAMILAGAM PT,S.S. MATHIVANAN TAMILAR NAAM NTK,ITRAP,rullanavedusaV P.L.A. JAYAKUMAR TAMILNADU ILANGYAR KATCHI,G. MUTHUPANDI IND,)CS(,P. MOORTHY RAMA IND,No.of,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1,135,192,0,0,6,24,1,60,2,0,0,420,0,2,422,
2,2,208,207,1,0,4,13,3,63,1,0,4,504,0,5,509,
3,3,240,265,0,1,1,2,7,78,7,0,2,603,0,6,609,
4,4,194,197,0,1,4,1,12,43,0,0,2,454,0,3,457,
5,5,159,208,2,0,13,5,2,124,4,0,3,520,0,10,530,
6,6,160,325,1,1,1,100,2,87,4,1,10,692,0,3,695,
7,7,233,156,1,1,2,47,34,55,0,0,2,531,0,1,532,
8,8,327,92,2,2,5,7,84,80,1,4,0,604,0,3,607,
9,9,177,231,3,3,11,5,7,146,5,1,2,591,0,8,599,
10,10,174,119,2,1,0,6,69,71,1,0,0,443,0,5,448,
11,11M,208,99,1,0,0,0,9,88,1,0,0,406,0,1,407,
12,11AW,209,162,1,2,1,1,7,43,2,2,3,433,0,19,452,
13,12,224,212,2,1,51,7,1,81,0,1,4,584,0,7,591,
14,13,161,288,1,1,20,6,6,51,1,1,4,540,0,2,542,
15,14M,156,201,1,3,4,61,7,48,1,0,1,483,0,3,486,
16,14AW,134,249,1,6,1,43,2,37,1,1,13,488,0,9,497,
17,15,213,304,2,1,7,62,4,55,2,2,8,660,0,9,669,
18,16,212,293,1,0,1,40,2,54,0,1,1,605,0,17,622,
19,17,237,166,3,2,0,27,2,41,1,0,4,483,0,12,495,
20,18,160,109,3,0,4,102,3,37,0,2,2,422,0,10,432,
21,19,171,192,0,0,4,152,4,45,0,1,4,573,0,9,582,
22,20M,178,129,0,0,1,54,0,22,1,0,1,386,0,1,387,
23,20AW,198,201,4,0,3,28,2,13,1,1,10,461,0,20,481,
24,21,155,259,7,1,7,110,4,54,1,0,9,607,0,13,620,
25,22,135,231,2,4,4,87,2,50,2,1,2,520,0,4,524,
26,23M,210,67,1,0,2,34,0,63,2,1,1,381,0,4,385,
27,23AW,208,101,6,1,1,24,1,28,1,1,1,373,0,9,382,
28,24,191,205,1,0,3,73,3,45,1,0,2,524,0,6,530,
29,25,290,206,1,1,4,93,3,87,2,0,8,695,0,8,703,
30,26,163,247,6,1,7,101,3,54,1,1,0,584,0,2,586,
31,27,67,89,0,0,6,42,0,23,0,0,0,227,0,4,231,
32,28M,141,108,0,0,1,48,0,51,0,0,0,349,0,1,350,
33,28AW,130,154,5,0,7,27,1,34,2,1,4,365,0,9,374,
34,29,230,167,5,1,11,134,1,69,2,2,2,624,0,9,633,
35,30,183,348,4,0,9,67,3,68,0,0,3,685,0,6,691,
36,31M,133,164,0,0,1,75,4,90,3,1,0,471,0,5,476,
37,31AW,99,252,4,1,2,57,1,50,4,2,5,477,0,4,481,
38,32,252,207,3,0,4,32,2,34,2,1,2,539,0,8,547,
39,33,81,123,1,0,4,100,0,14,1,0,1,325,0,1,326,
40,34,180,215,3,2,5,108,2,35,2,0,1,553,0,3,556,
41,35,168,138,1,2,15,71,2,31,1,1,0,430,0,7,437,
42,36M,153,157,0,0,3,31,2,69,3,1,1,420,0,11,431,
43,36AW,153,222,0,1,10,20,1,47,1,0,1,456,0,3,459,
44,37,361,108,0,0,2,5,0,32,0,1,0,509,0,5,514,
45,38,365,109,0,0,0,2,1,41,0,0,0,518,0,5,523,
46,39,286,204,1,1,0,3,1,42,0,1,6,545,0,11,556,
47,40,348,130,1,0,3,2,1,63,5,1,2,556,0,4,560,
48,41M,126,190,4,1,1,6,45,26,2,2,0,403,0,1,404,
49,41AW,126,236,8,1,2,4,25,21,0,1,6,430,0,9,439,
50,42M,158,147,1,1,10,7,0,102,1,1,2,430,0,4,434,
51,42AW,162,217,3,0,12,8,1,53,2,0,2,460,0,5,465,
52,43,220,244,1,3,5,17,0,32,0,0,2,524,0,10,534,
53,44,142,263,2,2,6,111,1,70,1,1,2,601,0,6,607,
54,45,100,183,1,0,3,7,8,88,2,2,6,400,0,3,403,
55,46,144,319,3,0,13,5,0,143,3,1,3,634,0,6,640,
56,47,78,179,1,0,3,3,1,73,0,1,0,339,0,1,340,
57,48M,103,222,1,1,14,2,0,96,1,0,0,440,0,10,450,
58,48AW,112,263,4,0,11,2,0,53,1,0,6,452,0,8,460,
59,49,188,294,4,1,12,6,4,126,0,0,3,638,0,10,648,
60,50,170,272,5,1,3,34,3,99,2,1,6,596,0,7,603,
61,51M,120,204,1,2,7,9,2,44,0,0,3,392,0,2,394,
62,51AW,122,218,0,0,6,9,2,45,0,1,6,409,0,12,421,
63,52,168,327,5,1,8,12,0,97,0,0,4,622,0,3,625,
64,53,193,262,2,0,7,6,0,69,2,3,1,545,0,11,556,
65,54,161,284,2,0,13,5,3,150,0,0,3,621,0,2,623,
66,55M,100,190,3,1,1,71,4,59,1,0,0,430,0,2,432,
67,55AW,78,258,3,0,2,33,4,47,0,2,8,435,0,2,437,
68,56,179,217,6,1,1,2,25,49,3,0,1,484,0,7,491,
69,57M,109,56,0,2,1,123,100,11,1,1,0,404,0,1,405,
70,57AW,112,84,6,3,2,115,98,15,1,4,3,443,0,6,449,
71,58M,142,162,1,0,24,3,6,81,0,1,2,422,0,4,426,
72,58AW,146,225,1,5,12,1,4,50,1,1,6,452,0,2,454,
73,59M,145,147,1,0,2,8,26,46,7,0,0,382,0,0,382,
74,59AW,215,178,3,0,1,5,11,39,4,0,2,458,0,2,460,
75,60,185,246,1,0,1,36,5,21,1,3,2,501,0,3,504,
76,61,200,128,3,2,3,182,2,26,0,1,3,550,0,10,560,
77,62,247,208,2,3,3,81,1,44,1,0,2,592,0,4,596,
78,63,294,135,2,0,0,4,77,53,1,1,2,569,0,10,579,
79,64M,111,130,0,0,1,65,51,38,2,0,0,398,0,9,407,
80,64AW,131,211,3,0,2,68,39,29,1,0,2,486,0,5,491,
81,65,116,256,4,0,35,5,1,78,7,0,2,504,0,7,511,
82,66,191,253,1,1,25,24,1,73,1,0,3,573,0,9,582,
83,67,174,265,1,0,26,7,1,94,0,0,1,569,0,10,579,
84,68,137,285,6,1,36,6,2,66,2,0,3,544,0,6,550,
85,69,387,146,3,1,2,23,48,54,3,0,0,667,0,5,672,
86,70,258,307,4,4,3,21,67,37,0,1,7,709,0,5,714,
87,71M,175,137,1,2,3,48,10,11,1,0,2,390,0,6,396,
88,71AW,190,149,0,0,3,28,3,11,0,3,6,393,0,11,404,
89,72M,180,116,4,0,5,4,54,49,2,2,1,417,0,4,421,
90,72AW,254,137,6,2,7,2,27,28,1,3,3,470,0,6,476,
91,73,264,196,2,2,3,5,56,89,2,1,2,622,0,1,623,
92,74,302,205,3,1,0,31,68,91,4,1,2,708,0,6,714,
93,75,324,186,40,0,0,13,20,50,0,0,2,635,0,10,645,
94,76,235,147,23,1,5,8,32,31,2,0,3,487,0,14,501,
95,77M,124,97,2,2,0,157,4,28,0,0,0,414,0,6,420,
96,77AW,109,142,3,1,1,136,10,18,1,6,11,438,0,12,450,
97,78,142,177,9,2,2,127,10,15,2,3,10,499,0,7,506,
98,79,146,182,3,2,0,34,21,18,1,3,4,414,0,9,423,
99,80,281,273,3,1,0,5,37,86,0,2,2,690,0,4,694,
100,81,94,120,4,5,2,260,7,30,0,1,3,526,0,5,531,
101,82,94,110,2,0,0,218,6,25,1,3,5,464,0,7,471,
102,83,84,134,3,3,0,374,8,18,3,3,5,635,0,7,642,
103,84,236,348,6,22,1,8,17,50,2,0,2,692,0,3,695,
104,85,166,269,8,2,5,63,3,101,1,3,8,629,0,9,638,
105,86,118,200,1,1,0,11,12,26,1,2,2,374,0,3,377,
106,87,193,121,5,3,1,375,10,19,0,0,6,733,0,6,739,
107,88,197,314,3,5,6,82,1,45,3,4,1,661,0,9,670,
108,89,183,170,5,1,1,131,15,16,1,2,6,531,0,12,543,
109,90M,121,167,0,1,9,15,1,86,0,0,2,402,0,6,408,
110,90AW,133,245,4,0,4,13,0,70,0,2,7,478,0,15,493,
111,91M,199,148,1,2,3,4,30,49,1,0,0,437,0,3,440,
