Polling Station No.,Building,Polling Areas
1,"Panchayat Union Primary School,South Old Building,Alagappapuram.","1.Kuthukkal Valasai (R.V), Kuthukkal Valasai (Pt) Ward 4 Mettu Street , 2.Kuthukkal Valasai (R.V), Kuthukkal Valasai (Pt) Ward 4 Railway pidar road , 3.Kuthukkal Valasai (R.V), Kuthukkal Valasai (Pt) Ward 4 Middle Street , 4.Kuthukkal Valasai (R.V), Kuthukkal Valasai (Pt) Ward 4 South Street , 5.Kuthukkal Valasai (R.V), Kuthukkal Valasai (Pt) Ward 4 North Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
2,"Panchayat Union Primary School,Main Building,Northern Portion,Alagappapuram","1.Kuthukkal Valasai (R.V), Kuthukkal Valasai (Pt) Ward 4 Pillaiyar Kovil Street , 2.Kuthukkal Valasai (R.V), Kuthukkal Valasai (Pt) Ward 4 School Street , 3.Kuthukkal Valasai (R.V), Kuthukkal Valasai (Pt) Ward 4 Amman Kovil Street , 4.Kuthukkal Valasai (R.V), Kuthukkal Valasai (Pt) Ward 4 Doctor Compound , 5.Kuthukkal Valasai (R.V), Kuthukkal Valasai (Pt) Ward 4 West Street , 6.Kuthukkal Valasai (R.V), Kuthukkal Valasai (Pt) Ward 4 Manthai Street , 7.Kuthukkal Valasai (R.V), Kuthukkal Valasai (Pt) Ward 4 Subramaniapuram , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
3,"Panchayat Union Primary School,Eastern Building,Western Portion,Vedamputhur","1.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 2 Pallivasal Street , 2.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 2 Main Road , 3.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 2 Pasumpon Nagar , 4.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 2 Middle Street , 5.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 2 Pillayar Koil Street , 6.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 2 KaliammanKoil Street , 7.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 2 Kamarajar Colony , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
4,"Panchayat Union Primary School,Northern Building,Ayyapuram","1.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 2 Mariyapuram Street , 2.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 3 Gandhi Street , 3.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 3 Kamarajar Street , 4.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 3 Arumaganar Street , 5.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 3 Sadamunikoil Street , 6.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 3 Amman Koil Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
5,"Panchayat Union Primary School,Eastern Building,Ayyapuram","1.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 3 Chellappa Street , 2.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 3 Mela Street , 3.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 3 Pudukinattu Street , 4.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 3 Ki Mu Street , 5.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 3 Pillayar Koil Street , 6.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 3 Kaliamman Koil Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
6,"St. Marys High School,East Portion of Main Building,Kamaraj Nagar,Kuthukalvalasai","1.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Main Road , 2.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Nehruji Street , 3.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Gandhi Street , 4.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Virushamarathu Street , 5.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Parvathy Amman Koil Street , 6.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Veeramamunivar Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
7,"St. Marys High School,West Portion of Main Building,Kamaraj Nagar,Kuthukalvalasai","1.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Thiruvalluvar Street , 2.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 South Car Street , 3.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Pillayar Koil Street , 4.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Nethaji Street , 5.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Kalaivanar Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
8,"R.C.Primary School,Northern New building,Western Portion West part,Kuthukalvalasai","1.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 South Street , 2.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 North Car Street , 3.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 West Car Street , 4.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 South Car Street , 5.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Vivekanandar Street , 6.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Ramar Koil Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
9,"R.C.Primary School,Northern New building,Western Portion,East Part Kuthukalvalasai","1.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Annanagar , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
10,"R.C.Primary School,Northern New Building,Eastern Portion,Kuthukalvalasai","1.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Chitra Nagar , 2.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Bharathy Nagar , 3.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Alankar Nagar , 4.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 Sivanthinagar , 5.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 V K F Colony , 6.Kuthukalvalasi (R.V), Kuthukalvalasi (Pt) Ward 1 K R Colony , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
