Sl. No,Polling Station No,KUMAR.A UDHAYA Tamilagam PT,udanlimaT emaN eht ESAK.M SANGEETHA Tamilar NTK,evitalsigeL srotcelE SELVAKUMAR.S Needhi MNM,K KUMAR. ARUN IND,ITRAP s GANESH YADAV.S SANKAR IND,MALUGNALA SIVARAM.K IND,NADAR.A HARI IND,No.of,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,1,284,200,58,1,42,8,3,0,0,28,624,0,10,634,
2,2,289,175,24,0,44,12,0,1,1,22,568,0,7,575,
3,3,240,252,10,30,50,7,1,0,2,6,598,0,6,604,
4,4,254,236,6,226,11,1,3,0,0,7,744,0,6,750,
5,5,210,186,18,0,38,3,1,0,1,7,464,0,7,471,
6,6M,91,108,11,2,22,3,1,0,1,186,425,0,0,425,
7,6A(W),175,138,8,2,14,2,1,0,1,101,442,0,4,446,
8,7,310,168,12,1,62,18,2,0,2,6,581,0,3,584,
9,8,339,150,9,0,49,10,6,0,0,6,569,0,3,572,
10,9,316,179,3,1,30,1,0,0,2,84,616,0,7,623,
11,10,180,126,2,4,16,4,1,0,2,296,631,0,7,638,
12,11,321,242,12,1,52,16,2,0,0,85,731,0,10,741,
13,12M,81,89,1,0,17,0,0,0,2,256,446,0,1,447,
14,12A (W),165,82,0,1,12,1,0,2,0,178,441,0,5,446,
15,13,207,145,0,2,33,6,1,0,1,192,587,0,9,596,
16,14,183,129,2,2,11,4,1,2,3,224,561,0,3,564,
17,15,182,154,3,2,21,5,5,1,2,299,674,0,5,679,
18,16,202,208,4,2,22,7,2,0,2,317,766,0,7,773,
19,17,160,196,2,1,26,1,3,3,2,166,560,0,3,563,
20,18,183,238,5,3,15,3,1,1,0,292,741,0,3,744,
21,19,350,159,1,1,26,6,0,1,1,204,749,0,5,754,
22,20,277,133,0,1,15,23,1,0,2,235,687,0,4,691,
23,21,232,284,10,1,57,0,0,1,0,216,801,0,1,802,
24,22,212,184,114,1,51,0,3,1,1,75,642,0,3,645,
25,23,232,304,14,0,27,7,1,0,2,19,606,0,4,610,
26,24,290,236,7,0,35,10,1,13,3,80,675,0,6,681,
27,25,266,172,6,1,49,15,2,4,0,192,707,0,8,715,
28,26M,147,91,0,0,11,4,1,0,1,199,454,0,2,456,
29,26A(W),195,123,2,0,12,5,0,0,1,134,472,0,5,477,
30,27,209,224,0,0,15,6,1,0,1,185,641,0,4,645,
31,28,227,132,3,1,18,3,0,0,0,199,583,0,7,590,
32,29,268,159,5,1,33,2,3,0,0,144,615,0,3,618,
33,30,276,155,2,0,26,6,0,0,0,190,655,0,6,661,
34,31,242,287,6,1,31,4,2,0,1,258,832,0,5,837,
35,32,223,249,4,1,35,0,2,0,1,239,754,0,11,765,
36,33,145,235,3,3,22,1,2,1,3,285,700,0,10,710,
37,34,160,176,6,3,19,5,1,0,6,311,687,0,9,696,
38,35M,96,155,0,1,21,6,0,0,1,208,488,0,2,490,
39,35A(W),142,153,3,1,26,3,2,0,1,132,463,0,1,464,
40,36M,61,131,4,2,12,2,1,0,1,277,491,0,4,495,
41,36A(W),111,136,6,3,13,1,0,0,5,221,496,0,5,501,
42,37,178,221,2,4,32,3,2,0,1,315,758,0,10,768,
43,38M,91,96,2,2,16,3,2,0,6,310,528,0,3,531,
44,38A(W),137,101,1,1,9,1,2,2,7,234,495,0,9,504,
45,39,236,202,8,1,68,3,1,0,4,254,777,0,3,780,
46,40,258,180,0,0,19,1,1,1,8,342,810,0,2,812,
47,41,315,266,5,2,18,6,1,0,13,278,904,0,8,912,
48,42,84,321,3,0,18,1,0,0,0,1,428,0,1,429,
49,43M,73,110,3,1,42,8,0,0,2,224,463,0,1,464,
50,43A(W),137,126,2,2,32,3,1,1,4,152,460,0,7,467,
51,44,276,197,46,8,29,4,1,0,2,0,563,0,6,569,
52,45,326,288,86,0,14,2,0,1,0,1,718,0,6,724,
53,46,258,356,47,3,16,0,1,0,1,16,698,0,2,700,
54,47,151,202,5,0,17,3,1,1,1,283,664,0,3,667,
55,48,135,154,1,1,19,2,1,0,1,176,490,0,1,491,
56,49,168,126,4,0,20,1,0,1,0,122,442,0,3,445,
57,50,240,241,2,1,13,0,3,1,3,323,827,0,2,829,
58,51,287,219,1,2,9,0,1,0,1,373,893,0,10,903,
59,52M,138,172,30,7,30,2,0,0,0,100,479,0,2,481,
60,52A(W),209,177,7,7,16,4,1,2,3,63,489,0,7,496,
61,53,179,163,7,0,40,0,2,1,3,311,706,0,5,711,
62,54,196,136,3,0,32,5,2,1,1,242,618,0,11,629,
63,55M,116,69,1,1,26,4,0,0,0,173,390,0,2,392,
64,55A(W),175,96,3,2,27,4,1,0,2,135,445,0,4,449,
65,56M,95,72,9,1,27,4,0,0,0,241,449,0,1,450,
66,56A(W),147,119,5,3,24,3,0,1,0,166,468,0,3,471,
67,57M,73,118,5,0,22,2,1,0,2,244,467,0,3,470,
68,57A(W),119,131,1,2,25,3,0,1,1,192,475,0,6,481,
69,58,190,107,1,1,24,1,1,0,0,299,624,0,9,633,
70,59,89,97,1,1,25,0,0,0,0,187,400,0,3,403,
71,60,222,310,4,1,59,6,2,0,0,172,776,0,9,785,
72,61,211,145,5,2,35,2,1,2,2,340,745,0,5,750,
73,62,271,149,7,2,40,11,0,0,1,277,758,0,6,764,
74,63,193,130,10,2,29,3,0,0,4,254,625,0,5,630,
75,64M,99,127,1,1,62,3,1,1,2,154,451,0,9,460,
76,64A(W),130,130,1,1,33,10,1,0,1,117,424,0,5,429,
77,65M,89,113,3,1,37,4,0,2,1,142,392,0,5,397,
78,65A(W),121,130,5,1,29,4,0,0,0,94,384,0,2,386,
79,66M,108,105,5,0,27,8,0,0,2,121,376,0,3,379,
80,66A(W),148,114,2,2,31,6,1,1,1,100,406,0,8,414,
81,67M,90,159,7,1,42,10,0,1,0,114,424,0,2,426,
82,67A(W),121,168,3,0,22,9,0,1,3,71,398,0,4,402,
83,68,65,67,5,2,9,0,1,0,1,52,202,0,1,203,
84,69M,108,147,3,1,23,8,1,1,0,154,446,0,7,453,
85,69A(W),141,158,0,4,21,4,1,0,0,96,425,0,4,429,
86,70,227,129,3,3,44,4,2,1,0,289,702,0,7,709,
87,71,81,135,6,0,35,19,1,1,2,70,350,0,8,358,
88,72,193,197,1,1,25,9,0,0,1,226,653,0,7,660,
89,73,190,192,4,3,40,4,2,1,0,256,692,0,5,697,
90,74,196,122,1,2,28,9,1,1,2,375,737,0,5,742,
91,75,79,189,4,1,35,0,0,0,0,117,425,0,6,431,
92,76,204,138,80,2,26,9,1,4,2,5,471,0,11,482,
93,77,151,133,10,1,67,5,1,0,2,3,373,0,4,377,
94,78,217,231,14,64,23,1,1,0,3,8,562,0,9,571,
95,79,163,392,4,23,63,1,2,0,2,3,653,0,5,658,
96,80,90,209,11,11,24,1,0,1,0,5,352,0,1,353,
