Polling Station No.,Building,Polling Areas
1,"R.C Primary School,North New Building South Portion,Keelapavoor.","1.Keelapavoor (T.P) Melur West Street. , 2.Keelapavoor (T.P) Melur North Street. , 3.Keelapavoor (T.P) Melur South St. , 4.Keelapavoor (T.P) Melur Road. , 5.Keelapavoor (T.P) Gurukkal Madam. , 6.Keelapavoor (T.P) Mettu Street North . , 7.Keelapavoor (T.P) Mettu St South. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
2,"R.C Primary School,North New Building North Portion,Keelapavoor.","1.Keelapavoor (T.P) Agraharam 2nd St. , 2.Keelapavoor (T.P) Agraharam 3rd Street. , 3.Keelapavoor (T.P) Agraharam 4th St. , 4.Keelapavoor (T.P) Sathiram Road. , 5.Keelapavoor (T.P) Surandai Road 13 Sandhu. , 6.Keelapavoor (T.P) Tamilar 14 th St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
3,"Soma Sundaram Hindu Primary School,Western Portion,Keelapavoor","1.Keelapavoor (t.p) Harijan South Street , 2.Keelapavoor (T.P) Harijan Middle St. , 3.Keelapavoor (T.P) Harijan North Street. , 4.Keelapavoor (T.P) Pillayar Kovil Street. , 5.Keelapavoor (T.P) Devar South Street. , 6.Keelapavoor (T.P) Cinema Theatre St. , 7.Keelapavoor (T.P) Chidambarapuram St. , 8.Keelapavoor T.P Water Road 17.2 , 9.Keelapavoor (T.P) Asari West St. , 10.Keelapavoor (T.P) Matha Kovil St. , 11.Keelapavoor (T.P) Ramasamy Kovil Street. , 12.Keelapavoor (T.P) Kottaiyur South St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
4,"Panchayat Union Primary School,East Building,Karumadaiyur, Keelapavoor","1.Keelapavoor (T.P) Karumadaiyur North St, , 2.Keelapavoor T.P Karumadaiyur South St. , 3.Keelapavoor (T.P) 7th Street. , 4.Keelapavoor (T.P) 8th Street. , 5.Keelapavoor (T.P) 9th Street. , 6.Keelapavoor (T.P) 10th Street. , 7.Keelapavoor (T.P) Moolakaraiyur Periya St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
5,"A.V.High School,New Building West Portion,Keelapavoor.","1.Keelapavoor (T.P) Ward.no 3, Mudhaliyar Pillayar Kovil St. , 2.Keelapavoor (T.P) Ward No 3, Ilathu Pillaimar St. , 3.Keelapavoor (T.P) Devar Middle St. , 4.Keelapavoor (T.P). S.K.R. Street. , 5.Keelapavoor (T.P) Devar St , 6.Keelapavoor (T.P) Vetha Kovil Street. , 7.Keelapavoor (T.P) Udaiyar Kovil Street. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
6,"A.V.High School,New Building East Portion,Keelapavoor","1.Keelapavoor (T.P) Padaiatchi Street. , 2.Keelapavoor (T.P) Keerai Thotta Street. , 3.Keelapavoor (T.P) Padayatchi Mela Sreet. , 4.Keelapavoor (T.P) Padayatchi Middle Street. , 5.Keelapavoor (T.P) Mahalinaga Nadar Street. , 6.Keelapavoor (T.P) Kennedy Street. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
7,"A.V.High School,South East Building South Gate,Keelapavoor.","1.Keelapavoor (T.P) Ward.no 3, Puthu Amman Kovil St. , 2.Keelapavoor (T.P) Ward.no 3, Sengunthar Periya St. , 3.Keelapavoor (T.P) Yadhavar North Street. , 4.Keelapavoor (T.P) Vannar Street. , 5.Keelapavoor (T.P) Pajanai Kovil St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
8,"A.V.High School,South East Building Main Gate,Keelapavoor.","1.Keelapavoor (T.P) Yadhavar South St. , 2.Keelapavoor (T.P) Panchayat Office St. , 3.Keelapavoor (T.P) Vanigar Keela St. , 4.Keelapavoor (T.P) Mahalinga Nadar St. , 5.Keelapavoor (T.P) Bajar St Portion , 6.Keelapavoor (T.P) Vanigar West St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
9,"Nadar Hindu High School,South Portion Last Class Room New Building,Keelapavoor.","1.Keelapavoor (T.P) Velar Periya Theru , 2.Keelapavoor (T.P) Sivan Street. , 3.Keelapavoor (T.P) Vaniyar Middle St. , 4.Keelapavoor (T.P) Pillayar Kovil St. , 5.Keelapavoor (T.P) Sathiram Road. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
10,"Nadar Hindu High School,South middle Portion New building,Keelapavoor.","1.Keelapavoor (T.P) Poonu Nadar North St. , 2.Keelapavoor (T.P) Ponnu Nadar St. , 3.Keelapavoor (T.P) Ponnu Nadar Periya St. , 4.Keelapavoor (T.P) Arumuga Nadar Street. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
