Polling Station No.,Building,Polling Areas
1,PANCHAYAT UNION PRIMARY SCHOOLNEW BUILDING UPPERDAM VICKRAMASINGAPURAM,"1.Vickramasingapuram (M) Mailar , 2.Vickramasingapuram (M) Injikuzhi , 3.Vickramasingapuram (M) Agasthier Nagar Colony Quarters , 4.Vickramasingapuram (M) Karaiyar Appar Dam , 5.Vickramasingapuram (M) Mela Dam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
2,PANCHAYAT UNION PRIMARY SCHOOLMIDDLE PORTION SERVALAR,"1.Vickramasingapuram (M) Valaiyar Estate , 2.Vickramasingapuram (M) Servalaru Department Colony , 3.Vickramasingapuram (M) Kodamadi Road Colony Quarters , 4.Vickramasingapuram (M) Papanasam Reserve Forest , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
3,"PANCHAYAT UNION MIDDLE SCHOOLNEW BUILDING SOUTHERN, LOWERDAM, PAPANASAM","1.Vickramasingapuram (M) Papanasam Lower Dam , 2.Vickramasingapuram (M) Mundandurai Vickramasingapuram , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
4,"TIRUVALLUVAR COLLEGE,NEW BUILDING, NEXT TO CHEMISTRY LAB, NORTHERN PORTION, PAPANASAM","1.Vickramasingapuram (M) Amboor Road , 2.Vickramasingapuram (M) A , 3.Vickramasingapuram (M) Aranmanai Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
5,"TIRUVALLUVAR COLLEGEHISTRY BLOCK, WESTERN PORTION, PAPANASAM","1.Vickramasingapuram (M) Pothigaiadi South Street , 2.Vickramasingapuram (M) Pothigaiadi Middle Street , 3.Vickramasingapuram (M) Pothigaiadi North Street , 4.Vickramasingapuram (M) Rajeev Nagar, Pothigai Adi, Thamirabarani Nagar, Pothigai Nagar, Vasantham Street, , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
6,"TIRUVALLUVAR COLLEGEHISTRY BLOCK, EASTERN PORTION, PAPANASAM","1.Vickramasingapuram (M) Agasthier Kovil Street , 2.Vickramasingapuram (M) Anavan Quarters , 3.Vickramasingapuram (M) Anavan Quarters New Colony , 4.Vickramasingapuram (M) Amboor Road Dana , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
7,"TIRUVALLUVAR COLLEGENEW SOUTH PORTION HALL NO.15, PAPANASAM","1.Vickramasingapuram (M) Kuyavan Pothai. , 2.Vickramasingapuram (M) Thiruvalluvar Nagar , 3.Vickramasingapuram (M) Forest Officers Quarters , 4.Vickramasingapuram (M) Watchman South Street , 5.Vickramasingapuram (M) Watchman Middle Street , 6.Vikramasingapuram (M) Watchman North Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
8,"TIRUVALLUVAR COLLEGENEW SOUTH PORTION HALL NO.18, PAPANASAM","1.Vikramasingapuram (M) Sivaganapuram South Street , 2.Vikramasingapuram (M) Sivaganapuram North Street , 3.Vickramasingapuram (M) Erigal Parai South Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
9,"TIRUVALLUVAR COLLEGEEASTERN PORTION, PAPANASAM, VICKRAMASINGAPURAM.","1.Vickramasingapuram (M) Papanasam Main Road , 2.Vickramasingapuram (M) Erigal Parai Middle Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
10,"TIRUVALLUVAR COLLEGEEASTERN PORTION, PAPANASAM, VICKRAMASINGAPURAM.","1.Vickramasingapuram (M) Erigal Parai North Street , 2.Vickramasingapuram (M) Jeyalalitha Nagar , 3.Vickiramasingapuram (M) Mettupalayam Middle Street , 4.Vickiramasingapuram (M) Mettupalayam North Street , 5.Vickiramasingapuram (M) Mettupalayam South Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
