Sl. No,Polling Station No,M. KANDHAN Tamilargal Kalagam NTK,S. SUNDARAM SHUNMUGA Party,S. IYYAPPAN PARAMASIVA Munnettra,Thiyagi,A. PRABAKARAN Katchi doss,LARENEG emaN srotcelE P. VEERAPANDI Katchi,eht ni,N. KUMAR ASHOK,T. KATHIRAVAN,OT ALNT D. KANDASAMY,TRAP,I IRENUGNAN D. BALAJI GNANA,S. MUTHUDURAI,H. MUTHURAJ,K. LENIN,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,1,120,2,148,2,0,82,0,42,3,4,0,1,0,1,1,406,0,1,407,
2,1A,130,3,177,2,2,69,1,31,3,2,2,1,1,3,0,427,0,6,433,
3,2,227,5,325,0,0,106,0,41,4,0,0,1,0,1,0,710,0,1,711,
4,3,187,2,184,2,1,127,0,61,2,1,2,1,0,2,8,580,0,7,587,
5,4,249,2,191,2,1,45,2,33,4,1,1,1,0,2,4,538,0,4,542,
6,5,326,4,217,1,1,32,0,29,1,8,3,1,0,0,2,625,0,6,631,
7,6,145,0,66,3,2,235,1,55,1,1,1,2,0,4,0,516,0,1,517,
8,7,253,3,86,1,2,158,1,38,1,1,1,0,0,2,2,549,0,11,560,
9,8,198,1,118,2,0,127,2,38,1,8,2,1,0,2,13,513,0,3,516,
10,8A,209,3,140,4,0,108,1,20,1,2,2,0,0,2,3,495,0,10,505,
11,9,319,1,253,1,0,74,5,69,6,4,0,2,1,1,6,742,0,8,750,
12,10,133,0,204,0,0,21,0,99,0,1,0,0,0,1,0,459,0,4,463,
13,10A,155,3,205,2,1,31,0,45,1,0,0,2,0,3,0,448,0,1,449,
14,11,281,1,88,0,0,93,4,41,0,0,0,1,0,0,0,509,0,4,513,
15,12,284,3,129,1,3,125,1,60,0,3,1,0,0,2,56,668,0,9,677,
16,13,157,0,43,2,2,293,0,18,2,1,0,2,1,5,0,526,0,2,528,
17,14,137,2,50,0,1,299,1,28,0,1,1,0,0,2,1,523,0,4,527,
18,15,123,0,57,0,2,155,1,23,0,0,0,0,0,0,0,361,0,5,366,
19,15A,150,3,52,0,1,172,0,17,0,0,2,1,1,0,4,403,0,4,407,
20,16,83,1,207,0,0,114,0,54,0,0,0,1,0,1,1,462,0,6,468,
21,16A,86,0,233,1,0,89,3,28,0,1,3,0,0,0,0,444,0,2,446,
22,17,63,1,180,2,0,19,0,55,0,3,1,0,0,0,0,324,0,1,325,
23,17A,91,4,230,2,1,21,0,27,1,2,0,1,0,0,2,382,0,1,383,
24,18,321,2,135,1,3,59,10,59,1,0,2,1,1,0,0,595,0,6,601,
25,19,97,1,231,1,3,91,1,62,0,1,0,0,0,1,0,489,0,3,492,
26,20,71,0,200,0,0,5,3,85,0,2,1,0,0,0,1,368,0,2,370,
27,20A,92,1,254,3,1,5,2,30,0,4,0,1,0,0,0,393,0,1,394,
28,21,145,6,251,0,3,135,0,38,1,0,1,3,2,4,0,589,0,1,590,
29,22,281,5,136,2,1,245,2,39,1,6,1,1,0,0,0,720,0,8,728,
30,23,111,1,196,0,1,4,0,62,0,1,0,1,0,0,0,377,0,3,380,
31,23A,97,3,204,2,0,4,0,31,0,4,0,3,0,0,0,348,0,5,353,
32,24,208,2,276,1,3,172,2,52,3,24,4,0,2,1,3,753,0,1,754,
33,25,305,4,140,1,1,223,1,31,4,2,0,1,0,0,11,724,0,4,728,
34,26,138,3,75,1,1,23,0,30,0,6,0,0,0,1,0,278,0,2,280,
35,27,117,0,154,2,0,99,1,49,0,3,0,1,0,0,0,426,0,2,428,
36,27A,161,1,175,0,0,107,1,13,2,1,1,1,1,2,0,466,0,2,468,
37,28,63,0,215,1,0,11,2,54,0,0,1,7,0,0,0,354,0,3,357,
38,28A,59,1,283,0,0,13,0,24,0,0,1,0,1,0,0,382,0,2,384,
39,29,55,3,257,2,0,14,1,47,0,0,1,0,1,0,2,383,0,0,383,
40,30,360,1,107,0,0,129,3,58,1,2,1,2,0,0,1,665,0,9,674,
41,31,95,1,49,1,1,234,0,26,0,8,2,0,0,0,0,417,0,4,421,
42,31A,128,1,54,0,0,258,1,7,0,3,8,1,1,1,0,463,0,5,468,
43,32,122,0,262,0,2,26,0,75,0,2,0,4,0,0,0,493,0,0,493,
44,32A,108,0,293,3,1,19,0,26,0,1,0,3,0,0,1,455,0,1,456,
45,33,219,3,121,0,3,170,0,20,1,1,0,0,0,0,0,538,0,3,541,
46,34,249,5,236,2,0,143,1,39,0,32,2,2,0,1,1,713,0,6,719,
47,35,79,0,225,1,2,22,0,53,1,0,0,17,0,0,1,401,0,3,404,
48,35A,62,0,268,2,2,19,0,28,0,2,0,9,0,0,1,393,0,1,394,
49,36,167,4,300,2,1,21,0,77,1,0,0,6,0,1,0,580,0,3,583,
50,37,216,3,214,3,2,212,2,67,2,2,4,0,0,2,3,732,0,5,737,
