Polling Station No.,Building,Polling Areas
10,10 10,10M
11,,10 A(W)
12,11 11,11 M
13,,11 A(W)
13,13M,"Govt. Primary School, Azhagiyapandipuram,New Building East Portion - 629851"
13,13 A(W),"Govt. Primary School, Azhagiyapandipuram,Govt. Primary School, Azhagiyapandipuram,compus CRC centre"
15,15 M,"Lutheran Middle School, Marukalthalai,Add. North Building, East Portion - 629851"
15,15 A(W),"Lutheran Middle School, Marukalthalai,South new Building - 629852"
25,21 21,21 M
26,,21 A(W)
30,25 25,25 M
31,,25 A(W)
34,28 28,28 M
35,,28 A(W)
36,29 29,29M
37,,29 A(W)
38,30 30,30M
39,,30 A(W)
40,31 31,31M
41,,31 A(W)
42,32 32,32M
43,,32 A(W)
44,33 33,33M
45,,33 A(W)
49,37 37,37M
49,49M,"Govt. Hr. Sec. School, Thazhakudy,New Building, North Protion - 629901"
49,49 A(W),"Govt. Hr. Sec. School, Thazhakudy,M.P. hall Nort portion South side. - 629901"
50,,37 A(W)
51,38 38,38M
52,,38 A(W)
54,40 40,40M
55,,40 A(W)
59,44 44,44M
60,,44 A(W)
61,45 45,45M
62,,45 A(W)
75,57 57,57M
75,75M,"Govt. Primary School,Aral Perumalpuram,New Building - 629301"
75,75 A(W),"Govt. Primary School,Aral Perumalpuram,"
76,,57 A(W)
81,62 62,62M
82,,62 A(W)
83,63 63,63M
84,,63 A(W)
90,90M,"Govt. High School , Vellamadam,Main Building East Portion - 629305"
90,90 A(W),"Govt. High School , Vellamadam,West portion, Last room.-629305"
91,70 70,70M
92,,70 A(W)
95,73 73,73M
96,,73 A(W)
100,76 76,76M
100,100,"Govt. High School, Thirupathisaram,New Building, East Portion - 629901"
101,,76 A(W)
101,101,"Govt. Primary School, Athalavilai,Main Building,East Portion - 629303"
102,102,"Govt. Primary School, Athalavilai,Main Building,West Portion North Side New Building - 629303"
103,78 78,78M
104,,78 A(W)
104,104,"Govt. High School, Ramapuram,North Building - 629303"
105,105,"St. Michaels High School, Rajavoor,(New Building) East Portion - 629402"
107,81 81,81M
107,107,"Govt. Hr Sec School, Kumarapuram Thoppur,North Building, East Portion - 629402"
108,,81 A(W)
108,108,"Govt. Hr Sec School, Kumarapuram Thoppur,North Building, East Portion - 629402"
109,82 82,82M
109,109,"Little Flower Primary School, Ramanathichanputhoor,East Portion - 629402"
110,,82 A(W)
110,110,"Little Flower Primary School, Ramanathichanputhoor,East Portion - 629402"
111,111,"Govt. Hr.Sec. School, Kumarapuram Thoppor,North Building West Portion - 629402"
112,112,"Govt. Hr.Sec. School, Kumarapuram Thoppor,(South Building) Central Portion - 629402"
113,85 85,85M
113,113,"Govt. Hr.Sec. School, Kumarapuram Thoppor,West Building, North Portion - 629402"
114,,85 A(W)
115,115,"Kavimani Desika Vinayagam Pillai Vasippu Salai Theroor,North Building, East Portion - 629704"
116,87 87,87M
117,,87 A(W)
118,118,"District Institute of Education and Training Centre. Kulasekaranputhoor.,Main Building, West Portion - 629704"
119,119,"District Institute of Education and Training Centre. Kulasekaranputhoor.,Main Building, West Portion - 629704"
123,123,"Govt. Middle School, Suchindrum,Main Building East Portion - 629704"
124,124,"Govt. Middle School, Sucendram,Main Building West Portion - 629704"
125,94 94,94M
125,125,"Govt. Primary School, Vazhukkanparai,New Building.South Portion. 629704"
126,,94 A(W)
126,126,"Govt. Primary School, Vazhukkanparai,North New Building.West Portion - 629704"
127,95 95,95M
128,,95 A(W)
130,130,"Govt. Primary School, Sucendram,North New Building, North Portion - 629704"
131,98 98,98M
131,131M,"Govt. Primary School, Karkadu,North Portion - 629704"
131,131 A(W),"Govt. Primary School, Karkadu,Main Building Middle portion. - 629704"
132,,98 A(W)
