Sl. No,Polling Station No,No PS.,L. SOIDEN DMDK,edocnavaliV S. VIJAYADHARA INC,R. JAYASEELAN BJP,ADLIN. MARY NTK,R. RAJAKUMAR MNM,edocnavaliV S. KUMAR RAJESH NDPI,VASANTHEESWARANE. UMK,CA G. WILSON SENA SIV,)( S. AMOSE IND,edocnavaliV S. SATHEESH IND,GEORGE ARASAR SAMUEL KALAI IND,etaD Y. MARIASELVAN IND,M. KUMAR MOHAN IND,gnitnuoC K.H. MURRUGAN RAJA IND,.. P. VIJAYAKUMAR IND,Valied,Total Valid Votes,Rejected Votes,NOTA,Total Votes
1,1,10,334,244,10,2,2,4,1,0,0,8,1,2,1,2,621,0,3,624,0
3,3 M,4,158,122,10,0,0,0,0,3,0,26,0,0,1,3,327,0,4,331,0
4,3 A(W),2,182,112,14,3,0,1,0,3,0,24,0,1,2,3,347,0,4,351,0
5,4,9,186,158,21,2,1,2,0,0,0,4,0,2,2,1,388,0,4,392,0
6,5,14,294,259,27,0,0,1,0,2,2,6,0,3,2,2,612,0,6,618,0
7,6,8,352,215,80,4,0,1,0,2,1,61,0,0,1,0,725,0,5,730,0
8,7,5,284,172,60,0,0,1,2,0,0,25,0,0,2,0,551,0,1,552,0
9,8 M,12,195,88,58,0,0,0,0,2,0,3,0,2,1,0,361,0,1,362,0
10,8 A(W),4,263,94,28,1,0,0,2,1,1,3,0,2,2,6,407,0,5,412,0
11,9,6,409,122,47,3,0,4,0,13,2,24,2,0,1,2,635,0,2,637,0
12,10,6,210,43,28,1,2,1,0,1,0,32,0,0,0,1,325,0,5,330,0
13,11 M,1,197,84,52,2,0,0,0,0,0,9,0,0,0,0,345,0,1,346,0
14,11 A(W),6,246,73,36,3,0,5,2,1,0,12,0,0,0,1,385,0,0,385,0
15,12,3,311,46,65,0,0,1,0,1,0,17,1,0,1,1,447,0,2,449,0
16,13,1,438,54,55,1,1,0,0,0,0,11,0,0,2,1,564,0,5,569,0
17,14,1,403,122,128,1,0,1,0,1,0,12,0,1,0,2,672,0,0,672,0
18,15,16,262,54,49,0,0,1,0,0,0,11,0,0,0,1,394,0,2,396,0
19,16 M,4,212,135,47,3,0,0,1,1,0,6,0,0,0,0,409,0,0,409,0
20,16 A(W),6,267,134,23,4,0,2,0,2,1,1,0,1,0,1,442,0,2,444,0
21,17,5,164,189,55,1,0,3,0,0,0,4,0,0,1,0,422,0,0,422,0
22,18 M,6,199,143,44,0,0,0,1,0,0,8,0,0,0,0,401,0,3,404,0
23,18 A(W),2,226,147,22,4,1,0,0,1,0,5,1,3,0,3,415,0,5,420,0
24,19,2,303,135,30,1,1,0,0,2,0,17,1,3,1,5,501,0,1,502,0
25,20,4,284,152,25,1,0,0,1,2,0,14,0,1,1,2,487,0,1,488,0
26,21,5,388,118,32,1,0,0,0,0,1,8,1,1,0,0,555,0,4,559,0
27,22 M,2,218,91,16,0,0,0,1,8,1,11,0,0,0,0,348,0,4,352,0
28,22 A(W),6,259,87,12,3,0,0,0,7,0,13,1,0,1,0,389,0,1,390,0
29,23,7,322,78,23,2,0,1,1,13,1,30,0,1,0,2,481,0,1,482,0
30,24,2,353,35,37,0,0,0,0,5,0,6,0,0,0,0,438,0,1,439,0
31,25,5,340,177,54,0,0,0,1,4,0,8,0,0,0,0,589,0,1,590,0
32,26,8,350,177,38,0,0,2,0,5,0,16,0,0,0,0,596,0,2,598,0
33,27 M,8,230,94,18,1,1,0,0,3,0,21,0,0,0,0,376,0,6,382,0
34,27 A(W),5,286,98,5,2,0,1,2,2,0,7,0,0,0,2,410,0,2,412,0
35,28,4,289,249,27,2,0,0,0,0,0,15,0,0,0,2,588,0,4,592,0
36,29,2,135,40,19,0,0,0,0,4,0,4,0,0,0,0,204,0,0,204,0
37,30 M,4,231,83,17,0,0,0,0,1,0,18,0,1,0,1,356,0,1,357,0
38,30 A(W),3,291,79,11,1,0,3,0,1,0,7,0,0,1,0,397,0,3,400,0
39,31,6,253,291,22,5,0,0,0,1,1,6,0,0,0,0,585,0,4,589,0
40,32,6,290,140,20,1,0,2,1,1,0,21,0,0,1,2,485,0,1,486,0
41,33 M,0,193,75,27,2,0,1,0,1,0,3,0,0,0,0,302,0,0,302,0
42,33 A(W),0,223,77,22,0,1,0,0,3,0,3,1,0,0,0,330,0,0,330,0
43,34,3,230,110,25,0,0,0,0,2,0,10,0,0,0,0,380,0,1,381,0
44,35,5,196,204,15,0,0,0,0,2,0,20,0,0,0,0,442,0,0,442,0
45,36,2,224,83,8,1,0,1,0,2,0,17,0,0,0,1,339,0,0,339,0
46,37,8,270,179,26,0,0,0,1,2,0,13,0,1,0,1,501,0,1,502,0
47,38,7,372,144,40,3,1,2,1,6,0,0,0,0,1,2,579,0,3,582,0
48,39,4,223,126,13,2,0,1,0,3,0,30,0,0,0,1,403,0,5,408,0
49,40,3,295,114,9,0,0,0,0,5,0,10,2,1,2,0,441,0,4,445,0
50,41,4,295,154,45,0,0,0,1,7,0,12,0,0,0,1,519,0,1,520,0
51,42,0,209,163,19,1,1,2,0,0,0,3,0,0,0,1,399,0,1,400,0
52,43,5,216,137,9,0,0,0,0,4,0,11,0,0,0,1,383,0,1,384,0
53,44 M,2,233,87,36,2,0,0,1,16,0,6,0,1,0,0,384,0,2,386,0
54,44 A(W),2,285,85,15,3,0,0,1,8,0,4,0,0,0,1,404,0,1,405,0
55,45 M,1,304,77,39,1,0,0,0,22,0,4,1,0,1,0,450,0,1,451,0
56,45 A(W),2,333,71,25,1,0,1,1,13,0,3,0,0,0,0,450,0,4,454,0
57,46 M,4,269,71,39,0,0,0,1,1,0,6,1,0,0,0,392,0,2,394,0
58,46 A(W),2,273,80,18,2,0,0,1,2,0,4,0,0,0,0,382,0,2,384,0
59,47,1,554,46,50,4,0,3,0,3,0,10,1,1,0,0,673,0,3,676,0
60,48 M,0,269,36,39,1,0,0,0,6,0,12,0,1,1,0,365,0,1,366,0
61,48 A(W),0,327,34,19,1,0,0,0,5,0,8,0,0,0,0,394,0,3,397,0
62,49 M,3,224,79,54,2,0,1,0,3,0,30,0,0,0,0,396,0,2,398,0
63,49 A(W),3,260,67,24,0,0,0,0,1,0,23,2,1,3,1,385,0,1,386,0
